name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
序曲平成25年 (takuya remix) [うた Lily Sebastian Mackenlow],0.608,0.786,2,-10.453,1,0.0565,0.04,0.52,0.334,0.757,118.001,audio_features,09KbJSIeKiJOJp9FEN33w0,spotify:track:09KbJSIeKiJOJp9FEN33w0,https://api.spotify.com/v1/tracks/09KbJSIeKiJOJp9FEN33w0,https://api.spotify.com/v1/audio-analysis/09KbJSIeKiJOJp9FEN33w0,315808,4
IGNORANT JAZZ,0.615,0.924,0,-3.187,1,0.183,0.00467,0.246,0.12,0.401,90.039,audio_features,5mS6xlMtFH7iXUNhj91jPI,spotify:track:5mS6xlMtFH7iXUNhj91jPI,https://api.spotify.com/v1/tracks/5mS6xlMtFH7iXUNhj91jPI,https://api.spotify.com/v1/audio-analysis/5mS6xlMtFH7iXUNhj91jPI,442451,4
Mystery of the Cosmos,0.334,0.675,11,-10.567,0,0.0658,0.0171,0.0735,0.07,0.299,118.285,audio_features,5kTlGrrBFnMOPiw44aYC50,spotify:track:5kTlGrrBFnMOPiw44aYC50,https://api.spotify.com/v1/tracks/5kTlGrrBFnMOPiw44aYC50,https://api.spotify.com/v1/audio-analysis/5kTlGrrBFnMOPiw44aYC50,385240,4
Afterwards,0.603,0.697,5,-10.457,1,0.0394,0.162,0.779,0.301,0.296,84.11,audio_features,3NNh850HXuw3afUhhJbZPH,spotify:track:3NNh850HXuw3afUhhJbZPH,https://api.spotify.com/v1/tracks/3NNh850HXuw3afUhhJbZPH,https://api.spotify.com/v1/audio-analysis/3NNh850HXuw3afUhhJbZPH,398253,4
Eternity - Original Mix,0.597,0.928,10,-5.81,1,0.0732,0.0259,0.446,0.229,0.156,128.015,audio_features,2TJid0Z66gOT6TsFhoDqKw,spotify:track:2TJid0Z66gOT6TsFhoDqKw,https://api.spotify.com/v1/tracks/2TJid0Z66gOT6TsFhoDqKw,https://api.spotify.com/v1/audio-analysis/2TJid0Z66gOT6TsFhoDqKw,221480,4
LTFB,0.641,0.942,7,-3.398,0,0.0451,0.00229,0.638,0.309,0.437,127.99,audio_features,7uPQrW43TXROrrQxhys6nD,spotify:track:7uPQrW43TXROrrQxhys6nD,https://api.spotify.com/v1/tracks/7uPQrW43TXROrrQxhys6nD,https://api.spotify.com/v1/audio-analysis/7uPQrW43TXROrrQxhys6nD,281957,4
Nichirin,0.721,0.615,10,-10.863,0,0.0689,0.46,0.84,0.103,0.479,169.987,audio_features,5o8RzMVxgojgBUKB6PmePs,spotify:track:5o8RzMVxgojgBUKB6PmePs,https://api.spotify.com/v1/tracks/5o8RzMVxgojgBUKB6PmePs,https://api.spotify.com/v1/audio-analysis/5o8RzMVxgojgBUKB6PmePs,142247,4
DAWN OF THE GHETTO,0.601,0.971,0,-6.517,1,0.0866,0.0128,0.414,0.0856,0.377,129.048,audio_features,0LVgicCRjePdi7PRtNpO4O,spotify:track:0LVgicCRjePdi7PRtNpO4O,https://api.spotify.com/v1/tracks/0LVgicCRjePdi7PRtNpO4O,https://api.spotify.com/v1/audio-analysis/0LVgicCRjePdi7PRtNpO4O,409651,4
yaei,0.648,0.523,11,-13.733,1,0.0462,0.347,1.01e-05,0.204,0.762,147.881,audio_features,5FKPQRNlTum6aiSn97Zlk6,spotify:track:5FKPQRNlTum6aiSn97Zlk6,https://api.spotify.com/v1/tracks/5FKPQRNlTum6aiSn97Zlk6,https://api.spotify.com/v1/audio-analysis/5FKPQRNlTum6aiSn97Zlk6,155827,4
Tears,0.512,0.835,6,-4.464,1,0.0542,0.271,0,0.0339,0.545,170.06,audio_features,7jW4lFYSKG4sgyHP1oOeld,spotify:track:7jW4lFYSKG4sgyHP1oOeld,https://api.spotify.com/v1/tracks/7jW4lFYSKG4sgyHP1oOeld,https://api.spotify.com/v1/audio-analysis/7jW4lFYSKG4sgyHP1oOeld,210320,4
あの日のままで,0.568,0.346,3,-7.806,1,0.0289,0.459,8.19e-05,0.0964,0.182,144.068,audio_features,3LXS4VRK27ga4uoIyg948x,spotify:track:3LXS4VRK27ga4uoIyg948x,https://api.spotify.com/v1/tracks/3LXS4VRK27ga4uoIyg948x,https://api.spotify.com/v1/audio-analysis/3LXS4VRK27ga4uoIyg948x,313500,4
Rai,0.654,0.809,1,-9.307,1,0.0904,0.194,0.581,0.298,0.804,173.162,audio_features,7ltrgXr3sLpaDHWz7B1FVO,spotify:track:7ltrgXr3sLpaDHWz7B1FVO,https://api.spotify.com/v1/tracks/7ltrgXr3sLpaDHWz7B1FVO,https://api.spotify.com/v1/audio-analysis/7ltrgXr3sLpaDHWz7B1FVO,93401,3
Massive,0.266,0.972,2,-8.284,1,0.194,0.0253,0.303,0.343,0.0362,121.752,audio_features,44GuOoVQs34GclngWzZYRl,spotify:track:44GuOoVQs34GclngWzZYRl,https://api.spotify.com/v1/tracks/44GuOoVQs34GclngWzZYRl,https://api.spotify.com/v1/audio-analysis/44GuOoVQs34GclngWzZYRl,62000,4
Shangri-La,0.356,0.276,5,-14.535,1,0.0314,0.516,0.894,0.109,0.0959,98.782,audio_features,2CUAi5m74Nobmr60dCxdJG,spotify:track:2CUAi5m74Nobmr60dCxdJG,https://api.spotify.com/v1/tracks/2CUAi5m74Nobmr60dCxdJG,https://api.spotify.com/v1/audio-analysis/2CUAi5m74Nobmr60dCxdJG,375360,4
Let Me,0.324,0.62,2,-13.24,1,0.0847,0.0517,0.000458,0.108,0.277,155.729,audio_features,3gU2vILhx58LIqnAjoNWVx,spotify:track:3gU2vILhx58LIqnAjoNWVx,https://api.spotify.com/v1/tracks/3gU2vILhx58LIqnAjoNWVx,https://api.spotify.com/v1/audio-analysis/3gU2vILhx58LIqnAjoNWVx,232000,3
