name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Shissouginga,0.601,0.941,0,-2.556,1,0.08,0.0182,5.41e-06,0.0771,0.519,117.042,audio_features,0RGo6Nd9VwxqiRCz4fZPeP,spotify:track:0RGo6Nd9VwxqiRCz4fZPeP,https://api.spotify.com/v1/tracks/0RGo6Nd9VwxqiRCz4fZPeP,https://api.spotify.com/v1/audio-analysis/0RGo6Nd9VwxqiRCz4fZPeP,278946,4
Revolution Boy,0.455,0.936,2,-3.008,1,0.0752,0.02,0,0.338,0.697,154.987,audio_features,5RzT5hCe6vLVXHJtkZz0hN,spotify:track:5RzT5hCe6vLVXHJtkZz0hN,https://api.spotify.com/v1/tracks/5RzT5hCe6vLVXHJtkZz0hN,https://api.spotify.com/v1/audio-analysis/5RzT5hCe6vLVXHJtkZz0hN,232880,4
Fighter,0.586,0.934,11,-3.346,1,0.0769,0.00113,7.7e-06,0.111,0.622,110.041,audio_features,5nMuL9R3zr9Ke6GdUUt7vo,spotify:track:5nMuL9R3zr9Ke6GdUUt7vo,https://api.spotify.com/v1/tracks/5nMuL9R3zr9Ke6GdUUt7vo,https://api.spotify.com/v1/audio-analysis/5nMuL9R3zr9Ke6GdUUt7vo,208213,4
Fireloop,0.525,0.981,1,-2.341,1,0.0471,0.00361,7.95e-06,0.338,0.801,98.092,audio_features,4ZNVLLh17AQDj8OivvJYgM,spotify:track:4ZNVLLh17AQDj8OivvJYgM,https://api.spotify.com/v1/tracks/4ZNVLLh17AQDj8OivvJYgM,https://api.spotify.com/v1/audio-analysis/4ZNVLLh17AQDj8OivvJYgM,193800,4
YOIYAMI NI GESSOU,0.455,0.927,0,-2.651,1,0.173,0.0401,7.55e-05,0.12,0.645,169.954,audio_features,3WdtZzS3lITArntQxVkoum,spotify:track:3WdtZzS3lITArntQxVkoum,https://api.spotify.com/v1/tracks/3WdtZzS3lITArntQxVkoum,https://api.spotify.com/v1/audio-analysis/3WdtZzS3lITArntQxVkoum,202933,4
Antibacterial Knife,0.555,0.94,1,-2.878,1,0.0456,0.00337,0.00106,0.153,0.911,95.015,audio_features,4ICy7hCm1rJ3dNtTm6EcT8,spotify:track:4ICy7hCm1rJ3dNtTm6EcT8,https://api.spotify.com/v1/tracks/4ICy7hCm1rJ3dNtTm6EcT8,https://api.spotify.com/v1/audio-analysis/4ICy7hCm1rJ3dNtTm6EcT8,242587,4
Freeze-dry,0.615,0.953,9,-2.95,1,0.0448,0.0151,0.000398,0.167,0.73,117.062,audio_features,5HGtFJsLxMSn3qPWYptCRV,spotify:track:5HGtFJsLxMSn3qPWYptCRV,https://api.spotify.com/v1/tracks/5HGtFJsLxMSn3qPWYptCRV,https://api.spotify.com/v1/audio-analysis/5HGtFJsLxMSn3qPWYptCRV,221533,4
Kyou no kibun wa Pizza jya nai,0.704,0.886,1,-2.895,1,0.14,0.105,0,0.0986,0.615,105.52,audio_features,3vyCRCbwVbzc4ZmnSCRIBm,spotify:track:3vyCRCbwVbzc4ZmnSCRIBm,https://api.spotify.com/v1/tracks/3vyCRCbwVbzc4ZmnSCRIBm,https://api.spotify.com/v1/audio-analysis/3vyCRCbwVbzc4ZmnSCRIBm,149133,4
YUBISAKIKARA THUNDER,0.846,0.627,0,-6.122,1,0.0353,0.489,0.00126,0.0741,0.863,130.006,audio_features,1NaqqTRXEj8f119Yqo8POV,spotify:track:1NaqqTRXEj8f119Yqo8POV,https://api.spotify.com/v1/tracks/1NaqqTRXEj8f119Yqo8POV,https://api.spotify.com/v1/audio-analysis/1NaqqTRXEj8f119Yqo8POV,241748,4
The Dentist,0.66,0.944,0,-2.941,0,0.0427,0.0791,1.22e-05,0.0693,0.768,127.493,audio_features,1KIijlfGnmzBTS5UjiDMIv,spotify:track:1KIijlfGnmzBTS5UjiDMIv,https://api.spotify.com/v1/tracks/1KIijlfGnmzBTS5UjiDMIv,https://api.spotify.com/v1/audio-analysis/1KIijlfGnmzBTS5UjiDMIv,237147,4
YUBISAKI KARA THUNDER,0.781,0.551,2,-6.899,1,0.0309,0.774,6.63e-06,0.111,0.851,130.019,audio_features,7GY9FrUlIZHP0pd77Bae27,spotify:track:7GY9FrUlIZHP0pd77Bae27,https://api.spotify.com/v1/tracks/7GY9FrUlIZHP0pd77Bae27,https://api.spotify.com/v1/audio-analysis/7GY9FrUlIZHP0pd77Bae27,243587,5
