name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
SHITSVILLE,0.538,0.895,9,-4.136,0,0.0491,0.0105,0.0172,0.342,0.706,114.001,audio_features,33jQa5JAyHuUKxVm31NLbt,spotify:track:33jQa5JAyHuUKxVm31NLbt,https://api.spotify.com/v1/tracks/33jQa5JAyHuUKxVm31NLbt,https://api.spotify.com/v1/audio-analysis/33jQa5JAyHuUKxVm31NLbt,211400,4
激しい雨が,0.502,0.816,1,-10.991,0,0.0383,0.0804,5.13e-06,0.342,0.948,155.335,audio_features,0VHce3sqUhFpCt7NKi9Tth,spotify:track:0VHce3sqUhFpCt7NKi9Tth,https://api.spotify.com/v1/tracks/0VHce3sqUhFpCt7NKi9Tth,https://api.spotify.com/v1/audio-analysis/0VHce3sqUhFpCt7NKi9Tth,220933,4
名も無き者,0.212,0.892,7,-2.195,1,0.0547,0.0225,0.041,0.207,0.407,176.021,audio_features,27RsiOCj2aF5JooyKpbLhg,spotify:track:27RsiOCj2aF5JooyKpbLhg,https://api.spotify.com/v1/tracks/27RsiOCj2aF5JooyKpbLhg,https://api.spotify.com/v1/audio-analysis/27RsiOCj2aF5JooyKpbLhg,313787,4
ゴキゲンRADIO,0.554,0.805,11,-10.681,1,0.0417,0.0112,7.44e-05,0.356,0.766,102.684,audio_features,1llEDq837U8lS5BEeNT8fk,spotify:track:1llEDq837U8lS5BEeNT8fk,https://api.spotify.com/v1/tracks/1llEDq837U8lS5BEeNT8fk,https://api.spotify.com/v1/audio-analysis/1llEDq837U8lS5BEeNT8fk,165187,4
夜のハイウェイ,0.498,0.803,6,-9.844,0,0.0477,0.047,0,0.34,0.61,140.899,audio_features,3sFWBe16IkRfSOahBFEBq9,spotify:track:3sFWBe16IkRfSOahBFEBq9,https://api.spotify.com/v1/tracks/3sFWBe16IkRfSOahBFEBq9,https://api.spotify.com/v1/audio-analysis/3sFWBe16IkRfSOahBFEBq9,238587,4
が・ま・ん・す・る・ん・だ,0.565,0.857,7,-11.768,1,0.0317,0.0024,0.62,0.274,0.444,109.191,audio_features,3GRW7XmEs1YgfcF1Du7DWj,spotify:track:3GRW7XmEs1YgfcF1Du7DWj,https://api.spotify.com/v1/tracks/3GRW7XmEs1YgfcF1Du7DWj,https://api.spotify.com/v1/audio-analysis/3GRW7XmEs1YgfcF1Du7DWj,222667,4
バラッドをお前に,0.65,0.549,0,-12.793,1,0.0308,0.0825,0.746,0.114,0.574,113.111,audio_features,73CSEwdHhOedEpwevrxO3L,spotify:track:73CSEwdHhOedEpwevrxO3L,https://api.spotify.com/v1/tracks/73CSEwdHhOedEpwevrxO3L,https://api.spotify.com/v1/audio-analysis/73CSEwdHhOedEpwevrxO3L,245840,4
他に何が,0.309,0.885,9,-2.212,1,0.0543,2.47e-05,2.59e-05,0.0627,0.329,165.641,audio_features,4tr5IjueUcZIXhmB76SLZR,spotify:track:4tr5IjueUcZIXhmB76SLZR,https://api.spotify.com/v1/tracks/4tr5IjueUcZIXhmB76SLZR,https://api.spotify.com/v1/audio-analysis/4tr5IjueUcZIXhmB76SLZR,205337,4
TWO PUNKS,0.584,0.763,2,-11.476,1,0.0723,0.0257,3.61e-06,0.33,0.66,79.357,audio_features,5MvSzIw42V8I8Uk0xTMnj5,spotify:track:5MvSzIw42V8I8Uk0xTMnj5,https://api.spotify.com/v1/tracks/5MvSzIw42V8I8Uk0xTMnj5,https://api.spotify.com/v1/audio-analysis/5MvSzIw42V8I8Uk0xTMnj5,293560,4
崩れ落ちる前に,0.428,0.779,0,-11.283,1,0.0368,0.000274,4.97e-05,0.032,0.883,138.526,audio_features,3gYV1w4NuNnTjTZU07Q3jq,spotify:track:3gYV1w4NuNnTjTZU07Q3jq,https://api.spotify.com/v1/tracks/3gYV1w4NuNnTjTZU07Q3jq,https://api.spotify.com/v1/audio-analysis/3gYV1w4NuNnTjTZU07Q3jq,218667,4
