name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Good Boy Gone Bad,0.475,0.695,1,-5.919,1,0.102,0.0159,0,0.125,0.552,100.009,audio_features,1HsSIPLTQT354yJcQGfEY3,spotify:track:1HsSIPLTQT354yJcQGfEY3,https://api.spotify.com/v1/tracks/1HsSIPLTQT354yJcQGfEY3,https://api.spotify.com/v1/audio-analysis/1HsSIPLTQT354yJcQGfEY3,191038,4
ひとりの夜 (Hitori no Yoru),0.483,0.483,3,-5.772,1,0.0328,0.289,0,0.368,0.36,149.868,audio_features,6ms6ZqngVJxqfQiyXLrC3E,spotify:track:6ms6ZqngVJxqfQiyXLrC3E,https://api.spotify.com/v1/tracks/6ms6ZqngVJxqfQiyXLrC3E,https://api.spotify.com/v1/audio-analysis/6ms6ZqngVJxqfQiyXLrC3E,218867,4
CROWN,0.623,0.8,5,-5.819,1,0.0424,0.0497,0,0.0619,0.58,110.979,audio_features,0EmYZZ8OqeALedVhijSjsg,spotify:track:0EmYZZ8OqeALedVhijSjsg,https://api.spotify.com/v1/tracks/0EmYZZ8OqeALedVhijSjsg,https://api.spotify.com/v1/audio-analysis/0EmYZZ8OqeALedVhijSjsg,230707,4
Blue Hour,0.71,0.82,3,-4.362,0,0.0836,0.00962,0,0.0871,0.746,112.005,audio_features,3ObPkJQAgjAhTwYvDhPrAW,spotify:track:3ObPkJQAgjAhTwYvDhPrAW,https://api.spotify.com/v1/tracks/3ObPkJQAgjAhTwYvDhPrAW,https://api.spotify.com/v1/audio-analysis/3ObPkJQAgjAhTwYvDhPrAW,209105,4
Free Falling,0.622,0.683,0,-5.238,0,0.0517,0.0484,0,0.123,0.261,92.018,audio_features,1t2fPE8rClkb0ZACu26ebN,spotify:track:1t2fPE8rClkb0ZACu26ebN,https://api.spotify.com/v1/tracks/1t2fPE8rClkb0ZACu26ebN,https://api.spotify.com/v1/audio-analysis/1t2fPE8rClkb0ZACu26ebN,217207,4
Opening Sequence,0.609,0.64,3,-5.61,0,0.0539,0.167,0,0.0959,0.442,145.199,audio_features,1exxGxUMlJWD1h9YcE9YZH,spotify:track:1exxGxUMlJWD1h9YcE9YZH,https://api.spotify.com/v1/tracks/1exxGxUMlJWD1h9YcE9YZH,https://api.spotify.com/v1/audio-analysis/1exxGxUMlJWD1h9YcE9YZH,177976,4
LO$ER=LO♡ER,0.644,0.867,11,-4.18,0,0.0383,0.001,0,0.105,0.687,124.997,audio_features,21aOLk12MksET8AsbU0SI6,spotify:track:21aOLk12MksET8AsbU0SI6,https://api.spotify.com/v1/tracks/21aOLk12MksET8AsbU0SI6,https://api.spotify.com/v1/audio-analysis/21aOLk12MksET8AsbU0SI6,199919,4
0X1=LOVESONG (I Know I Love You) feat. Seori,0.584,0.836,0,-4.925,1,0.079,0.0558,0,0.0663,0.484,104.973,audio_features,1Z8TPHiKeCUyClxV6WTTIf,spotify:track:1Z8TPHiKeCUyClxV6WTTIf,https://api.spotify.com/v1/tracks/1Z8TPHiKeCUyClxV6WTTIf,https://api.spotify.com/v1/audio-analysis/1Z8TPHiKeCUyClxV6WTTIf,202204,4
Eternally,0.382,0.85,6,-4.735,1,0.423,0.0255,0,0.0912,0.414,185.924,audio_features,0RRd7AcCl0HR5gzzRuCMXs,spotify:track:0RRd7AcCl0HR5gzzRuCMXs,https://api.spotify.com/v1/tracks/0RRd7AcCl0HR5gzzRuCMXs,https://api.spotify.com/v1/audio-analysis/0RRd7AcCl0HR5gzzRuCMXs,217374,3
Anti-Romantic,0.641,0.489,0,-8.668,0,0.11,0.0509,0,0.071,0.206,142.977,audio_features,44tTqUi3xi7E28QLzHVdUA,spotify:track:44tTqUi3xi7E28QLzHVdUA,https://api.spotify.com/v1/tracks/44tTqUi3xi7E28QLzHVdUA,https://api.spotify.com/v1/audio-analysis/44tTqUi3xi7E28QLzHVdUA,215188,4
