name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
錠剤,0.578,0.928,4,-3.226,0,0.0525,0.0215,0,0.11,0.681,99.968,audio_features,04niDJQ3mzjkwzvid0Otoi,spotify:track:04niDJQ3mzjkwzvid0Otoi,https://api.spotify.com/v1/tracks/04niDJQ3mzjkwzvid0Otoi,https://api.spotify.com/v1/audio-analysis/04niDJQ3mzjkwzvid0Otoi,204800,4
心臓,0.496,0.91,6,-3.681,1,0.05,0.00446,0,0.33,0.839,179.973,audio_features,2Ckd8hGYJ9T05qJGWddhAN,spotify:track:2Ckd8hGYJ9T05qJGWddhAN,https://api.spotify.com/v1/tracks/2Ckd8hGYJ9T05qJGWddhAN,https://api.spotify.com/v1/audio-analysis/2Ckd8hGYJ9T05qJGWddhAN,225746,4
錠剤,0.578,0.928,4,-3.226,0,0.0525,0.0215,0,0.11,0.681,99.968,audio_features,5fV8Y4WAzNcD6WhaDBOHRP,spotify:track:5fV8Y4WAzNcD6WhaDBOHRP,https://api.spotify.com/v1/tracks/5fV8Y4WAzNcD6WhaDBOHRP,https://api.spotify.com/v1/audio-analysis/5fV8Y4WAzNcD6WhaDBOHRP,204800,4
敗北,0.54,0.975,5,-3.601,0,0.148,0.0471,2.9e-06,0.353,0.929,175.056,audio_features,46XVus2AVSB68hzs74Vrzo,spotify:track:46XVus2AVSB68hzs74Vrzo,https://api.spotify.com/v1/tracks/46XVus2AVSB68hzs74Vrzo,https://api.spotify.com/v1/audio-analysis/46XVus2AVSB68hzs74Vrzo,156160,4
まるで亡霊,0.598,0.929,6,-4.188,1,0.0589,0.0399,0,0.0457,0.972,159.979,audio_features,1bM6d4I1ljftWkDFHdGYVV,spotify:track:1bM6d4I1ljftWkDFHdGYVV,https://api.spotify.com/v1/tracks/1bM6d4I1ljftWkDFHdGYVV,https://api.spotify.com/v1/audio-analysis/1bM6d4I1ljftWkDFHdGYVV,184333,4
朝焼け,0.577,0.848,6,-3.894,0,0.0655,0.0019,0,0.081,0.86,137.039,audio_features,4bkIQB7fe54ucoahyL8NFP,spotify:track:4bkIQB7fe54ucoahyL8NFP,https://api.spotify.com/v1/tracks/4bkIQB7fe54ucoahyL8NFP,https://api.spotify.com/v1/audio-analysis/4bkIQB7fe54ucoahyL8NFP,161722,4
ivory,0.629,0.962,11,-3.361,0,0.0496,0.0213,0,0.0389,0.954,125.014,audio_features,566gHnAOFGLzHZRIctmODd,spotify:track:566gHnAOFGLzHZRIctmODd,https://api.spotify.com/v1/tracks/566gHnAOFGLzHZRIctmODd,https://api.spotify.com/v1/audio-analysis/566gHnAOFGLzHZRIctmODd,210787,4
ヤング,0.605,0.785,1,-5.677,0,0.11,0.0195,5.61e-06,0.129,0.51,180.028,audio_features,24s5yaU4TTt2xhHBNQnfir,spotify:track:24s5yaU4TTt2xhHBNQnfir,https://api.spotify.com/v1/tracks/24s5yaU4TTt2xhHBNQnfir,https://api.spotify.com/v1/audio-analysis/24s5yaU4TTt2xhHBNQnfir,232773,4
ivory,0.63,0.965,11,-3.349,0,0.0502,0.0186,0,0.04,0.96,125.01,audio_features,45naztJbUcg5hSLFNJDpyf,spotify:track:45naztJbUcg5hSLFNJDpyf,https://api.spotify.com/v1/tracks/45naztJbUcg5hSLFNJDpyf,https://api.spotify.com/v1/audio-analysis/45naztJbUcg5hSLFNJDpyf,211627,4
ゆりかご,0.716,0.632,6,-6.187,0,0.0771,0.0137,2.92e-05,0.0667,0.895,83.982,audio_features,1aCm1LotnssR3qUN5aVBlR,spotify:track:1aCm1LotnssR3qUN5aVBlR,https://api.spotify.com/v1/tracks/1aCm1LotnssR3qUN5aVBlR,https://api.spotify.com/v1/audio-analysis/1aCm1LotnssR3qUN5aVBlR,213516,4
