name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Talk that Talk,0.772,0.907,3,-2.438,0,0.124,0.136,0,0.334,0.783,119.973,audio_features,0RDqNCRBGrSegk16Avfzuq,spotify:track:0RDqNCRBGrSegk16Avfzuq,https://api.spotify.com/v1/tracks/0RDqNCRBGrSegk16Avfzuq,https://api.spotify.com/v1/audio-analysis/0RDqNCRBGrSegk16Avfzuq,177467,4
Likey,0.723,0.903,4,-1.262,0,0.033,0.413,0.000377,0.118,0.443,132.006,audio_features,0IEVKWduAaMcZepZQVr80T,spotify:track:0IEVKWduAaMcZepZQVr80T,https://api.spotify.com/v1/tracks/0IEVKWduAaMcZepZQVr80T,https://api.spotify.com/v1/audio-analysis/0IEVKWduAaMcZepZQVr80T,207813,4
The Feels,0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,audio_features,308Ir17KlNdlrbVLHWhlLe,spotify:track:308Ir17KlNdlrbVLHWhlLe,https://api.spotify.com/v1/tracks/308Ir17KlNdlrbVLHWhlLe,https://api.spotify.com/v1/audio-analysis/308Ir17KlNdlrbVLHWhlLe,198053,4
Doughnut,0.693,0.586,5,-6.098,0,0.0315,0.233,0,0.145,0.459,82.039,audio_features,6YBcbXDYIITuyCEN2YwGRy,spotify:track:6YBcbXDYIITuyCEN2YwGRy,https://api.spotify.com/v1/tracks/6YBcbXDYIITuyCEN2YwGRy,https://api.spotify.com/v1/audio-analysis/6YBcbXDYIITuyCEN2YwGRy,263680,4
Basics,0.778,0.8,2,-3.529,1,0.227,0.254,0,0.139,0.585,137.997,audio_features,63mL1DdcSFfxVJ9XGnSRQz,spotify:track:63mL1DdcSFfxVJ9XGnSRQz,https://api.spotify.com/v1/tracks/63mL1DdcSFfxVJ9XGnSRQz,https://api.spotify.com/v1/audio-analysis/63mL1DdcSFfxVJ9XGnSRQz,176973,4
FANCY,0.697,0.874,5,-2.15,0,0.0449,0.0122,0,0.627,0.775,132.018,audio_features,2qQpFbqqkLOGySgNK8wBXt,spotify:track:2qQpFbqqkLOGySgNK8wBXt,https://api.spotify.com/v1/tracks/2qQpFbqqkLOGySgNK8wBXt,https://api.spotify.com/v1/audio-analysis/2qQpFbqqkLOGySgNK8wBXt,213880,4
The Feels,0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,audio_features,1utDFK1ARQcuZSwapf3cfb,spotify:track:1utDFK1ARQcuZSwapf3cfb,https://api.spotify.com/v1/tracks/1utDFK1ARQcuZSwapf3cfb,https://api.spotify.com/v1/audio-analysis/1utDFK1ARQcuZSwapf3cfb,198053,4
Brave,0.639,0.884,7,-2.086,1,0.0483,0.0778,0,0.178,0.663,131.963,audio_features,2peoFPokM6eYAIwLm9IQ8E,spotify:track:2peoFPokM6eYAIwLm9IQ8E,https://api.spotify.com/v1/tracks/2peoFPokM6eYAIwLm9IQ8E,https://api.spotify.com/v1/audio-analysis/2peoFPokM6eYAIwLm9IQ8E,189200,4
I CAN'T STOP ME,0.657,0.88,10,-3.672,0,0.102,0.121,0,0.463,0.769,150.084,audio_features,37ZtpRBkHcaq6hHy0X98zn,spotify:track:37ZtpRBkHcaq6hHy0X98zn,https://api.spotify.com/v1/tracks/37ZtpRBkHcaq6hHy0X98zn,https://api.spotify.com/v1/audio-analysis/37ZtpRBkHcaq6hHy0X98zn,205493,4
What is Love,0.574,0.909,8,-1.573,1,0.0658,0.0987,0,0.264,0.569,169.966,audio_features,3zhbXKFjUDw40pTYyCgt1Y,spotify:track:3zhbXKFjUDw40pTYyCgt1Y,https://api.spotify.com/v1/tracks/3zhbXKFjUDw40pTYyCgt1Y,https://api.spotify.com/v1/audio-analysis/3zhbXKFjUDw40pTYyCgt1Y,208240,4
Celebrate,0.776,0.89,7,-2.678,1,0.0573,0.0628,0,0.0634,0.864,111.998,audio_features,5ZwlnR8yGofZ0669mEh8Xm,spotify:track:5ZwlnR8yGofZ0669mEh8Xm,https://api.spotify.com/v1/tracks/5ZwlnR8yGofZ0669mEh8Xm,https://api.spotify.com/v1/audio-analysis/5ZwlnR8yGofZ0669mEh8Xm,188433,4
