name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
CLASSIC,0.725,0.892,9,-4.726,1,0.189,0.00317,0,0.0542,0.725,102.997,audio_features,7vsg7A4cuEIlCIkurbSTwP,spotify:track:7vsg7A4cuEIlCIkurbSTwP,https://api.spotify.com/v1/tracks/7vsg7A4cuEIlCIkurbSTwP,https://api.spotify.com/v1/audio-analysis/7vsg7A4cuEIlCIkurbSTwP,190105,4
RAPATTACK,0.664,0.889,6,-3.313,1,0.383,0.0111,0,0.0823,0.961,190.192,audio_features,6UrUx3vrWbs30cD27xdoPP,spotify:track:6UrUx3vrWbs30cD27xdoPP,https://api.spotify.com/v1/tracks/6UrUx3vrWbs30cD27xdoPP,https://api.spotify.com/v1/audio-analysis/6UrUx3vrWbs30cD27xdoPP,171158,4
SHEEPLE,0.644,0.489,10,-8.488,0,0.356,0.471,0.000284,0.185,0.36,87.558,audio_features,69ECrI9iE6goEEzkB60OAY,spotify:track:69ECrI9iE6goEEzkB60OAY,https://api.spotify.com/v1/tracks/69ECrI9iE6goEEzkB60OAY,https://api.spotify.com/v1/audio-analysis/69ECrI9iE6goEEzkB60OAY,263182,4
CIRCUS,0.681,0.865,7,-3.74,1,0.284,0.000995,0,0.0812,0.679,83.888,audio_features,42de0J0Qp2MP0dhPxM1bJY,spotify:track:42de0J0Qp2MP0dhPxM1bJY,https://api.spotify.com/v1/tracks/42de0J0Qp2MP0dhPxM1bJY,https://api.spotify.com/v1/audio-analysis/42de0J0Qp2MP0dhPxM1bJY,165850,4
QUIET STORM,0.701,0.6,1,-13.056,1,0.0514,0.0333,0.595,0.133,0.467,98.901,audio_features,48aRwMDNqomCmGZb1eWwCO,spotify:track:48aRwMDNqomCmGZb1eWwCO,https://api.spotify.com/v1/tracks/48aRwMDNqomCmGZb1eWwCO,https://api.spotify.com/v1/audio-analysis/48aRwMDNqomCmGZb1eWwCO,266373,4
WOKE AF,0.516,0.782,10,-3.828,0,0.325,0.0111,5.97e-06,0.0828,0.903,172.772,audio_features,0qH7AOsiS5spArBAMAxmkL,spotify:track:0qH7AOsiS5spArBAMAxmkL,https://api.spotify.com/v1/tracks/0qH7AOsiS5spArBAMAxmkL,https://api.spotify.com/v1/audio-analysis/0qH7AOsiS5spArBAMAxmkL,190755,4
AN-CHO-VY HYAKKIYAKO,0.723,0.713,7,-6.986,0,0.323,0.415,0,0.243,0.544,89.935,audio_features,5S2AlUnWsUJ6oLD24QXGcE,spotify:track:5S2AlUnWsUJ6oLD24QXGcE,https://api.spotify.com/v1/tracks/5S2AlUnWsUJ6oLD24QXGcE,https://api.spotify.com/v1/audio-analysis/5S2AlUnWsUJ6oLD24QXGcE,281027,4
SAKARIBAR,0.515,0.956,0,-3.448,1,0.386,0.0163,0,0.091,0.681,185.519,audio_features,54WC8eoBAAWZVZulXjoNJm,spotify:track:54WC8eoBAAWZVZulXjoNJm,https://api.spotify.com/v1/tracks/54WC8eoBAAWZVZulXjoNJm,https://api.spotify.com/v1/audio-analysis/54WC8eoBAAWZVZulXjoNJm,127752,4
AMAYADORI,0.807,0.663,1,-3.288,1,0.0596,0.0756,0.00989,0.376,0.121,111.991,audio_features,57OMfUiI39FUmCDckRR7LX,spotify:track:57OMfUiI39FUmCDckRR7LX,https://api.spotify.com/v1/tracks/57OMfUiI39FUmCDckRR7LX,https://api.spotify.com/v1/audio-analysis/57OMfUiI39FUmCDckRR7LX,345268,4
GUN SHOT,0.485,0.83,7,-3.807,1,0.0657,1.99e-05,0.324,0.0396,0.351,187.845,audio_features,7zpG50CLRri9ZR20LKnmoT,spotify:track:7zpG50CLRri9ZR20LKnmoT,https://api.spotify.com/v1/tracks/7zpG50CLRri9ZR20LKnmoT,https://api.spotify.com/v1/audio-analysis/7zpG50CLRri9ZR20LKnmoT,186188,4
