name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Theme for Scanty & Knee Socks,0.664,0.815,7,-4.994,0,0.345,0.0111,2.85e-06,0.095,0.405,128.037,audio_features,6Za2rCpQhZrRXldgz1MFAk,spotify:track:6Za2rCpQhZrRXldgz1MFAk,https://api.spotify.com/v1/tracks/6Za2rCpQhZrRXldgz1MFAk,https://api.spotify.com/v1/audio-analysis/6Za2rCpQhZrRXldgz1MFAk,254053,4
Fly Away,0.735,0.803,6,-3.95,0,0.37,0.0171,0.000378,0.162,0.737,131.962,audio_features,7olMFQZhjN2EHf7ra2PjE7,spotify:track:7olMFQZhjN2EHf7ra2PjE7,https://api.spotify.com/v1/tracks/7olMFQZhjN2EHf7ra2PjE7,https://api.spotify.com/v1/audio-analysis/7olMFQZhjN2EHf7ra2PjE7,263827,4
デスぺレート,0.647,0.9,8,-1.823,1,0.102,0.0864,0,0.0882,0.767,126.066,audio_features,2HkSkpTUMolgOJldoaWFII,spotify:track:2HkSkpTUMolgOJldoaWFII,https://api.spotify.com/v1/tracks/2HkSkpTUMolgOJldoaWFII,https://api.spotify.com/v1/audio-analysis/2HkSkpTUMolgOJldoaWFII,173333,4
D City Rock feat. Debra Zeer,0.624,0.757,10,-4.539,1,0.0576,0.114,0.00148,0.493,0.618,134.968,audio_features,30kpqo2lUMRZcn9CwRXNPR,spotify:track:30kpqo2lUMRZcn9CwRXNPR,https://api.spotify.com/v1/tracks/30kpqo2lUMRZcn9CwRXNPR,https://api.spotify.com/v1/audio-analysis/30kpqo2lUMRZcn9CwRXNPR,272401,4
Corset Theme,0.593,0.652,0,-4.827,1,0.288,0.000182,0.0255,0.0777,0.396,127.951,audio_features,0ZrciLq4QAVgLsNGTQ0aGX,spotify:track:0ZrciLq4QAVgLsNGTQ0aGX,https://api.spotify.com/v1/tracks/0ZrciLq4QAVgLsNGTQ0aGX,https://api.spotify.com/v1/audio-analysis/0ZrciLq4QAVgLsNGTQ0aGX,274801,4
Cherryboy Riot,0.696,0.906,5,-5.305,0,0.507,0.0481,8.54e-06,0.0684,0.402,130.08,audio_features,66c7ebI267RxOKDyNXVyAK,spotify:track:66c7ebI267RxOKDyNXVyAK,https://api.spotify.com/v1/tracks/66c7ebI267RxOKDyNXVyAK,https://api.spotify.com/v1/audio-analysis/66c7ebI267RxOKDyNXVyAK,273130,4
ダイスキ feat. DAOKO (Live Mix),0.428,0.986,9,0.903,0,0.191,0.101,3.81e-05,0.365,0.452,125.629,audio_features,7gRq0vdOVqcVL1zKR2F6u6,spotify:track:7gRq0vdOVqcVL1zKR2F6u6,https://api.spotify.com/v1/tracks/7gRq0vdOVqcVL1zKR2F6u6,https://api.spotify.com/v1/audio-analysis/7gRq0vdOVqcVL1zKR2F6u6,510546,4
Pipo Password,0.406,0.949,4,-1.17,1,0.111,0.288,0,0.0536,0.442,180.089,audio_features,4MxL1VijbxrUGBu39TgzMY,spotify:track:4MxL1VijbxrUGBu39TgzMY,https://api.spotify.com/v1/tracks/4MxL1VijbxrUGBu39TgzMY,https://api.spotify.com/v1/audio-analysis/4MxL1VijbxrUGBu39TgzMY,265000,4
Dancefloor Orgy,0.702,0.932,7,-4.326,1,0.247,0.00336,0.777,0.126,0.447,129.811,audio_features,6RCzkUigEOOsjTqt5Okm8l,spotify:track:6RCzkUigEOOsjTqt5Okm8l,https://api.spotify.com/v1/tracks/6RCzkUigEOOsjTqt5Okm8l,https://api.spotify.com/v1/audio-analysis/6RCzkUigEOOsjTqt5Okm8l,213973,4
Fly Away (Taku & TeddyLoid For the Club Edit),0.676,0.822,6,-5.09,0,0.207,0.00171,0.232,0.24,0.801,132.004,audio_features,4jqISXcx98XAGQ5qmcgeoD,spotify:track:4jqISXcx98XAGQ5qmcgeoD,https://api.spotify.com/v1/tracks/4jqISXcx98XAGQ5qmcgeoD,https://api.spotify.com/v1/audio-analysis/4jqISXcx98XAGQ5qmcgeoD,314522,4
