name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Muddy Xan,0.845,0.533,1,-9.233,0,0.0374,0.262,0.0197,0.0991,0.635,129.957,audio_features,6tHwbfQsb6UR86VZT6J9vh,spotify:track:6tHwbfQsb6UR86VZT6J9vh,https://api.spotify.com/v1/tracks/6tHwbfQsb6UR86VZT6J9vh,https://api.spotify.com/v1/audio-analysis/6tHwbfQsb6UR86VZT6J9vh,192000,4
Lash Unterwegs,0.908,0.733,1,-8.536,0,0.21,0.245,0.00296,0.092,0.152,134.005,audio_features,6XW3QxSy3oJHbNKZ5ofE9p,spotify:track:6XW3QxSy3oJHbNKZ5ofE9p,https://api.spotify.com/v1/tracks/6XW3QxSy3oJHbNKZ5ofE9p,https://api.spotify.com/v1/audio-analysis/6XW3QxSy3oJHbNKZ5ofE9p,143498,4
Lauf weg,0.517,0.649,5,-7.631,0,0.05,0.0443,9.22e-06,0.113,0.211,147.845,audio_features,1JlXBvayg2LQUAFJl357QL,spotify:track:1JlXBvayg2LQUAFJl357QL,https://api.spotify.com/v1/tracks/1JlXBvayg2LQUAFJl357QL,https://api.spotify.com/v1/audio-analysis/1JlXBvayg2LQUAFJl357QL,197836,3
Kein Lean,0.842,0.547,1,-8.337,1,0.305,0.0494,2.11e-05,0.0573,0.749,172.058,audio_features,4c5w48C3VQx7kgRtlYqkQS,spotify:track:4c5w48C3VQx7kgRtlYqkQS,https://api.spotify.com/v1/tracks/4c5w48C3VQx7kgRtlYqkQS,https://api.spotify.com/v1/audio-analysis/4c5w48C3VQx7kgRtlYqkQS,167442,4
-saving-,0.49,0.286,6,-18.107,0,0.0397,0.748,0.888,0.119,0.0743,149.727,audio_features,13YIV3CuNU9N9m82wQ6MDN,spotify:track:13YIV3CuNU9N9m82wQ6MDN,https://api.spotify.com/v1/tracks/13YIV3CuNU9N9m82wQ6MDN,https://api.spotify.com/v1/audio-analysis/13YIV3CuNU9N9m82wQ6MDN,64000,4
Lash unterwegs,0.908,0.733,1,-8.536,0,0.21,0.245,0.00296,0.092,0.152,134.005,audio_features,6BfRS0UwPJIqvndxaGjhSf,spotify:track:6BfRS0UwPJIqvndxaGjhSf,https://api.spotify.com/v1/tracks/6BfRS0UwPJIqvndxaGjhSf,https://api.spotify.com/v1/audio-analysis/6BfRS0UwPJIqvndxaGjhSf,143498,4
Mollies im Herz,0.69,0.567,4,-7.678,1,0.107,0.137,0.00339,0.14,0.193,160.019,audio_features,6vS7CS7IJGKzN2XzaKppM0,spotify:track:6vS7CS7IJGKzN2XzaKppM0,https://api.spotify.com/v1/tracks/6vS7CS7IJGKzN2XzaKppM0,https://api.spotify.com/v1/audio-analysis/6vS7CS7IJGKzN2XzaKppM0,183027,4
Vorgebaute Joints,0.763,0.398,7,-12.527,0,0.148,0.38,0.000227,0.148,0.364,94.033,audio_features,7fcRoymwYenBx9KDDakJ6C,spotify:track:7fcRoymwYenBx9KDDakJ6C,https://api.spotify.com/v1/tracks/7fcRoymwYenBx9KDDakJ6C,https://api.spotify.com/v1/audio-analysis/7fcRoymwYenBx9KDDakJ6C,144429,4
dipper,0.605,0.525,10,-10.257,1,0.119,0.746,0.895,0.106,0.243,150.009,audio_features,3CCjt6MvF3f6Ttn1ZhMDl4,spotify:track:3CCjt6MvF3f6Ttn1ZhMDl4,https://api.spotify.com/v1/tracks/3CCjt6MvF3f6Ttn1ZhMDl4,https://api.spotify.com/v1/audio-analysis/3CCjt6MvF3f6Ttn1ZhMDl4,187200,4
Tips und Papes,0.839,0.745,6,-7.577,0,0.29,0.641,0.00292,0.108,0.45,132.065,audio_features,4AKwkbIFncr1FunUcGFQwG,spotify:track:4AKwkbIFncr1FunUcGFQwG,https://api.spotify.com/v1/tracks/4AKwkbIFncr1FunUcGFQwG,https://api.spotify.com/v1/audio-analysis/4AKwkbIFncr1FunUcGFQwG,160240,4
