name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
カオスが極まる,0.435,0.963,2,-3.581,1,0.233,0.00641,0,0.315,0.251,97.545,audio_features,0lPfqcI3A8gQ9971nXxgq6,spotify:track:0lPfqcI3A8gQ9971nXxgq6,https://api.spotify.com/v1/tracks/0lPfqcI3A8gQ9971nXxgq6,https://api.spotify.com/v1/audio-analysis/0lPfqcI3A8gQ9971nXxgq6,230587,4
シュガーソングとビターステップ,0.621,0.9,11,-3.302,1,0.0605,0.00397,0,0.0787,0.817,131.971,audio_features,6bfjEGSR7DyC8MK8cp3ZCp,spotify:track:6bfjEGSR7DyC8MK8cp3ZCp,https://api.spotify.com/v1/tracks/6bfjEGSR7DyC8MK8cp3ZCp,https://api.spotify.com/v1/audio-analysis/6bfjEGSR7DyC8MK8cp3ZCp,253227,4
シュガーソングとビターステップ,0.626,0.89,6,-3.285,1,0.0536,0.00369,0,0.0839,0.849,131.997,audio_features,6uR92injo4PDzSrOPRFfHt,spotify:track:6uR92injo4PDzSrOPRFfHt,https://api.spotify.com/v1/tracks/6uR92injo4PDzSrOPRFfHt,https://api.spotify.com/v1/audio-analysis/6uR92injo4PDzSrOPRFfHt,253227,4
fake town baby,0.338,0.964,11,-2.085,1,0.207,0.000597,1.2e-06,0.0594,0.524,194.373,audio_features,1IpZhymBAfwgtL5uvmedEW,spotify:track:1IpZhymBAfwgtL5uvmedEW,https://api.spotify.com/v1/tracks/1IpZhymBAfwgtL5uvmedEW,https://api.spotify.com/v1/audio-analysis/1IpZhymBAfwgtL5uvmedEW,263560,4
Phantom Joke,0.506,0.969,10,-3.727,1,0.123,0.000484,0,0.268,0.754,100.039,audio_features,4kFY1RxOo6Wd8hgVL3t6Rb,spotify:track:4kFY1RxOo6Wd8hgVL3t6Rb,https://api.spotify.com/v1/tracks/4kFY1RxOo6Wd8hgVL3t6Rb,https://api.spotify.com/v1/audio-analysis/4kFY1RxOo6Wd8hgVL3t6Rb,244440,4
fake town baby,0.342,0.964,11,-2.062,1,0.187,0.000539,1.12e-06,0.0517,0.518,194.327,audio_features,69U2Iv4hyQi3cGCEJ8LM0H,spotify:track:69U2Iv4hyQi3cGCEJ8LM0H,https://api.spotify.com/v1/tracks/69U2Iv4hyQi3cGCEJ8LM0H,https://api.spotify.com/v1/audio-analysis/69U2Iv4hyQi3cGCEJ8LM0H,263067,4
Phantom Joke,0.492,0.972,10,-3.273,1,0.113,0.000374,0,0.34,0.765,99.961,audio_features,7tmRSzIL7JNYnIXCLTY1zF,spotify:track:7tmRSzIL7JNYnIXCLTY1zF,https://api.spotify.com/v1/tracks/7tmRSzIL7JNYnIXCLTY1zF,https://api.spotify.com/v1/audio-analysis/7tmRSzIL7JNYnIXCLTY1zF,241947,4
オリオンをなぞる,0.347,0.892,1,-2.901,0,0.0958,0.00293,0,0.527,0.61,182.148,audio_features,7blvaphSI7iMSrYmigxHPh,spotify:track:7blvaphSI7iMSrYmigxHPh,https://api.spotify.com/v1/tracks/7blvaphSI7iMSrYmigxHPh,https://api.spotify.com/v1/audio-analysis/7blvaphSI7iMSrYmigxHPh,262240,4
カウンターアイデンティティ,0.491,0.967,3,-1.798,0,0.07,0.0383,0,0.284,0.651,95.073,audio_features,2f68MffIx8TcF9m71EI768,spotify:track:2f68MffIx8TcF9m71EI768,https://api.spotify.com/v1/tracks/2f68MffIx8TcF9m71EI768,https://api.spotify.com/v1/audio-analysis/2f68MffIx8TcF9m71EI768,248880,4
kaleido proud fiesta,0.324,0.958,8,-3.283,1,0.144,0.00208,4.59e-06,0.213,0.608,184.192,audio_features,3Gl8jfnr5qHzVoWCWc9tV3,spotify:track:3Gl8jfnr5qHzVoWCWc9tV3,https://api.spotify.com/v1/tracks/3Gl8jfnr5qHzVoWCWc9tV3,https://api.spotify.com/v1/audio-analysis/3Gl8jfnr5qHzVoWCWc9tV3,222667,4
