name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Faith (feat. Leslie O'Smith),0.786,0.869,0,-5.673,1,0.0375,0.00585,0.00264,0.0872,0.408,123.991,audio_features,53obzOnsAHHBYL5ZKSt6jD,spotify:track:53obzOnsAHHBYL5ZKSt6jD,https://api.spotify.com/v1/tracks/53obzOnsAHHBYL5ZKSt6jD,https://api.spotify.com/v1/audio-analysis/53obzOnsAHHBYL5ZKSt6jD,210030,4
(I Know) I'm Losing You,0.779,0.712,7,-7.246,0,0.0362,0.0359,0.00993,0.12,0.65,120.009,audio_features,7wMnu8iBBZp0mEnucc86io,spotify:track:7wMnu8iBBZp0mEnucc86io,https://api.spotify.com/v1/tracks/7wMnu8iBBZp0mEnucc86io,https://api.spotify.com/v1/audio-analysis/7wMnu8iBBZp0mEnucc86io,236020,4
Been a Long Time (Kiss My Dub Mix),0.813,0.722,8,-7.634,0,0.062,0.00469,0.347,0.087,0.191,121.999,audio_features,74KVaNZ32sWeqi2omMgELL,spotify:track:74KVaNZ32sWeqi2omMgELL,https://api.spotify.com/v1/tracks/74KVaNZ32sWeqi2omMgELL,https://api.spotify.com/v1/audio-analysis/74KVaNZ32sWeqi2omMgELL,374050,4
Can't Live Without You,0.844,0.94,2,-6.59,1,0.125,0.000222,0.72,0.0249,0.729,123.016,audio_features,4SqhbVWrgiQxUsb1Pnbvjm,spotify:track:4SqhbVWrgiQxUsb1Pnbvjm,https://api.spotify.com/v1/tracks/4SqhbVWrgiQxUsb1Pnbvjm,https://api.spotify.com/v1/audio-analysis/4SqhbVWrgiQxUsb1Pnbvjm,355187,4
I'm Free - Main Mix,0.834,0.832,1,-6.176,1,0.0918,0.00367,0.0251,0.0575,0.431,125.994,audio_features,3ZW2pHUEgX65rINbaqzZA7,spotify:track:3ZW2pHUEgX65rINbaqzZA7,https://api.spotify.com/v1/tracks/3ZW2pHUEgX65rINbaqzZA7,https://api.spotify.com/v1/audio-analysis/3ZW2pHUEgX65rINbaqzZA7,488267,4
When Doves Cry [Spen & Thommy Blackfrocan Peak Mix],0.817,0.769,2,-8.668,1,0.0702,0.00169,0.564,0.0749,0.327,127.004,audio_features,1JEjWiATMVzcDMhijKE7PN,spotify:track:1JEjWiATMVzcDMhijKE7PN,https://api.spotify.com/v1/tracks/1JEjWiATMVzcDMhijKE7PN,https://api.spotify.com/v1/audio-analysis/1JEjWiATMVzcDMhijKE7PN,442205,4
Deliver Us (feat. Lt Brown & Jay Sebag),0.767,0.78,0,-7.131,0,0.0568,0.00762,0.0266,0.0662,0.922,122.997,audio_features,1KPIna2ENRJCvvmHl49pXH,spotify:track:1KPIna2ENRJCvvmHl49pXH,https://api.spotify.com/v1/tracks/1KPIna2ENRJCvvmHl49pXH,https://api.spotify.com/v1/audio-analysis/1KPIna2ENRJCvvmHl49pXH,419643,4
Can't Live Without You (Edit),0.751,0.952,7,-5.683,1,0.282,0.00137,0.596,0.388,0.693,122.949,audio_features,100LjXg2uhcm2qlTMrRdFQ,spotify:track:100LjXg2uhcm2qlTMrRdFQ,https://api.spotify.com/v1/tracks/100LjXg2uhcm2qlTMrRdFQ,https://api.spotify.com/v1/audio-analysis/100LjXg2uhcm2qlTMrRdFQ,199438,4
Been a Long Time (David Penn Remix),0.844,0.763,11,-8.294,0,0.0571,0.0232,0.00752,0.0337,0.486,123.005,audio_features,6xgGCTlhmqjEcMWroqeMzy,spotify:track:6xgGCTlhmqjEcMWroqeMzy,https://api.spotify.com/v1/tracks/6xgGCTlhmqjEcMWroqeMzy,https://api.spotify.com/v1/audio-analysis/6xgGCTlhmqjEcMWroqeMzy,377796,4
I Look To You (feat. Francine Ealey Murphy) - [Jihad Muhammad & Shawn Lucas Bang The Drum Remix],0.744,0.674,6,-9.946,0,0.0567,0.000134,0.241,0.0733,0.327,125.0,audio_features,3uTJsC3iN4UmsOjFm7wiEd,spotify:track:3uTJsC3iN4UmsOjFm7wiEd,https://api.spotify.com/v1/tracks/3uTJsC3iN4UmsOjFm7wiEd,https://api.spotify.com/v1/audio-analysis/3uTJsC3iN4UmsOjFm7wiEd,401280,4
