name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
鳴り響く限り,0.493,0.679,1,-4.53,1,0.0857,0.0676,0.000821,0.191,0.527,203.707,audio_features,1AudHfLgLyJoDvqBTZBtSU,spotify:track:1AudHfLgLyJoDvqBTZBtSU,https://api.spotify.com/v1/tracks/1AudHfLgLyJoDvqBTZBtSU,https://api.spotify.com/v1/audio-analysis/1AudHfLgLyJoDvqBTZBtSU,233267,4
坂道のメロディ,0.352,0.791,5,-6.367,1,0.0823,0.203,0.877,0.192,0.375,175.958,audio_features,65XW0J9tP56gJrPLdXgJpv,spotify:track:65XW0J9tP56gJrPLdXgJpv,https://api.spotify.com/v1/tracks/65XW0J9tP56gJrPLdXgJpv,https://api.spotify.com/v1/audio-analysis/65XW0J9tP56gJrPLdXgJpv,284267,4
ドラマチック,0.294,0.902,7,-2.722,1,0.0985,0.00399,5.87e-05,0.135,0.55,163.964,audio_features,7yFEqufdHrJnsDOhuzN175,spotify:track:7yFEqufdHrJnsDOhuzN175,https://api.spotify.com/v1/tracks/7yFEqufdHrJnsDOhuzN175,https://api.spotify.com/v1/audio-analysis/7yFEqufdHrJnsDOhuzN175,262933,4
My Vision,0.439,0.843,1,-1.917,1,0.0494,0.00954,0.526,0.107,0.597,189.961,audio_features,7y7RZol3cLs85hO9GtCo9P,spotify:track:7y7RZol3cLs85hO9GtCo9P,https://api.spotify.com/v1/tracks/7y7RZol3cLs85hO9GtCo9P,https://api.spotify.com/v1/audio-analysis/7y7RZol3cLs85hO9GtCo9P,236933,4
ふがいないや,0.468,0.806,9,-3.397,1,0.0429,0.00561,0.0175,0.0771,0.508,159.793,audio_features,0vT7G7KKdqYxA5s2PvDX7D,spotify:track:0vT7G7KKdqYxA5s2PvDX7D,https://api.spotify.com/v1/tracks/0vT7G7KKdqYxA5s2PvDX7D,https://api.spotify.com/v1/audio-analysis/0vT7G7KKdqYxA5s2PvDX7D,235533,4
星屑サンセット,0.52,0.993,5,-4.477,1,0.0664,0.000258,0.0123,0.0795,0.722,149.983,audio_features,3l0HBP2WjWdudIcTGBON0d,spotify:track:3l0HBP2WjWdudIcTGBON0d,https://api.spotify.com/v1/tracks/3l0HBP2WjWdudIcTGBON0d,https://api.spotify.com/v1/audio-analysis/3l0HBP2WjWdudIcTGBON0d,310573,4
JOY,0.698,0.968,6,-3.871,1,0.0331,0.00941,0.0203,0.091,0.815,121.039,audio_features,77dtJsvOBFEcWqjSToGHGR,spotify:track:77dtJsvOBFEcWqjSToGHGR,https://api.spotify.com/v1/tracks/77dtJsvOBFEcWqjSToGHGR,https://api.spotify.com/v1/audio-analysis/77dtJsvOBFEcWqjSToGHGR,263133,4
プリズム,0.54,0.551,6,-5.538,1,0.0281,0.0217,2.82e-05,0.0879,0.302,129.662,audio_features,0Z4ZJwnGeJ25cnhGAj0Y2r,spotify:track:0Z4ZJwnGeJ25cnhGAj0Y2r,https://api.spotify.com/v1/tracks/0Z4ZJwnGeJ25cnhGAj0Y2r,https://api.spotify.com/v1/audio-analysis/0Z4ZJwnGeJ25cnhGAj0Y2r,234240,4
Before dawn,0.571,0.168,2,-20.379,1,0.0498,0.881,0.194,0.324,0.26,141.937,audio_features,7rT2j3XOgC6feG4U1xMHV1,spotify:track:7rT2j3XOgC6feG4U1xMHV1,https://api.spotify.com/v1/tracks/7rT2j3XOgC6feG4U1xMHV1,https://api.spotify.com/v1/audio-analysis/7rT2j3XOgC6feG4U1xMHV1,222494,4
Home Sweet Home,0.488,0.406,4,-5.566,1,0.0257,0.605,1.53e-05,0.331,0.159,79.104,audio_features,2zztmgJ7pRNK3DomBJT9Hb,spotify:track:2zztmgJ7pRNK3DomBJT9Hb,https://api.spotify.com/v1/tracks/2zztmgJ7pRNK3DomBJT9Hb,https://api.spotify.com/v1/audio-analysis/2zztmgJ7pRNK3DomBJT9Hb,286667,4
フラッグを立てろ,0.538,0.913,8,-3.228,1,0.0556,0.0795,0.00293,0.0954,0.439,132.071,audio_features,1D4deoqHs8nQ4oS08IdXI8,spotify:track:1D4deoqHs8nQ4oS08IdXI8,https://api.spotify.com/v1/tracks/1D4deoqHs8nQ4oS08IdXI8,https://api.spotify.com/v1/audio-analysis/1D4deoqHs8nQ4oS08IdXI8,305120,4
