name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
モノクロ・アトリエ・デカダンス,0.71,0.925,0,-2.06,1,0.0398,0.124,0,0.0752,0.805,123.998,audio_features,0QU6L4uY4sSTgM6lK9nKgK,spotify:track:0QU6L4uY4sSTgM6lK9nKgK,https://api.spotify.com/v1/tracks/0QU6L4uY4sSTgM6lK9nKgK,https://api.spotify.com/v1/audio-analysis/0QU6L4uY4sSTgM6lK9nKgK,254000,4
古代平成ガールズオピニオン,0.399,0.972,11,-2.716,0,0.208,0.000279,0,0.245,0.482,177.93,audio_features,7o2d4pyrxmzkZDwQMU7Brc,spotify:track:7o2d4pyrxmzkZDwQMU7Brc,https://api.spotify.com/v1/tracks/7o2d4pyrxmzkZDwQMU7Brc,https://api.spotify.com/v1/audio-analysis/7o2d4pyrxmzkZDwQMU7Brc,260000,4
シンリオープンワールド,0.511,0.928,9,-3.965,1,0.0751,0.00231,0,0.248,0.4,95.023,audio_features,6MImt73TmezZ2Foiee7yH3,spotify:track:6MImt73TmezZ2Foiee7yH3,https://api.spotify.com/v1/tracks/6MImt73TmezZ2Foiee7yH3,https://api.spotify.com/v1/audio-analysis/6MImt73TmezZ2Foiee7yH3,260750,4
花の蜜、曇り空,0.596,0.846,10,-5.866,1,0.0519,0.0761,0,0.0286,0.755,138.031,audio_features,0IBI0OZLqgu5rjr2f6xjqo,spotify:track:0IBI0OZLqgu5rjr2f6xjqo,https://api.spotify.com/v1/tracks/0IBI0OZLqgu5rjr2f6xjqo,https://api.spotify.com/v1/audio-analysis/0IBI0OZLqgu5rjr2f6xjqo,238261,4
アスクライコミュニティ,0.473,0.953,8,-1.803,0,0.054,0.000474,0,0.325,0.696,94.942,audio_features,6N41FJoLFg6QulSMeQyhP2,spotify:track:6N41FJoLFg6QulSMeQyhP2,https://api.spotify.com/v1/tracks/6N41FJoLFg6QulSMeQyhP2,https://api.spotify.com/v1/audio-analysis/6N41FJoLFg6QulSMeQyhP2,280000,4
太陽は少し眩しすぎるから,0.597,0.968,7,-2.2,1,0.112,0.0498,0,0.311,0.856,105.021,audio_features,2JZLoEO8hsXReOLOSQGGzF,spotify:track:2JZLoEO8hsXReOLOSQGGzF,https://api.spotify.com/v1/tracks/2JZLoEO8hsXReOLOSQGGzF,https://api.spotify.com/v1/audio-analysis/2JZLoEO8hsXReOLOSQGGzF,279250,4
セカイヘイワ,0.657,0.735,0,-7.822,1,0.0334,0.0427,0,0.096,0.826,105.039,audio_features,2mtT5WmduezEXcDPNeEG5f,spotify:track:2mtT5WmduezEXcDPNeEG5f,https://api.spotify.com/v1/tracks/2mtT5WmduezEXcDPNeEG5f,https://api.spotify.com/v1/audio-analysis/2mtT5WmduezEXcDPNeEG5f,269750,4
ハイレゾヴォイド,0.523,0.955,9,-3.594,0,0.0902,0.00354,6.28e-06,0.326,0.8,155.909,audio_features,6qTwSz2vXb4cOvyTYRS5BT,spotify:track:6qTwSz2vXb4cOvyTYRS5BT,https://api.spotify.com/v1/tracks/6qTwSz2vXb4cOvyTYRS5BT,https://api.spotify.com/v1/audio-analysis/6qTwSz2vXb4cOvyTYRS5BT,206154,4
まだあの月と溺れていたい,0.471,0.915,1,-2.867,1,0.0421,0.00019,0,0.339,0.578,144.989,audio_features,3q3QgIqhV24VTGWoned6ar,spotify:track:3q3QgIqhV24VTGWoned6ar,https://api.spotify.com/v1/tracks/3q3QgIqhV24VTGWoned6ar,https://api.spotify.com/v1/audio-analysis/3q3QgIqhV24VTGWoned6ar,274000,4
オーバーフローマイドール,0.516,0.955,11,-4.558,0,0.0911,0.00433,0,0.333,0.814,149.979,audio_features,1aJn2OWUGbvv4XZfaRXXVF,spotify:track:1aJn2OWUGbvv4XZfaRXXVF,https://api.spotify.com/v1/tracks/1aJn2OWUGbvv4XZfaRXXVF,https://api.spotify.com/v1/audio-analysis/1aJn2OWUGbvv4XZfaRXXVF,310500,4
