name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
証,0.481,0.969,0,-3.563,0,0.108,6.52e-05,1.02e-05,0.0845,0.556,131.952,audio_features,1Nm8xR8SIiphGCW1sn11Qr,spotify:track:1Nm8xR8SIiphGCW1sn11Qr,https://api.spotify.com/v1/tracks/1Nm8xR8SIiphGCW1sn11Qr,https://api.spotify.com/v1/audio-analysis/1Nm8xR8SIiphGCW1sn11Qr,206080,4
GLORIA,0.313,0.933,0,-3.925,1,0.0656,0.00243,1.4e-06,0.183,0.473,167.747,audio_features,5v1dxYYKojA34ip1k3gyZm,spotify:track:5v1dxYYKojA34ip1k3gyZm,https://api.spotify.com/v1/tracks/5v1dxYYKojA34ip1k3gyZm,https://api.spotify.com/v1/audio-analysis/5v1dxYYKojA34ip1k3gyZm,256000,4
Pandora,0.717,0.869,2,-6.381,1,0.0497,0.00374,0.832,0.165,0.0371,127.989,audio_features,5ZHIixXrdYSaItqJjf050Z,spotify:track:5ZHIixXrdYSaItqJjf050Z,https://api.spotify.com/v1/tracks/5ZHIixXrdYSaItqJjf050Z,https://api.spotify.com/v1/audio-analysis/5ZHIixXrdYSaItqJjf050Z,311214,4
The Riddle,0.697,0.747,6,-6.769,0,0.0411,0.0716,0.000126,0.173,0.287,120.0,audio_features,5BW5cjSVqpqKyfLUwexEbX,spotify:track:5BW5cjSVqpqKyfLUwexEbX,https://api.spotify.com/v1/tracks/5BW5cjSVqpqKyfLUwexEbX,https://api.spotify.com/v1/audio-analysis/5BW5cjSVqpqKyfLUwexEbX,144000,4
Venom,0.569,0.886,5,-3.949,0,0.0326,0.00194,0.191,0.343,0.0911,129.969,audio_features,36krESMIOtt4P8LY5UFdYR,spotify:track:36krESMIOtt4P8LY5UFdYR,https://api.spotify.com/v1/tracks/36krESMIOtt4P8LY5UFdYR,https://api.spotify.com/v1/audio-analysis/36krESMIOtt4P8LY5UFdYR,324949,4
Cosmic,0.841,0.738,9,-8.553,0,0.074,0.0837,0.643,0.659,0.0429,127.99,audio_features,7KA6aTRiVE5PcKVCzZKQqz,spotify:track:7KA6aTRiVE5PcKVCzZKQqz,https://api.spotify.com/v1/tracks/7KA6aTRiVE5PcKVCzZKQqz,https://api.spotify.com/v1/audio-analysis/7KA6aTRiVE5PcKVCzZKQqz,380094,4
Heartbeat,0.75,0.822,9,-5.132,0,0.172,0.103,2.17e-05,0.0826,0.33,123.001,audio_features,1OmyACPGoFzTf9ExJysnfa,spotify:track:1OmyACPGoFzTf9ExJysnfa,https://api.spotify.com/v1/tracks/1OmyACPGoFzTf9ExJysnfa,https://api.spotify.com/v1/audio-analysis/1OmyACPGoFzTf9ExJysnfa,195605,4
STEP BY STEP (LIVE),0.394,0.972,11,-2.244,1,0.0833,0.0912,0,0.635,0.479,145.106,audio_features,237zxLNyVOxZ50XOPMBn7c,spotify:track:237zxLNyVOxZ50XOPMBn7c,https://api.spotify.com/v1/tracks/237zxLNyVOxZ50XOPMBn7c,https://api.spotify.com/v1/audio-analysis/237zxLNyVOxZ50XOPMBn7c,247747,4
傷痕,0.309,0.983,3,-2.668,1,0.102,9.03e-05,0.005,0.41,0.245,101.95,audio_features,4dpYmCljUf2xf45gxTw7jm,spotify:track:4dpYmCljUf2xf45gxTw7jm,https://api.spotify.com/v1/tracks/4dpYmCljUf2xf45gxTw7jm,https://api.spotify.com/v1/audio-analysis/4dpYmCljUf2xf45gxTw7jm,213813,4
TOKYO CITY NIGHT,0.31,0.922,2,-3.741,1,0.0459,0.0507,0,0.282,0.643,168.419,audio_features,6pgQzEzbHDPJvaUS97GHia,spotify:track:6pgQzEzbHDPJvaUS97GHia,https://api.spotify.com/v1/tracks/6pgQzEzbHDPJvaUS97GHia,https://api.spotify.com/v1/audio-analysis/6pgQzEzbHDPJvaUS97GHia,217533,4
