name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I wanna see you,0.588,0.666,0,-3.787,0,0.0293,0.00546,0,0.0333,0.551,127.63,audio_features,2qwOwSLV44hh0xqjZ2E490,spotify:track:2qwOwSLV44hh0xqjZ2E490,https://api.spotify.com/v1/tracks/2qwOwSLV44hh0xqjZ2E490,https://api.spotify.com/v1/audio-analysis/2qwOwSLV44hh0xqjZ2E490,213093,4
貴方の恋人になりたいのです,0.46,0.658,5,-4.639,1,0.0311,0.0463,0,0.0722,0.614,166.087,audio_features,6sCClcK3Q3RWzBLNSKuD1F,spotify:track:6sCClcK3Q3RWzBLNSKuD1F,https://api.spotify.com/v1/tracks/6sCClcK3Q3RWzBLNSKuD1F,https://api.spotify.com/v1/audio-analysis/6sCClcK3Q3RWzBLNSKuD1F,306613,4
私は貴方がいいのです,0.725,0.454,7,-4.773,1,0.0293,0.789,0,0.148,0.695,139.859,audio_features,29xPUUsUcpZ3rQIFvDakXG,spotify:track:29xPUUsUcpZ3rQIFvDakXG,https://api.spotify.com/v1/tracks/29xPUUsUcpZ3rQIFvDakXG,https://api.spotify.com/v1/audio-analysis/29xPUUsUcpZ3rQIFvDakXG,201640,4
側にいて,0.488,0.384,4,-5.518,0,0.0262,0.534,0,0.355,0.23,146.337,audio_features,3aeJpQHjzHYGwHcDKxB0tc,spotify:track:3aeJpQHjzHYGwHcDKxB0tc,https://api.spotify.com/v1/tracks/3aeJpQHjzHYGwHcDKxB0tc,https://api.spotify.com/v1/audio-analysis/3aeJpQHjzHYGwHcDKxB0tc,326000,4
Believe in yourself - Remaster,0.426,0.917,5,-2.671,1,0.0546,2.73e-05,0,0.0995,0.639,170.86,audio_features,5qerIHJKf0SXQs2Ij4Xve1,spotify:track:5qerIHJKf0SXQs2Ij4Xve1,https://api.spotify.com/v1/tracks/5qerIHJKf0SXQs2Ij4Xve1,https://api.spotify.com/v1/audio-analysis/5qerIHJKf0SXQs2Ij4Xve1,228907,4
いつの日も,0.439,0.432,9,-6.242,1,0.0262,0.0178,0,0.0928,0.359,145.77,audio_features,2wMIZuAreejWERVro8jAzu,spotify:track:2wMIZuAreejWERVro8jAzu,https://api.spotify.com/v1/tracks/2wMIZuAreejWERVro8jAzu,https://api.spotify.com/v1/audio-analysis/2wMIZuAreejWERVro8jAzu,317320,4
ロンリー,0.587,0.599,7,-2.921,1,0.0343,0.0016,0.0114,0.0511,0.639,129.997,audio_features,4s6QMvPFZfnz8ikS93KqtA,spotify:track:4s6QMvPFZfnz8ikS93KqtA,https://api.spotify.com/v1/tracks/4s6QMvPFZfnz8ikS93KqtA,https://api.spotify.com/v1/audio-analysis/4s6QMvPFZfnz8ikS93KqtA,237973,4
貴方の恋人になりたいのです,0.458,0.565,5,-5.11,1,0.0275,0.0584,0,0.112,0.674,165.99,audio_features,0flmTQIOIBWb7D5fEIe7S6,spotify:track:0flmTQIOIBWb7D5fEIe7S6,https://api.spotify.com/v1/tracks/0flmTQIOIBWb7D5fEIe7S6,https://api.spotify.com/v1/audio-analysis/0flmTQIOIBWb7D5fEIe7S6,309987,4
どうしますか、あなたなら,0.537,0.958,4,-2.32,1,0.0499,0.00436,2.31e-05,0.204,0.926,170.081,audio_features,0JQdIIEO02RVjrrPV7JQqK,spotify:track:0JQdIIEO02RVjrrPV7JQqK,https://api.spotify.com/v1/tracks/0JQdIIEO02RVjrrPV7JQqK,https://api.spotify.com/v1/audio-analysis/0JQdIIEO02RVjrrPV7JQqK,260653,4
じゃあ、何故,0.644,0.822,9,-2.492,1,0.0367,0.00951,0,0.13,0.688,115.011,audio_features,7o9Mhwzu9q2p262p3FnYuY,spotify:track:7o9Mhwzu9q2p262p3FnYuY,https://api.spotify.com/v1/tracks/7o9Mhwzu9q2p262p3FnYuY,https://api.spotify.com/v1/audio-analysis/7o9Mhwzu9q2p262p3FnYuY,216720,4
