name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
アイリーン (Irene),0.518,0.491,6,-10.702,1,0.0259,0.314,2.92e-06,0.046,0.62,74.736,audio_features,4y9BCED6simbTyITjWKiVf,spotify:track:4y9BCED6simbTyITjWKiVf,https://api.spotify.com/v1/tracks/4y9BCED6simbTyITjWKiVf,https://api.spotify.com/v1/audio-analysis/4y9BCED6simbTyITjWKiVf,311707,4
ロング・バージョン,0.631,0.469,1,-14.5,0,0.0298,0.384,7.03e-06,0.0951,0.678,118.052,audio_features,4TqTXpGbjE81by3HLgQknI,spotify:track:4TqTXpGbjE81by3HLgQknI,https://api.spotify.com/v1/tracks/4TqTXpGbjE81by3HLgQknI,https://api.spotify.com/v1/audio-analysis/4TqTXpGbjE81by3HLgQknI,319267,4
Double Imagination,0.683,0.729,11,-9.31,1,0.0251,0.144,6.32e-05,0.175,0.705,99.903,audio_features,3ZQT07Yp4Dfo4DRgqc7JSc,spotify:track:3ZQT07Yp4Dfo4DRgqc7JSc,https://api.spotify.com/v1/tracks/3ZQT07Yp4Dfo4DRgqc7JSc,https://api.spotify.com/v1/audio-analysis/3ZQT07Yp4Dfo4DRgqc7JSc,191027,4
Steppin',0.68,0.602,9,-9.17,1,0.0337,0.363,2.89e-05,0.238,0.805,114.299,audio_features,5nx813ubplF6Na74qcUHRb,spotify:track:5nx813ubplF6Na74qcUHRb,https://api.spotify.com/v1/tracks/5nx813ubplF6Na74qcUHRb,https://api.spotify.com/v1/audio-analysis/5nx813ubplF6Na74qcUHRb,299133,4
彼女にドライなマティーニを,0.735,0.576,9,-10.415,0,0.0279,0.0247,1.13e-05,0.142,0.9,126.214,audio_features,4MqUT15d2DzyXUQLXqqcUy,spotify:track:4MqUT15d2DzyXUQLXqqcUy,https://api.spotify.com/v1/tracks/4MqUT15d2DzyXUQLXqqcUy,https://api.spotify.com/v1/audio-analysis/4MqUT15d2DzyXUQLXqqcUy,289827,4
テネシー・ワルツ,0.695,0.619,7,-10.627,1,0.0322,0.331,0,0.0944,0.858,132.72,audio_features,7IiWL4KHFLtMmkod5aGfPz,spotify:track:7IiWL4KHFLtMmkod5aGfPz,https://api.spotify.com/v1/tracks/7IiWL4KHFLtMmkod5aGfPz,https://api.spotify.com/v1/audio-analysis/7IiWL4KHFLtMmkod5aGfPz,256933,4
We Got It!,0.581,0.737,6,-9.108,1,0.0449,0.0363,0.0013,0.113,0.691,137.09,audio_features,52w1qV97RLtm8Ej0E0ojkg,spotify:track:52w1qV97RLtm8Ej0E0ojkg,https://api.spotify.com/v1/tracks/52w1qV97RLtm8Ej0E0ojkg,https://api.spotify.com/v1/audio-analysis/52w1qV97RLtm8Ej0E0ojkg,196733,4
トパーズ色の月,0.561,0.451,0,-12.181,1,0.0308,0.101,0.00665,0.0782,0.228,125.03,audio_features,0PKECek8FUMU75ydu5tr46,spotify:track:0PKECek8FUMU75ydu5tr46,https://api.spotify.com/v1/tracks/0PKECek8FUMU75ydu5tr46,https://api.spotify.com/v1/audio-analysis/0PKECek8FUMU75ydu5tr46,331160,4
CAFE FLAMINGO,0.648,0.569,6,-8.244,0,0.0281,0.0802,0,0.109,0.722,130.705,audio_features,1UhW9M5JpwsnoTFm9lZcGq,spotify:track:1UhW9M5JpwsnoTFm9lZcGq,https://api.spotify.com/v1/tracks/1UhW9M5JpwsnoTFm9lZcGq,https://api.spotify.com/v1/audio-analysis/1UhW9M5JpwsnoTFm9lZcGq,237773,4
CLOSE YOUR EYES,0.646,0.632,8,-10.109,1,0.033,0.0242,0.016,0.0438,0.68,90.114,audio_features,2XWbKcCFGsVFxR23n0AZBO,spotify:track:2XWbKcCFGsVFxR23n0AZBO,https://api.spotify.com/v1/tracks/2XWbKcCFGsVFxR23n0AZBO,https://api.spotify.com/v1/audio-analysis/2XWbKcCFGsVFxR23n0AZBO,337507,4
TIGHT UP,0.739,0.612,6,-10.658,0,0.0345,0.00314,0.183,0.0915,0.929,124.974,audio_features,3f7kPdslL0XLeq1ClC9jpT,spotify:track:3f7kPdslL0XLeq1ClC9jpT,https://api.spotify.com/v1/tracks/3f7kPdslL0XLeq1ClC9jpT,https://api.spotify.com/v1/audio-analysis/3f7kPdslL0XLeq1ClC9jpT,377907,4
SHO-NEN,0.691,0.695,11,-10.625,0,0.0275,0.17,9.87e-06,0.0858,0.867,123.951,audio_features,4qL83G4IJI6vZJqL5oqsnU,spotify:track:4qL83G4IJI6vZJqL5oqsnU,https://api.spotify.com/v1/tracks/4qL83G4IJI6vZJqL5oqsnU,https://api.spotify.com/v1/audio-analysis/4qL83G4IJI6vZJqL5oqsnU,285907,4
裸足のバレリーナ,0.531,0.571,9,-9.83,1,0.0285,0.102,0,0.0599,0.316,113.693,audio_features,2rCl9fxfEuMmKDVwNXSpjE,spotify:track:2rCl9fxfEuMmKDVwNXSpjE,https://api.spotify.com/v1/tracks/2rCl9fxfEuMmKDVwNXSpjE,https://api.spotify.com/v1/audio-analysis/2rCl9fxfEuMmKDVwNXSpjE,301827,4
STILL I LOVE YOU,0.647,0.554,6,-13.004,0,0.0458,0.407,0.000203,0.0796,0.882,153.975,audio_features,3GEb6BtwcjpWSI9k2Q5RyK,spotify:track:3GEb6BtwcjpWSI9k2Q5RyK,https://api.spotify.com/v1/tracks/3GEb6BtwcjpWSI9k2Q5RyK,https://api.spotify.com/v1/audio-analysis/3GEb6BtwcjpWSI9k2Q5RyK,267440,4
