name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
欲望,0.613,0.397,8,-11.302,1,0.0249,0.336,0.0112,0.348,0.305,84.078,audio_features,6ytYG2OkGtTLqa1biw3wBi,spotify:track:6ytYG2OkGtTLqa1biw3wBi,https://api.spotify.com/v1/tracks/6ytYG2OkGtTLqa1biw3wBi,https://api.spotify.com/v1/audio-analysis/6ytYG2OkGtTLqa1biw3wBi,277520,4
ゲームセット,0.583,0.966,9,-6.754,0,0.0567,0.00241,0,0.301,0.727,116.907,audio_features,4o3CGOKxRi9NUTOzQ01MCe,spotify:track:4o3CGOKxRi9NUTOzQ01MCe,https://api.spotify.com/v1/tracks/4o3CGOKxRi9NUTOzQ01MCe,https://api.spotify.com/v1/audio-analysis/4o3CGOKxRi9NUTOzQ01MCe,270320,4
忍者ロック,0.488,0.926,4,-2.222,0,0.115,0.0215,6.34e-05,0.343,0.597,91.961,audio_features,3O43gcjAxGOi9QBzS59cxT,spotify:track:3O43gcjAxGOi9QBzS59cxT,https://api.spotify.com/v1/tracks/3O43gcjAxGOi9QBzS59cxT,https://api.spotify.com/v1/audio-analysis/3O43gcjAxGOi9QBzS59cxT,186227,4
僕のゆくえ,0.692,0.586,11,-9.871,0,0.0386,0.0281,3.57e-05,0.147,0.754,153.819,audio_features,0j5aUA9HYxoao1qe0gg0eX,spotify:track:0j5aUA9HYxoao1qe0gg0eX,https://api.spotify.com/v1/tracks/0j5aUA9HYxoao1qe0gg0eX,https://api.spotify.com/v1/audio-analysis/0j5aUA9HYxoao1qe0gg0eX,298907,4
欲望,0.371,0.155,0,-14.65,0,0.0336,0.956,0.000271,0.0678,0.228,77.339,audio_features,1XwGfmMJBiPSs49tv3IOV2,spotify:track:1XwGfmMJBiPSs49tv3IOV2,https://api.spotify.com/v1/tracks/1XwGfmMJBiPSs49tv3IOV2,https://api.spotify.com/v1/audio-analysis/1XwGfmMJBiPSs49tv3IOV2,268493,4
星に願いを,0.252,0.182,0,-13.549,1,0.0322,0.949,0.00969,0.245,0.225,165.603,audio_features,2LNovjGmPDGla1rHdKZtVm,spotify:track:2LNovjGmPDGla1rHdKZtVm,https://api.spotify.com/v1/tracks/2LNovjGmPDGla1rHdKZtVm,https://api.spotify.com/v1/audio-analysis/2LNovjGmPDGla1rHdKZtVm,302533,4
開店休業,0.47,0.473,9,-8.614,1,0.0355,0.835,0.331,0.114,0.122,98.231,audio_features,1nrYiytNOPQk5tNlqndr5Z,spotify:track:1nrYiytNOPQk5tNlqndr5Z,https://api.spotify.com/v1/tracks/1nrYiytNOPQk5tNlqndr5Z,https://api.spotify.com/v1/audio-analysis/1nrYiytNOPQk5tNlqndr5Z,361693,4
欲望(ライヴ「大欲望」ヴァージョン),0.526,0.51,5,-9.647,0,0.0287,0.43,0.00117,0.558,0.367,90.657,audio_features,6h1cwh4yknmdedxNzulnZR,spotify:track:6h1cwh4yknmdedxNzulnZR,https://api.spotify.com/v1/tracks/6h1cwh4yknmdedxNzulnZR,https://api.spotify.com/v1/audio-analysis/6h1cwh4yknmdedxNzulnZR,335533,4
風花雪月,0.327,0.296,0,-9.913,1,0.0288,0.912,0.000348,0.177,0.198,135.153,audio_features,7BN3RNzgrO2qbmSKdToTAv,spotify:track:7BN3RNzgrO2qbmSKdToTAv,https://api.spotify.com/v1/tracks/7BN3RNzgrO2qbmSKdToTAv,https://api.spotify.com/v1/audio-analysis/7BN3RNzgrO2qbmSKdToTAv,337507,4
男の20号,0.455,0.989,4,-7.199,1,0.0511,0.00342,5.55e-06,0.13,0.792,104.873,audio_features,1BdYVRSebs7UHRXXug24ct,spotify:track:1BdYVRSebs7UHRXXug24ct,https://api.spotify.com/v1/tracks/1BdYVRSebs7UHRXXug24ct,https://api.spotify.com/v1/audio-analysis/1BdYVRSebs7UHRXXug24ct,303227,4
夕立ち,0.383,0.211,2,-11.924,1,0.0307,0.884,0,0.11,0.256,175.178,audio_features,6qAVwA4iX6ptUTCrYpC5qg,spotify:track:6qAVwA4iX6ptUTCrYpC5qg,https://api.spotify.com/v1/tracks/6qAVwA4iX6ptUTCrYpC5qg,https://api.spotify.com/v1/audio-analysis/6qAVwA4iX6ptUTCrYpC5qg,251467,4
