name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
終わりない夢,0.474,0.966,11,-2.928,1,0.0701,0.00253,0.000894,0.144,0.614,152.894,audio_features,3ITM8Qmv2xx10MFuBVKmKG,spotify:track:3ITM8Qmv2xx10MFuBVKmKG,https://api.spotify.com/v1/tracks/3ITM8Qmv2xx10MFuBVKmKG,https://api.spotify.com/v1/audio-analysis/3ITM8Qmv2xx10MFuBVKmKG,284733,4
Round ZERO 〜BLADE BRAVE,0.516,0.961,10,-5.167,0,0.103,0.00373,4.78e-05,0.561,0.749,157.904,audio_features,1Q8VMvQhDoMEgG0pV9ngcv,spotify:track:1Q8VMvQhDoMEgG0pV9ngcv,https://api.spotify.com/v1/tracks/1Q8VMvQhDoMEgG0pV9ngcv,https://api.spotify.com/v1/audio-analysis/1Q8VMvQhDoMEgG0pV9ngcv,236200,4
恋心,0.489,0.92,10,-2.51,0,0.0442,0.0654,0.00626,0.356,0.315,122.039,audio_features,2lRuHzFxdxbw8JsfwG7jgG,spotify:track:2lRuHzFxdxbw8JsfwG7jgG,https://api.spotify.com/v1/tracks/2lRuHzFxdxbw8JsfwG7jgG,https://api.spotify.com/v1/audio-analysis/2lRuHzFxdxbw8JsfwG7jgG,241132,4
Round ZERO 〜BLADE BRAVE,0.517,0.975,10,-3.081,0,0.125,0.00488,5.69e-05,0.537,0.755,157.883,audio_features,4COpw8g0ZmDSafuSotzYJI,spotify:track:4COpw8g0ZmDSafuSotzYJI,https://api.spotify.com/v1/tracks/4COpw8g0ZmDSafuSotzYJI,https://api.spotify.com/v1/audio-analysis/4COpw8g0ZmDSafuSotzYJI,236767,4
Sweet Emotion,0.535,0.947,4,-1.907,1,0.0731,0.0156,8.99e-05,0.0943,0.715,129.937,audio_features,4DuIHwVbCENRJL8xmRqfw2,spotify:track:4DuIHwVbCENRJL8xmRqfw2,https://api.spotify.com/v1/tracks/4DuIHwVbCENRJL8xmRqfw2,https://api.spotify.com/v1/audio-analysis/4DuIHwVbCENRJL8xmRqfw2,307107,4
Round ZERO〜BLADE BRAVE,0.49,0.979,7,-2.961,0,0.133,0.00165,2.48e-05,0.654,0.725,157.947,audio_features,1anDQ5y00yXaWV8kgmaQL4,spotify:track:1anDQ5y00yXaWV8kgmaQL4,https://api.spotify.com/v1/tracks/1anDQ5y00yXaWV8kgmaQL4,https://api.spotify.com/v1/audio-analysis/1anDQ5y00yXaWV8kgmaQL4,236693,4
Round ZERO 〜BLADE BRAVE,0.507,0.967,10,-3.666,0,0.127,0.000945,0.000318,0.541,0.774,157.904,audio_features,1fhn9jfSqhut44DdfziCZ7,spotify:track:1fhn9jfSqhut44DdfziCZ7,https://api.spotify.com/v1/tracks/1fhn9jfSqhut44DdfziCZ7,https://api.spotify.com/v1/audio-analysis/1fhn9jfSqhut44DdfziCZ7,236213,4
Round ZERO 〜BLADE BRAVE - Ver.鳴瀬シュウヘイ,0.444,0.82,10,-5.128,0,0.0341,0.00152,0.000116,0.117,0.323,158.045,audio_features,6w0j079haG5Tlvs5z8Og2P,spotify:track:6w0j079haG5Tlvs5z8Og2P,https://api.spotify.com/v1/tracks/6w0j079haG5Tlvs5z8Og2P,https://api.spotify.com/v1/audio-analysis/6w0j079haG5Tlvs5z8Og2P,262360,4
Round ZERO 〜BLADE BRAVE - TV size,0.511,0.942,8,-5.354,1,0.0693,0.00605,7.84e-06,0.44,0.906,157.857,audio_features,3VzXMse6xiVUpOjYlCD5wb,spotify:track:3VzXMse6xiVUpOjYlCD5wb,https://api.spotify.com/v1/tracks/3VzXMse6xiVUpOjYlCD5wb,https://api.spotify.com/v1/audio-analysis/3VzXMse6xiVUpOjYlCD5wb,74400,4
お祭り騒ぎ,0.436,0.993,0,-2.035,1,0.253,0.00544,8.92e-05,0.11,0.453,179.912,audio_features,3hlNQkUnjCTkO19BEwZO1Y,spotify:track:3hlNQkUnjCTkO19BEwZO1Y,https://api.spotify.com/v1/tracks/3hlNQkUnjCTkO19BEwZO1Y,https://api.spotify.com/v1/audio-analysis/3hlNQkUnjCTkO19BEwZO1Y,222667,4
GET READY,0.404,0.963,7,-1.988,0,0.061,0.000176,0,0.282,0.745,176.979,audio_features,2VfhzcntMxaZF4WRNd0vJh,spotify:track:2VfhzcntMxaZF4WRNd0vJh,https://api.spotify.com/v1/tracks/2VfhzcntMxaZF4WRNd0vJh,https://api.spotify.com/v1/audio-analysis/2VfhzcntMxaZF4WRNd0vJh,209240,4
Round ZERO 〜BLADE BRAVE - Ver.RIDER CHIPS,0.424,0.965,10,-4.226,0,0.0526,6.62e-06,6.56e-05,0.096,0.802,157.94,audio_features,7jVtxC52X7uoqvAUsh8mBy,spotify:track:7jVtxC52X7uoqvAUsh8mBy,https://api.spotify.com/v1/tracks/7jVtxC52X7uoqvAUsh8mBy,https://api.spotify.com/v1/audio-analysis/7jVtxC52X7uoqvAUsh8mBy,242373,4
Round ZERO ~BLADE BRAVE - 『超英雄祭』 LIVE,0.371,0.977,10,-2.979,0,0.0919,0.316,7.28e-05,0.958,0.251,157.943,audio_features,780SCzKPEhdTJDXEE8VEpu,spotify:track:780SCzKPEhdTJDXEE8VEpu,https://api.spotify.com/v1/tracks/780SCzKPEhdTJDXEE8VEpu,https://api.spotify.com/v1/audio-analysis/780SCzKPEhdTJDXEE8VEpu,241000,4
Zero Gravity,0.499,0.976,0,-1.899,1,0.136,0.00154,0.00014,0.234,0.558,140.001,audio_features,72BFjB6Rzg7Kwcg9sknYQs,spotify:track:72BFjB6Rzg7Kwcg9sknYQs,https://api.spotify.com/v1/tracks/72BFjB6Rzg7Kwcg9sknYQs,https://api.spotify.com/v1/audio-analysis/72BFjB6Rzg7Kwcg9sknYQs,205947,4
