name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Dress Down,0.769,0.403,0,-15.134,1,0.051,0.197,0.000191,0.264,0.567,118.007,audio_features,4M9Op6UQ36mhtjMBuevRYN,spotify:track:4M9Op6UQ36mhtjMBuevRYN,https://api.spotify.com/v1/tracks/4M9Op6UQ36mhtjMBuevRYN,https://api.spotify.com/v1/audio-analysis/4M9Op6UQ36mhtjMBuevRYN,272533,4
我がままなハイヒール - Non Stop Mix ver.,0.816,0.715,7,-7.068,1,0.0419,0.297,0.00605,0.124,0.823,105.62,audio_features,7rwK52xzfFuyCv8VD1p9tL,spotify:track:7rwK52xzfFuyCv8VD1p9tL,https://api.spotify.com/v1/tracks/7rwK52xzfFuyCv8VD1p9tL,https://api.spotify.com/v1/audio-analysis/7rwK52xzfFuyCv8VD1p9tL,166571,4
我がままなハイヒール,0.821,0.468,7,-14.416,1,0.041,0.123,0.242,0.0416,0.683,106.671,audio_features,0SNdUPM8z7PlBlN3pyqVjB,spotify:track:0SNdUPM8z7PlBlN3pyqVjB,https://api.spotify.com/v1/tracks/0SNdUPM8z7PlBlN3pyqVjB,https://api.spotify.com/v1/audio-analysis/0SNdUPM8z7PlBlN3pyqVjB,303427,4
Dress Down,0.685,0.697,0,-5.53,1,0.0346,0.0246,2.18e-06,0.316,0.503,117.996,audio_features,1eyyAu5eU0EONveZhIcJDg,spotify:track:1eyyAu5eU0EONveZhIcJDg,https://api.spotify.com/v1/tracks/1eyyAu5eU0EONveZhIcJDg,https://api.spotify.com/v1/audio-analysis/1eyyAu5eU0EONveZhIcJDg,270012,4
ナルシスト,0.637,0.752,5,-12.758,1,0.0387,0.0524,0.00627,0.399,0.899,156.003,audio_features,29TtoCnz62Jp3S95ZOmuD4,spotify:track:29TtoCnz62Jp3S95ZOmuD4,https://api.spotify.com/v1/tracks/29TtoCnz62Jp3S95ZOmuD4,https://api.spotify.com/v1/audio-analysis/29TtoCnz62Jp3S95ZOmuD4,284040,4
今日はひとりきり,0.613,0.316,6,-15.78,1,0.0325,0.475,1.64e-06,0.134,0.509,151.906,audio_features,1xadrqsPVwilGgMhtr3awh,spotify:track:1xadrqsPVwilGgMhtr3awh,https://api.spotify.com/v1/tracks/1xadrqsPVwilGgMhtr3awh,https://api.spotify.com/v1/audio-analysis/1xadrqsPVwilGgMhtr3awh,241507,4
Beginning,0.215,0.318,9,-23.203,0,0.0361,0.00123,0.341,0.73,0.284,95.239,audio_features,3gTG5uJj9t3m7GKC97p9Ps,spotify:track:3gTG5uJj9t3m7GKC97p9Ps,https://api.spotify.com/v1/tracks/3gTG5uJj9t3m7GKC97p9Ps,https://api.spotify.com/v1/audio-analysis/3gTG5uJj9t3m7GKC97p9Ps,56893,4
Two Call,0.622,0.173,7,-18.598,1,0.0294,0.206,3.23e-05,0.271,0.581,81.983,audio_features,5AZpKEkIvkx7r9C8mYmZa6,spotify:track:5AZpKEkIvkx7r9C8mYmZa6,https://api.spotify.com/v1/tracks/5AZpKEkIvkx7r9C8mYmZa6,https://api.spotify.com/v1/audio-analysis/5AZpKEkIvkx7r9C8mYmZa6,245427,4
夜が終わる時,0.581,0.368,0,-16.24,1,0.0305,0.163,8.55e-06,0.116,0.562,81.998,audio_features,3BM9jmgIB4v3NIZJxs1zWH,spotify:track:3BM9jmgIB4v3NIZJxs1zWH,https://api.spotify.com/v1/tracks/3BM9jmgIB4v3NIZJxs1zWH,https://api.spotify.com/v1/audio-analysis/3BM9jmgIB4v3NIZJxs1zWH,320107,4
月夜,0.67,0.328,11,-14.838,0,0.0279,0.555,0,0.0683,0.324,106.088,audio_features,2cKjGkseWIIY7mZDLj5mQ3,spotify:track:2cKjGkseWIIY7mZDLj5mQ3,https://api.spotify.com/v1/tracks/2cKjGkseWIIY7mZDLj5mQ3,https://api.spotify.com/v1/audio-analysis/2cKjGkseWIIY7mZDLj5mQ3,293867,4
