name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
プレイメーカー feat.大野雄大(from Da-iCE),0.765,0.761,6,-4.281,1,0.0525,0.172,0,0.276,0.332,106.002,audio_features,1nzPt6k4X0jyNutJ0F8LCy,spotify:track:1nzPt6k4X0jyNutJ0F8LCy,https://api.spotify.com/v1/tracks/1nzPt6k4X0jyNutJ0F8LCy,https://api.spotify.com/v1/audio-analysis/1nzPt6k4X0jyNutJ0F8LCy,169000,4
RIVALS,0.675,0.798,6,-4.289,1,0.0344,0.00259,0,0.0926,0.821,105.034,audio_features,2axeQSW2S23jnY7c8vvtWr,spotify:track:2axeQSW2S23jnY7c8vvtWr,https://api.spotify.com/v1/tracks/2axeQSW2S23jnY7c8vvtWr,https://api.spotify.com/v1/audio-analysis/2axeQSW2S23jnY7c8vvtWr,185447,4
JUST BELIEVE YOU,0.628,0.688,1,-4.795,1,0.0461,0.32,0,0.242,0.598,94.998,audio_features,1bwqcXEyaxpZI1YHlOam1q,spotify:track:1bwqcXEyaxpZI1YHlOam1q,https://api.spotify.com/v1/tracks/1bwqcXEyaxpZI1YHlOam1q,https://api.spotify.com/v1/audio-analysis/1bwqcXEyaxpZI1YHlOam1q,195309,4
星合,0.66,0.669,6,-4.707,0,0.0374,0.265,0,0.13,0.728,93.017,audio_features,14QL2HVxeoJw8xbv69BsIP,spotify:track:14QL2HVxeoJw8xbv69BsIP,https://api.spotify.com/v1/tracks/14QL2HVxeoJw8xbv69BsIP,https://api.spotify.com/v1/audio-analysis/14QL2HVxeoJw8xbv69BsIP,223397,4
Take mo’ Chance,0.787,0.715,0,-4.967,1,0.0473,0.0189,0,0.337,0.637,120.027,audio_features,4H3wFEqxpE5uVLhMV5A50J,spotify:track:4H3wFEqxpE5uVLhMV5A50J,https://api.spotify.com/v1/tracks/4H3wFEqxpE5uVLhMV5A50J,https://api.spotify.com/v1/audio-analysis/4H3wFEqxpE5uVLhMV5A50J,232200,4
12cm,0.511,0.553,3,-5.134,1,0.0291,0.101,0,0.139,0.257,90.004,audio_features,5jXA82tAPvynnEza66vPJ2,spotify:track:5jXA82tAPvynnEza66vPJ2,https://api.spotify.com/v1/tracks/5jXA82tAPvynnEza66vPJ2,https://api.spotify.com/v1/audio-analysis/5jXA82tAPvynnEza66vPJ2,374293,4
JUST BELIEVE YOU,0.628,0.688,1,-4.795,1,0.0462,0.32,0,0.213,0.598,94.998,audio_features,3ky7cnhsrKERqlh2Huig1n,spotify:track:3ky7cnhsrKERqlh2Huig1n,https://api.spotify.com/v1/tracks/3ky7cnhsrKERqlh2Huig1n,https://api.spotify.com/v1/audio-analysis/3ky7cnhsrKERqlh2Huig1n,197409,4
JUST BELIEVE YOU,0.629,0.671,1,-4.803,1,0.0459,0.323,0,0.217,0.629,95.002,audio_features,6m8mKzPLfMdGL3SlBW4ii7,spotify:track:6m8mKzPLfMdGL3SlBW4ii7,https://api.spotify.com/v1/tracks/6m8mKzPLfMdGL3SlBW4ii7,https://api.spotify.com/v1/audio-analysis/6m8mKzPLfMdGL3SlBW4ii7,197413,4
星合,0.66,0.669,6,-4.707,0,0.0374,0.265,0,0.13,0.728,93.017,audio_features,6JphNghYW23w0eFR2N9nFG,spotify:track:6JphNghYW23w0eFR2N9nFG,https://api.spotify.com/v1/tracks/6JphNghYW23w0eFR2N9nFG,https://api.spotify.com/v1/audio-analysis/6JphNghYW23w0eFR2N9nFG,223440,4
マカロン,0.658,0.823,8,-4.156,1,0.028,0.0231,0,0.268,0.842,128.01,audio_features,6M19Aq2M4LNpCWrbHqPP0n,spotify:track:6M19Aq2M4LNpCWrbHqPP0n,https://api.spotify.com/v1/tracks/6M19Aq2M4LNpCWrbHqPP0n,https://api.spotify.com/v1/audio-analysis/6M19Aq2M4LNpCWrbHqPP0n,183907,4
Take mo' Chance,0.79,0.714,0,-4.93,1,0.0504,0.02,0,0.357,0.607,120.036,audio_features,0Bd80ziPHLH8HL1ITuXGvw,spotify:track:0Bd80ziPHLH8HL1ITuXGvw,https://api.spotify.com/v1/tracks/0Bd80ziPHLH8HL1ITuXGvw,https://api.spotify.com/v1/audio-analysis/0Bd80ziPHLH8HL1ITuXGvw,231213,4
蒼空,0.487,0.618,8,-5.108,0,0.0335,0.0237,0,0.0814,0.299,149.732,audio_features,0VJVsx8tmZ4qHcGSCfR17w,spotify:track:0VJVsx8tmZ4qHcGSCfR17w,https://api.spotify.com/v1/tracks/0VJVsx8tmZ4qHcGSCfR17w,https://api.spotify.com/v1/audio-analysis/0VJVsx8tmZ4qHcGSCfR17w,191986,4
マカロン,0.656,0.824,8,-4.133,1,0.0282,0.0215,0,0.269,0.869,128.007,audio_features,1wpvkp9t57K3OetXs4rsRm,spotify:track:1wpvkp9t57K3OetXs4rsRm,https://api.spotify.com/v1/tracks/1wpvkp9t57K3OetXs4rsRm,https://api.spotify.com/v1/audio-analysis/1wpvkp9t57K3OetXs4rsRm,182856,4
