name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hope,0.625,0.855,7,-3.682,1,0.0507,0.0311,0,0.337,0.214,139.926,audio_features,3Qcj8m6FFHhInWjjOrZRom,spotify:track:3Qcj8m6FFHhInWjjOrZRom,https://api.spotify.com/v1/tracks/3Qcj8m6FFHhInWjjOrZRom,https://api.spotify.com/v1/audio-analysis/3Qcj8m6FFHhInWjjOrZRom,252587,4
SWEET 19 BLUES,0.588,0.735,0,-5.606,1,0.0264,0.284,0.000182,0.0679,0.524,79.966,audio_features,68IfW4qyRPkGNNXpSD2QDt,spotify:track:68IfW4qyRPkGNNXpSD2QDt,https://api.spotify.com/v1/tracks/68IfW4qyRPkGNNXpSD2QDt,https://api.spotify.com/v1/audio-analysis/68IfW4qyRPkGNNXpSD2QDt,338700,4
Fight Together,0.699,0.913,2,-4.435,1,0.0813,0.0318,2.08e-06,0.0928,0.671,129.036,audio_features,0Fa9qMXVeHIKFU5fm35fy9,spotify:track:0Fa9qMXVeHIKFU5fm35fy9,https://api.spotify.com/v1/tracks/0Fa9qMXVeHIKFU5fm35fy9,https://api.spotify.com/v1/audio-analysis/0Fa9qMXVeHIKFU5fm35fy9,257400,4
Hero,0.352,0.809,8,-3.177,1,0.0678,0.178,0.000679,0.0844,0.275,124.939,audio_features,4TAf9JushLbVY9Kj3MAqWw,spotify:track:4TAf9JushLbVY9Kj3MAqWw,https://api.spotify.com/v1/tracks/4TAf9JushLbVY9Kj3MAqWw,https://api.spotify.com/v1/audio-analysis/4TAf9JushLbVY9Kj3MAqWw,337813,4
Come,0.651,0.786,4,-5.766,0,0.0362,0.0816,0.00724,0.092,0.708,120.011,audio_features,7p0XGiZSoGWbPHEE7tTwfx,spotify:track:7p0XGiZSoGWbPHEE7tTwfx,https://api.spotify.com/v1/tracks/7p0XGiZSoGWbPHEE7tTwfx,https://api.spotify.com/v1/audio-analysis/7p0XGiZSoGWbPHEE7tTwfx,274533,4
CAN YOU CELEBRATE?,0.353,0.685,0,-4.791,1,0.0297,0.417,9.07e-05,0.321,0.263,83.715,audio_features,2LLcy4c9pcrWVeO9xLqLgs,spotify:track:2LLcy4c9pcrWVeO9xLqLgs,https://api.spotify.com/v1/tracks/2LLcy4c9pcrWVeO9xLqLgs,https://api.spotify.com/v1/audio-analysis/2LLcy4c9pcrWVeO9xLqLgs,379067,4
Hope - from BEST AL「Finally」,0.621,0.854,7,-3.682,1,0.0515,0.0305,0,0.333,0.217,139.968,audio_features,3TWOZfoweq30oUvxBOVJJe,spotify:track:3TWOZfoweq30oUvxBOVJJe,https://api.spotify.com/v1/tracks/3TWOZfoweq30oUvxBOVJJe,https://api.spotify.com/v1/audio-analysis/3TWOZfoweq30oUvxBOVJJe,252587,4
ONLY YOU,0.679,0.906,5,-4.912,1,0.0349,0.00351,0.00249,0.0996,0.217,128.04,audio_features,4nJbFd9dr7D1M6X4C6X10x,spotify:track:4nJbFd9dr7D1M6X4C6X10x,https://api.spotify.com/v1/tracks/4nJbFd9dr7D1M6X4C6X10x,https://api.spotify.com/v1/audio-analysis/4nJbFd9dr7D1M6X4C6X10x,254133,4
Come,0.669,0.775,4,-6.438,0,0.0323,0.0865,0.0209,0.0918,0.799,120.009,audio_features,3ibXFt8bUMtEb8ZBfvweSO,spotify:track:3ibXFt8bUMtEb8ZBfvweSO,https://api.spotify.com/v1/tracks/3ibXFt8bUMtEb8ZBfvweSO,https://api.spotify.com/v1/audio-analysis/3ibXFt8bUMtEb8ZBfvweSO,275000,4
How do you feel now?,0.653,0.929,0,-3.193,1,0.0543,0.129,0,0.278,0.605,129.977,audio_features,4kotih3Te9dfvDikfkd80w,spotify:track:4kotih3Te9dfvDikfkd80w,https://api.spotify.com/v1/tracks/4kotih3Te9dfvDikfkd80w,https://api.spotify.com/v1/audio-analysis/4kotih3Te9dfvDikfkd80w,230907,4
