name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
君をのせて,0.537,0.965,10,-5.174,0,0.0339,0.000375,0.0717,0.355,0.747,139.975,audio_features,2UncbwMcELTEJPlXqUQg5W,spotify:track:2UncbwMcELTEJPlXqUQg5W,https://api.spotify.com/v1/tracks/2UncbwMcELTEJPlXqUQg5W,https://api.spotify.com/v1/audio-analysis/2UncbwMcELTEJPlXqUQg5W,282840,4
となりのトトロ,0.529,0.992,5,-4.796,1,0.0327,0.00924,0.000784,0.152,0.756,140.021,audio_features,0olIJ1bgjUXAsUptIdrmNp,spotify:track:0olIJ1bgjUXAsUptIdrmNp,https://api.spotify.com/v1/tracks/0olIJ1bgjUXAsUptIdrmNp,https://api.spotify.com/v1/audio-analysis/0olIJ1bgjUXAsUptIdrmNp,299867,4
いのちの名前,0.644,0.958,0,-4.887,1,0.0456,0.0425,0.0319,0.0872,0.397,128.005,audio_features,6BVHXG4iYE0akUSOQhQMzX,spotify:track:6BVHXG4iYE0akUSOQhQMzX,https://api.spotify.com/v1/tracks/6BVHXG4iYE0akUSOQhQMzX,https://api.spotify.com/v1/audio-analysis/6BVHXG4iYE0akUSOQhQMzX,231533,4
もののけ姫,0.483,0.988,8,-4.525,1,0.0383,1.18e-05,0.849,0.317,0.579,140.002,audio_features,5VJ3FTXZwinBxWkcdPNUz2,spotify:track:5VJ3FTXZwinBxWkcdPNUz2,https://api.spotify.com/v1/tracks/5VJ3FTXZwinBxWkcdPNUz2,https://api.spotify.com/v1/audio-analysis/5VJ3FTXZwinBxWkcdPNUz2,230533,4
海の見える街,0.62,0.979,11,-6.308,0,0.0323,0.0208,0.877,0.129,0.83,135.012,audio_features,4a3POx8IeTfgFagLCZkWOX,spotify:track:4a3POx8IeTfgFagLCZkWOX,https://api.spotify.com/v1/tracks/4a3POx8IeTfgFagLCZkWOX,https://api.spotify.com/v1/audio-analysis/4a3POx8IeTfgFagLCZkWOX,256400,4
ねこバス,0.614,0.945,11,-6.685,0,0.0449,4.02e-05,0.875,0.106,0.664,150.005,audio_features,1xRKVSiC5xZ1kjKVQuPn3h,spotify:track:1xRKVSiC5xZ1kjKVQuPn3h,https://api.spotify.com/v1/tracks/1xRKVSiC5xZ1kjKVQuPn3h,https://api.spotify.com/v1/audio-analysis/1xRKVSiC5xZ1kjKVQuPn3h,195360,4
風の通り道,0.657,0.836,0,-5.638,0,0.0274,0.119,0.139,0.114,0.51,134.972,audio_features,0rCshbx1rau57oCDprOpbm,spotify:track:0rCshbx1rau57oCDprOpbm,https://api.spotify.com/v1/tracks/0rCshbx1rau57oCDprOpbm,https://api.spotify.com/v1/audio-analysis/0rCshbx1rau57oCDprOpbm,253880,4
オープニング,0.719,0.977,5,-5.889,0,0.0362,1.37e-05,0.902,0.139,0.333,134.977,audio_features,1bpt8pMpAhgC2arYoAOuBY,spotify:track:1bpt8pMpAhgC2arYoAOuBY,https://api.spotify.com/v1/tracks/1bpt8pMpAhgC2arYoAOuBY,https://api.spotify.com/v1/audio-analysis/1bpt8pMpAhgC2arYoAOuBY,101347,4
アシタカセッ記,0.461,0.921,10,-7.402,0,0.0303,0.000266,0.894,0.106,0.561,134.976,audio_features,2dyYnTdYUKJejUSuJ47q0E,spotify:track:2dyYnTdYUKJejUSuJ47q0E,https://api.spotify.com/v1/tracks/2dyYnTdYUKJejUSuJ47q0E,https://api.spotify.com/v1/audio-analysis/2dyYnTdYUKJejUSuJ47q0E,232000,4
崖の上のポニョ,0.489,0.992,5,-4.353,0,0.0439,4.76e-05,0.923,0.651,0.762,144.973,audio_features,3NPNelU2F6AFNuxbX8oVzz,spotify:track:3NPNelU2F6AFNuxbX8oVzz,https://api.spotify.com/v1/tracks/3NPNelU2F6AFNuxbX8oVzz,https://api.spotify.com/v1/audio-analysis/3NPNelU2F6AFNuxbX8oVzz,262453,4
Arrietty's Song,0.621,0.917,5,-5.531,0,0.0302,0.128,2.32e-05,0.133,0.839,134.996,audio_features,29ZkBb0MONfrwINbX7n6x1,spotify:track:29ZkBb0MONfrwINbX7n6x1,https://api.spotify.com/v1/tracks/29ZkBb0MONfrwINbX7n6x1,https://api.spotify.com/v1/audio-analysis/29ZkBb0MONfrwINbX7n6x1,229453,3
風になる,0.544,0.958,0,-4.552,1,0.0319,0.075,0.106,0.0568,0.876,139.99,audio_features,1YZxeyf8asRrkkxdeVb6gA,spotify:track:1YZxeyf8asRrkkxdeVb6gA,https://api.spotify.com/v1/tracks/1YZxeyf8asRrkkxdeVb6gA,https://api.spotify.com/v1/audio-analysis/1YZxeyf8asRrkkxdeVb6gA,295520,4
風の谷のナウシカ,0.651,0.951,2,-5.559,1,0.0308,0.0254,0.109,0.0537,0.883,127.977,audio_features,55g56B5q07g2QDHKRPxR3T,spotify:track:55g56B5q07g2QDHKRPxR3T,https://api.spotify.com/v1/tracks/55g56B5q07g2QDHKRPxR3T,https://api.spotify.com/v1/audio-analysis/55g56B5q07g2QDHKRPxR3T,300293,4
