name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
空に星があるように,0.407,0.315,4,-10.345,0,0.0267,0.904,0.000283,0.0974,0.329,96.925,audio_features,6ug3zfIr52N8xU0Ub9iECc,spotify:track:6ug3zfIr52N8xU0Ub9iECc,https://api.spotify.com/v1/tracks/6ug3zfIr52N8xU0Ub9iECc,https://api.spotify.com/v1/audio-analysis/6ug3zfIr52N8xU0Ub9iECc,171920,4
空に星があるように - (TRIO version 1976),0.404,0.299,7,-12.922,1,0.0304,0.648,0.00305,0.137,0.149,92.594,audio_features,6fXqDdf0rsMxmWN5D7DVL5,spotify:track:6fXqDdf0rsMxmWN5D7DVL5,https://api.spotify.com/v1/tracks/6fXqDdf0rsMxmWN5D7DVL5,https://api.spotify.com/v1/audio-analysis/6fXqDdf0rsMxmWN5D7DVL5,193507,4
今夜は踊ろう,0.647,0.532,4,-7.891,1,0.0287,0.784,1.43e-05,0.157,0.812,137.414,audio_features,3OvpNFsbsABRFn4kHlxDsd,spotify:track:3OvpNFsbsABRFn4kHlxDsd,https://api.spotify.com/v1/tracks/3OvpNFsbsABRFn4kHlxDsd,https://api.spotify.com/v1/audio-analysis/3OvpNFsbsABRFn4kHlxDsd,169320,4
ジャニスを聴きながら,0.655,0.6,4,-8.584,1,0.0315,0.386,4.4e-05,0.358,0.82,133.447,audio_features,0tceOi9cVZvh0YNrWqPtLA,spotify:track:0tceOi9cVZvh0YNrWqPtLA,https://api.spotify.com/v1/tracks/0tceOi9cVZvh0YNrWqPtLA,https://api.spotify.com/v1/audio-analysis/0tceOi9cVZvh0YNrWqPtLA,224107,4
いとしのマックス,0.485,0.703,0,-8.726,0,0.0685,0.749,0,0.103,0.656,149.019,audio_features,0QsLDHyBCefY7q4UNMraO7,spotify:track:0QsLDHyBCefY7q4UNMraO7,https://api.spotify.com/v1/tracks/0QsLDHyBCefY7q4UNMraO7,https://api.spotify.com/v1/audio-analysis/0QsLDHyBCefY7q4UNMraO7,160133,4
君に捧げるほろ苦いブルース,0.491,0.417,7,-8.764,0,0.0294,0.439,0.000391,0.106,0.326,89.483,audio_features,1lmGRkWwB4rS9R0CdeoTNv,spotify:track:1lmGRkWwB4rS9R0CdeoTNv,https://api.spotify.com/v1/tracks/1lmGRkWwB4rS9R0CdeoTNv,https://api.spotify.com/v1/audio-analysis/1lmGRkWwB4rS9R0CdeoTNv,217800,4
夜明けのマイウェイ,0.621,0.465,4,-11.733,1,0.0357,0.678,0.0016,0.0661,0.413,120.991,audio_features,4hiuPEZXjcKv8c3KbppBEy,spotify:track:4hiuPEZXjcKv8c3KbppBEy,https://api.spotify.com/v1/tracks/4hiuPEZXjcKv8c3KbppBEy,https://api.spotify.com/v1/audio-analysis/4hiuPEZXjcKv8c3KbppBEy,214707,4
果てしなき闇の彼方に,0.428,0.424,4,-12.307,1,0.0437,0.864,9.24e-05,0.106,0.176,129.017,audio_features,0BCjvqxem0adzU4BdLGD37,spotify:track:0BCjvqxem0adzU4BdLGD37,https://api.spotify.com/v1/tracks/0BCjvqxem0adzU4BdLGD37,https://api.spotify.com/v1/audio-analysis/0BCjvqxem0adzU4BdLGD37,212867,3
ミッドナイト・ブルース,0.742,0.502,10,-8.496,1,0.0463,0.715,0.00013,0.092,0.523,122.886,audio_features,7FPMmIrshXgnOemWDtqF7l,spotify:track:7FPMmIrshXgnOemWDtqF7l,https://api.spotify.com/v1/tracks/7FPMmIrshXgnOemWDtqF7l,https://api.spotify.com/v1/audio-analysis/7FPMmIrshXgnOemWDtqF7l,256333,4
ビューティフル・サマー,0.645,0.554,7,-9.021,1,0.0261,0.569,0.00274,0.106,0.601,115.369,audio_features,4qtFxbn80yz2voz1gYujo9,spotify:track:4qtFxbn80yz2voz1gYujo9,https://api.spotify.com/v1/tracks/4qtFxbn80yz2voz1gYujo9,https://api.spotify.com/v1/audio-analysis/4qtFxbn80yz2voz1gYujo9,172760,4
いとしのマックス - (TRIO version 1976),0.386,0.526,0,-10.035,0,0.0353,0.363,0.0577,0.0921,0.697,137.207,audio_features,7lx4deaOgspTsryU4wthPF,spotify:track:7lx4deaOgspTsryU4wthPF,https://api.spotify.com/v1/tracks/7lx4deaOgspTsryU4wthPF,https://api.spotify.com/v1/audio-analysis/7lx4deaOgspTsryU4wthPF,176600,4
言葉,0.355,0.334,2,-10.593,1,0.0281,0.339,0.00104,0.127,0.625,167.909,audio_features,21NxurMqbf9DTjCfVCRzEh,spotify:track:21NxurMqbf9DTjCfVCRzEh,https://api.spotify.com/v1/tracks/21NxurMqbf9DTjCfVCRzEh,https://api.spotify.com/v1/audio-analysis/21NxurMqbf9DTjCfVCRzEh,149133,4
ミッドナイト・ブルース,0.699,0.561,10,-7.479,1,0.0494,0.723,7.19e-05,0.0861,0.585,123.11,audio_features,0dDChBIA2EOnC4dRd1Q4K6,spotify:track:0dDChBIA2EOnC4dRd1Q4K6,https://api.spotify.com/v1/tracks/0dDChBIA2EOnC4dRd1Q4K6,https://api.spotify.com/v1/audio-analysis/0dDChBIA2EOnC4dRd1Q4K6,256760,4
空に星があるように,0.377,0.399,7,-10.115,1,0.0301,0.562,0.000917,0.116,0.149,92.582,audio_features,3Y0uZmCvWScdj9tpQnZtBC,spotify:track:3Y0uZmCvWScdj9tpQnZtBC,https://api.spotify.com/v1/tracks/3Y0uZmCvWScdj9tpQnZtBC,https://api.spotify.com/v1/audio-analysis/3Y0uZmCvWScdj9tpQnZtBC,193507,4
果てしなき闇の彼方に,0.422,0.59,4,-7.327,1,0.0442,0.718,3.72e-05,0.117,0.19,129.051,audio_features,6RwXC2lqsYbmE0yAa5WG01,spotify:track:6RwXC2lqsYbmE0yAa5WG01,https://api.spotify.com/v1/tracks/6RwXC2lqsYbmE0yAa5WG01,https://api.spotify.com/v1/audio-analysis/6RwXC2lqsYbmE0yAa5WG01,212867,3
西陽のあたる部屋,0.457,0.512,10,-11.558,0,0.0292,0.477,0.0212,0.145,0.431,78.54,audio_features,6XQ5adPrssOVR1z6eBQXR3,spotify:track:6XQ5adPrssOVR1z6eBQXR3,https://api.spotify.com/v1/tracks/6XQ5adPrssOVR1z6eBQXR3,https://api.spotify.com/v1/audio-analysis/6XQ5adPrssOVR1z6eBQXR3,220227,4
今夜は踊ろう,0.606,0.794,4,-7.466,1,0.0536,0.175,0.452,0.0898,0.73,132.937,audio_features,1zmm6seHLDzBUnC5X8fHnG,spotify:track:1zmm6seHLDzBUnC5X8fHnG,https://api.spotify.com/v1/tracks/1zmm6seHLDzBUnC5X8fHnG,https://api.spotify.com/v1/audio-analysis/1zmm6seHLDzBUnC5X8fHnG,188707,4
君に捧げるほろ苦いブルース,0.496,0.46,7,-8.117,0,0.0279,0.383,0.00018,0.11,0.351,89.492,audio_features,7KWinnDAwxKAIcCFVoXLpM,spotify:track:7KWinnDAwxKAIcCFVoXLpM,https://api.spotify.com/v1/tracks/7KWinnDAwxKAIcCFVoXLpM,https://api.spotify.com/v1/audio-analysis/7KWinnDAwxKAIcCFVoXLpM,217800,4
