name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Midnight Pretenders,0.757,0.337,0,-14.937,0,0.0313,0.2,0,0.0677,0.559,92.864,audio_features,0JUWF44gfMszGNhjCF7Ufs,spotify:track:0JUWF44gfMszGNhjCF7Ufs,https://api.spotify.com/v1/tracks/0JUWF44gfMszGNhjCF7Ufs,https://api.spotify.com/v1/audio-analysis/0JUWF44gfMszGNhjCF7Ufs,345267,4
I'm in Love,0.745,0.34,5,-15.917,1,0.0421,0.0207,2.59e-05,0.147,0.675,102.334,audio_features,5RSpR665UGsu1FFEq1pG8R,spotify:track:5RSpR665UGsu1FFEq1pG8R,https://api.spotify.com/v1/tracks/5RSpR665UGsu1FFEq1pG8R,https://api.spotify.com/v1/audio-analysis/5RSpR665UGsu1FFEq1pG8R,353467,4
Slow Nights,0.733,0.273,7,-17.854,0,0.0337,0.588,0.000674,0.0996,0.506,97.299,audio_features,4TQVYbMBXqzBlKrVeW1Nsd,spotify:track:4TQVYbMBXqzBlKrVeW1Nsd,https://api.spotify.com/v1/tracks/4TQVYbMBXqzBlKrVeW1Nsd,https://api.spotify.com/v1/audio-analysis/4TQVYbMBXqzBlKrVeW1Nsd,223733,4
Midnight Pretenders - 2022 restored version,0.729,0.583,0,-6.827,0,0.0259,0.123,0,0.101,0.474,93.111,audio_features,4S2CZucQAIH9TwTpHvX3hu,spotify:track:4S2CZucQAIH9TwTpHvX3hu,https://api.spotify.com/v1/tracks/4S2CZucQAIH9TwTpHvX3hu,https://api.spotify.com/v1/audio-analysis/4S2CZucQAIH9TwTpHvX3hu,343723,4
ひと夏のタペストリー,0.879,0.573,10,-11.974,1,0.129,0.154,0.000153,0.119,0.808,127.613,audio_features,1DWfjSM4lKBjg7hQLwYkr2,spotify:track:1DWfjSM4lKBjg7hQLwYkr2,https://api.spotify.com/v1/tracks/1DWfjSM4lKBjg7hQLwYkr2,https://api.spotify.com/v1/audio-analysis/1DWfjSM4lKBjg7hQLwYkr2,269933,4
Be My Venus,0.696,0.567,5,-10.951,1,0.0261,0.142,3.47e-06,0.291,0.672,127.804,audio_features,5FsPmGOEtcxzNHOCFwlVdv,spotify:track:5FsPmGOEtcxzNHOCFwlVdv,https://api.spotify.com/v1/tracks/5FsPmGOEtcxzNHOCFwlVdv,https://api.spotify.com/v1/audio-analysis/5FsPmGOEtcxzNHOCFwlVdv,318120,4
Imitation Lover,0.804,0.589,0,-12.526,1,0.0311,0.284,0.000324,0.209,0.832,122.682,audio_features,1v9BVez3GapNWfADppaxqj,spotify:track:1v9BVez3GapNWfADppaxqj,https://api.spotify.com/v1/tracks/1v9BVez3GapNWfADppaxqj,https://api.spotify.com/v1/audio-analysis/1v9BVez3GapNWfADppaxqj,252520,4
Body to Body,0.631,0.786,0,-12.93,1,0.0463,0.0135,0,0.623,0.63,143.146,audio_features,38NUJ71SZ6h0RhWCTCt2wi,spotify:track:38NUJ71SZ6h0RhWCTCt2wi,https://api.spotify.com/v1/tracks/38NUJ71SZ6h0RhWCTCt2wi,https://api.spotify.com/v1/audio-analysis/38NUJ71SZ6h0RhWCTCt2wi,246867,4
あなたにLonely,0.798,0.674,2,-10.454,1,0.034,0.159,0.000141,0.265,0.884,125.737,audio_features,5bGaeWPs44LTu1I1g4pbBq,spotify:track:5bGaeWPs44LTu1I1g4pbBq,https://api.spotify.com/v1/tracks/5bGaeWPs44LTu1I1g4pbBq,https://api.spotify.com/v1/audio-analysis/5bGaeWPs44LTu1I1g4pbBq,271200,4
BLUE NOTE,0.64,0.397,8,-15.418,1,0.052,0.366,0.244,0.146,0.771,87.361,audio_features,5f0dlRnL7tfvAu9afKQm5J,spotify:track:5f0dlRnL7tfvAu9afKQm5J,https://api.spotify.com/v1/tracks/5f0dlRnL7tfvAu9afKQm5J,https://api.spotify.com/v1/audio-analysis/5f0dlRnL7tfvAu9afKQm5J,298467,4
Lonely Night,0.641,0.489,7,-12.526,1,0.252,0.0172,3.97e-05,0.072,0.529,184.612,audio_features,5TtJqLP1z3YlZU9wWYN1f2,spotify:track:5TtJqLP1z3YlZU9wWYN1f2,https://api.spotify.com/v1/tracks/5TtJqLP1z3YlZU9wWYN1f2,https://api.spotify.com/v1/audio-analysis/5TtJqLP1z3YlZU9wWYN1f2,144973,4
Sunny Side Love,0.677,0.643,7,-11.009,1,0.0358,0.478,0.000448,0.0921,0.715,112.743,audio_features,2PPDrIS739YmfrNf6aDgSo,spotify:track:2PPDrIS739YmfrNf6aDgSo,https://api.spotify.com/v1/tracks/2PPDrIS739YmfrNf6aDgSo,https://api.spotify.com/v1/audio-analysis/2PPDrIS739YmfrNf6aDgSo,263813,4
HANNYA,0.701,0.504,11,-11.918,1,0.061,0.0166,0.161,0.364,0.598,95.612,audio_features,2Llk7990yZI0IxOZ5oHSf3,spotify:track:2Llk7990yZI0IxOZ5oHSf3,https://api.spotify.com/v1/tracks/2Llk7990yZI0IxOZ5oHSf3,https://api.spotify.com/v1/audio-analysis/2Llk7990yZI0IxOZ5oHSf3,330160,5
ジ・レ・ン・マ,0.821,0.544,0,-14.936,1,0.0637,0.106,1.5e-05,0.893,0.845,137.816,audio_features,3fI0hrXFwip4dazI06uhNV,spotify:track:3fI0hrXFwip4dazI06uhNV,https://api.spotify.com/v1/tracks/3fI0hrXFwip4dazI06uhNV,https://api.spotify.com/v1/audio-analysis/3fI0hrXFwip4dazI06uhNV,213600,4
Drive To Love(愛の海へ),0.644,0.55,9,-13.427,1,0.0296,0.25,1.96e-05,0.0461,0.608,145.219,audio_features,5gBKxlA1fHVRdOxIh87XY1,spotify:track:5gBKxlA1fHVRdOxIh87XY1,https://api.spotify.com/v1/tracks/5gBKxlA1fHVRdOxIh87XY1,https://api.spotify.com/v1/audio-analysis/5gBKxlA1fHVRdOxIh87XY1,237867,4
しゃくなYesterday,0.837,0.322,7,-13.64,0,0.0654,0.0847,0,0.138,0.639,125.678,audio_features,40oWapqFCPOX6j633kgCBW,spotify:track:40oWapqFCPOX6j633kgCBW,https://api.spotify.com/v1/tracks/40oWapqFCPOX6j633kgCBW,https://api.spotify.com/v1/audio-analysis/40oWapqFCPOX6j633kgCBW,301507,4
"Baby, Don't You Cry Anymore",0.486,0.197,0,-14.841,1,0.0309,0.678,5.77e-06,0.0742,0.206,108.267,audio_features,0MvCBSXR7T4I5MRunn0PN9,spotify:track:0MvCBSXR7T4I5MRunn0PN9,https://api.spotify.com/v1/tracks/0MvCBSXR7T4I5MRunn0PN9,https://api.spotify.com/v1/audio-analysis/0MvCBSXR7T4I5MRunn0PN9,325893,4
Midnight Pretenders - 2022 restored version,0.729,0.583,0,-6.827,0,0.0259,0.123,0,0.101,0.474,93.111,audio_features,0ZKrcg6VdCEODZRjfNQdl3,spotify:track:0ZKrcg6VdCEODZRjfNQdl3,https://api.spotify.com/v1/tracks/0ZKrcg6VdCEODZRjfNQdl3,https://api.spotify.com/v1/audio-analysis/0ZKrcg6VdCEODZRjfNQdl3,343723,4
E☆SPY(エ・ス・パ・イ),0.78,0.508,4,-14.826,0,0.038,0.181,0.0925,0.132,0.631,125.823,audio_features,7yEvWHHcepxupJjnmFjp8f,spotify:track:7yEvWHHcepxupJjnmFjp8f,https://api.spotify.com/v1/tracks/7yEvWHHcepxupJjnmFjp8f,https://api.spotify.com/v1/audio-analysis/7yEvWHHcepxupJjnmFjp8f,234467,4
EVERYTHING,0.607,0.577,5,-9.143,0,0.0262,0.325,9.7e-06,0.136,0.401,114.407,audio_features,1jlZXHNkrWdEyiEJQsSoqw,spotify:track:1jlZXHNkrWdEyiEJQsSoqw,https://api.spotify.com/v1/tracks/1jlZXHNkrWdEyiEJQsSoqw,https://api.spotify.com/v1/audio-analysis/1jlZXHNkrWdEyiEJQsSoqw,283173,4
