name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
A・RA・SHI,0.439,0.953,9,-4.133,1,0.157,0.0305,0,0.132,0.475,120.432,audio_features,3hdd3WJLagemc3ynu6LyKE,spotify:track:3hdd3WJLagemc3ynu6LyKE,https://api.spotify.com/v1/tracks/3hdd3WJLagemc3ynu6LyKE,https://api.spotify.com/v1/audio-analysis/3hdd3WJLagemc3ynu6LyKE,267069,4
感謝カンゲキ雨嵐,0.612,0.915,6,-3.712,1,0.0458,0.00816,0,0.172,0.722,130.013,audio_features,14QzgobDQlHXrdwQEcbpRz,spotify:track:14QzgobDQlHXrdwQEcbpRz,https://api.spotify.com/v1/tracks/14QzgobDQlHXrdwQEcbpRz,https://api.spotify.com/v1/audio-analysis/14QzgobDQlHXrdwQEcbpRz,287699,4
サクラ咲ケ,0.429,0.924,0,-3.801,0,0.0431,0.0052,0.000328,0.132,0.518,167.342,audio_features,5k6DwtL38uTMioBwIxX0Lx,spotify:track:5k6DwtL38uTMioBwIxX0Lx,https://api.spotify.com/v1/tracks/5k6DwtL38uTMioBwIxX0Lx,https://api.spotify.com/v1/audio-analysis/5k6DwtL38uTMioBwIxX0Lx,262144,4
君のうた,0.561,0.858,1,-3.428,1,0.04,0.0164,0,0.0924,0.451,117.93,audio_features,16LTIvNG7DLSTc48flc1NZ,spotify:track:16LTIvNG7DLSTc48flc1NZ,https://api.spotify.com/v1/tracks/16LTIvNG7DLSTc48flc1NZ,https://api.spotify.com/v1/audio-analysis/16LTIvNG7DLSTc48flc1NZ,271397,4
Still...,0.736,0.867,2,-3.816,1,0.0286,0.0708,0,0.302,0.86,124.028,audio_features,5faMSCv87ayeUzjtlt1sp9,spotify:track:5faMSCv87ayeUzjtlt1sp9,https://api.spotify.com/v1/tracks/5faMSCv87ayeUzjtlt1sp9,https://api.spotify.com/v1/audio-analysis/5faMSCv87ayeUzjtlt1sp9,257717,4
マイガール,0.622,0.839,6,-3.825,1,0.0314,0.466,0,0.243,0.915,119.969,audio_features,6rCaPvmNWMCgrG7luwaHs5,spotify:track:6rCaPvmNWMCgrG7luwaHs5,https://api.spotify.com/v1/tracks/6rCaPvmNWMCgrG7luwaHs5,https://api.spotify.com/v1/audio-analysis/6rCaPvmNWMCgrG7luwaHs5,285190,4
Love so sweet,0.584,0.849,0,-3.983,1,0.0403,0.1,0,0.304,0.707,139.032,audio_features,10G6iBGzoMi9qXgDV9qyBy,spotify:track:10G6iBGzoMi9qXgDV9qyBy,https://api.spotify.com/v1/tracks/10G6iBGzoMi9qXgDV9qyBy,https://api.spotify.com/v1/audio-analysis/10G6iBGzoMi9qXgDV9qyBy,289846,4
Love Situation,0.768,0.885,11,-4.878,1,0.102,0.0437,0,0.0852,0.782,115.984,audio_features,3Ot75n5A5nhL01JtfXng2I,spotify:track:3Ot75n5A5nhL01JtfXng2I,https://api.spotify.com/v1/tracks/3Ot75n5A5nhL01JtfXng2I,https://api.spotify.com/v1/audio-analysis/3Ot75n5A5nhL01JtfXng2I,245798,4
Happiness,0.591,0.915,1,-3.018,1,0.0431,0.00649,0,0.0825,0.712,115.012,audio_features,0Ns63lt28epRgED3Tnhmth,spotify:track:0Ns63lt28epRgED3Tnhmth,https://api.spotify.com/v1/tracks/0Ns63lt28epRgED3Tnhmth,https://api.spotify.com/v1/audio-analysis/0Ns63lt28epRgED3Tnhmth,258251,4
Kite,0.469,0.477,1,-6.458,1,0.0305,0.666,0,0.734,0.558,177.882,audio_features,1BGxzKEro4oYDkERGF9tbz,spotify:track:1BGxzKEro4oYDkERGF9tbz,https://api.spotify.com/v1/tracks/1BGxzKEro4oYDkERGF9tbz,https://api.spotify.com/v1/audio-analysis/1BGxzKEro4oYDkERGF9tbz,283400,4
言葉より大切なもの,0.434,0.929,2,-3.738,1,0.0452,0.00408,0,0.093,0.67,168.641,audio_features,72TTklcEwZA03XJtnJ9m7t,spotify:track:72TTklcEwZA03XJtnJ9m7t,https://api.spotify.com/v1/tracks/72TTklcEwZA03XJtnJ9m7t,https://api.spotify.com/v1/audio-analysis/72TTklcEwZA03XJtnJ9m7t,241864,4
Monster,0.656,0.939,10,-4.042,0,0.0792,0.192,0,0.373,0.744,134.946,audio_features,7jqRTdBUqNhJaI0fKdOClO,spotify:track:7jqRTdBUqNhJaI0fKdOClO,https://api.spotify.com/v1/tracks/7jqRTdBUqNhJaI0fKdOClO,https://api.spotify.com/v1/audio-analysis/7jqRTdBUqNhJaI0fKdOClO,267515,4
Fight Song,0.62,0.9,9,-3.68,1,0.0438,0.00626,0,0.687,0.717,132.99,audio_features,52fvJXfZXvxq0WYN8npYUV,spotify:track:52fvJXfZXvxq0WYN8npYUV,https://api.spotify.com/v1/tracks/52fvJXfZXvxq0WYN8npYUV,https://api.spotify.com/v1/audio-analysis/52fvJXfZXvxq0WYN8npYUV,204998,4
Believe,0.58,0.968,11,-3.929,0,0.107,0.0854,0,0.248,0.56,126.018,audio_features,2vXuVpGXqIXF6KB2jeWhXI,spotify:track:2vXuVpGXqIXF6KB2jeWhXI,https://api.spotify.com/v1/tracks/2vXuVpGXqIXF6KB2jeWhXI,https://api.spotify.com/v1/audio-analysis/2vXuVpGXqIXF6KB2jeWhXI,284286,4
Find The Answer,0.576,0.919,7,-2.683,1,0.0489,0.506,0,0.473,0.677,131.046,audio_features,5Gap4rp2OPWWYxi517OG7L,spotify:track:5Gap4rp2OPWWYxi517OG7L,https://api.spotify.com/v1/tracks/5Gap4rp2OPWWYxi517OG7L,https://api.spotify.com/v1/audio-analysis/5Gap4rp2OPWWYxi517OG7L,241394,4
Troublemaker,0.629,0.939,0,-2.931,1,0.0542,0.0516,0,0.305,0.91,139.001,audio_features,5wbM5DwZfnfM0U1UFpq8xQ,spotify:track:5wbM5DwZfnfM0U1UFpq8xQ,https://api.spotify.com/v1/tracks/5wbM5DwZfnfM0U1UFpq8xQ,https://api.spotify.com/v1/audio-analysis/5wbM5DwZfnfM0U1UFpq8xQ,241112,4
Turning Up,0.769,0.817,1,-5.409,1,0.103,0.0225,1.03e-06,0.244,0.896,118.021,audio_features,4zdQmfTLWgGd5mAX4MUIaX,spotify:track:4zdQmfTLWgGd5mAX4MUIaX,https://api.spotify.com/v1/tracks/4zdQmfTLWgGd5mAX4MUIaX,https://api.spotify.com/v1/audio-analysis/4zdQmfTLWgGd5mAX4MUIaX,182633,4
果てない空,0.576,0.827,0,-3.623,1,0.0265,0.266,0,0.126,0.655,105.014,audio_features,6V90svq6ex0XsvLxgQ5dGm,spotify:track:6V90svq6ex0XsvLxgQ5dGm,https://api.spotify.com/v1/tracks/6V90svq6ex0XsvLxgQ5dGm,https://api.spotify.com/v1/audio-analysis/6V90svq6ex0XsvLxgQ5dGm,265279,4
One Love,0.553,0.937,10,-3.173,1,0.0461,0.194,0,0.405,0.693,102.982,audio_features,7eYJMiwmWFwVMbx2G39GgC,spotify:track:7eYJMiwmWFwVMbx2G39GgC,https://api.spotify.com/v1/tracks/7eYJMiwmWFwVMbx2G39GgC,https://api.spotify.com/v1/audio-analysis/7eYJMiwmWFwVMbx2G39GgC,285459,4
A・RA・SHI,0.439,0.953,9,-4.133,1,0.157,0.0305,0,0.132,0.475,120.432,audio_features,1wQFwOgGGOct9tmdMwDSXo,spotify:track:1wQFwOgGGOct9tmdMwDSXo,https://api.spotify.com/v1/tracks/1wQFwOgGGOct9tmdMwDSXo,https://api.spotify.com/v1/audio-analysis/1wQFwOgGGOct9tmdMwDSXo,267069,4
迷宮ラブソング,0.56,0.875,11,-3.434,1,0.0378,0.209,0,0.0827,0.593,130.966,audio_features,4qIQn9YSS8hPc6ItNjxySJ,spotify:track:4qIQn9YSS8hPc6ItNjxySJ,https://api.spotify.com/v1/tracks/4qIQn9YSS8hPc6ItNjxySJ,https://api.spotify.com/v1/audio-analysis/4qIQn9YSS8hPc6ItNjxySJ,276408,4
One Love,0.552,0.938,10,-3.179,1,0.0468,0.188,0,0.405,0.699,102.976,audio_features,3r6Am8NvUDbuS2Yqv76ivi,spotify:track:3r6Am8NvUDbuS2Yqv76ivi,https://api.spotify.com/v1/tracks/3r6Am8NvUDbuS2Yqv76ivi,https://api.spotify.com/v1/audio-analysis/3r6Am8NvUDbuS2Yqv76ivi,285459,4
