name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
はるがこないまち,0.846,0.552,2,-8.131,1,0.138,0.744,9.8e-06,0.0725,0.684,118.017,audio_features,68tErZtlVmIaa8ncbLe97C,spotify:track:68tErZtlVmIaa8ncbLe97C,https://api.spotify.com/v1/tracks/68tErZtlVmIaa8ncbLe97C,https://api.spotify.com/v1/audio-analysis/68tErZtlVmIaa8ncbLe97C,112881,4
11 vapor lamp (feat. 菅原圭),0.68,0.522,0,-8.222,0,0.0288,0.682,0.000231,0.176,0.38,102.033,audio_features,1bKbirnbLDBdGAdgarIoyX,spotify:track:1bKbirnbLDBdGAdgarIoyX,https://api.spotify.com/v1/tracks/1bKbirnbLDBdGAdgarIoyX,https://api.spotify.com/v1/audio-analysis/1bKbirnbLDBdGAdgarIoyX,204706,4
flare (feat. ちょまいよ),0.557,0.425,8,-10.751,0,0.315,0.745,0,0.0938,0.497,187.794,audio_features,2Gd0tQM3UoJxYa0A9UbPPq,spotify:track:2Gd0tQM3UoJxYa0A9UbPPq,https://api.spotify.com/v1/tracks/2Gd0tQM3UoJxYa0A9UbPPq,https://api.spotify.com/v1/audio-analysis/2Gd0tQM3UoJxYa0A9UbPPq,128250,4
メゾン (feat. ちょまいよ),0.736,0.509,3,-7.668,1,0.0264,0.367,0,0.127,0.589,96.063,audio_features,1B9P7iP5PARAJEbmD7DoHJ,spotify:track:1B9P7iP5PARAJEbmD7DoHJ,https://api.spotify.com/v1/tracks/1B9P7iP5PARAJEbmD7DoHJ,https://api.spotify.com/v1/audio-analysis/1B9P7iP5PARAJEbmD7DoHJ,171875,4
水色照明,0.803,0.901,7,-2.291,1,0.0407,0.509,0,0.359,0.906,110.002,audio_features,7ypM0exRoYdX3Txg7xiDUp,spotify:track:7ypM0exRoYdX3Txg7xiDUp,https://api.spotify.com/v1/tracks/7ypM0exRoYdX3Txg7xiDUp,https://api.spotify.com/v1/audio-analysis/7ypM0exRoYdX3Txg7xiDUp,185727,4
Mayday,0.672,0.522,1,-10.976,0,0.0426,0.231,0.207,0.285,0.317,92.018,audio_features,2d9BbOlJNwsOocA5qmUerC,spotify:track:2d9BbOlJNwsOocA5qmUerC,https://api.spotify.com/v1/tracks/2d9BbOlJNwsOocA5qmUerC,https://api.spotify.com/v1/audio-analysis/2d9BbOlJNwsOocA5qmUerC,143478,4
染まるよ,0.725,0.316,1,-8.782,1,0.0412,0.747,0,0.342,0.243,74.98,audio_features,0mRIUSCG0w5PmpB4GFsuQx,spotify:track:0mRIUSCG0w5PmpB4GFsuQx,https://api.spotify.com/v1/tracks/0mRIUSCG0w5PmpB4GFsuQx,https://api.spotify.com/v1/audio-analysis/0mRIUSCG0w5PmpB4GFsuQx,219852,4
prize problems,0.871,0.384,2,-10.685,1,0.0594,0.65,2.74e-05,0.153,0.747,116.012,audio_features,4virGFwhhI5HoESWhg1nH5,spotify:track:4virGFwhhI5HoESWhg1nH5,https://api.spotify.com/v1/tracks/4virGFwhhI5HoESWhg1nH5,https://api.spotify.com/v1/audio-analysis/4virGFwhhI5HoESWhg1nH5,139267,4
メゾン,0.691,0.527,3,-7.054,1,0.0269,0.545,1.37e-06,0.143,0.584,96.034,audio_features,66tuicDoJazVuQ76mlQkLy,spotify:track:66tuicDoJazVuQ76mlQkLy,https://api.spotify.com/v1/tracks/66tuicDoJazVuQ76mlQkLy,https://api.spotify.com/v1/audio-analysis/66tuicDoJazVuQ76mlQkLy,171875,4
天使 - Vo.edit,0.645,0.29,11,-9.35,0,0.0834,0.738,2.1e-05,0.0866,0.397,62.104,audio_features,3BjlimrmDOotVjUrSfStuF,spotify:track:3BjlimrmDOotVjUrSfStuF,https://api.spotify.com/v1/tracks/3BjlimrmDOotVjUrSfStuF,https://api.spotify.com/v1/audio-analysis/3BjlimrmDOotVjUrSfStuF,169839,4
ゴーストレストラン,0.807,0.489,2,-9.217,1,0.0539,0.261,0.00121,0.351,0.708,101.982,audio_features,5QIEDxlGjRCt0nHPcnlxll,spotify:track:5QIEDxlGjRCt0nHPcnlxll,https://api.spotify.com/v1/tracks/5QIEDxlGjRCt0nHPcnlxll,https://api.spotify.com/v1/audio-analysis/5QIEDxlGjRCt0nHPcnlxll,160588,4
