name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ヒーロー,0.597,0.951,9,-5.16,0,0.0517,0.574,0,0.325,0.73,150.158,audio_features,0Xzj1SxgExK9mQVxu4o57n,spotify:track:0Xzj1SxgExK9mQVxu4o57n,https://api.spotify.com/v1/tracks/0Xzj1SxgExK9mQVxu4o57n,https://api.spotify.com/v1/audio-analysis/0Xzj1SxgExK9mQVxu4o57n,291853,4
Holding Out for a Hero - Dance Version,0.52,0.874,9,-4.514,0,0.069,0.0163,0,0.342,0.707,149.909,audio_features,2c8rnTWMuOfa1BisGL3ABI,spotify:track:2c8rnTWMuOfa1BisGL3ABI,https://api.spotify.com/v1/tracks/2c8rnTWMuOfa1BisGL3ABI,https://api.spotify.com/v1/audio-analysis/2c8rnTWMuOfa1BisGL3ABI,294080,4
What a feeking(Flashdance) ホワット・ア・フィーリング~フラッシュダンス,0.627,0.747,7,-6.568,0,0.0313,0.284,2.87e-05,0.587,0.537,127.609,audio_features,51bfJ6XZ4Zhw9cPCbwcQWs,spotify:track:51bfJ6XZ4Zhw9cPCbwcQWs,https://api.spotify.com/v1/tracks/51bfJ6XZ4Zhw9cPCbwcQWs,https://api.spotify.com/v1/audio-analysis/51bfJ6XZ4Zhw9cPCbwcQWs,232733,4
ヒーロー HOLDING OUT FOR A HERO(40th year recording version),0.655,0.962,0,-3.204,1,0.079,0.0817,1.31e-06,0.205,0.571,150.381,audio_features,6slzWAGGPR96qrNok9NhBN,spotify:track:6slzWAGGPR96qrNok9NhBN,https://api.spotify.com/v1/tracks/6slzWAGGPR96qrNok9NhBN,https://api.spotify.com/v1/audio-analysis/6slzWAGGPR96qrNok9NhBN,282253,4
RUNAWAY,0.611,0.862,2,-7.01,0,0.0466,0.169,0.0118,0.142,0.765,156.069,audio_features,3u51e1QhL3AxUsFkd2UFCy,spotify:track:3u51e1QhL3AxUsFkd2UFCy,https://api.spotify.com/v1/tracks/3u51e1QhL3AxUsFkd2UFCy,https://api.spotify.com/v1/audio-analysis/3u51e1QhL3AxUsFkd2UFCy,223880,4
ミスティ・トワイライト,0.641,0.502,5,-9.736,0,0.0392,0.768,4.96e-05,0.141,0.872,86.206,audio_features,1Ii990kV3OR9aoD4sOiij1,spotify:track:1Ii990kV3OR9aoD4sOiij1,https://api.spotify.com/v1/tracks/1Ii990kV3OR9aoD4sOiij1,https://api.spotify.com/v1/audio-analysis/1Ii990kV3OR9aoD4sOiij1,221067,4
黄昏ダンシング,0.699,0.751,5,-7.152,0,0.0364,0.263,1.08e-06,0.215,0.654,139.863,audio_features,2fBhQ2mKnji760CHW4GQ3P,spotify:track:2fBhQ2mKnji760CHW4GQ3P,https://api.spotify.com/v1/tracks/2fBhQ2mKnji760CHW4GQ3P,https://api.spotify.com/v1/audio-analysis/2fBhQ2mKnji760CHW4GQ3P,232733,4
ヒーロー HOLDING OUT FOR A HERO,0.563,0.972,9,-2.731,0,0.0652,0.333,0,0.355,0.655,150.14,audio_features,7vPm95zp2EL0QNVBokLKp4,spotify:track:7vPm95zp2EL0QNVBokLKp4,https://api.spotify.com/v1/tracks/7vPm95zp2EL0QNVBokLKp4,https://api.spotify.com/v1/audio-analysis/7vPm95zp2EL0QNVBokLKp4,291280,4
ヒーロー HOLDING OUT FOR A HERO - Anniversary ver.,0.506,0.701,7,-3.335,0,0.0351,0.11,1.83e-05,0.131,0.51,145.896,audio_features,3Jhj4UBienrHthusRbFH2r,spotify:track:3Jhj4UBienrHthusRbFH2r,https://api.spotify.com/v1/tracks/3Jhj4UBienrHthusRbFH2r,https://api.spotify.com/v1/audio-analysis/3Jhj4UBienrHthusRbFH2r,300533,4
ヒーロー~Holding out for a hero~(Dance ver.),0.519,0.924,9,-2.331,0,0.0727,0.0208,0,0.343,0.7,149.909,audio_features,5AQhAaWQSlrA1Jqw9cufGk,spotify:track:5AQhAaWQSlrA1Jqw9cufGk,https://api.spotify.com/v1/tracks/5AQhAaWQSlrA1Jqw9cufGk,https://api.spotify.com/v1/audio-analysis/5AQhAaWQSlrA1Jqw9cufGk,295893,4
NEVER,0.589,0.883,10,-4.222,0,0.0403,0.025,1.24e-05,0.393,0.656,139.237,audio_features,21uJsgEYcD57xnkOWHFRdi,spotify:track:21uJsgEYcD57xnkOWHFRdi,https://api.spotify.com/v1/tracks/21uJsgEYcD57xnkOWHFRdi,https://api.spotify.com/v1/audio-analysis/21uJsgEYcD57xnkOWHFRdi,232907,4
Snowbird,0.647,0.604,8,-8.082,0,0.0389,0.656,0.000136,0.17,0.769,90.526,audio_features,3AZFegYfm7qrD7GjP88ENw,spotify:track:3AZFegYfm7qrD7GjP88ENw,https://api.spotify.com/v1/tracks/3AZFegYfm7qrD7GjP88ENw,https://api.spotify.com/v1/audio-analysis/3AZFegYfm7qrD7GjP88ENw,225373,4
ホワット・ア・フィーリング~フラッシュダンス - Anniversary ver.,0.559,0.637,10,-3.626,1,0.0369,0.441,7.44e-05,0.201,0.368,132.062,audio_features,6UeYUKA0UrmXuDQGmYwKwU,spotify:track:6UeYUKA0UrmXuDQGmYwKwU,https://api.spotify.com/v1/tracks/6UeYUKA0UrmXuDQGmYwKwU,https://api.spotify.com/v1/audio-analysis/6UeYUKA0UrmXuDQGmYwKwU,217053,4
黒いパンプス,0.658,0.684,7,-7.319,0,0.0323,0.292,7.03e-06,0.427,0.653,128.82,audio_features,5gQthRkyESzMTPoM8OtC7L,spotify:track:5gQthRkyESzMTPoM8OtC7L,https://api.spotify.com/v1/tracks/5gQthRkyESzMTPoM8OtC7L,https://api.spotify.com/v1/audio-analysis/5gQthRkyESzMTPoM8OtC7L,255147,4
マジカル・サマー,0.519,0.577,5,-9.244,0,0.0304,0.0292,0.000175,0.254,0.722,121.361,audio_features,4ZOeADMuIsPcw0zFbR6wY7,spotify:track:4ZOeADMuIsPcw0zFbR6wY7,https://api.spotify.com/v1/tracks/4ZOeADMuIsPcw0zFbR6wY7,https://api.spotify.com/v1/audio-analysis/4ZOeADMuIsPcw0zFbR6wY7,214227,4
ホワット・ア・フィーリング~フラッシュダンス WHAT A FEELING~,0.59,0.876,7,-3.518,0,0.0406,0.252,5.02e-05,0.342,0.433,127.014,audio_features,0Hfu4d7yLSCKu1tDkZ8RIv,spotify:track:0Hfu4d7yLSCKu1tDkZ8RIv,https://api.spotify.com/v1/tracks/0Hfu4d7yLSCKu1tDkZ8RIv,https://api.spotify.com/v1/audio-analysis/0Hfu4d7yLSCKu1tDkZ8RIv,232893,4
それだけの旅 - グリコ・チョコレート・ディオーネCMソング,0.577,0.422,10,-9.749,0,0.0283,0.431,0.000133,0.139,0.644,80.722,audio_features,4yuRJOOS0sa36Nr3xo8Hip,spotify:track:4yuRJOOS0sa36Nr3xo8Hip,https://api.spotify.com/v1/tracks/4yuRJOOS0sa36Nr3xo8Hip,https://api.spotify.com/v1/audio-analysis/4yuRJOOS0sa36Nr3xo8Hip,268507,4
千億の恋人,0.594,0.954,9,-5.851,1,0.055,0.18,0.0316,0.329,0.96,168.935,audio_features,7nBYqvaYRsfk12MLa7mxfC,spotify:track:7nBYqvaYRsfk12MLa7mxfC,https://api.spotify.com/v1/tracks/7nBYqvaYRsfk12MLa7mxfC,https://api.spotify.com/v1/audio-analysis/7nBYqvaYRsfk12MLa7mxfC,241773,4
リメンバー・ターン,0.663,0.594,9,-7.491,1,0.0304,0.027,0.000239,0.118,0.572,118.409,audio_features,5Wn3ejDSMFtNxvdhqiN9so,spotify:track:5Wn3ejDSMFtNxvdhqiN9so,https://api.spotify.com/v1/tracks/5Wn3ejDSMFtNxvdhqiN9so,https://api.spotify.com/v1/audio-analysis/5Wn3ejDSMFtNxvdhqiN9so,262347,4
愛はウィングス,0.556,0.799,1,-5.384,1,0.0386,0.264,0.00107,0.0674,0.509,154.911,audio_features,1Ri9gMRL2R5oqPDZuJEYYx,spotify:track:1Ri9gMRL2R5oqPDZuJEYYx,https://api.spotify.com/v1/tracks/1Ri9gMRL2R5oqPDZuJEYYx,https://api.spotify.com/v1/audio-analysis/1Ri9gMRL2R5oqPDZuJEYYx,296520,4
Be My Life,0.745,0.864,1,-7.17,1,0.039,0.345,0.00027,0.0577,0.895,123.997,audio_features,1Np1nnDPEeDK0y7TFbWxbH,spotify:track:1Np1nnDPEeDK0y7TFbWxbH,https://api.spotify.com/v1/tracks/1Np1nnDPEeDK0y7TFbWxbH,https://api.spotify.com/v1/audio-analysis/1Np1nnDPEeDK0y7TFbWxbH,282427,4
RUNAWAY,0.57,0.916,2,-3.699,0,0.0496,0.156,0.00191,0.131,0.793,156.186,audio_features,466hSq0mfAFdOmvLYuHs7n,spotify:track:466hSq0mfAFdOmvLYuHs7n,https://api.spotify.com/v1/tracks/466hSq0mfAFdOmvLYuHs7n,https://api.spotify.com/v1/audio-analysis/466hSq0mfAFdOmvLYuHs7n,223613,4
Dreams Come True,0.464,0.441,3,-8.97,1,0.0289,0.583,5.74e-05,0.101,0.391,80.604,audio_features,6MOgJ4QWCVO7TXnhvHhejV,spotify:track:6MOgJ4QWCVO7TXnhvHhejV,https://api.spotify.com/v1/tracks/6MOgJ4QWCVO7TXnhvHhejV,https://api.spotify.com/v1/audio-analysis/6MOgJ4QWCVO7TXnhvHhejV,277093,4
駅,0.656,0.463,1,-6.183,0,0.0339,0.734,1.43e-06,0.102,0.314,95.98,audio_features,6liHY9cCfVPyWGBONd1fPz,spotify:track:6liHY9cCfVPyWGBONd1fPz,https://api.spotify.com/v1/tracks/6liHY9cCfVPyWGBONd1fPz,https://api.spotify.com/v1/audio-analysis/6liHY9cCfVPyWGBONd1fPz,275893,4
CHA-CHA-CHA,0.849,0.883,6,-5.345,1,0.0302,0.0411,5.9e-06,0.359,0.966,124.02,audio_features,2VIojzyCh4mX1evyyRWAdb,spotify:track:2VIojzyCh4mX1evyyRWAdb,https://api.spotify.com/v1/tracks/2VIojzyCh4mX1evyyRWAdb,https://api.spotify.com/v1/audio-analysis/2VIojzyCh4mX1evyyRWAdb,220800,4
愛は眠らない,0.625,0.599,11,-5.44,1,0.0288,0.549,0,0.116,0.4,123.186,audio_features,6AEBTMNez8isoUtxQC6u65,spotify:track:6AEBTMNez8isoUtxQC6u65,https://api.spotify.com/v1/tracks/6AEBTMNez8isoUtxQC6u65,https://api.spotify.com/v1/audio-analysis/6AEBTMNez8isoUtxQC6u65,215320,4
PRIDE,0.651,0.403,10,-8.318,1,0.026,0.644,7.13e-06,0.114,0.268,110.971,audio_features,48Bv0utz355TAg56zktbJ8,spotify:track:48Bv0utz355TAg56zktbJ8,https://api.spotify.com/v1/tracks/48Bv0utz355TAg56zktbJ8,https://api.spotify.com/v1/audio-analysis/48Bv0utz355TAg56zktbJ8,365680,4
SHOW ME,0.748,0.821,11,-5.517,1,0.079,0.104,0,0.238,0.926,115.91,audio_features,7cN3FQMTVChQAC2BD4VBgh,spotify:track:7cN3FQMTVChQAC2BD4VBgh,https://api.spotify.com/v1/tracks/7cN3FQMTVChQAC2BD4VBgh,https://api.spotify.com/v1/audio-analysis/7cN3FQMTVChQAC2BD4VBgh,263960,4
リバーサイド ホテル,0.941,0.517,7,-7.85,1,0.0427,0.0766,2.41e-06,0.0643,0.888,121.473,audio_features,0areCHkYKb5imTxIJHNBOL,spotify:track:0areCHkYKb5imTxIJHNBOL,https://api.spotify.com/v1/tracks/0areCHkYKb5imTxIJHNBOL,https://api.spotify.com/v1/audio-analysis/0areCHkYKb5imTxIJHNBOL,234893,4
The breath of life,0.682,0.502,8,-6.714,1,0.0259,0.753,2.51e-06,0.105,0.368,109.938,audio_features,3nzhEJf4FhXEBR5w6ILYYU,spotify:track:3nzhEJf4FhXEBR5w6ILYYU,https://api.spotify.com/v1/tracks/3nzhEJf4FhXEBR5w6ILYYU,https://api.spotify.com/v1/audio-analysis/3nzhEJf4FhXEBR5w6ILYYU,298173,4
