name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1/6 -out of the gravity- -MIKUNOPOLIS in LOS ANGELES Live-,0.471,0.954,11,-4.238,1,0.0633,0.0814,0,0.961,0.556,125.036,audio_features,7aO5JsjJXsmVbmCqrrPZgS,spotify:track:7aO5JsjJXsmVbmCqrrPZgS,https://api.spotify.com/v1/tracks/7aO5JsjJXsmVbmCqrrPZgS,https://api.spotify.com/v1/audio-analysis/7aO5JsjJXsmVbmCqrrPZgS,140600,4
1/6 -Out Of The Gravity-,0.59,0.715,11,-3.683,1,0.0342,0.223,0,0.0653,0.695,124.986,audio_features,10S3wjd7zsxao0H0Q59Nq3,spotify:track:10S3wjd7zsxao0H0Q59Nq3,https://api.spotify.com/v1/tracks/10S3wjd7zsxao0H0Q59Nq3,https://api.spotify.com/v1/audio-analysis/10S3wjd7zsxao0H0Q59Nq3,272640,4
人と事象が巡りあう確率についての朝の考察,0.924,0.784,7,-3.899,1,0.0497,0.404,2.75e-05,0.0448,0.972,109.986,audio_features,1iWocacpGmz8obugGpnogA,spotify:track:1iWocacpGmz8obugGpnogA,https://api.spotify.com/v1/tracks/1iWocacpGmz8obugGpnogA,https://api.spotify.com/v1/audio-analysis/1iWocacpGmz8obugGpnogA,121262,4
コユビ,0.714,0.671,7,-3.534,1,0.0385,0.0185,5.37e-05,0.107,0.833,124.009,audio_features,1f99iQNgpgGX6mesHHk3Pe,spotify:track:1f99iQNgpgGX6mesHHk3Pe,https://api.spotify.com/v1/tracks/1f99iQNgpgGX6mesHHk3Pe,https://api.spotify.com/v1/audio-analysis/1f99iQNgpgGX6mesHHk3Pe,283000,4
サイサリス,0.528,0.945,7,-4.218,1,0.0605,0.0187,0.0495,0.251,0.665,190.075,audio_features,2Gr6Ug7eKtVEYlouXhceyy,spotify:track:2Gr6Ug7eKtVEYlouXhceyy,https://api.spotify.com/v1/tracks/2Gr6Ug7eKtVEYlouXhceyy,https://api.spotify.com/v1/audio-analysis/2Gr6Ug7eKtVEYlouXhceyy,265040,4
偽善者に告ぐ,0.684,0.937,9,-4.363,0,0.0581,0.00611,0.838,0.0547,0.62,120.06,audio_features,5ulT3gpTC8OY7HQZ03L6al,spotify:track:5ulT3gpTC8OY7HQZ03L6al,https://api.spotify.com/v1/tracks/5ulT3gpTC8OY7HQZ03L6al,https://api.spotify.com/v1/audio-analysis/5ulT3gpTC8OY7HQZ03L6al,100000,4
ゼロへ,0.4,0.901,1,-2.982,0,0.0564,0.108,7.69e-06,0.177,0.509,189.982,audio_features,1jZE5SHmH3u9GoPkGvp51Z,spotify:track:1jZE5SHmH3u9GoPkGvp51Z,https://api.spotify.com/v1/tracks/1jZE5SHmH3u9GoPkGvp51Z,https://api.spotify.com/v1/audio-analysis/1jZE5SHmH3u9GoPkGvp51Z,233511,4
Randomize,0.635,0.915,4,-4.409,0,0.0341,0.0368,0.00528,0.0409,0.872,119.972,audio_features,1FQlNaRrXl1aOrmh5PxnFJ,spotify:track:1FQlNaRrXl1aOrmh5PxnFJ,https://api.spotify.com/v1/tracks/1FQlNaRrXl1aOrmh5PxnFJ,https://api.spotify.com/v1/audio-analysis/1FQlNaRrXl1aOrmh5PxnFJ,197000,4
once upon a future time,0.657,0.814,9,-3.774,1,0.0389,0.00456,1.48e-05,0.178,0.963,125.014,audio_features,1vXqH3eNXT0RGEkgATnvS2,spotify:track:1vXqH3eNXT0RGEkgATnvS2,https://api.spotify.com/v1/tracks/1vXqH3eNXT0RGEkgATnvS2,https://api.spotify.com/v1/audio-analysis/1vXqH3eNXT0RGEkgATnvS2,194000,4
because the sky is,0.682,0.833,4,-4.463,1,0.0346,0.0255,0.000338,0.0711,0.949,125.021,audio_features,3aQbTKooZmX5IESstU83XW,spotify:track:3aQbTKooZmX5IESstU83XW,https://api.spotify.com/v1/tracks/3aQbTKooZmX5IESstU83XW,https://api.spotify.com/v1/audio-analysis/3aQbTKooZmX5IESstU83XW,263247,4
happily ever after,0.57,0.543,7,-4.51,1,0.028,0.00153,0.00027,0.0753,0.49,89.998,audio_features,7r9ia2617Krv4ve6Rv8fM8,spotify:track:7r9ia2617Krv4ve6Rv8fM8,https://api.spotify.com/v1/tracks/7r9ia2617Krv4ve6Rv8fM8,https://api.spotify.com/v1/audio-analysis/7r9ia2617Krv4ve6Rv8fM8,294000,4
リトル・リトル・スターウォーズ,0.598,0.909,1,-3.879,0,0.0361,0.13,0.00669,0.0857,0.64,104.963,audio_features,6BwIZbd0aQMsnCGyU2V3Rs,spotify:track:6BwIZbd0aQMsnCGyU2V3Rs,https://api.spotify.com/v1/tracks/6BwIZbd0aQMsnCGyU2V3Rs,https://api.spotify.com/v1/audio-analysis/6BwIZbd0aQMsnCGyU2V3Rs,234993,3
リユニオン,0.207,0.903,1,-3.519,1,0.0578,0.00163,1.8e-05,0.37,0.25,200.007,audio_features,1LZURT57y5SHghrGWmIlRE,spotify:track:1LZURT57y5SHghrGWmIlRE,https://api.spotify.com/v1/tracks/1LZURT57y5SHghrGWmIlRE,https://api.spotify.com/v1/audio-analysis/1LZURT57y5SHghrGWmIlRE,222000,4
少女は境界線を飛び越える,0.683,0.814,7,-2.704,1,0.0571,0.0257,0.381,0.139,0.797,100.04,audio_features,72j9HwhOnoou7lW0M2nZDT,spotify:track:72j9HwhOnoou7lW0M2nZDT,https://api.spotify.com/v1/tracks/72j9HwhOnoou7lW0M2nZDT,https://api.spotify.com/v1/audio-analysis/72j9HwhOnoou7lW0M2nZDT,222000,4
doppelganger,0.379,0.88,6,-3.272,1,0.0403,0.0594,0,0.129,0.57,179.973,audio_features,7fsGOWzVcbiIkg6hCgNrjC,spotify:track:7fsGOWzVcbiIkg6hCgNrjC,https://api.spotify.com/v1/tracks/7fsGOWzVcbiIkg6hCgNrjC,https://api.spotify.com/v1/audio-analysis/7fsGOWzVcbiIkg6hCgNrjC,245754,4
鈴木と田中と佐藤,0.485,0.977,4,-3.549,1,0.106,0.157,0,0.14,0.662,189.966,audio_features,3uAfRBczE42zCBnufcO1kM,spotify:track:3uAfRBczE42zCBnufcO1kM,https://api.spotify.com/v1/tracks/3uAfRBczE42zCBnufcO1kM,https://api.spotify.com/v1/audio-analysis/3uAfRBczE42zCBnufcO1kM,168774,4
NOT,0.604,0.725,7,-4.289,1,0.0315,0.0358,0.0055,0.259,0.818,150.025,audio_features,4rWq1hJwSAayZZoFJV6UQd,spotify:track:4rWq1hJwSAayZZoFJV6UQd,https://api.spotify.com/v1/tracks/4rWq1hJwSAayZZoFJV6UQd,https://api.spotify.com/v1/audio-analysis/4rWq1hJwSAayZZoFJV6UQd,240957,4
%,0.815,0.79,2,-5.473,1,0.0297,0.643,0,0.283,0.734,119.975,audio_features,1iQXXet2Pc4rwaaCdATwGl,spotify:track:1iQXXet2Pc4rwaaCdATwGl,https://api.spotify.com/v1/tracks/1iQXXet2Pc4rwaaCdATwGl,https://api.spotify.com/v1/audio-analysis/1iQXXet2Pc4rwaaCdATwGl,275472,4
φ,0.379,0.772,0,-4.798,1,0.0382,0.0109,0,0.348,0.289,129.987,audio_features,3OqoGnSEs67wOIg8ftDk49,spotify:track:3OqoGnSEs67wOIg8ftDk49,https://api.spotify.com/v1/tracks/3OqoGnSEs67wOIg8ftDk49,https://api.spotify.com/v1/audio-analysis/3OqoGnSEs67wOIg8ftDk49,147977,4
ミライトカイテ,0.42,0.957,9,-2.476,1,0.0741,0.0265,2.06e-05,0.13,0.538,180.021,audio_features,5AyYxDHqpf7M6IfLz8TXzv,spotify:track:5AyYxDHqpf7M6IfLz8TXzv,https://api.spotify.com/v1/tracks/5AyYxDHqpf7M6IfLz8TXzv,https://api.spotify.com/v1/audio-analysis/5AyYxDHqpf7M6IfLz8TXzv,246000,4
apricot,0.439,0.925,7,-2.757,1,0.0441,0.23,0,0.0804,0.531,179.968,audio_features,5FaKZlm1o8ukncVTByE2Zy,spotify:track:5FaKZlm1o8ukncVTByE2Zy,https://api.spotify.com/v1/tracks/5FaKZlm1o8ukncVTByE2Zy,https://api.spotify.com/v1/audio-analysis/5FaKZlm1o8ukncVTByE2Zy,281648,4
Thursday,0.828,0.648,2,-5.443,1,0.0492,0.426,0.000177,0.114,0.981,119.981,audio_features,7b9bie8V9KWCobVnxz6Tci,spotify:track:7b9bie8V9KWCobVnxz6Tci,https://api.spotify.com/v1/tracks/7b9bie8V9KWCobVnxz6Tci,https://api.spotify.com/v1/audio-analysis/7b9bie8V9KWCobVnxz6Tci,160176,4
