name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
秘密警察,0.541,0.942,1,-2.938,0,0.153,0.00029,0.0938,0.339,0.407,99.98,audio_features,4yuoWqZccnf2YsaCS2nNQP,spotify:track:4yuoWqZccnf2YsaCS2nNQP,https://api.spotify.com/v1/tracks/4yuoWqZccnf2YsaCS2nNQP,https://api.spotify.com/v1/audio-analysis/4yuoWqZccnf2YsaCS2nNQP,210000,4
秘密警察 -MIKU EXPO 2014 in INDONESIA Live-,0.394,0.997,1,-2.396,0,0.159,0.0023,0.000226,0.486,0.119,99.974,audio_features,6V7s1anQ0ydmW8JIYlwlOq,spotify:track:6V7s1anQ0ydmW8JIYlwlOq,https://api.spotify.com/v1/tracks/6V7s1anQ0ydmW8JIYlwlOq,https://api.spotify.com/v1/audio-analysis/6V7s1anQ0ydmW8JIYlwlOq,179334,4
デウス・エクス・マキナ,0.598,0.963,4,-1.628,0,0.149,0.00825,0.00691,0.0647,0.586,110.015,audio_features,6FmWi1JfbKdzxIN5mV3axC,spotify:track:6FmWi1JfbKdzxIN5mV3axC,https://api.spotify.com/v1/tracks/6FmWi1JfbKdzxIN5mV3axC,https://api.spotify.com/v1/audio-analysis/6FmWi1JfbKdzxIN5mV3axC,225000,4
夜霧のベルロード,0.776,0.665,1,-4.123,0,0.0351,0.0515,2.09e-05,0.0993,0.966,119.994,audio_features,4yANGrSr4vYc1iDW8SbtVN,spotify:track:4yANGrSr4vYc1iDW8SbtVN,https://api.spotify.com/v1/tracks/4yANGrSr4vYc1iDW8SbtVN,https://api.spotify.com/v1/audio-analysis/4yANGrSr4vYc1iDW8SbtVN,131982,4
トーキョー・シティポップ (feat. 巡音ルカ),0.614,0.726,11,-8.604,0,0.0371,0.0814,0.000104,0.319,0.16,127.954,audio_features,35oxbkJCGZVeD82L0rLWw8,spotify:track:35oxbkJCGZVeD82L0rLWw8,https://api.spotify.com/v1/tracks/35oxbkJCGZVeD82L0rLWw8,https://api.spotify.com/v1/audio-analysis/35oxbkJCGZVeD82L0rLWw8,180938,4
どうでもいい!,0.533,0.796,0,-1.454,1,0.0534,0.227,0,0.0358,0.863,160.051,audio_features,0h11xfs1jszmVT1kWeYNgI,spotify:track:0h11xfs1jszmVT1kWeYNgI,https://api.spotify.com/v1/tracks/0h11xfs1jszmVT1kWeYNgI,https://api.spotify.com/v1/audio-analysis/0h11xfs1jszmVT1kWeYNgI,178000,4
白いリボン,0.466,0.911,4,-1.976,0,0.0409,0.435,2.93e-06,0.181,0.783,165.074,audio_features,6bUd2wbadnFSGJuTYgKNRV,spotify:track:6bUd2wbadnFSGJuTYgKNRV,https://api.spotify.com/v1/tracks/6bUd2wbadnFSGJuTYgKNRV,https://api.spotify.com/v1/audio-analysis/6bUd2wbadnFSGJuTYgKNRV,189000,4
秘密警察 -Confidential ver.-,0.418,0.711,11,-3.193,0,0.0479,0.000627,8.06e-05,0.127,0.425,199.702,audio_features,6k43RIcGOMO3xpMz3pZ3uq,spotify:track:6k43RIcGOMO3xpMz3pZ3uq,https://api.spotify.com/v1/tracks/6k43RIcGOMO3xpMz3pZ3uq,https://api.spotify.com/v1/audio-analysis/6k43RIcGOMO3xpMz3pZ3uq,205999,4
Himitsu Keisatsu,0.522,0.982,3,-1.62,0,0.282,0.00121,1.42e-06,0.321,0.318,99.966,audio_features,5JVNLTxvfwj2IPEecW2qft,spotify:track:5JVNLTxvfwj2IPEecW2qft,https://api.spotify.com/v1/tracks/5JVNLTxvfwj2IPEecW2qft,https://api.spotify.com/v1/audio-analysis/5JVNLTxvfwj2IPEecW2qft,210000,4
バナナのうた (feat. 鏡音リン&鏡音レン),0.713,0.794,11,-8.684,1,0.0425,0.0761,3.76e-05,0.109,0.947,140.058,audio_features,7euqgEB0wLcJ9IOC5HF9tD,spotify:track:7euqgEB0wLcJ9IOC5HF9tD,https://api.spotify.com/v1/tracks/7euqgEB0wLcJ9IOC5HF9tD,https://api.spotify.com/v1/audio-analysis/7euqgEB0wLcJ9IOC5HF9tD,155585,4
