name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
好きって言って,0.674,0.909,7,-1.44,0,0.0487,0.00278,0.306,0.313,0.982,97.503,audio_features,3vCLTwRBF4kSgmO6T6OS2I,spotify:track:3vCLTwRBF4kSgmO6T6OS2I,https://api.spotify.com/v1/tracks/3vCLTwRBF4kSgmO6T6OS2I,https://api.spotify.com/v1/audio-analysis/3vCLTwRBF4kSgmO6T6OS2I,192000,4
愛と正義とリボルバー,0.651,0.92,6,-1.846,0,0.115,0.106,0.0371,0.0948,0.964,170.035,audio_features,71TIA1O2e64eyovvp0odi0,spotify:track:71TIA1O2e64eyovvp0odi0,https://api.spotify.com/v1/tracks/71TIA1O2e64eyovvp0odi0,https://api.spotify.com/v1/audio-analysis/71TIA1O2e64eyovvp0odi0,206118,4
笑門来福,0.496,0.979,11,-0.347,0,0.12,0.356,0.00162,0.317,0.881,180.134,audio_features,4tLaar7J7f8p2qKpn1yIhT,spotify:track:4tLaar7J7f8p2qKpn1yIhT,https://api.spotify.com/v1/tracks/4tLaar7J7f8p2qKpn1yIhT,https://api.spotify.com/v1/audio-analysis/4tLaar7J7f8p2qKpn1yIhT,205333,4
アリアリズム,0.608,0.938,9,-1.852,0,0.0556,0.0285,0.0451,0.101,0.774,97.507,audio_features,43Dmgj5JvVJNEypmvObqb8,spotify:track:43Dmgj5JvVJNEypmvObqb8,https://api.spotify.com/v1/tracks/43Dmgj5JvVJNEypmvObqb8,https://api.spotify.com/v1/audio-analysis/43Dmgj5JvVJNEypmvObqb8,194462,4
チャイナガール,0.48,0.905,0,-0.888,1,0.0682,0.138,0.008,0.0649,0.971,179.933,audio_features,3aoT7tJsAG6HCa7M5kE5zH,spotify:track:3aoT7tJsAG6HCa7M5kE5zH,https://api.spotify.com/v1/tracks/3aoT7tJsAG6HCa7M5kE5zH,https://api.spotify.com/v1/audio-analysis/3aoT7tJsAG6HCa7M5kE5zH,200000,4
篝火,0.638,0.799,6,-2.933,0,0.066,0.00736,0,0.132,0.924,114.95,audio_features,2zFcCR9RwPKO282XSBlrVS,spotify:track:2zFcCR9RwPKO282XSBlrVS,https://api.spotify.com/v1/tracks/2zFcCR9RwPKO282XSBlrVS,https://api.spotify.com/v1/audio-analysis/2zFcCR9RwPKO282XSBlrVS,212870,4
fancy fancy,0.497,0.847,1,-2.076,0,0.0403,0.0414,0.00267,0.261,0.931,209.82,audio_features,0Lj1NvwerpTY3wfLkwFlsJ,spotify:track:0Lj1NvwerpTY3wfLkwFlsJ,https://api.spotify.com/v1/tracks/0Lj1NvwerpTY3wfLkwFlsJ,https://api.spotify.com/v1/audio-analysis/0Lj1NvwerpTY3wfLkwFlsJ,192000,3
グラスモンド,0.654,0.929,5,-1.711,0,0.0808,0.0222,0.136,0.349,0.921,140.009,audio_features,0DYBDHT6FmZoDlaMDbewmM,spotify:track:0DYBDHT6FmZoDlaMDbewmM,https://api.spotify.com/v1/tracks/0DYBDHT6FmZoDlaMDbewmM,https://api.spotify.com/v1/audio-analysis/0DYBDHT6FmZoDlaMDbewmM,167143,3
Jesus,0.676,0.915,2,-3.12,1,0.0697,0.0545,0.00428,0.115,0.894,129.999,audio_features,5Sp2L8mg89vFZoeHSVQ4UX,spotify:track:5Sp2L8mg89vFZoeHSVQ4UX,https://api.spotify.com/v1/tracks/5Sp2L8mg89vFZoeHSVQ4UX,https://api.spotify.com/v1/audio-analysis/5Sp2L8mg89vFZoeHSVQ4UX,199385,4
空白,0.678,0.537,1,-3.136,1,0.0518,0.491,0.000915,0.0966,0.47,169.908,audio_features,30z0KEjly2toj5dH6dO9vv,spotify:track:30z0KEjly2toj5dH6dO9vv,https://api.spotify.com/v1/tracks/30z0KEjly2toj5dH6dO9vv,https://api.spotify.com/v1/audio-analysis/30z0KEjly2toj5dH6dO9vv,206118,4
ピカソの備忘録,0.415,0.83,11,-2.301,1,0.142,0.00962,1.01e-05,0.334,0.516,179.856,audio_features,5lxC2y5lRzjeUYhsJLW9CX,spotify:track:5lxC2y5lRzjeUYhsJLW9CX,https://api.spotify.com/v1/tracks/5lxC2y5lRzjeUYhsJLW9CX,https://api.spotify.com/v1/audio-analysis/5lxC2y5lRzjeUYhsJLW9CX,242667,4
夏空と蜃気楼,0.677,0.769,0,-2.393,1,0.047,0.0922,1.04e-05,0.105,0.767,97.475,audio_features,6s8K9Kv5kCw9EQz5JL4oUP,spotify:track:6s8K9Kv5kCw9EQz5JL4oUP,https://api.spotify.com/v1/tracks/6s8K9Kv5kCw9EQz5JL4oUP,https://api.spotify.com/v1/audio-analysis/6s8K9Kv5kCw9EQz5JL4oUP,212923,4
チグハグ,0.663,0.492,2,-6.621,0,0.0284,0.000745,0.00325,0.143,0.744,132.928,audio_features,79Nqo5zTfTx9dkZ2rBWb6X,spotify:track:79Nqo5zTfTx9dkZ2rBWb6X,https://api.spotify.com/v1/tracks/79Nqo5zTfTx9dkZ2rBWb6X,https://api.spotify.com/v1/audio-analysis/79Nqo5zTfTx9dkZ2rBWb6X,244366,4
テトテ,0.494,0.18,5,-5.625,0,0.0435,0.835,0,0.0732,0.865,148.635,audio_features,6D3JmKz1lBcG9Jp6rbOinr,spotify:track:6D3JmKz1lBcG9Jp6rbOinr,https://api.spotify.com/v1/tracks/6D3JmKz1lBcG9Jp6rbOinr,https://api.spotify.com/v1/audio-analysis/6D3JmKz1lBcG9Jp6rbOinr,99200,4
