name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Soul Life,0.546,0.882,2,-7.618,0,0.0761,0.0207,4.94e-05,0.215,0.642,175.611,audio_features,0NfuJu1qPJoGmu7d7hHNBh,spotify:track:0NfuJu1qPJoGmu7d7hHNBh,https://api.spotify.com/v1/tracks/0NfuJu1qPJoGmu7d7hHNBh,https://api.spotify.com/v1/audio-analysis/0NfuJu1qPJoGmu7d7hHNBh,245840,4
Sofabed Blues,0.749,0.882,5,-5.718,1,0.113,0.256,0,0.0432,0.705,119.756,audio_features,6qMkN7jcC75Zb4pYPV3Ynx,spotify:track:6qMkN7jcC75Zb4pYPV3Ynx,https://api.spotify.com/v1/tracks/6qMkN7jcC75Zb4pYPV3Ynx,https://api.spotify.com/v1/audio-analysis/6qMkN7jcC75Zb4pYPV3Ynx,219827,4
Soul Life,0.568,0.929,2,-5.824,0,0.0788,0.0311,0.000176,0.305,0.667,175.7,audio_features,2VKLPZh0Fm1yP8BuyNjERy,spotify:track:2VKLPZh0Fm1yP8BuyNjERy,https://api.spotify.com/v1/tracks/2VKLPZh0Fm1yP8BuyNjERy,https://api.spotify.com/v1/audio-analysis/2VKLPZh0Fm1yP8BuyNjERy,245507,4
ラニーニャ 情熱のエルニーニョ,0.378,0.85,4,-3.967,0,0.07,0.212,0,0.188,0.569,131.707,audio_features,0nINmWa0zUrfwJ8eW8CGlt,spotify:track:0nINmWa0zUrfwJ8eW8CGlt,https://api.spotify.com/v1/tracks/0nINmWa0zUrfwJ8eW8CGlt,https://api.spotify.com/v1/audio-analysis/0nINmWa0zUrfwJ8eW8CGlt,308933,4
今夜もテンテテン,0.636,0.863,10,-3.485,0,0.0491,0.00157,0,0.258,0.647,126.043,audio_features,3CFLSML6ZJnIWV61GR61Ms,spotify:track:3CFLSML6ZJnIWV61GR61Ms,https://api.spotify.com/v1/tracks/3CFLSML6ZJnIWV61GR61Ms,https://api.spotify.com/v1/audio-analysis/3CFLSML6ZJnIWV61GR61Ms,255427,4
超冗談だから,0.531,0.941,8,-2.387,1,0.0835,0.0769,0,0.0595,0.652,150.127,audio_features,0aRdP0HyxdFI7mGsLTQDWD,spotify:track:0aRdP0HyxdFI7mGsLTQDWD,https://api.spotify.com/v1/tracks/0aRdP0HyxdFI7mGsLTQDWD,https://api.spotify.com/v1/audio-analysis/0aRdP0HyxdFI7mGsLTQDWD,183800,4
ご機嫌カブリオレ,0.533,0.977,11,-3.478,0,0.12,0.00256,0,0.336,0.848,138.064,audio_features,1p3LaKgOT8TjKrnIJS0o5O,spotify:track:1p3LaKgOT8TjKrnIJS0o5O,https://api.spotify.com/v1/tracks/1p3LaKgOT8TjKrnIJS0o5O,https://api.spotify.com/v1/audio-analysis/1p3LaKgOT8TjKrnIJS0o5O,215467,4
ゆっくり飛んでけ,0.537,0.946,2,-2.728,1,0.0408,0.0137,0.162,0.0387,0.879,125.022,audio_features,7l9R3OBF4hrnoR6w188n6G,spotify:track:7l9R3OBF4hrnoR6w188n6G,https://api.spotify.com/v1/tracks/7l9R3OBF4hrnoR6w188n6G,https://api.spotify.com/v1/audio-analysis/7l9R3OBF4hrnoR6w188n6G,245787,4
ああ、レディハリケーン,0.563,0.951,9,-3.667,0,0.0363,0.00621,0.0115,0.184,0.921,155.014,audio_features,1NSkYir6NIge9MyBDFBtLw,spotify:track:1NSkYir6NIge9MyBDFBtLw,https://api.spotify.com/v1/tracks/1NSkYir6NIge9MyBDFBtLw,https://api.spotify.com/v1/audio-analysis/1NSkYir6NIge9MyBDFBtLw,216867,4
夢見るベッドタウン,0.595,0.893,0,-3.346,1,0.0534,0.0294,0,0.37,0.714,131.062,audio_features,2qBcDw2wRugnXSTcfcgQ1F,spotify:track:2qBcDw2wRugnXSTcfcgQ1F,https://api.spotify.com/v1/tracks/2qBcDw2wRugnXSTcfcgQ1F,https://api.spotify.com/v1/audio-analysis/2qBcDw2wRugnXSTcfcgQ1F,202800,4
