name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Give up on it,0.644,0.471,5,-14.289,1,0.0369,0.698,0.861,0.119,0.71,112.02,audio_features,1x1D4DQqpRmRVmiJamTSFU,spotify:track:1x1D4DQqpRmRVmiJamTSFU,https://api.spotify.com/v1/tracks/1x1D4DQqpRmRVmiJamTSFU,https://api.spotify.com/v1/audio-analysis/1x1D4DQqpRmRVmiJamTSFU,264493,4
・-・・ --- ・・・- ・(signum/ii remix),0.637,0.976,6,-5.135,0,0.0868,0.0808,0.017,0.172,0.716,130.01,audio_features,5Hwcwm9X6mPO0uZ1P2U4ei,spotify:track:5Hwcwm9X6mPO0uZ1P2U4ei,https://api.spotify.com/v1/tracks/5Hwcwm9X6mPO0uZ1P2U4ei,https://api.spotify.com/v1/audio-analysis/5Hwcwm9X6mPO0uZ1P2U4ei,373472,4
Snowflakes,0.494,0.987,11,-6.162,0,0.134,0.00878,0.163,0.249,0.266,132.974,audio_features,2kRSfEJcyJZk53RdeHIAZl,spotify:track:2kRSfEJcyJZk53RdeHIAZl,https://api.spotify.com/v1/tracks/2kRSfEJcyJZk53RdeHIAZl,https://api.spotify.com/v1/audio-analysis/2kRSfEJcyJZk53RdeHIAZl,329120,4
Iris,0.42,0.995,7,-5.356,1,0.0626,0.103,0.983,0.129,0.964,75.0,audio_features,6QcLf8vLfGw1sSl4cEx8uZ,spotify:track:6QcLf8vLfGw1sSl4cEx8uZ,https://api.spotify.com/v1/tracks/6QcLf8vLfGw1sSl4cEx8uZ,https://api.spotify.com/v1/audio-analysis/6QcLf8vLfGw1sSl4cEx8uZ,134347,4
Funny Multi-Tap,0.586,0.826,2,-7.008,0,0.0313,0.00485,0.937,0.349,0.96,119.931,audio_features,60Pa9ZNPkijS5B8m9jh3Ud,spotify:track:60Pa9ZNPkijS5B8m9jh3Ud,https://api.spotify.com/v1/tracks/60Pa9ZNPkijS5B8m9jh3Ud,https://api.spotify.com/v1/audio-analysis/60Pa9ZNPkijS5B8m9jh3Ud,106720,4
Fran,0.572,0.746,3,-9.862,0,0.0395,0.0454,0.0585,0.463,0.912,144.882,audio_features,2bua4uRPxzHukvr2MtWjW9,spotify:track:2bua4uRPxzHukvr2MtWjW9,https://api.spotify.com/v1/tracks/2bua4uRPxzHukvr2MtWjW9,https://api.spotify.com/v1/audio-analysis/2bua4uRPxzHukvr2MtWjW9,175960,4
ETERNITY - Instrumental,0.408,0.981,11,-6.849,0,0.0485,7.46e-05,0.661,0.304,0.465,96.52,audio_features,5OlbJNMKZn1yY6FrdZwyOC,spotify:track:5OlbJNMKZn1yY6FrdZwyOC,https://api.spotify.com/v1/tracks/5OlbJNMKZn1yY6FrdZwyOC,https://api.spotify.com/v1/audio-analysis/5OlbJNMKZn1yY6FrdZwyOC,227947,4
Light The World - Instrumental,0.496,0.891,1,-7.858,0,0.0379,0.000755,0.815,0.143,0.241,148.013,audio_features,3ZorrkA9yc0oQ2C7feTE1D,spotify:track:3ZorrkA9yc0oQ2C7feTE1D,https://api.spotify.com/v1/tracks/3ZorrkA9yc0oQ2C7feTE1D,https://api.spotify.com/v1/audio-analysis/3ZorrkA9yc0oQ2C7feTE1D,295720,4
Another Disco Night,0.647,0.854,1,-7.635,1,0.0324,0.0134,0.937,0.411,0.967,121.91,audio_features,760oOCfSNJmoBG9HoBLFGH,spotify:track:760oOCfSNJmoBG9HoBLFGH,https://api.spotify.com/v1/tracks/760oOCfSNJmoBG9HoBLFGH,https://api.spotify.com/v1/audio-analysis/760oOCfSNJmoBG9HoBLFGH,91280,4
Rayla,0.499,0.889,9,-5.683,1,0.0385,0.00018,0.843,0.42,0.643,150.001,audio_features,4E7wPT0RzVhF0RVbiP7g2n,spotify:track:4E7wPT0RzVhF0RVbiP7g2n,https://api.spotify.com/v1/tracks/4E7wPT0RzVhF0RVbiP7g2n,https://api.spotify.com/v1/audio-analysis/4E7wPT0RzVhF0RVbiP7g2n,143227,4
Saint Aria,0.567,0.902,4,-5.691,1,0.0307,0.000502,0.465,0.524,0.598,128.003,audio_features,3B1yRTfI7ougeu03hpea6j,spotify:track:3B1yRTfI7ougeu03hpea6j,https://api.spotify.com/v1/tracks/3B1yRTfI7ougeu03hpea6j,https://api.spotify.com/v1/audio-analysis/3B1yRTfI7ougeu03hpea6j,270187,4
Rest or Last,0.492,0.684,9,-7.089,0,0.0432,0.0175,0.926,0.0874,0.274,179.955,audio_features,1EJEziecZHuEn2dEKMWoDC,spotify:track:1EJEziecZHuEn2dEKMWoDC,https://api.spotify.com/v1/tracks/1EJEziecZHuEn2dEKMWoDC,https://api.spotify.com/v1/audio-analysis/1EJEziecZHuEn2dEKMWoDC,243133,4
...Unknown World,0.524,0.654,2,-8.387,1,0.0406,0.00159,0.0172,0.314,0.714,145.147,audio_features,5FVTAIMqK7Z74aDhfomRaJ,spotify:track:5FVTAIMqK7Z74aDhfomRaJ,https://api.spotify.com/v1/tracks/5FVTAIMqK7Z74aDhfomRaJ,https://api.spotify.com/v1/audio-analysis/5FVTAIMqK7Z74aDhfomRaJ,179373,4
In the Sun,0.438,0.934,11,-5.912,1,0.0393,1.16e-05,0.959,0.11,0.878,125.982,audio_features,5vSfZUphW8SgyQjALrlISL,spotify:track:5vSfZUphW8SgyQjALrlISL,https://api.spotify.com/v1/tracks/5vSfZUphW8SgyQjALrlISL,https://api.spotify.com/v1/audio-analysis/5vSfZUphW8SgyQjALrlISL,163453,4
