name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Starry Song,0.59,0.96,5,-1.986,1,0.0723,0.0938,0,0.0779,0.485,129.958,audio_features,7GMODmnbyNNC8RETRSA78u,spotify:track:7GMODmnbyNNC8RETRSA78u,https://api.spotify.com/v1/tracks/7GMODmnbyNNC8RETRSA78u,https://api.spotify.com/v1/audio-analysis/7GMODmnbyNNC8RETRSA78u,238168,4
Devilly,0.788,0.85,0,-2.76,0,0.147,0.0279,1.52e-05,0.126,0.568,132.032,audio_features,2glGxrD3WBS5Npl4HSf2SM,spotify:track:2glGxrD3WBS5Npl4HSf2SM,https://api.spotify.com/v1/tracks/2glGxrD3WBS5Npl4HSf2SM,https://api.spotify.com/v1/audio-analysis/2glGxrD3WBS5Npl4HSf2SM,239149,4
Sprout,0.563,0.912,1,-2.451,1,0.241,0.0131,0.0293,0.317,0.707,150.043,audio_features,7396Fqi6HPidDXjrpEf7rw,spotify:track:7396Fqi6HPidDXjrpEf7rw,https://api.spotify.com/v1/tracks/7396Fqi6HPidDXjrpEf7rw,https://api.spotify.com/v1/audio-analysis/7396Fqi6HPidDXjrpEf7rw,191542,4
Highlight,0.848,0.939,1,-4.81,1,0.205,0.0615,0.453,0.0893,0.85,128.013,audio_features,2ZHtpzCi3z9lM5twkEdpZ3,spotify:track:2ZHtpzCi3z9lM5twkEdpZ3,https://api.spotify.com/v1/tracks/2ZHtpzCi3z9lM5twkEdpZ3,https://api.spotify.com/v1/audio-analysis/2ZHtpzCi3z9lM5twkEdpZ3,296253,4
the one,0.644,0.768,9,-5.356,1,0.035,0.238,0.0285,0.0786,0.384,95.047,audio_features,5krNdEBTUE99lXYPDSXMsE,spotify:track:5krNdEBTUE99lXYPDSXMsE,https://api.spotify.com/v1/tracks/5krNdEBTUE99lXYPDSXMsE,https://api.spotify.com/v1/audio-analysis/5krNdEBTUE99lXYPDSXMsE,178053,4
opening,0.493,0.527,9,-5.216,1,0.255,0.122,0.01,0.304,0.428,128.336,audio_features,1HKcOG2plD12AiePU5xbgW,spotify:track:1HKcOG2plD12AiePU5xbgW,https://api.spotify.com/v1/tracks/1HKcOG2plD12AiePU5xbgW,https://api.spotify.com/v1/audio-analysis/1HKcOG2plD12AiePU5xbgW,63496,4
Wonder Style (feat. 初音ミク),0.683,0.682,11,-4.972,1,0.0939,0.0396,1.88e-05,0.119,0.84,128.053,audio_features,2lF017PM9raJCVPx5ua0gW,spotify:track:2lF017PM9raJCVPx5ua0gW,https://api.spotify.com/v1/tracks/2lF017PM9raJCVPx5ua0gW,https://api.spotify.com/v1/audio-analysis/2lF017PM9raJCVPx5ua0gW,217717,4
Stellar Cruising,0.577,0.961,7,-2.772,1,0.0531,0.0202,0.0628,0.0424,0.516,131.057,audio_features,0OidWbA3R2h0ODE9VoYuR5,spotify:track:0OidWbA3R2h0ODE9VoYuR5,https://api.spotify.com/v1/tracks/0OidWbA3R2h0ODE9VoYuR5,https://api.spotify.com/v1/audio-analysis/0OidWbA3R2h0ODE9VoYuR5,247000,4
like a bunny,0.62,0.861,7,-2.031,0,0.0279,0.172,2.91e-05,0.349,0.536,127.01,audio_features,0xqCdL4OAlWIMbKTdpSJbr,spotify:track:0xqCdL4OAlWIMbKTdpSJbr,https://api.spotify.com/v1/tracks/0xqCdL4OAlWIMbKTdpSJbr,https://api.spotify.com/v1/audio-analysis/0xqCdL4OAlWIMbKTdpSJbr,253706,4
Cresent,0.738,0.805,6,-5.633,0,0.0867,0.0167,0.775,0.0475,0.755,128.028,audio_features,3MqWStMmO0tIPU0HzTg4w3,spotify:track:3MqWStMmO0tIPU0HzTg4w3,https://api.spotify.com/v1/tracks/3MqWStMmO0tIPU0HzTg4w3,https://api.spotify.com/v1/audio-analysis/3MqWStMmO0tIPU0HzTg4w3,244068,4
Goodbye,0.631,0.954,9,-1.75,1,0.0343,0.0505,0.0129,0.0613,0.68,130.064,audio_features,7GnfAyns0FamAm5WiBCeHg,spotify:track:7GnfAyns0FamAm5WiBCeHg,https://api.spotify.com/v1/tracks/7GnfAyns0FamAm5WiBCeHg,https://api.spotify.com/v1/audio-analysis/7GnfAyns0FamAm5WiBCeHg,200939,4
DreaMilk tea,0.62,0.946,8,-3.62,1,0.0995,0.00219,0.263,0.171,0.874,75.05,audio_features,35xuLDT9GHLLRvWtOc6UAb,spotify:track:35xuLDT9GHLLRvWtOc6UAb,https://api.spotify.com/v1/tracks/35xuLDT9GHLLRvWtOc6UAb,https://api.spotify.com/v1/audio-analysis/35xuLDT9GHLLRvWtOc6UAb,238005,4
One More Step,0.566,0.921,0,-3.892,1,0.035,0.0458,2.27e-06,0.44,0.672,129.99,audio_features,7seg0fMG4KwekQioWIdQCH,spotify:track:7seg0fMG4KwekQioWIdQCH,https://api.spotify.com/v1/tracks/7seg0fMG4KwekQioWIdQCH,https://api.spotify.com/v1/audio-analysis/7seg0fMG4KwekQioWIdQCH,222125,4
honey kissing,0.557,0.951,4,-2.775,1,0.0443,0.168,0.457,0.187,0.777,170.128,audio_features,2rbiUZS89eWN1FZfkHK9QR,spotify:track:2rbiUZS89eWN1FZfkHK9QR,https://api.spotify.com/v1/tracks/2rbiUZS89eWN1FZfkHK9QR,https://api.spotify.com/v1/audio-analysis/2rbiUZS89eWN1FZfkHK9QR,216769,4
Kaleidoscope,0.702,0.728,2,-6.848,1,0.0679,0.447,0.0012,0.341,0.75,93.015,audio_features,6TPt9j5qnl4kx47fHnZWGh,spotify:track:6TPt9j5qnl4kx47fHnZWGh,https://api.spotify.com/v1/tracks/6TPt9j5qnl4kx47fHnZWGh,https://api.spotify.com/v1/audio-analysis/6TPt9j5qnl4kx47fHnZWGh,220000,4
