name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
葛飾ラプソディー,0.719,0.604,5,-6.345,1,0.0275,0.834,0,0.295,0.813,134.857,audio_features,0Db5hjUbBwh3EdcuVRbMMj,spotify:track:0Db5hjUbBwh3EdcuVRbMMj,https://api.spotify.com/v1/tracks/0Db5hjUbBwh3EdcuVRbMMj,https://api.spotify.com/v1/audio-analysis/0Db5hjUbBwh3EdcuVRbMMj,168800,4
てんてん,0.707,0.728,7,-6.64,1,0.115,0.0873,0,0.113,0.843,84.482,audio_features,1c3XouaKt2Y2qDiTLhA3lH,spotify:track:1c3XouaKt2Y2qDiTLhA3lH,https://api.spotify.com/v1/tracks/1c3XouaKt2Y2qDiTLhA3lH,https://api.spotify.com/v1/audio-analysis/1c3XouaKt2Y2qDiTLhA3lH,149951,4
き、ぜ、つ、し、ちゃ、う,0.628,0.774,9,-6.224,1,0.0369,0.000167,1.42e-05,0.0454,0.901,134.991,audio_features,1Y1oCzGxtnH62KcaognHjP,spotify:track:1Y1oCzGxtnH62KcaognHjP,https://api.spotify.com/v1/tracks/1Y1oCzGxtnH62KcaognHjP,https://api.spotify.com/v1/audio-analysis/1Y1oCzGxtnH62KcaognHjP,234027,4
存在,0.626,0.861,0,-5.054,1,0.0359,0.00998,0,0.0815,0.621,95.031,audio_features,3eVVZGJr7D9UqGQulHBNFv,spotify:track:3eVVZGJr7D9UqGQulHBNFv,https://api.spotify.com/v1/tracks/3eVVZGJr7D9UqGQulHBNFv,https://api.spotify.com/v1/audio-analysis/3eVVZGJr7D9UqGQulHBNFv,254185,4
ベンジャミン、空を睨む,0.743,0.548,9,-5.99,1,0.0292,0.00572,4.88e-05,0.045,0.889,102.932,audio_features,7iXEPRPB9Tc9AxW6sj2FWn,spotify:track:7iXEPRPB9Tc9AxW6sj2FWn,https://api.spotify.com/v1/tracks/7iXEPRPB9Tc9AxW6sj2FWn,https://api.spotify.com/v1/audio-analysis/7iXEPRPB9Tc9AxW6sj2FWn,201013,4
てんてん,0.707,0.728,7,-6.64,1,0.115,0.0873,0,0.113,0.843,84.482,audio_features,10FVKxsnjWLgm48ItI44FZ,spotify:track:10FVKxsnjWLgm48ItI44FZ,https://api.spotify.com/v1/tracks/10FVKxsnjWLgm48ItI44FZ,https://api.spotify.com/v1/audio-analysis/10FVKxsnjWLgm48ItI44FZ,149951,4
果実,0.873,0.425,6,-7.892,0,0.0443,0.0752,5.46e-06,0.138,0.935,106.968,audio_features,6hPXYaFJ6rVYn4XKANoDgs,spotify:track:6hPXYaFJ6rVYn4XKANoDgs,https://api.spotify.com/v1/tracks/6hPXYaFJ6rVYn4XKANoDgs,https://api.spotify.com/v1/audio-analysis/6hPXYaFJ6rVYn4XKANoDgs,212203,4
月光地帯,0.749,0.739,9,-5.376,0,0.0683,0.0646,0,0.118,0.867,118.992,audio_features,5QlG38Un9wk8CZUzq9F63J,spotify:track:5QlG38Un9wk8CZUzq9F63J,https://api.spotify.com/v1/tracks/5QlG38Un9wk8CZUzq9F63J,https://api.spotify.com/v1/audio-analysis/5QlG38Un9wk8CZUzq9F63J,227354,4
ハヤテ - A.C.E.MIX,0.432,0.823,7,-6.164,1,0.0335,4.51e-05,0.00589,0.177,0.813,169.017,audio_features,4zwmN16mIMeFqrB8K8YKcK,spotify:track:4zwmN16mIMeFqrB8K8YKcK,https://api.spotify.com/v1/tracks/4zwmN16mIMeFqrB8K8YKcK,https://api.spotify.com/v1/audio-analysis/4zwmN16mIMeFqrB8K8YKcK,254040,4
きみのため,0.624,0.76,10,-5.952,1,0.0394,0.139,0.00013,0.116,0.813,160.02,audio_features,4p1zx47QwLGX3kzbFVpUu4,spotify:track:4p1zx47QwLGX3kzbFVpUu4,https://api.spotify.com/v1/tracks/4p1zx47QwLGX3kzbFVpUu4,https://api.spotify.com/v1/audio-analysis/4p1zx47QwLGX3kzbFVpUu4,233413,4
月光地帯,0.79,0.685,9,-5.862,0,0.0689,0.0662,0,0.158,0.869,118.992,audio_features,691vYSeeCigbkC8IEfF7K5,spotify:track:691vYSeeCigbkC8IEfF7K5,https://api.spotify.com/v1/tracks/691vYSeeCigbkC8IEfF7K5,https://api.spotify.com/v1/audio-analysis/691vYSeeCigbkC8IEfF7K5,229000,4
ペガサス,0.486,0.802,2,-7.362,1,0.0375,0.00162,0.000153,0.107,0.25,166.959,audio_features,4NzLtiDK1RcjwEQSMajCkX,spotify:track:4NzLtiDK1RcjwEQSMajCkX,https://api.spotify.com/v1/tracks/4NzLtiDK1RcjwEQSMajCkX,https://api.spotify.com/v1/audio-analysis/4NzLtiDK1RcjwEQSMajCkX,177630,4
