name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ラッキー☆オーブ (feat. 初音ミク),0.578,0.927,4,-7.118,1,0.0542,0.0543,4.54e-06,0.357,0.632,125.942,audio_features,6eHBG3FNB4jrX8Z7zkOYxJ,spotify:track:6eHBG3FNB4jrX8Z7zkOYxJ,https://api.spotify.com/v1/tracks/6eHBG3FNB4jrX8Z7zkOYxJ,https://api.spotify.com/v1/audio-analysis/6eHBG3FNB4jrX8Z7zkOYxJ,253226,4
Metamoreborn,0.696,0.794,0,-4.632,1,0.0351,0.0165,0.759,0.0881,0.379,122.975,audio_features,25dGDSdMMMyGYPUz1Nz653,spotify:track:25dGDSdMMMyGYPUz1Nz653,https://api.spotify.com/v1/tracks/25dGDSdMMMyGYPUz1Nz653,https://api.spotify.com/v1/audio-analysis/25dGDSdMMMyGYPUz1Nz653,226402,4
shake it!,0.619,0.825,8,-3.325,1,0.0384,0.0619,4.5e-05,0.178,0.685,130.012,audio_features,2CwRH1QNyETDx7k6FQLmRF,spotify:track:2CwRH1QNyETDx7k6FQLmRF,https://api.spotify.com/v1/tracks/2CwRH1QNyETDx7k6FQLmRF,https://api.spotify.com/v1/audio-analysis/2CwRH1QNyETDx7k6FQLmRF,226000,4
Consentement,0.707,0.839,4,-7.319,0,0.0385,0.00391,0.866,0.119,0.866,118.031,audio_features,3YKsBYlBDnH2qfwiCB67vR,spotify:track:3YKsBYlBDnH2qfwiCB67vR,https://api.spotify.com/v1/tracks/3YKsBYlBDnH2qfwiCB67vR,https://api.spotify.com/v1/audio-analysis/3YKsBYlBDnH2qfwiCB67vR,69347,4
むてきPOP,0.617,0.981,6,-3.85,1,0.0622,0.0615,0.00452,0.196,0.497,129.978,audio_features,5bdRWNNdozmxc4PXlXVFiH,spotify:track:5bdRWNNdozmxc4PXlXVFiH,https://api.spotify.com/v1/tracks/5bdRWNNdozmxc4PXlXVFiH,https://api.spotify.com/v1/audio-analysis/5bdRWNNdozmxc4PXlXVFiH,242285,4
Souvenirs,0.499,0.699,8,-6.855,1,0.0337,5.23e-05,0.877,0.0897,0.543,140.01,audio_features,4WjX9c7bhTTfE7vzdJVdmT,spotify:track:4WjX9c7bhTTfE7vzdJVdmT,https://api.spotify.com/v1/tracks/4WjX9c7bhTTfE7vzdJVdmT,https://api.spotify.com/v1/audio-analysis/4WjX9c7bhTTfE7vzdJVdmT,103640,4
HappyCoaster,0.612,0.833,1,-6.808,1,0.0347,0.0228,0.00126,0.0883,0.446,123.004,audio_features,5iyY8j4qo5k9Yjdj68YmmT,spotify:track:5iyY8j4qo5k9Yjdj68YmmT,https://api.spotify.com/v1/tracks/5iyY8j4qo5k9Yjdj68YmmT,https://api.spotify.com/v1/audio-analysis/5iyY8j4qo5k9Yjdj68YmmT,272410,4
Reussite,0.518,0.949,7,-7.099,1,0.0589,1.16e-05,0.858,0.0412,0.925,132.953,audio_features,5Pg3xAOFZuxUvXpblfntZF,spotify:track:5Pg3xAOFZuxUvXpblfntZF,https://api.spotify.com/v1/tracks/5Pg3xAOFZuxUvXpblfntZF,https://api.spotify.com/v1/audio-analysis/5Pg3xAOFZuxUvXpblfntZF,101947,4
Hard On,0.628,0.885,9,-3.213,1,0.0365,0.0223,8.99e-05,0.242,0.735,128.094,audio_features,4VzBW5HwpePzYN3lUy8r4U,spotify:track:4VzBW5HwpePzYN3lUy8r4U,https://api.spotify.com/v1/tracks/4VzBW5HwpePzYN3lUy8r4U,https://api.spotify.com/v1/audio-analysis/4VzBW5HwpePzYN3lUy8r4U,293947,4
Insert The Sunshine,0.645,0.447,0,-11.341,1,0.0883,0.00562,0.911,0.0551,0.918,169.987,audio_features,3qdqKKzgMCdaJ4jtYnZBgZ,spotify:track:3qdqKKzgMCdaJ4jtYnZBgZ,https://api.spotify.com/v1/tracks/3qdqKKzgMCdaJ4jtYnZBgZ,https://api.spotify.com/v1/audio-analysis/3qdqKKzgMCdaJ4jtYnZBgZ,98213,4
Candy load (feat. 初音ミク),0.711,0.769,6,-5.361,0,0.0359,0.0357,0.000188,0.0879,0.616,120.044,audio_features,639xiWh8jHsi3lTpG1n3tw,spotify:track:639xiWh8jHsi3lTpG1n3tw,https://api.spotify.com/v1/tracks/639xiWh8jHsi3lTpG1n3tw,https://api.spotify.com/v1/audio-analysis/639xiWh8jHsi3lTpG1n3tw,247111,4
A3! Anniversary BGM,0.197,0.858,11,-7.129,1,0.031,0.000192,0.868,0.327,0.746,168.47,audio_features,6tIJx2ZfBVtopVPydvEcLM,spotify:track:6tIJx2ZfBVtopVPydvEcLM,https://api.spotify.com/v1/tracks/6tIJx2ZfBVtopVPydvEcLM,https://api.spotify.com/v1/audio-analysis/6tIJx2ZfBVtopVPydvEcLM,418400,4
Dark Diver,0.703,0.874,2,-5.322,1,0.0756,0.0117,0,0.0649,0.592,135.957,audio_features,2tDzEzqHZBdlRiCUhp5Sdp,spotify:track:2tDzEzqHZBdlRiCUhp5Sdp,https://api.spotify.com/v1/tracks/2tDzEzqHZBdlRiCUhp5Sdp,https://api.spotify.com/v1/audio-analysis/2tDzEzqHZBdlRiCUhp5Sdp,162920,4
Aspiration,0.679,0.823,0,-7.34,1,0.0502,0.0576,0.876,0.0633,0.476,152.016,audio_features,1yyfX5YKgbhEih0Bwm5RjE,spotify:track:1yyfX5YKgbhEih0Bwm5RjE,https://api.spotify.com/v1/tracks/1yyfX5YKgbhEih0Bwm5RjE,https://api.spotify.com/v1/audio-analysis/1yyfX5YKgbhEih0Bwm5RjE,98440,4
Reanimation,0.754,0.741,2,-7.919,1,0.0649,0.00209,0.918,0.0769,0.889,124.949,audio_features,3NF92yUf8WvUHb5VlDIsjh,spotify:track:3NF92yUf8WvUHb5VlDIsjh,https://api.spotify.com/v1/tracks/3NF92yUf8WvUHb5VlDIsjh,https://api.spotify.com/v1/audio-analysis/3NF92yUf8WvUHb5VlDIsjh,99160,4
Candy Noisily,0.719,0.877,10,-10.324,1,0.179,0.0311,0.899,0.0993,0.374,160.019,audio_features,2VCRYwAogoHLaCkNtelUpi,spotify:track:2VCRYwAogoHLaCkNtelUpi,https://api.spotify.com/v1/tracks/2VCRYwAogoHLaCkNtelUpi,https://api.spotify.com/v1/audio-analysis/2VCRYwAogoHLaCkNtelUpi,71640,4
Revolution,0.428,0.913,10,-5.491,0,0.0384,5.54e-06,0.737,0.0856,0.813,181.012,audio_features,7cLMWlwcbOkQnP2MWgGDlY,spotify:track:7cLMWlwcbOkQnP2MWgGDlY,https://api.spotify.com/v1/tracks/7cLMWlwcbOkQnP2MWgGDlY,https://api.spotify.com/v1/audio-analysis/7cLMWlwcbOkQnP2MWgGDlY,62187,4
The Sound of Water,0.624,0.191,0,-18.5,0,0.0571,0.934,0.94,0.0698,0.184,117.947,audio_features,5rY50B5UJkuC7Ep7SOZaGr,spotify:track:5rY50B5UJkuC7Ep7SOZaGr,https://api.spotify.com/v1/tracks/5rY50B5UJkuC7Ep7SOZaGr,https://api.spotify.com/v1/audio-analysis/5rY50B5UJkuC7Ep7SOZaGr,74733,4
