name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
カレーライス,0.335,0.214,7,-18.859,1,0.0431,0.664,0.0255,0.78,0.382,81.549,audio_features,3zJvZgl2TEx1t2iP7bc84s,spotify:track:3zJvZgl2TEx1t2iP7bc84s,https://api.spotify.com/v1/tracks/3zJvZgl2TEx1t2iP7bc84s,https://api.spotify.com/v1/audio-analysis/3zJvZgl2TEx1t2iP7bc84s,338241,4
虹色の愛,0.518,0.579,3,-10.649,1,0.386,0.78,0.000172,0.911,0.373,133.541,audio_features,5rJuo4BREN0Ws5NGeaQVdh,spotify:track:5rJuo4BREN0Ws5NGeaQVdh,https://api.spotify.com/v1/tracks/5rJuo4BREN0Ws5NGeaQVdh,https://api.spotify.com/v1/audio-analysis/5rJuo4BREN0Ws5NGeaQVdh,284361,4
雪見酒,0.622,0.458,6,-9.902,1,0.264,0.785,0.00413,0.167,0.68,123.93,audio_features,3ZV0BS0Kj5W9gwJlWGJXvU,spotify:track:3ZV0BS0Kj5W9gwJlWGJXvU,https://api.spotify.com/v1/tracks/3ZV0BS0Kj5W9gwJlWGJXvU,https://api.spotify.com/v1/audio-analysis/3ZV0BS0Kj5W9gwJlWGJXvU,265908,4
満足できるかな~夜汽車のブルース,0.647,0.647,11,-7.788,1,0.0628,0.633,0.0205,0.397,0.566,151.617,audio_features,1oWhIYP71vfywoCdRD0lUV,spotify:track:1oWhIYP71vfywoCdRD0lUV,https://api.spotify.com/v1/tracks/1oWhIYP71vfywoCdRD0lUV,https://api.spotify.com/v1/audio-analysis/1oWhIYP71vfywoCdRD0lUV,296460,4
踊ろよベイビー,0.437,0.721,2,-12.741,1,0.425,0.764,0.00137,0.983,0.425,120.289,audio_features,0gIcQ5ljsSD22Z038LU1yw,spotify:track:0gIcQ5ljsSD22Z038LU1yw,https://api.spotify.com/v1/tracks/0gIcQ5ljsSD22Z038LU1yw,https://api.spotify.com/v1/audio-analysis/0gIcQ5ljsSD22Z038LU1yw,402828,4
満足できるかな~シーサイドバウンド,0.415,0.735,5,-11.705,1,0.099,0.799,0.683,0.96,0.59,144.197,audio_features,3bniey3tFTszaI1AEFz9pK,spotify:track:3bniey3tFTszaI1AEFz9pK,https://api.spotify.com/v1/tracks/3bniey3tFTszaI1AEFz9pK,https://api.spotify.com/v1/audio-analysis/3bniey3tFTszaI1AEFz9pK,593268,4
ほんとだよ,0.462,0.326,5,-13.249,1,0.0477,0.792,0.0115,0.813,0.223,108.458,audio_features,47uyWL4Hvj4PmHC2B0nHXX,spotify:track:47uyWL4Hvj4PmHC2B0nHXX,https://api.spotify.com/v1/tracks/47uyWL4Hvj4PmHC2B0nHXX,https://api.spotify.com/v1/audio-analysis/47uyWL4Hvj4PmHC2B0nHXX,284013,4
フォロパジャクエンNo.1,0.359,0.921,11,-2.32,0,0.0464,0.51,0.000127,0.673,0.516,104.114,audio_features,5puqpYgvshoo1AlLu5BMcB,spotify:track:5puqpYgvshoo1AlLu5BMcB,https://api.spotify.com/v1/tracks/5puqpYgvshoo1AlLu5BMcB,https://api.spotify.com/v1/audio-analysis/5puqpYgvshoo1AlLu5BMcB,120400,4
夢よ叫べ(アンコール),0.388,0.887,6,-9.882,0,0.472,0.805,0.000123,0.35,0.421,78.565,audio_features,6HUXqcBUJ0vovDkaVTTOXh,spotify:track:6HUXqcBUJ0vovDkaVTTOXh,https://api.spotify.com/v1/tracks/6HUXqcBUJ0vovDkaVTTOXh,https://api.spotify.com/v1/audio-analysis/6HUXqcBUJ0vovDkaVTTOXh,576040,4
恋の歌,0.535,0.274,3,-13.188,1,0.0327,0.903,0.00355,0.699,0.387,99.094,audio_features,2mYGl62aKY3u5QRKADBmcf,spotify:track:2mYGl62aKY3u5QRKADBmcf,https://api.spotify.com/v1/tracks/2mYGl62aKY3u5QRKADBmcf,https://api.spotify.com/v1/audio-analysis/2mYGl62aKY3u5QRKADBmcf,793920,4
