name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ダンス・オア・ダンス,0.83,0.951,4,-2.936,0,0.0433,0.053,0.000123,0.316,0.932,115.939,audio_features,3rkVGUsV6DYzsVZ5Q7v5mY,spotify:track:3rkVGUsV6DYzsVZ5Q7v5mY,https://api.spotify.com/v1/tracks/3rkVGUsV6DYzsVZ5Q7v5mY,https://api.spotify.com/v1/audio-analysis/3rkVGUsV6DYzsVZ5Q7v5mY,190000,4
テレフォニズム (Night Tempo Melting Groove Mix),0.715,0.804,5,-7.006,0,0.0301,0.149,0.104,0.0954,0.815,109.997,audio_features,3eLekUgJSY4beTBXfgNfHr,spotify:track:3eLekUgJSY4beTBXfgNfHr,https://api.spotify.com/v1/tracks/3eLekUgJSY4beTBXfgNfHr,https://api.spotify.com/v1/audio-analysis/3eLekUgJSY4beTBXfgNfHr,258120,4
Clap your hands,0.742,0.767,5,-6.19,0,0.0388,0.0744,0,0.098,0.73,107.986,audio_features,6HpT1EBcmokXjURe4R4MQ1,spotify:track:6HpT1EBcmokXjURe4R4MQ1,https://api.spotify.com/v1/tracks/6HpT1EBcmokXjURe4R4MQ1,https://api.spotify.com/v1/audio-analysis/6HpT1EBcmokXjURe4R4MQ1,222840,4
ダブル・スタンダード,0.602,0.908,7,-5.045,1,0.111,0.0264,1.92e-06,0.38,0.497,128.093,audio_features,0B58BOYgMtPSxnruhFWaNA,spotify:track:0B58BOYgMtPSxnruhFWaNA,https://api.spotify.com/v1/tracks/0B58BOYgMtPSxnruhFWaNA,https://api.spotify.com/v1/audio-analysis/0B58BOYgMtPSxnruhFWaNA,283703,4
フィロソフィア,0.762,0.821,6,-5.15,1,0.0413,0.283,0,0.0829,0.82,130.002,audio_features,4hFKUPDJPhjXLqRUITkrij,spotify:track:4hFKUPDJPhjXLqRUITkrij,https://api.spotify.com/v1/tracks/4hFKUPDJPhjXLqRUITkrij,https://api.spotify.com/v1/audio-analysis/4hFKUPDJPhjXLqRUITkrij,237533,4
ダブル・スタンダード,0.602,0.907,7,-5.014,1,0.121,0.0265,2.77e-06,0.379,0.499,128.042,audio_features,7ooSU8QHa7sMEyzl26uKPh,spotify:track:7ooSU8QHa7sMEyzl26uKPh,https://api.spotify.com/v1/tracks/7ooSU8QHa7sMEyzl26uKPh,https://api.spotify.com/v1/audio-analysis/7ooSU8QHa7sMEyzl26uKPh,285027,4
スピーチ,0.667,0.738,0,-6.545,1,0.0344,0.324,1.84e-06,0.324,0.624,82.516,audio_features,7eFXTa3hGMBVKPsClp0HDw,spotify:track:7eFXTa3hGMBVKPsClp0HDw,https://api.spotify.com/v1/tracks/7eFXTa3hGMBVKPsClp0HDw,https://api.spotify.com/v1/audio-analysis/7eFXTa3hGMBVKPsClp0HDw,256867,4
ウォータープルーフ・ナイト,0.622,0.93,5,-4.567,1,0.0378,0.0131,0.00675,0.2,0.666,130.047,audio_features,6Z2igqMvzGGjvQq2vfyolf,spotify:track:6Z2igqMvzGGjvQq2vfyolf,https://api.spotify.com/v1/tracks/6Z2igqMvzGGjvQq2vfyolf,https://api.spotify.com/v1/audio-analysis/6Z2igqMvzGGjvQq2vfyolf,203033,4
フィロソフィア,0.762,0.821,6,-5.15,1,0.0413,0.283,0,0.0829,0.82,130.002,audio_features,4nI7a61cTc7ngCWmcS9oYg,spotify:track:4nI7a61cTc7ngCWmcS9oYg,https://api.spotify.com/v1/tracks/4nI7a61cTc7ngCWmcS9oYg,https://api.spotify.com/v1/audio-analysis/4nI7a61cTc7ngCWmcS9oYg,237533,4
ダンス・ファウンダー,0.796,0.908,7,-3.215,1,0.0871,0.0838,0.000199,0.0893,0.634,130.017,audio_features,6eqYH8ePCfvFhpGwlamJ0Q,spotify:track:6eqYH8ePCfvFhpGwlamJ0Q,https://api.spotify.com/v1/tracks/6eqYH8ePCfvFhpGwlamJ0Q,https://api.spotify.com/v1/audio-analysis/6eqYH8ePCfvFhpGwlamJ0Q,280560,4
テレフォニズム,0.677,0.885,5,-5.366,0,0.0306,0.0738,7.7e-05,0.0588,0.576,110.982,audio_features,63xeAci3lPLn7GuUbBryXW,spotify:track:63xeAci3lPLn7GuUbBryXW,https://api.spotify.com/v1/tracks/63xeAci3lPLn7GuUbBryXW,https://api.spotify.com/v1/audio-analysis/63xeAci3lPLn7GuUbBryXW,229133,4
DTF!,0.632,0.881,9,-3.141,1,0.0361,0.0414,0,0.264,0.751,146.066,audio_features,2hPvg73lHka8yFTA7fEbse,spotify:track:2hPvg73lHka8yFTA7fEbse,https://api.spotify.com/v1/tracks/2hPvg73lHka8yFTA7fEbse,https://api.spotify.com/v1/audio-analysis/2hPvg73lHka8yFTA7fEbse,288360,4
君は1000%,0.67,0.768,11,-4.705,1,0.0331,0.00697,0.000141,0.0468,0.485,143.961,audio_features,1T7haUkaqLJlmA4DebnUid,spotify:track:1T7haUkaqLJlmA4DebnUid,https://api.spotify.com/v1/tracks/1T7haUkaqLJlmA4DebnUid,https://api.spotify.com/v1/audio-analysis/1T7haUkaqLJlmA4DebnUid,257083,4
オール・ウィー・ニード・イズ・ラブストーリー,0.815,0.778,1,-5.108,0,0.0446,0.13,0,0.306,0.917,117.003,audio_features,04SiEXHFxT9tYFo1SXiIG6,spotify:track:04SiEXHFxT9tYFo1SXiIG6,https://api.spotify.com/v1/tracks/04SiEXHFxT9tYFo1SXiIG6,https://api.spotify.com/v1/audio-analysis/04SiEXHFxT9tYFo1SXiIG6,193840,4
シスター,0.737,0.606,3,-7.257,1,0.0381,0.246,1.39e-05,0.0824,0.498,97.963,audio_features,2uDq9aI9y2x1PTkp4Avf67,spotify:track:2uDq9aI9y2x1PTkp4Avf67,https://api.spotify.com/v1/tracks/2uDq9aI9y2x1PTkp4Avf67,https://api.spotify.com/v1/audio-analysis/2uDq9aI9y2x1PTkp4Avf67,280605,4
いつか大人になって,0.546,0.685,1,-5.775,1,0.0363,0.573,5.42e-06,0.36,0.536,152.895,audio_features,4LGO2xvolNy5DYkaP6aD5P,spotify:track:4LGO2xvolNy5DYkaP6aD5P,https://api.spotify.com/v1/tracks/4LGO2xvolNy5DYkaP6aD5P,https://api.spotify.com/v1/audio-analysis/4LGO2xvolNy5DYkaP6aD5P,278029,4
Gimme Five!,0.477,0.919,2,-2.655,1,0.125,0.00174,1.57e-06,0.26,0.653,165.124,audio_features,5gNCipXxT2whJdpYHx8c56,spotify:track:5gNCipXxT2whJdpYHx8c56,https://api.spotify.com/v1/tracks/5gNCipXxT2whJdpYHx8c56,https://api.spotify.com/v1/audio-analysis/5gNCipXxT2whJdpYHx8c56,223671,4
ロジック・ジャンプ(ライブ・アット渋谷CLUB QUATTRO),0.639,0.864,4,-4.271,0,0.0494,0.201,0,0.801,0.697,112.055,audio_features,5JDJPhwwdfQ3SZqra4FL8t,spotify:track:5JDJPhwwdfQ3SZqra4FL8t,https://api.spotify.com/v1/tracks/5JDJPhwwdfQ3SZqra4FL8t,https://api.spotify.com/v1/audio-analysis/5JDJPhwwdfQ3SZqra4FL8t,266000,4
フィロソフィア - Instrumental,0.693,0.673,10,-8.686,0,0.0368,0.0108,0.918,0.0999,0.728,129.959,audio_features,20gE15JgeDIfYmQJvx7Vuh,spotify:track:20gE15JgeDIfYmQJvx7Vuh,https://api.spotify.com/v1/tracks/20gE15JgeDIfYmQJvx7Vuh,https://api.spotify.com/v1/audio-analysis/20gE15JgeDIfYmQJvx7Vuh,237547,4
ライブ・ライフ(Album Mastering),0.741,0.858,5,-9.51,0,0.0375,0.183,0.00739,0.235,0.961,143.03,audio_features,5vl2DZ9SvMfYpeFJCqSM5Y,spotify:track:5vl2DZ9SvMfYpeFJCqSM5Y,https://api.spotify.com/v1/tracks/5vl2DZ9SvMfYpeFJCqSM5Y,https://api.spotify.com/v1/audio-analysis/5vl2DZ9SvMfYpeFJCqSM5Y,266454,4
サンフラワー,0.664,0.871,1,-3.189,0,0.0362,0.056,0,0.0677,0.601,119.996,audio_features,4DTupyTqiWgegn1IBGLUsU,spotify:track:4DTupyTqiWgegn1IBGLUsU,https://api.spotify.com/v1/tracks/4DTupyTqiWgegn1IBGLUsU,https://api.spotify.com/v1/audio-analysis/4DTupyTqiWgegn1IBGLUsU,254507,4
君は1000%,0.673,0.73,11,-5.911,1,0.0334,0.00715,0.000355,0.043,0.507,143.967,audio_features,2cSsiYcyRbf6CYat2oYfAP,spotify:track:2cSsiYcyRbf6CYat2oYfAP,https://api.spotify.com/v1/tracks/2cSsiYcyRbf6CYat2oYfAP,https://api.spotify.com/v1/audio-analysis/2cSsiYcyRbf6CYat2oYfAP,258707,4
ウォータープルーフ・ナイト,0.624,0.934,5,-4.54,1,0.0373,0.0121,0.00591,0.202,0.696,130.022,audio_features,129lOu5GddF6rumX6VLnWw,spotify:track:129lOu5GddF6rumX6VLnWw,https://api.spotify.com/v1/tracks/129lOu5GddF6rumX6VLnWw,https://api.spotify.com/v1/audio-analysis/129lOu5GddF6rumX6VLnWw,204333,4
恋をしてもいいですか,0.606,0.613,0,-7.087,1,0.0315,0.0994,4.68e-06,0.126,0.394,89.95,audio_features,2AGH7trAQai6NJHzD65dGB,spotify:track:2AGH7trAQai6NJHzD65dGB,https://api.spotify.com/v1/tracks/2AGH7trAQai6NJHzD65dGB,https://api.spotify.com/v1/audio-analysis/2AGH7trAQai6NJHzD65dGB,286307,4
愛の哲学 - “Love 4 You TOUR 2022” at TOKYO DOME CITY HALL,0.606,0.934,7,-4.625,1,0.077,0.0333,0,0.194,0.306,126.97,audio_features,7KNGhGFbPkA9eSnN5YpHRE,spotify:track:7KNGhGFbPkA9eSnN5YpHRE,https://api.spotify.com/v1/tracks/7KNGhGFbPkA9eSnN5YpHRE,https://api.spotify.com/v1/audio-analysis/7KNGhGFbPkA9eSnN5YpHRE,304933,4
