name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
粉雪,0.574,0.319,7,-7.522,1,0.0274,0.881,0,0.153,0.272,80.022,audio_features,5zjKTd03R9yMYl8jdudlnY,spotify:track:5zjKTd03R9yMYl8jdudlnY,https://api.spotify.com/v1/tracks/5zjKTd03R9yMYl8jdudlnY,https://api.spotify.com/v1/audio-analysis/5zjKTd03R9yMYl8jdudlnY,308933,4
南風 (Polestar Tour 2017 Final at Tokyo),0.486,0.885,4,-5.25,1,0.0552,0.0255,2.02e-06,0.433,0.484,127.877,audio_features,1Nhs4KWAhwMwljbBihCZS5,spotify:track:1Nhs4KWAhwMwljbBihCZS5,https://api.spotify.com/v1/tracks/1Nhs4KWAhwMwljbBihCZS5,https://api.spotify.com/v1/audio-analysis/1Nhs4KWAhwMwljbBihCZS5,240867,4
3月9日,0.605,0.272,5,-8.898,1,0.0271,0.854,0,0.0737,0.509,82.034,audio_features,2AzXf57O6rpjhji7pjBtXp,spotify:track:2AzXf57O6rpjhji7pjBtXp,https://api.spotify.com/v1/tracks/2AzXf57O6rpjhji7pjBtXp,https://api.spotify.com/v1/audio-analysis/2AzXf57O6rpjhji7pjBtXp,258400,4
Heroes,0.307,0.912,2,-4.216,1,0.0535,0.0784,0.000363,0.0954,0.329,172.922,audio_features,04UvEA3I0YYnWypXqjs7AT,spotify:track:04UvEA3I0YYnWypXqjs7AT,https://api.spotify.com/v1/tracks/04UvEA3I0YYnWypXqjs7AT,https://api.spotify.com/v1/audio-analysis/04UvEA3I0YYnWypXqjs7AT,266400,4
粉雪 Piano Version,0.386,0.07,7,-22.89,1,0.0604,0.993,0.946,0.159,0.105,141.327,audio_features,5NA9892B2NJOrx3S34lmCP,spotify:track:5NA9892B2NJOrx3S34lmCP,https://api.spotify.com/v1/tracks/5NA9892B2NJOrx3S34lmCP,https://api.spotify.com/v1/audio-analysis/5NA9892B2NJOrx3S34lmCP,274173,4
日日是好日,0.442,0.836,8,-6.066,1,0.0371,0.000317,0.00388,0.345,0.369,99.971,audio_features,1xOBg1BWrEEsBGbvgSjEzA,spotify:track:1xOBg1BWrEEsBGbvgSjEzA,https://api.spotify.com/v1/tracks/1xOBg1BWrEEsBGbvgSjEzA,https://api.spotify.com/v1/audio-analysis/1xOBg1BWrEEsBGbvgSjEzA,234667,4
3月9日 (Polestar Tour 2017 Final at Tokyo),0.484,0.182,5,-14.214,1,0.0419,0.877,0,0.728,0.311,74.699,audio_features,4x3erEsMknHonkl5udLwsb,spotify:track:4x3erEsMknHonkl5udLwsb,https://api.spotify.com/v1/tracks/4x3erEsMknHonkl5udLwsb,https://api.spotify.com/v1/audio-analysis/4x3erEsMknHonkl5udLwsb,274067,4
another story,0.485,0.41,2,-7.987,1,0.0281,0.672,0.000529,0.138,0.247,74.992,audio_features,6oevmw6Y5vQlbsoOopMYt1,spotify:track:6oevmw6Y5vQlbsoOopMYt1,https://api.spotify.com/v1/tracks/6oevmw6Y5vQlbsoOopMYt1,https://api.spotify.com/v1/audio-analysis/6oevmw6Y5vQlbsoOopMYt1,302000,4
波音 (Polestar Tour 2017 Final at Tokyo),0.492,0.775,10,-5.902,1,0.0285,0.00666,2.1e-06,0.296,0.715,95.988,audio_features,5eS77BxPL8eMjdiqokilik,spotify:track:5eS77BxPL8eMjdiqokilik,https://api.spotify.com/v1/tracks/5eS77BxPL8eMjdiqokilik,https://api.spotify.com/v1/audio-analysis/5eS77BxPL8eMjdiqokilik,233333,4
回復魔法,0.468,0.81,4,-5.689,1,0.0672,0.0339,2.29e-05,0.0784,0.909,171.974,audio_features,5GjdUN3abLtvCKhBTOc9Aw,spotify:track:5GjdUN3abLtvCKhBTOc9Aw,https://api.spotify.com/v1/tracks/5GjdUN3abLtvCKhBTOc9Aw,https://api.spotify.com/v1/audio-analysis/5GjdUN3abLtvCKhBTOc9Aw,202933,4
