name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Changing point,0.486,0.791,11,-6.888,1,0.0779,0.07,0,0.14,0.545,185.964,audio_features,2rYvb0YuALkA0TnwhU5NeA,spotify:track:2rYvb0YuALkA0TnwhU5NeA,https://api.spotify.com/v1/tracks/2rYvb0YuALkA0TnwhU5NeA,https://api.spotify.com/v1/audio-analysis/2rYvb0YuALkA0TnwhU5NeA,284509,4
La Luce,0.638,0.487,2,-9.212,0,0.0302,0.291,4.52e-06,0.132,0.346,119.99,audio_features,3psn0HvA0fg2UndSqwx4jT,spotify:track:3psn0HvA0fg2UndSqwx4jT,https://api.spotify.com/v1/tracks/3psn0HvA0fg2UndSqwx4jT,https://api.spotify.com/v1/audio-analysis/3psn0HvA0fg2UndSqwx4jT,289667,4
Return To Life,0.586,0.651,0,-9.166,1,0.0436,0.145,0.000151,0.134,0.519,135.021,audio_features,2zKELaQvEFuSRfB5ueMnhO,spotify:track:2zKELaQvEFuSRfB5ueMnhO,https://api.spotify.com/v1/tracks/2zKELaQvEFuSRfB5ueMnhO,https://api.spotify.com/v1/audio-analysis/2zKELaQvEFuSRfB5ueMnhO,286667,4
花ノ音,0.522,0.419,2,-8.07,0,0.0433,0.558,7.52e-06,0.228,0.258,140.025,audio_features,7Lmd1oZfHgE79FK9MyaIdz,spotify:track:7Lmd1oZfHgE79FK9MyaIdz,https://api.spotify.com/v1/tracks/7Lmd1oZfHgE79FK9MyaIdz,https://api.spotify.com/v1/audio-analysis/7Lmd1oZfHgE79FK9MyaIdz,285237,4
Christmas Wishes,0.596,0.488,7,-8.42,1,0.0346,0.246,0,0.102,0.7,80.023,audio_features,38PuSnGW3wa3GYKtnlGhjB,spotify:track:38PuSnGW3wa3GYKtnlGhjB,https://api.spotify.com/v1/tracks/38PuSnGW3wa3GYKtnlGhjB,https://api.spotify.com/v1/audio-analysis/38PuSnGW3wa3GYKtnlGhjB,280001,4
パンドラの耳打ち,0.672,0.719,6,-7.307,0,0.0574,0.0198,6.39e-06,0.0527,0.683,89.958,audio_features,1BjvPEcFSZa0IBLFGKksEo,spotify:track:1BjvPEcFSZa0IBLFGKksEo,https://api.spotify.com/v1/tracks/1BjvPEcFSZa0IBLFGKksEo,https://api.spotify.com/v1/audio-analysis/1BjvPEcFSZa0IBLFGKksEo,267514,4
誰か僕に名前をください,0.645,0.276,7,-13.197,1,0.0359,0.669,2.91e-05,0.0834,0.363,115.032,audio_features,7rr0zTVj10X22Jf7nhFLUf,spotify:track:7rr0zTVj10X22Jf7nhFLUf,https://api.spotify.com/v1/tracks/7rr0zTVj10X22Jf7nhFLUf,https://api.spotify.com/v1/audio-analysis/7rr0zTVj10X22Jf7nhFLUf,258133,3
Only A Smile,0.454,0.431,9,-9.028,1,0.0337,0.634,0,0.0829,0.52,99.989,audio_features,6WZQz25aExV8D25E556ZGY,spotify:track:6WZQz25aExV8D25E556ZGY,https://api.spotify.com/v1/tracks/6WZQz25aExV8D25E556ZGY,https://api.spotify.com/v1/audio-analysis/6WZQz25aExV8D25E556ZGY,279293,4
雨,0.425,0.421,8,-11.828,0,0.0419,0.641,6.35e-06,0.0966,0.473,80.504,audio_features,6SvvSO3gSzFJOoP7k2VwOG,spotify:track:6SvvSO3gSzFJOoP7k2VwOG,https://api.spotify.com/v1/tracks/6SvvSO3gSzFJOoP7k2VwOG,https://api.spotify.com/v1/audio-analysis/6SvvSO3gSzFJOoP7k2VwOG,229240,4
川の流れのように,0.423,0.289,11,-12.325,1,0.0542,0.946,3.43e-05,0.0661,0.292,154.313,audio_features,2uroqFYNCecipY4vdiglVl,spotify:track:2uroqFYNCecipY4vdiglVl,https://api.spotify.com/v1/tracks/2uroqFYNCecipY4vdiglVl,https://api.spotify.com/v1/audio-analysis/2uroqFYNCecipY4vdiglVl,333507,4
