name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ねぇ,0.526,0.653,7,-6.765,0,0.0319,0.357,0,0.219,0.351,96.834,audio_features,6hTrqKniNDWOoC2H6P3Is5,spotify:track:6hTrqKniNDWOoC2H6P3Is5,https://api.spotify.com/v1/tracks/6hTrqKniNDWOoC2H6P3Is5,https://api.spotify.com/v1/audio-analysis/6hTrqKniNDWOoC2H6P3Is5,267560,4
蛍,0.515,0.658,6,-6.241,0,0.0291,0.621,0,0.113,0.424,161.9,audio_features,1oF9lB1sISfiL96yyX1iDE,spotify:track:1oF9lB1sISfiL96yyX1iDE,https://api.spotify.com/v1/tracks/1oF9lB1sISfiL96yyX1iDE,https://api.spotify.com/v1/audio-analysis/1oF9lB1sISfiL96yyX1iDE,291400,4
花火,0.334,0.495,9,-6.307,0,0.0278,0.662,2.23e-06,0.0993,0.188,167.552,audio_features,3yMsIPnG8fv3BzvoCzMCxn,spotify:track:3yMsIPnG8fv3BzvoCzMCxn,https://api.spotify.com/v1/tracks/3yMsIPnG8fv3BzvoCzMCxn,https://api.spotify.com/v1/audio-analysis/3yMsIPnG8fv3BzvoCzMCxn,228227,4
Hotaru,0.503,0.269,6,-10.643,0,0.0383,0.836,1.73e-05,0.115,0.277,81.071,audio_features,0NpZL1bq6HmEf40pbe70rr,spotify:track:0NpZL1bq6HmEf40pbe70rr,https://api.spotify.com/v1/tracks/0NpZL1bq6HmEf40pbe70rr,https://api.spotify.com/v1/audio-analysis/0NpZL1bq6HmEf40pbe70rr,308867,4
Flower & Butterfly,0.359,0.465,5,-6.208,0,0.0271,0.491,0,0.168,0.312,180.226,audio_features,2HUVe3pEXjgCtq9MpfsZro,spotify:track:2HUVe3pEXjgCtq9MpfsZro,https://api.spotify.com/v1/tracks/2HUVe3pEXjgCtq9MpfsZro,https://api.spotify.com/v1/audio-analysis/2HUVe3pEXjgCtq9MpfsZro,252211,3
素敵なことがあなたを待っている,0.51,0.362,5,-6.681,1,0.0304,0.933,0,0.105,0.64,79.004,audio_features,4InGRX5xss39djALr9nF6Y,spotify:track:4InGRX5xss39djALr9nF6Y,https://api.spotify.com/v1/tracks/4InGRX5xss39djALr9nF6Y,https://api.spotify.com/v1/audio-analysis/4InGRX5xss39djALr9nF6Y,295147,4
蛍,0.808,0.0228,6,-26.393,0,0.0797,0.976,0.887,0.0607,0.686,126.028,audio_features,5zXQmgQlPkvD9nzJNm1M5T,spotify:track:5zXQmgQlPkvD9nzJNm1M5T,https://api.spotify.com/v1/tracks/5zXQmgQlPkvD9nzJNm1M5T,https://api.spotify.com/v1/audio-analysis/5zXQmgQlPkvD9nzJNm1M5T,171867,4
高鳴る,0.535,0.861,9,-5.89,0,0.0623,0.0127,1.72e-05,0.245,0.249,119.972,audio_features,2HOnQrBQQY9C0OTn8U2YJj,spotify:track:2HOnQrBQQY9C0OTn8U2YJj,https://api.spotify.com/v1/tracks/2HOnQrBQQY9C0OTn8U2YJj,https://api.spotify.com/v1/audio-analysis/2HOnQrBQQY9C0OTn8U2YJj,295213,4
Nee,0.61,0.332,7,-9.26,0,0.0353,0.848,6.29e-06,0.201,0.294,95.943,audio_features,2ZpfozPmzh1H38yzjhqiYX,spotify:track:2ZpfozPmzh1H38yzjhqiYX,https://api.spotify.com/v1/tracks/2ZpfozPmzh1H38yzjhqiYX,https://api.spotify.com/v1/audio-analysis/2ZpfozPmzh1H38yzjhqiYX,272173,4
花火,0.49,0.453,9,-6.954,0,0.0244,0.677,1.16e-06,0.153,0.277,83.918,audio_features,7vLNxrL1XvUn7WPi3uW0ek,spotify:track:7vLNxrL1XvUn7WPi3uW0ek,https://api.spotify.com/v1/tracks/7vLNxrL1XvUn7WPi3uW0ek,https://api.spotify.com/v1/audio-analysis/7vLNxrL1XvUn7WPi3uW0ek,231533,4
Simple,0.653,0.564,0,-7.77,1,0.0471,0.71,6.11e-06,0.127,0.375,76.999,audio_features,4oAofJyvoZ5E5pGfRcxpfW,spotify:track:4oAofJyvoZ5E5pGfRcxpfW,https://api.spotify.com/v1/tracks/4oAofJyvoZ5E5pGfRcxpfW,https://api.spotify.com/v1/audio-analysis/4oAofJyvoZ5E5pGfRcxpfW,211827,4
ねぇ,0.758,0.0876,6,-25.723,0,0.083,0.908,0.812,0.12,0.902,125.958,audio_features,4GTx1vQF4dsef1RGk7Geju,spotify:track:4GTx1vQF4dsef1RGk7Geju,https://api.spotify.com/v1/tracks/4GTx1vQF4dsef1RGk7Geju,https://api.spotify.com/v1/audio-analysis/4GTx1vQF4dsef1RGk7Geju,179653,4
駆け引き,0.593,0.519,5,-7.035,0,0.0256,0.311,0,0.131,0.449,98.029,audio_features,3GsbiMgqlf63B74TWRGfzD,spotify:track:3GsbiMgqlf63B74TWRGfzD,https://api.spotify.com/v1/tracks/3GsbiMgqlf63B74TWRGfzD,https://api.spotify.com/v1/audio-analysis/3GsbiMgqlf63B74TWRGfzD,267094,4
Only One ~Beginnings of Romance~,0.611,0.204,3,-19.16,1,0.0899,0.883,0.955,0.105,0.943,206.203,audio_features,0nlRx4mXFZrbSF7RcFRCCA,spotify:track:0nlRx4mXFZrbSF7RcFRCCA,https://api.spotify.com/v1/tracks/0nlRx4mXFZrbSF7RcFRCCA,https://api.spotify.com/v1/audio-analysis/0nlRx4mXFZrbSF7RcFRCCA,117525,4
花火,0.467,0.465,9,-7.0,0,0.0247,0.566,0,0.0912,0.245,83.906,audio_features,1R2rjptmbxXS9NaeSCfXXj,spotify:track:1R2rjptmbxXS9NaeSCfXXj,https://api.spotify.com/v1/tracks/1R2rjptmbxXS9NaeSCfXXj,https://api.spotify.com/v1/audio-analysis/1R2rjptmbxXS9NaeSCfXXj,231467,4
運命の人,0.604,0.754,6,-6.104,0,0.0359,0.69,0.000179,0.0989,0.47,99.928,audio_features,53DNo7SeJf3L2BfAU3xu26,spotify:track:53DNo7SeJf3L2BfAU3xu26,https://api.spotify.com/v1/tracks/53DNo7SeJf3L2BfAU3xu26,https://api.spotify.com/v1/audio-analysis/53DNo7SeJf3L2BfAU3xu26,240693,4
SAY YES,0.378,0.64,7,-4.935,1,0.029,0.704,2.87e-06,0.112,0.285,167.691,audio_features,3zU3SddGM4GeaLUgf5LuWw,spotify:track:3zU3SddGM4GeaLUgf5LuWw,https://api.spotify.com/v1/tracks/3zU3SddGM4GeaLUgf5LuWw,https://api.spotify.com/v1/audio-analysis/3zU3SddGM4GeaLUgf5LuWw,288000,4
あなたがいるから,0.656,0.19,0,-8.781,1,0.0294,0.989,5.02e-05,0.108,0.368,80.994,audio_features,2ePLt2MZxFaaK3V0hLBRNP,spotify:track:2ePLt2MZxFaaK3V0hLBRNP,https://api.spotify.com/v1/tracks/2ePLt2MZxFaaK3V0hLBRNP,https://api.spotify.com/v1/audio-analysis/2ePLt2MZxFaaK3V0hLBRNP,294560,4
あなたは幸せになる,0.763,0.0223,9,-27.804,1,0.113,0.956,0.824,0.317,0.774,119.963,audio_features,58VtuUTyKqTJ87z4xqeZx7,spotify:track:58VtuUTyKqTJ87z4xqeZx7,https://api.spotify.com/v1/tracks/58VtuUTyKqTJ87z4xqeZx7,https://api.spotify.com/v1/audio-analysis/58VtuUTyKqTJ87z4xqeZx7,179413,4
見えない月,0.579,0.644,8,-5.014,1,0.0282,0.785,0,0.0837,0.338,112.978,audio_features,58IhI7t2XIwAxRkpGEQz2d,spotify:track:58IhI7t2XIwAxRkpGEQz2d,https://api.spotify.com/v1/tracks/58IhI7t2XIwAxRkpGEQz2d,https://api.spotify.com/v1/audio-analysis/58IhI7t2XIwAxRkpGEQz2d,263800,4
水風船,0.532,0.628,3,-6.419,0,0.0258,0.854,0.000277,0.123,0.329,94.973,audio_features,3CsZk9lpGPiuwnIXZ8jYLY,spotify:track:3CsZk9lpGPiuwnIXZ8jYLY,https://api.spotify.com/v1/tracks/3CsZk9lpGPiuwnIXZ8jYLY,https://api.spotify.com/v1/audio-analysis/3CsZk9lpGPiuwnIXZ8jYLY,267280,4
恋に落ちて,0.786,0.0213,7,-26.3,1,0.136,0.97,0.582,0.223,0.79,135.98,audio_features,2VRfDLzRQhxmZdbuQL2yyg,spotify:track:2VRfDLzRQhxmZdbuQL2yyg,https://api.spotify.com/v1/tracks/2VRfDLzRQhxmZdbuQL2yyg,https://api.spotify.com/v1/audio-analysis/2VRfDLzRQhxmZdbuQL2yyg,192373,3
Falling in Love ~Fluttering Hearts~,0.752,0.202,2,-14.232,1,0.0467,0.981,0.944,0.306,0.759,130.038,audio_features,15oqDjMt6dag054dmiuzjV,spotify:track:15oqDjMt6dag054dmiuzjV,https://api.spotify.com/v1/tracks/15oqDjMt6dag054dmiuzjV,https://api.spotify.com/v1/audio-analysis/15oqDjMt6dag054dmiuzjV,97846,4
もう一度,0.324,0.308,8,-8.2,1,0.0321,0.98,2.21e-05,0.26,0.459,167.457,audio_features,7prsTcH7aOLWuTiktmcIXJ,spotify:track:7prsTcH7aOLWuTiktmcIXJ,https://api.spotify.com/v1/tracks/7prsTcH7aOLWuTiktmcIXJ,https://api.spotify.com/v1/audio-analysis/7prsTcH7aOLWuTiktmcIXJ,274782,4
高鳴る,0.65,0.0252,9,-26.631,0,0.0927,0.945,0.272,0.0947,0.524,75.975,audio_features,687NXSKAYyrIJjVnrJxznE,spotify:track:687NXSKAYyrIJjVnrJxznE,https://api.spotify.com/v1/tracks/687NXSKAYyrIJjVnrJxznE,https://api.spotify.com/v1/audio-analysis/687NXSKAYyrIJjVnrJxznE,174827,4
