name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Oddloop,0.424,0.899,11,-3.937,0,0.0572,0.0034,8.1e-05,0.223,0.74,171.832,audio_features,5hQll2t2rfpVARhVjDVOYJ,spotify:track:5hQll2t2rfpVARhVjDVOYJ,https://api.spotify.com/v1/tracks/5hQll2t2rfpVARhVjDVOYJ,https://api.spotify.com/v1/audio-analysis/5hQll2t2rfpVARhVjDVOYJ,255293,4
LIGHT,0.747,0.752,6,-4.816,0,0.035,0.000445,0.000379,0.0575,0.838,124.99,audio_features,4ksAelIriIQMPK5dLTawJb,spotify:track:4ksAelIriIQMPK5dLTawJb,https://api.spotify.com/v1/tracks/4ksAelIriIQMPK5dLTawJb,https://api.spotify.com/v1/audio-analysis/4ksAelIriIQMPK5dLTawJb,206323,4
Junkie,0.678,0.782,5,-4.529,1,0.0546,0.00895,0,0.0729,0.914,150.016,audio_features,1tv0KoxVCgwDztpIqCWVr1,spotify:track:1tv0KoxVCgwDztpIqCWVr1,https://api.spotify.com/v1/tracks/1tv0KoxVCgwDztpIqCWVr1,https://api.spotify.com/v1/audio-analysis/1tv0KoxVCgwDztpIqCWVr1,215606,4
Sukiraism,0.61,0.916,11,-3.326,0,0.144,0.00314,0.00279,0.084,0.717,92.482,audio_features,1lt0YLJ4toevgRQsc0cedT,spotify:track:1lt0YLJ4toevgRQsc0cedT,https://api.spotify.com/v1/tracks/1lt0YLJ4toevgRQsc0cedT,https://api.spotify.com/v1/audio-analysis/1lt0YLJ4toevgRQsc0cedT,200209,4
Shinkiro,0.559,0.94,4,-3.764,0,0.0686,0.00479,0,0.24,0.716,159.987,audio_features,2IhDML6rDESattvzwd54dV,spotify:track:2IhDML6rDESattvzwd54dV,https://api.spotify.com/v1/tracks/2IhDML6rDESattvzwd54dV,https://api.spotify.com/v1/audio-analysis/2IhDML6rDESattvzwd54dV,245094,4
LIGHT,0.752,0.75,6,-4.803,0,0.0346,0.000422,0.000343,0.0503,0.856,125.0,audio_features,2cGeIGFty9lniooLdg7iiJ,spotify:track:2cGeIGFty9lniooLdg7iiJ,https://api.spotify.com/v1/tracks/2cGeIGFty9lniooLdg7iiJ,https://api.spotify.com/v1/audio-analysis/2cGeIGFty9lniooLdg7iiJ,205346,4
Jyarimichi,0.74,0.663,2,-4.769,1,0.047,0.0856,0.00302,0.0764,0.901,128.016,audio_features,4UAUdYv3lKqzBkJKcKzpZA,spotify:track:4UAUdYv3lKqzBkJKcKzpZA,https://api.spotify.com/v1/tracks/4UAUdYv3lKqzBkJKcKzpZA,https://api.spotify.com/v1/audio-analysis/4UAUdYv3lKqzBkJKcKzpZA,256640,4
Fushidara Flamingo,0.685,0.697,2,-5.624,1,0.046,0.0182,2.36e-06,0.226,0.689,129.982,audio_features,7K9RF8MwfBDwZSunEQ1SKp,spotify:track:7K9RF8MwfBDwZSunEQ1SKp,https://api.spotify.com/v1/tracks/7K9RF8MwfBDwZSunEQ1SKp,https://api.spotify.com/v1/audio-analysis/7K9RF8MwfBDwZSunEQ1SKp,253347,4
YONA YONA DANCE - Frederhythm Ver.,0.657,0.837,4,-6.12,0,0.0408,0.00153,4.02e-06,0.222,0.961,149.992,audio_features,2mZG5d8W6NKoINYF4MeZRw,spotify:track:2mZG5d8W6NKoINYF4MeZRw,https://api.spotify.com/v1/tracks/2mZG5d8W6NKoINYF4MeZRw,https://api.spotify.com/v1/audio-analysis/2mZG5d8W6NKoINYF4MeZRw,229201,4
Meiakuyaku,0.633,0.913,1,-4.36,1,0.0414,0.000389,0.000278,0.173,0.777,110.004,audio_features,0R5HZSe4AVKrDzHuhKy2Ca,spotify:track:0R5HZSe4AVKrDzHuhKy2Ca,https://api.spotify.com/v1/tracks/0R5HZSe4AVKrDzHuhKy2Ca,https://api.spotify.com/v1/audio-analysis/0R5HZSe4AVKrDzHuhKy2Ca,223306,4
