name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
外道,0.246,0.882,9,-5.5,1,0.0479,0.000199,0.426,0.805,0.586,142.635,audio_features,3hFXE30bDwlD568lLbRWST,spotify:track:3hFXE30bDwlD568lLbRWST,https://api.spotify.com/v1/tracks/3hFXE30bDwlD568lLbRWST,https://api.spotify.com/v1/audio-analysis/3hFXE30bDwlD568lLbRWST,126040,4
Hey Rock'n Roll 外道,0.368,0.881,4,-4.84,0,0.0437,4.21e-06,0.0575,0.369,0.686,94.797,audio_features,3lmCERexKhbtnbpqr8aW1o,spotify:track:3lmCERexKhbtnbpqr8aW1o,https://api.spotify.com/v1/tracks/3lmCERexKhbtnbpqr8aW1o,https://api.spotify.com/v1/audio-analysis/3lmCERexKhbtnbpqr8aW1o,224253,4
ダンスダンスダンス,0.342,0.887,6,-5.712,0,0.133,0.00404,0.108,0.676,0.558,151.923,audio_features,0LNbbWIHkmjjgFDQIJJyMg,spotify:track:0LNbbWIHkmjjgFDQIJJyMg,https://api.spotify.com/v1/tracks/0LNbbWIHkmjjgFDQIJJyMg,https://api.spotify.com/v1/audio-analysis/0LNbbWIHkmjjgFDQIJJyMg,488360,4
何?,0.476,0.941,0,-4.415,1,0.099,0.00411,0.0157,0.225,0.475,86.942,audio_features,05UxsGhKRa16SvKXK5OGtU,spotify:track:05UxsGhKRa16SvKXK5OGtU,https://api.spotify.com/v1/tracks/05UxsGhKRa16SvKXK5OGtU,https://api.spotify.com/v1/audio-analysis/05UxsGhKRa16SvKXK5OGtU,209987,4
Hey Hey Hey,0.329,0.862,9,-2.166,1,0.0499,0.00341,0.000102,0.771,0.51,133.044,audio_features,0s0LqAhxlBI1DIYhFevdpv,spotify:track:0s0LqAhxlBI1DIYhFevdpv,https://api.spotify.com/v1/tracks/0s0LqAhxlBI1DIYhFevdpv,https://api.spotify.com/v1/audio-analysis/0s0LqAhxlBI1DIYhFevdpv,192080,4
夕日が昇る~ウインドワールドヒル,0.394,0.552,0,-7.249,1,0.0256,0.0601,0.00949,0.0908,0.176,89.997,audio_features,4o5lmJrHKRUh2yVF8fspXy,spotify:track:4o5lmJrHKRUh2yVF8fspXy,https://api.spotify.com/v1/tracks/4o5lmJrHKRUh2yVF8fspXy,https://api.spotify.com/v1/audio-analysis/4o5lmJrHKRUh2yVF8fspXy,356120,4
抱きしめて,0.365,0.959,2,-4.682,0,0.339,0.115,9.82e-06,0.11,0.22,157.04,audio_features,4YhudLEUrvb74uJhxACcCX,spotify:track:4YhudLEUrvb74uJhxACcCX,https://api.spotify.com/v1/tracks/4YhudLEUrvb74uJhxACcCX,https://api.spotify.com/v1/audio-analysis/4YhudLEUrvb74uJhxACcCX,302840,4
湖の辺で,0.466,0.673,9,-6.402,0,0.0268,0.0398,0.00771,0.256,0.323,76.996,audio_features,75DL3BxXFeZwN5XyMtx4oh,spotify:track:75DL3BxXFeZwN5XyMtx4oh,https://api.spotify.com/v1/tracks/75DL3BxXFeZwN5XyMtx4oh,https://api.spotify.com/v1/audio-analysis/75DL3BxXFeZwN5XyMtx4oh,233907,4
ビュンビュン,0.301,0.962,0,-4.645,1,0.0965,1.93e-05,0.565,0.785,0.298,90.86,audio_features,0HTc9t3RUY48H22bHRz19T,spotify:track:0HTc9t3RUY48H22bHRz19T,https://api.spotify.com/v1/tracks/0HTc9t3RUY48H22bHRz19T,https://api.spotify.com/v1/audio-analysis/0HTc9t3RUY48H22bHRz19T,147080,4
ロックンロールバカ?,0.3,0.917,9,-6.114,1,0.233,0.00412,0.00218,0.421,0.577,157.571,audio_features,0V8W0pwHQOH3oKlUX4RFHn,spotify:track:0V8W0pwHQOH3oKlUX4RFHn,https://api.spotify.com/v1/tracks/0V8W0pwHQOH3oKlUX4RFHn,https://api.spotify.com/v1/audio-analysis/0V8W0pwHQOH3oKlUX4RFHn,147787,3
完了,0.278,0.944,2,-4.875,1,0.106,1.71e-05,0.213,0.935,0.306,90.834,audio_features,20PfLOO8nio3QZxrB2DdeK,spotify:track:20PfLOO8nio3QZxrB2DdeK,https://api.spotify.com/v1/tracks/20PfLOO8nio3QZxrB2DdeK,https://api.spotify.com/v1/audio-analysis/20PfLOO8nio3QZxrB2DdeK,448613,4
