name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
原因は自分にある。,0.483,0.862,8,-3.799,1,0.0731,0.00942,0,0.0996,0.618,155.966,audio_features,6esoe9fhe26x1nOWqcP7jo,spotify:track:6esoe9fhe26x1nOWqcP7jo,https://api.spotify.com/v1/tracks/6esoe9fhe26x1nOWqcP7jo,https://api.spotify.com/v1/audio-analysis/6esoe9fhe26x1nOWqcP7jo,219712,4
Q,0.594,0.791,1,-5.31,0,0.0351,0.0646,1.05e-05,0.274,0.506,139.916,audio_features,4OzgBpnlznWd72HNLZHOp4,spotify:track:4OzgBpnlznWd72HNLZHOp4,https://api.spotify.com/v1/tracks/4OzgBpnlznWd72HNLZHOp4,https://api.spotify.com/v1/audio-analysis/4OzgBpnlznWd72HNLZHOp4,201648,3
以呂波,0.508,0.949,0,-4.083,1,0.112,0.00361,3.04e-06,0.204,0.57,175.001,audio_features,2MZn7KRK0H31fKBMxSpXUm,spotify:track:2MZn7KRK0H31fKBMxSpXUm,https://api.spotify.com/v1/tracks/2MZn7KRK0H31fKBMxSpXUm,https://api.spotify.com/v1/audio-analysis/2MZn7KRK0H31fKBMxSpXUm,258400,4
原因は自分にある。,0.483,0.862,8,-3.799,1,0.0731,0.00942,0,0.0996,0.618,155.966,audio_features,4IV4wWIoXASUh61rAI8zlM,spotify:track:4IV4wWIoXASUh61rAI8zlM,https://api.spotify.com/v1/tracks/4IV4wWIoXASUh61rAI8zlM,https://api.spotify.com/v1/audio-analysis/4IV4wWIoXASUh61rAI8zlM,219712,4
チョコループ,0.679,0.859,0,-4.004,1,0.0368,0.108,0,0.107,0.748,129.978,audio_features,0VvNtK1B7ZBln4L4GTTTHV,spotify:track:0VvNtK1B7ZBln4L4GTTTHV,https://api.spotify.com/v1/tracks/0VvNtK1B7ZBln4L4GTTTHV,https://api.spotify.com/v1/audio-analysis/0VvNtK1B7ZBln4L4GTTTHV,250233,4
原因は自分にある。,0.483,0.862,8,-3.799,1,0.0731,0.00942,0,0.0996,0.618,155.966,audio_features,1RFwvE6NRpn3eWErc0G4Jn,spotify:track:1RFwvE6NRpn3eWErc0G4Jn,https://api.spotify.com/v1/tracks/1RFwvE6NRpn3eWErc0G4Jn,https://api.spotify.com/v1/audio-analysis/1RFwvE6NRpn3eWErc0G4Jn,219712,4
原因は君にもある。,0.599,0.911,5,-3.565,0,0.0532,0.142,0,0.254,0.918,156.024,audio_features,0Aw0obEGgrHcVIXzqWAA29,spotify:track:0Aw0obEGgrHcVIXzqWAA29,https://api.spotify.com/v1/tracks/0Aw0obEGgrHcVIXzqWAA29,https://api.spotify.com/v1/audio-analysis/0Aw0obEGgrHcVIXzqWAA29,260067,4
灼けゆく青,0.871,0.705,8,-7.747,1,0.126,0.0817,2.85e-05,0.0676,0.647,140.979,audio_features,2HQvL3AENi8H6LPbpd58wA,spotify:track:2HQvL3AENi8H6LPbpd58wA,https://api.spotify.com/v1/tracks/2HQvL3AENi8H6LPbpd58wA,https://api.spotify.com/v1/audio-analysis/2HQvL3AENi8H6LPbpd58wA,186167,4
貴方に溺れて、僕は潤んで。,0.691,0.724,2,-4.476,1,0.0497,0.435,0.000236,0.0241,0.914,138.869,audio_features,23xWbjLF0HyuQIgSqKHdEQ,spotify:track:23xWbjLF0HyuQIgSqKHdEQ,https://api.spotify.com/v1/tracks/23xWbjLF0HyuQIgSqKHdEQ,https://api.spotify.com/v1/audio-analysis/23xWbjLF0HyuQIgSqKHdEQ,198033,4
幽かな夜の夢,0.47,0.969,1,-2.769,1,0.0796,0.00721,0,0.0929,0.741,186.037,audio_features,5bOBtSbFMCBG96l7A0mky7,spotify:track:5bOBtSbFMCBG96l7A0mky7,https://api.spotify.com/v1/tracks/5bOBtSbFMCBG96l7A0mky7,https://api.spotify.com/v1/audio-analysis/5bOBtSbFMCBG96l7A0mky7,230645,4
シェイクスピアに学ぶ恋愛定理,0.64,0.927,9,-2.418,0,0.135,0.0976,0,0.308,0.844,143.959,audio_features,7eA4nm4uRUnfOF0a4jdg7Y,spotify:track:7eA4nm4uRUnfOF0a4jdg7Y,https://api.spotify.com/v1/tracks/7eA4nm4uRUnfOF0a4jdg7Y,https://api.spotify.com/v1/audio-analysis/7eA4nm4uRUnfOF0a4jdg7Y,230417,4
545,0.685,0.76,5,-5.608,1,0.037,0.34,5.66e-05,0.177,0.665,97.993,audio_features,5KBSu9MsVTXVrdvgnSomi4,spotify:track:5KBSu9MsVTXVrdvgnSomi4,https://api.spotify.com/v1/tracks/5KBSu9MsVTXVrdvgnSomi4,https://api.spotify.com/v1/audio-analysis/5KBSu9MsVTXVrdvgnSomi4,223267,4
ネバーエンドロール,0.675,0.944,6,-2.174,1,0.0651,0.0112,0,0.392,0.846,131.03,audio_features,1vqp3VxbSsPUYul4mIfjGz,spotify:track:1vqp3VxbSsPUYul4mIfjGz,https://api.spotify.com/v1/tracks/1vqp3VxbSsPUYul4mIfjGz,https://api.spotify.com/v1/audio-analysis/1vqp3VxbSsPUYul4mIfjGz,215030,4
犬と猫とミルクにシュガー,0.672,0.896,10,-4.801,0,0.0638,0.00366,0.0227,0.327,0.834,100.049,audio_features,1qViBt9YSX8YWArUuBLUag,spotify:track:1qViBt9YSX8YWArUuBLUag,https://api.spotify.com/v1/tracks/1qViBt9YSX8YWArUuBLUag,https://api.spotify.com/v1/audio-analysis/1qViBt9YSX8YWArUuBLUag,210700,4
豪雨,0.557,0.696,7,-4.886,1,0.0522,0.46,1.51e-06,0.163,0.407,87.987,audio_features,4O5N9iWnM2WYTxolLo0REo,spotify:track:4O5N9iWnM2WYTxolLo0REo,https://api.spotify.com/v1/tracks/4O5N9iWnM2WYTxolLo0REo,https://api.spotify.com/v1/audio-analysis/4O5N9iWnM2WYTxolLo0REo,245379,4
嗜好に関する世論調査,0.671,0.9,8,-2.939,1,0.0701,0.02,1.54e-05,0.223,0.947,152.029,audio_features,59zmilrl5yPnCUxHNh9hwN,spotify:track:59zmilrl5yPnCUxHNh9hwN,https://api.spotify.com/v1/tracks/59zmilrl5yPnCUxHNh9hwN,https://api.spotify.com/v1/audio-analysis/59zmilrl5yPnCUxHNh9hwN,229737,4
結末は次のトラフィックライト,0.625,0.802,2,-3.815,1,0.0406,0.0259,2.98e-06,0.132,0.628,104.989,audio_features,6IMLoZfitZCBZ2OhcMEdEU,spotify:track:6IMLoZfitZCBZ2OhcMEdEU,https://api.spotify.com/v1/tracks/6IMLoZfitZCBZ2OhcMEdEU,https://api.spotify.com/v1/audio-analysis/6IMLoZfitZCBZ2OhcMEdEU,216867,4
柘榴,0.449,0.913,10,-3.574,0,0.0667,0.0612,0,0.168,0.738,84.946,audio_features,3QeJKotbyJm2Bf65us2XI2,spotify:track:3QeJKotbyJm2Bf65us2XI2,https://api.spotify.com/v1/tracks/3QeJKotbyJm2Bf65us2XI2,https://api.spotify.com/v1/audio-analysis/3QeJKotbyJm2Bf65us2XI2,224516,4
青、その他,0.706,0.723,9,-5.703,1,0.0299,0.205,7.36e-06,0.238,0.779,124.962,audio_features,7aoqX36DW17oqCufiw2Dij,spotify:track:7aoqX36DW17oqCufiw2Dij,https://api.spotify.com/v1/tracks/7aoqX36DW17oqCufiw2Dij,https://api.spotify.com/v1/audio-analysis/7aoqX36DW17oqCufiw2Dij,231933,4
ジュトゥブ,0.714,0.959,5,-3.038,1,0.0905,0.136,0,0.0666,0.739,127.994,audio_features,6S11Fpkixsbzk1h709XzPi,spotify:track:6S11Fpkixsbzk1h709XzPi,https://api.spotify.com/v1/tracks/6S11Fpkixsbzk1h709XzPi,https://api.spotify.com/v1/audio-analysis/6S11Fpkixsbzk1h709XzPi,242445,4
豪雨,0.558,0.703,7,-4.686,1,0.0504,0.445,3.04e-06,0.163,0.442,87.984,audio_features,1UE7C71LFmVUnpk4AEFcJQ,spotify:track:1UE7C71LFmVUnpk4AEFcJQ,https://api.spotify.com/v1/tracks/1UE7C71LFmVUnpk4AEFcJQ,https://api.spotify.com/v1/audio-analysis/1UE7C71LFmVUnpk4AEFcJQ,245433,4
ギミギミラブ,0.663,0.925,1,-2.545,0,0.0584,0.0988,4.16e-05,0.147,0.655,132.981,audio_features,247zj1W13s0A45rLLxq5Bt,spotify:track:247zj1W13s0A45rLLxq5Bt,https://api.spotify.com/v1/tracks/247zj1W13s0A45rLLxq5Bt,https://api.spotify.com/v1/audio-analysis/247zj1W13s0A45rLLxq5Bt,249699,4
キミヲナクシテ,0.733,0.698,1,-5.521,1,0.0384,0.0112,0,0.294,0.94,128.986,audio_features,6gy6EuRlir79kA5PXVEJ3Y,spotify:track:6gy6EuRlir79kA5PXVEJ3Y,https://api.spotify.com/v1/tracks/6gy6EuRlir79kA5PXVEJ3Y,https://api.spotify.com/v1/audio-analysis/6gy6EuRlir79kA5PXVEJ3Y,235000,4
時速3km,0.598,0.921,8,-3.248,1,0.0737,0.208,0,0.0771,0.649,92.994,audio_features,05IaFhpk0snhDX4UjEoprs,spotify:track:05IaFhpk0snhDX4UjEoprs,https://api.spotify.com/v1/tracks/05IaFhpk0snhDX4UjEoprs,https://api.spotify.com/v1/audio-analysis/05IaFhpk0snhDX4UjEoprs,269194,4
幽かな夜の夢,0.47,0.969,1,-2.769,1,0.0796,0.00721,0,0.0929,0.741,186.037,audio_features,2QQ467IsGy193IEWuPg9Ef,spotify:track:2QQ467IsGy193IEWuPg9Ef,https://api.spotify.com/v1/tracks/2QQ467IsGy193IEWuPg9Ef,https://api.spotify.com/v1/audio-analysis/2QQ467IsGy193IEWuPg9Ef,230645,4
Joy to the world,0.682,0.87,7,-2.533,0,0.0367,0.2,0.000277,0.372,0.833,127.977,audio_features,0hgPezCVXVHmqXGXgwiMSS,spotify:track:0hgPezCVXVHmqXGXgwiMSS,https://api.spotify.com/v1/tracks/0hgPezCVXVHmqXGXgwiMSS,https://api.spotify.com/v1/audio-analysis/0hgPezCVXVHmqXGXgwiMSS,244881,4
0to1の幻想,0.684,0.84,11,-5.443,0,0.0377,0.00914,0,0.389,0.618,133.024,audio_features,33Ha5Wv2nOjDcp2C1QD5Yr,spotify:track:33Ha5Wv2nOjDcp2C1QD5Yr,https://api.spotify.com/v1/tracks/33Ha5Wv2nOjDcp2C1QD5Yr,https://api.spotify.com/v1/audio-analysis/33Ha5Wv2nOjDcp2C1QD5Yr,193033,4
