name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Night of The Fauvists,0.555,0.788,7,-10.257,1,0.0368,0.00124,0.838,0.104,0.782,141.155,audio_features,7qsmf8bzzf2SijaAwulLRq,spotify:track:7qsmf8bzzf2SijaAwulLRq,https://api.spotify.com/v1/tracks/7qsmf8bzzf2SijaAwulLRq,https://api.spotify.com/v1/audio-analysis/7qsmf8bzzf2SijaAwulLRq,287173,4
CHOPPERS BOOGIE,0.679,0.87,11,-10.705,0,0.0494,0.00786,0.504,0.272,0.899,127.876,audio_features,2ZDdzpgFy4xiD7xt6jc8EB,spotify:track:2ZDdzpgFy4xiD7xt6jc8EB,https://api.spotify.com/v1/tracks/2ZDdzpgFy4xiD7xt6jc8EB,https://api.spotify.com/v1/audio-analysis/2ZDdzpgFy4xiD7xt6jc8EB,310667,4
I SHOT THE SHERIFF,0.647,0.728,0,-10.683,1,0.0326,0.0408,0.596,0.338,0.886,92.512,audio_features,2uAzyk47Ln3ViBPAzA2pkO,spotify:track:2uAzyk47Ln3ViBPAzA2pkO,https://api.spotify.com/v1/tracks/2uAzyk47Ln3ViBPAzA2pkO,https://api.spotify.com/v1/audio-analysis/2uAzyk47Ln3ViBPAzA2pkO,260267,4
s.p.s.,0.584,0.82,0,-10.238,1,0.0416,0.000139,0.862,0.277,0.845,122.955,audio_features,0GhINtuaX9G2B07raePkFI,spotify:track:0GhINtuaX9G2B07raePkFI,https://api.spotify.com/v1/tracks/0GhINtuaX9G2B07raePkFI,https://api.spotify.com/v1/audio-analysis/0GhINtuaX9G2B07raePkFI,352133,4
Kyohu no Exodus,0.671,0.82,7,-10.92,0,0.0435,0.0219,0.738,0.249,0.428,119.706,audio_features,1EBCJy2Tv2KrPhbVHhyP5P,spotify:track:1EBCJy2Tv2KrPhbVHhyP5P,https://api.spotify.com/v1/tracks/1EBCJy2Tv2KrPhbVHhyP5P,https://api.spotify.com/v1/audio-analysis/1EBCJy2Tv2KrPhbVHhyP5P,285440,4
Second Marriage,0.268,0.595,2,-10.82,0,0.0389,0.398,0.928,0.188,0.412,171.119,audio_features,7fQHSEhLh0855NaQqQIM1L,spotify:track:7fQHSEhLh0855NaQqQIM1L,https://api.spotify.com/v1/tracks/7fQHSEhLh0855NaQqQIM1L,https://api.spotify.com/v1/audio-analysis/7fQHSEhLh0855NaQqQIM1L,337107,4
CONCENTRATION Snow Jokeの向こう側,0.649,0.668,10,-9.924,1,0.0237,0.19,0.8,0.158,0.775,100.04,audio_features,5ZD07iflp4Qn6MSDtatfn5,spotify:track:5ZD07iflp4Qn6MSDtatfn5,https://api.spotify.com/v1/tracks/5ZD07iflp4Qn6MSDtatfn5,https://api.spotify.com/v1/audio-analysis/5ZD07iflp4Qn6MSDtatfn5,284333,4
hater,0.549,0.908,0,-9.202,1,0.0432,0.013,0.906,0.293,0.781,159.986,audio_features,0aJu7haWBryZjAfExEzqAO,spotify:track:0aJu7haWBryZjAfExEzqAO,https://api.spotify.com/v1/tracks/0aJu7haWBryZjAfExEzqAO,https://api.spotify.com/v1/audio-analysis/0aJu7haWBryZjAfExEzqAO,378907,4
scan,0.526,0.944,6,-4.566,1,0.0553,0.00549,0.829,0.314,0.545,150.978,audio_features,5gJUpohidD5IMNltg1pNKr,spotify:track:5gJUpohidD5IMNltg1pNKr,https://api.spotify.com/v1/tracks/5gJUpohidD5IMNltg1pNKr,https://api.spotify.com/v1/audio-analysis/5gJUpohidD5IMNltg1pNKr,301067,4
Michi e no Kokai,0.632,0.836,7,-13.63,1,0.038,0.0141,0.908,0.0479,0.963,122.751,audio_features,7c1sWkGkTgOeNheAVhMEA5,spotify:track:7c1sWkGkTgOeNheAVhMEA5,https://api.spotify.com/v1/tracks/7c1sWkGkTgOeNheAVhMEA5,https://api.spotify.com/v1/audio-analysis/7c1sWkGkTgOeNheAVhMEA5,202693,4
THE POWER LOOK,0.65,0.732,2,-9.886,0,0.0295,0.00681,0.855,0.276,0.895,126.46,audio_features,4DuzI3PBCQAcL2KeFZall6,spotify:track:4DuzI3PBCQAcL2KeFZall6,https://api.spotify.com/v1/tracks/4DuzI3PBCQAcL2KeFZall6,https://api.spotify.com/v1/audio-analysis/4DuzI3PBCQAcL2KeFZall6,273000,4
INCIDENT AT NESHABUR,0.46,0.611,5,-12.568,1,0.0305,0.142,0.804,0.331,0.84,126.216,audio_features,3hQiqzoEjCEMOMKBBJoppx,spotify:track:3hQiqzoEjCEMOMKBBJoppx,https://api.spotify.com/v1/tracks/3hQiqzoEjCEMOMKBBJoppx,https://api.spotify.com/v1/audio-analysis/3hQiqzoEjCEMOMKBBJoppx,415333,4
hot line,0.597,0.694,6,-5.84,1,0.027,0.00239,0.808,0.361,0.592,90.017,audio_features,3ointKbOKygFbYuhRpdt0z,spotify:track:3ointKbOKygFbYuhRpdt0z,https://api.spotify.com/v1/tracks/3ointKbOKygFbYuhRpdt0z,https://api.spotify.com/v1/audio-analysis/3ointKbOKygFbYuhRpdt0z,337533,4
Sei Naru Tatakai,0.509,0.864,8,-10.854,1,0.0305,1.55e-05,0.815,0.131,0.82,144.694,audio_features,1bopExSAPWDvexzwZBF0cT,spotify:track:1bopExSAPWDvexzwZBF0cT,https://api.spotify.com/v1/tracks/1bopExSAPWDvexzwZBF0cT,https://api.spotify.com/v1/audio-analysis/1bopExSAPWDvexzwZBF0cT,117827,4
SOMETHING NEW,0.604,0.831,7,-9.242,1,0.0476,0.0031,0.145,0.366,0.686,126.734,audio_features,4IhST0xGiqVhgCt0qUMBue,spotify:track:4IhST0xGiqVhgCt0qUMBue,https://api.spotify.com/v1/tracks/4IhST0xGiqVhgCt0qUMBue,https://api.spotify.com/v1/audio-analysis/4IhST0xGiqVhgCt0qUMBue,320333,4
URGENT 追い込まれた色彩,0.539,0.909,7,-7.22,0,0.0395,0.00232,0.781,0.0797,0.972,166.189,audio_features,2fTnJGXWWYVWqWPrmEVQKC,spotify:track:2fTnJGXWWYVWqWPrmEVQKC,https://api.spotify.com/v1/tracks/2fTnJGXWWYVWqWPrmEVQKC,https://api.spotify.com/v1/audio-analysis/2fTnJGXWWYVWqWPrmEVQKC,316747,4
Mind Gallery,0.61,0.945,11,-7.165,0,0.0423,0.000223,0.802,0.324,0.847,116.016,audio_features,080t7GwlgaBHQFg5uTm8Fu,spotify:track:080t7GwlgaBHQFg5uTm8Fu,https://api.spotify.com/v1/tracks/080t7GwlgaBHQFg5uTm8Fu,https://api.spotify.com/v1/audio-analysis/080t7GwlgaBHQFg5uTm8Fu,338293,4
do not disturb,0.754,0.566,1,-9.808,1,0.0451,0.00302,0.854,0.0806,0.425,118.018,audio_features,6fJxc5IAJq4IRICwuEfO5b,spotify:track:6fJxc5IAJq4IRICwuEfO5b,https://api.spotify.com/v1/tracks/6fJxc5IAJq4IRICwuEfO5b,https://api.spotify.com/v1/audio-analysis/6fJxc5IAJq4IRICwuEfO5b,304933,4
