name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
アブノーマリティ・ダンシンガール,0.522,0.898,2,-5.476,0,0.0553,0.069,8.83e-05,0.288,0.275,109.968,audio_features,3sWcYSiFPCL5CNzU0H5Wau,spotify:track:3sWcYSiFPCL5CNzU0H5Wau,https://api.spotify.com/v1/tracks/3sWcYSiFPCL5CNzU0H5Wau,https://api.spotify.com/v1/audio-analysis/3sWcYSiFPCL5CNzU0H5Wau,208004,4
シャーデンフロイデ,0.467,0.924,8,-7.601,0,0.123,0.0126,0.63,0.0639,0.703,105.131,audio_features,7rqLHiwVwVuor5w6Su9tBQ,spotify:track:7rqLHiwVwVuor5w6Su9tBQ,https://api.spotify.com/v1/tracks/7rqLHiwVwVuor5w6Su9tBQ,https://api.spotify.com/v1/audio-analysis/7rqLHiwVwVuor5w6Su9tBQ,173714,4
オルソドクシア,0.533,0.866,4,-6.941,0,0.0513,0.000811,0.000183,0.0377,0.71,115.016,audio_features,1gqQo4yfmQgho9ms8aEcw3,spotify:track:1gqQo4yfmQgho9ms8aEcw3,https://api.spotify.com/v1/tracks/1gqQo4yfmQgho9ms8aEcw3,https://api.spotify.com/v1/audio-analysis/1gqQo4yfmQgho9ms8aEcw3,262957,4
雨路少女,0.363,0.887,7,-6.183,0,0.0464,0.0152,0.065,0.453,0.812,89.541,audio_features,4hEUwnv8p4IQHCdCdIU1kF,spotify:track:4hEUwnv8p4IQHCdCdIU1kF,https://api.spotify.com/v1/tracks/4hEUwnv8p4IQHCdCdIU1kF,https://api.spotify.com/v1/audio-analysis/4hEUwnv8p4IQHCdCdIU1kF,240000,4
悪鬼羅刹,0.449,0.976,2,-2.773,1,0.233,0.00108,0,0.0976,0.132,105.154,audio_features,2LONfG4o3dV8wpi85gHCPY,spotify:track:2LONfG4o3dV8wpi85gHCPY,https://api.spotify.com/v1/tracks/2LONfG4o3dV8wpi85gHCPY,https://api.spotify.com/v1/audio-analysis/2LONfG4o3dV8wpi85gHCPY,258280,4
フォーリンデッドリライブライフ,0.393,0.749,1,-5.295,0,0.0556,0.00253,0.00254,0.038,0.466,207.971,audio_features,5GLOVhNq9rpzTyci23egXb,spotify:track:5GLOVhNq9rpzTyci23egXb,https://api.spotify.com/v1/tracks/5GLOVhNq9rpzTyci23egXb,https://api.spotify.com/v1/audio-analysis/5GLOVhNq9rpzTyci23egXb,243462,4
ニトロ,0.492,0.931,11,-5.125,0,0.046,0.00178,0.0915,0.261,0.482,99.996,audio_features,0tkcVjwdfTNPaXAKdmyJnb,spotify:track:0tkcVjwdfTNPaXAKdmyJnb,https://api.spotify.com/v1/tracks/0tkcVjwdfTNPaXAKdmyJnb,https://api.spotify.com/v1/audio-analysis/0tkcVjwdfTNPaXAKdmyJnb,205200,4
非生産的人生計画,0.519,0.909,4,-6.599,0,0.13,0.000876,0.00295,0.536,0.579,144.992,audio_features,2DtrdqKfrcDaTSDjQlmP7u,spotify:track:2DtrdqKfrcDaTSDjQlmP7u,https://api.spotify.com/v1/tracks/2DtrdqKfrcDaTSDjQlmP7u,https://api.spotify.com/v1/audio-analysis/2DtrdqKfrcDaTSDjQlmP7u,263011,4
空が落ちてきた!,0.363,0.913,11,-4.415,0,0.0553,0.00882,0.0451,0.392,0.731,209.769,audio_features,3ql4CoeAr7mYt1KewpJ4wU,spotify:track:3ql4CoeAr7mYt1KewpJ4wU,https://api.spotify.com/v1/tracks/3ql4CoeAr7mYt1KewpJ4wU,https://api.spotify.com/v1/audio-analysis/3ql4CoeAr7mYt1KewpJ4wU,122286,4
救済の祈り,0.354,0.626,6,-7.078,1,0.032,0.00521,0.000513,0.204,0.481,164.829,audio_features,1CyPWs9nc1Svd7V6PKaWey,spotify:track:1CyPWs9nc1Svd7V6PKaWey,https://api.spotify.com/v1/tracks/1CyPWs9nc1Svd7V6PKaWey,https://api.spotify.com/v1/audio-analysis/1CyPWs9nc1Svd7V6PKaWey,288000,4
