name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Gimme×Gimme feat. 初音ミク・鏡音リン,0.708,0.846,1,-5.443,1,0.244,0.0251,0.0104,0.0343,0.835,105.058,audio_features,5XJh3VbvvnGYrkubcQwzys,spotify:track:5XJh3VbvvnGYrkubcQwzys,https://api.spotify.com/v1/tracks/5XJh3VbvvnGYrkubcQwzys,https://api.spotify.com/v1/audio-analysis/5XJh3VbvvnGYrkubcQwzys,220930,4
気まぐれメルシィ,0.515,0.996,5,-3.221,0,0.121,0.00648,0.000252,0.3,0.523,159.992,audio_features,2nvR3T8wXynnDS7N6d81qv,spotify:track:2nvR3T8wXynnDS7N6d81qv,https://api.spotify.com/v1/tracks/2nvR3T8wXynnDS7N6d81qv,https://api.spotify.com/v1/audio-analysis/2nvR3T8wXynnDS7N6d81qv,203576,4
Weekender Girl,0.592,0.911,9,-4.152,1,0.0697,0.111,0,0.0661,0.786,131.963,audio_features,1ezXW6syS9nqHhh6f2WJQf,spotify:track:1ezXW6syS9nqHhh6f2WJQf,https://api.spotify.com/v1/tracks/1ezXW6syS9nqHhh6f2WJQf,https://api.spotify.com/v1/audio-analysis/1ezXW6syS9nqHhh6f2WJQf,211128,4
Sweet Devil - 八王子P VDM Remix,0.558,0.914,7,-4.487,0,0.0399,0.00303,1.61e-05,0.0788,0.317,131.979,audio_features,2SPXlvBCUnuraFU7MD3jTo,spotify:track:2SPXlvBCUnuraFU7MD3jTo,https://api.spotify.com/v1/tracks/2SPXlvBCUnuraFU7MD3jTo,https://api.spotify.com/v1/audio-analysis/2SPXlvBCUnuraFU7MD3jTo,249569,4
Sweet Devil - Eight Mix,0.604,0.978,7,-3.675,0,0.0582,0.0159,0.000458,0.325,0.846,132.006,audio_features,4hNgNHEQGzCxA9ky1oxCEv,spotify:track:4hNgNHEQGzCxA9ky1oxCEv,https://api.spotify.com/v1/tracks/4hNgNHEQGzCxA9ky1oxCEv,https://api.spotify.com/v1/audio-analysis/4hNgNHEQGzCxA9ky1oxCEv,234637,4
KiLLER LADY - Eight Mix,0.643,0.966,10,-3.902,0,0.0442,0.00857,0.00331,0.255,0.912,131.982,audio_features,2j5151XuML7hWlt6MEWoWM,spotify:track:2j5151XuML7hWlt6MEWoWM,https://api.spotify.com/v1/tracks/2j5151XuML7hWlt6MEWoWM,https://api.spotify.com/v1/audio-analysis/2j5151XuML7hWlt6MEWoWM,234874,4
Weekender Girl - 八王子P Remix,0.458,0.947,9,-1.573,1,0.0406,0.0246,0,0.303,0.492,132.068,audio_features,2x9hRl4ilVcTN1bJaU0aVX,spotify:track:2x9hRl4ilVcTN1bJaU0aVX,https://api.spotify.com/v1/tracks/2x9hRl4ilVcTN1bJaU0aVX,https://api.spotify.com/v1/audio-analysis/2x9hRl4ilVcTN1bJaU0aVX,228042,4
BL▲CK feat. 巡音ルカ,0.61,0.636,11,-7.242,1,0.0292,0.00195,1.48e-06,0.083,0.182,149.961,audio_features,2zRcuWyutEYF3xc2NC5D4N,spotify:track:2zRcuWyutEYF3xc2NC5D4N,https://api.spotify.com/v1/tracks/2zRcuWyutEYF3xc2NC5D4N,https://api.spotify.com/v1/audio-analysis/2zRcuWyutEYF3xc2NC5D4N,199117,4
RAD DOGS,0.512,0.962,5,-4.443,0,0.0753,0.00307,0.000241,0.122,0.531,140.052,audio_features,3NBnO03VsJFx1cG0qc9lK9,spotify:track:3NBnO03VsJFx1cG0qc9lK9,https://api.spotify.com/v1/tracks/3NBnO03VsJFx1cG0qc9lK9,https://api.spotify.com/v1/audio-analysis/3NBnO03VsJFx1cG0qc9lK9,225073,4
MARIN ECHO,0.541,0.916,7,-3.993,1,0.0505,0.013,0.000292,0.0688,0.129,158.009,audio_features,2gicVxq6egW6DOrR8idWNd,spotify:track:2gicVxq6egW6DOrR8idWNd,https://api.spotify.com/v1/tracks/2gicVxq6egW6DOrR8idWNd,https://api.spotify.com/v1/audio-analysis/2gicVxq6egW6DOrR8idWNd,170962,4
VIRTUAL COMPLEX feat. 初音ミク,0.48,0.969,11,-2.867,0,0.349,0.0101,0.00114,0.0816,0.601,190.017,audio_features,2wjOKFmEtyYCbSssZFtAAs,spotify:track:2wjOKFmEtyYCbSssZFtAAs,https://api.spotify.com/v1/tracks/2wjOKFmEtyYCbSssZFtAAs,https://api.spotify.com/v1/audio-analysis/2wjOKFmEtyYCbSssZFtAAs,206596,4
MINIMALIST feat. 巡音ルカ,0.378,0.977,1,-4.859,0,0.054,0.00212,0.00076,0.128,0.429,170.07,audio_features,6d8FIUXcninahCj7zF88lw,spotify:track:6d8FIUXcninahCj7zF88lw,https://api.spotify.com/v1/tracks/6d8FIUXcninahCj7zF88lw,https://api.spotify.com/v1/audio-analysis/6d8FIUXcninahCj7zF88lw,226410,4
Blue Star,0.666,0.877,1,-3.733,1,0.0376,0.267,0,0.0888,0.497,132.009,audio_features,3m7KSxnarfl3DqNotV7ViD,spotify:track:3m7KSxnarfl3DqNotV7ViD,https://api.spotify.com/v1/tracks/3m7KSxnarfl3DqNotV7ViD,https://api.spotify.com/v1/audio-analysis/3m7KSxnarfl3DqNotV7ViD,220104,4
ACUTE feat. 初音ミク,0.707,0.949,5,-3.168,0,0.159,0.0195,0.000576,0.129,0.302,134.896,audio_features,5JhtK0W7aUuy2YPZbJzzsn,spotify:track:5JhtK0W7aUuy2YPZbJzzsn,https://api.spotify.com/v1/tracks/5JhtK0W7aUuy2YPZbJzzsn,https://api.spotify.com/v1/audio-analysis/5JhtK0W7aUuy2YPZbJzzsn,216874,4
Baby Maniacs - Eight Mix,0.632,0.966,11,-3.101,0,0.0892,0.00979,0.000699,0.254,0.624,132.013,audio_features,7yyYSkuruJQn3NakOnYFTg,spotify:track:7yyYSkuruJQn3NakOnYFTg,https://api.spotify.com/v1/tracks/7yyYSkuruJQn3NakOnYFTg,https://api.spotify.com/v1/audio-analysis/7yyYSkuruJQn3NakOnYFTg,224300,4
Beautiful Nightmare,0.573,0.921,1,-3.636,0,0.0403,0.129,0,0.155,0.596,109.982,audio_features,6ujUJM6hfxLI8Jn73Icrjg,spotify:track:6ujUJM6hfxLI8Jn73Icrjg,https://api.spotify.com/v1/tracks/6ujUJM6hfxLI8Jn73Icrjg,https://api.spotify.com/v1/audio-analysis/6ujUJM6hfxLI8Jn73Icrjg,193645,4
Sweet Devil -初音ミク「マジカルミライ 2014」Live-,0.508,0.982,7,-2.94,0,0.138,0.0343,0.106,0.794,0.339,131.975,audio_features,0UgObaZT86esLj334Vn4Mr,spotify:track:0UgObaZT86esLj334Vn4Mr,https://api.spotify.com/v1/tracks/0UgObaZT86esLj334Vn4Mr,https://api.spotify.com/v1/audio-analysis/0UgObaZT86esLj334Vn4Mr,267808,4
エレクトリック・ラブ - Eight Mix,0.577,0.826,4,-2.806,1,0.0275,0.0308,0,0.251,0.595,128.013,audio_features,3YEDMI1xg7b49NHHgKJWR6,spotify:track:3YEDMI1xg7b49NHHgKJWR6,https://api.spotify.com/v1/tracks/3YEDMI1xg7b49NHHgKJWR6,https://api.spotify.com/v1/audio-analysis/3YEDMI1xg7b49NHHgKJWR6,288728,4
RAD DOGS,0.514,0.969,5,-4.4,0,0.0752,0.00305,0.000291,0.125,0.48,140.032,audio_features,44bCouNUMCw21HmFT3RR6J,spotify:track:44bCouNUMCw21HmFT3RR6J,https://api.spotify.com/v1/tracks/44bCouNUMCw21HmFT3RR6J,https://api.spotify.com/v1/audio-analysis/44bCouNUMCw21HmFT3RR6J,226290,4
イロドリミライ feat. 初音ミク,0.65,0.922,2,-5.066,1,0.032,0.0175,0.003,0.0865,0.389,109.977,audio_features,6HK6658ZNLQ5OgaEZvCZzb,spotify:track:6HK6658ZNLQ5OgaEZvCZzb,https://api.spotify.com/v1/tracks/6HK6658ZNLQ5OgaEZvCZzb,https://api.spotify.com/v1/audio-analysis/6HK6658ZNLQ5OgaEZvCZzb,211165,4
曖昧ライア,0.439,0.959,9,-3.042,0,0.0509,0.00247,0.00107,0.314,0.323,180.056,audio_features,3GDAFJp40ASN7SUMJ5pDiq,spotify:track:3GDAFJp40ASN7SUMJ5pDiq,https://api.spotify.com/v1/tracks/3GDAFJp40ASN7SUMJ5pDiq,https://api.spotify.com/v1/audio-analysis/3GDAFJp40ASN7SUMJ5pDiq,186784,4
Carry Me Off,0.556,0.912,6,-3.379,0,0.0352,0.0258,0,0.188,0.699,134.119,audio_features,1G4dkn8zrs1EJu7MHlx9xj,spotify:track:1G4dkn8zrs1EJu7MHlx9xj,https://api.spotify.com/v1/tracks/1G4dkn8zrs1EJu7MHlx9xj,https://api.spotify.com/v1/audio-analysis/1G4dkn8zrs1EJu7MHlx9xj,216407,4
Distorted Princess - Eight Mix,0.666,0.967,2,-2.867,1,0.0563,0.0244,2.14e-06,0.313,0.326,131.989,audio_features,1zdSFhA957RmabDWDCtgds,spotify:track:1zdSFhA957RmabDWDCtgds,https://api.spotify.com/v1/tracks/1zdSFhA957RmabDWDCtgds,https://api.spotify.com/v1/audio-analysis/1zdSFhA957RmabDWDCtgds,251780,4
Last Dance,0.619,0.89,9,-2.649,1,0.0284,0.00668,0.00221,0.138,0.439,134.977,audio_features,3TIfHgv7WTgKCOv0VYP8tM,spotify:track:3TIfHgv7WTgKCOv0VYP8tM,https://api.spotify.com/v1/tracks/3TIfHgv7WTgKCOv0VYP8tM,https://api.spotify.com/v1/audio-analysis/3TIfHgv7WTgKCOv0VYP8tM,210095,4
Dream Creator,0.478,0.994,11,-1.286,0,0.0473,0.012,7.46e-05,0.3,0.661,132.02,audio_features,3EzTxd9RkmQlnGTkqguoS2,spotify:track:3EzTxd9RkmQlnGTkqguoS2,https://api.spotify.com/v1/tracks/3EzTxd9RkmQlnGTkqguoS2,https://api.spotify.com/v1/audio-analysis/3EzTxd9RkmQlnGTkqguoS2,213293,4
