name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Satellite Lovers (feat. MEIKO),0.54,0.487,9,-8.604,1,0.0269,0.0101,0.000402,0.222,0.295,94.016,audio_features,3gujowr93iLEAc4px7Tbxv,spotify:track:3gujowr93iLEAc4px7Tbxv,https://api.spotify.com/v1/tracks/3gujowr93iLEAc4px7Tbxv,https://api.spotify.com/v1/audio-analysis/3gujowr93iLEAc4px7Tbxv,304468,4
HAPPY BIRTHDAY SONG,0.47,0.876,6,-2.592,1,0.0412,0.00153,0.0118,0.16,0.386,130.027,audio_features,1p04iRKDrBaXpqng4Ad6Kz,spotify:track:1p04iRKDrBaXpqng4Ad6Kz,https://api.spotify.com/v1/tracks/1p04iRKDrBaXpqng4Ad6Kz,https://api.spotify.com/v1/audio-analysis/1p04iRKDrBaXpqng4Ad6Kz,201231,4
RED ROSE (feat. MEIKO),0.379,0.749,10,-3.037,1,0.0383,0.00624,0,0.157,0.399,159.652,audio_features,3sVgF9pedJ1ks0FYu8d5aP,spotify:track:3sVgF9pedJ1ks0FYu8d5aP,https://api.spotify.com/v1/tracks/3sVgF9pedJ1ks0FYu8d5aP,https://api.spotify.com/v1/audio-analysis/3sVgF9pedJ1ks0FYu8d5aP,253500,4
Storm is the Red,0.54,0.92,1,-1.852,1,0.0392,0.00258,0,0.0485,0.442,133.911,audio_features,2TL9QIFMf52HBNegz2BLzA,spotify:track:2TL9QIFMf52HBNegz2BLzA,https://api.spotify.com/v1/tracks/2TL9QIFMf52HBNegz2BLzA,https://api.spotify.com/v1/audio-analysis/2TL9QIFMf52HBNegz2BLzA,229254,4
中華街に行っチャイナ,0.71,0.582,4,-5.717,1,0.0319,0.093,0,0.255,0.774,124.96,audio_features,1uOa0ssrin4jhd7atfAaZD,spotify:track:1uOa0ssrin4jhd7atfAaZD,https://api.spotify.com/v1/tracks/1uOa0ssrin4jhd7atfAaZD,https://api.spotify.com/v1/audio-analysis/1uOa0ssrin4jhd7atfAaZD,252480,4
さよならロジック,0.653,0.767,4,-2.959,1,0.0346,0.00675,0,0.0559,0.787,98.05,audio_features,6RpapGgGCYsZ2VASjJgDp8,spotify:track:6RpapGgGCYsZ2VASjJgDp8,https://api.spotify.com/v1/tracks/6RpapGgGCYsZ2VASjJgDp8,https://api.spotify.com/v1/audio-analysis/6RpapGgGCYsZ2VASjJgDp8,229898,4
TSUNDELADY,0.53,0.804,11,-4.907,0,0.0382,0.00226,0,0.212,0.67,169.911,audio_features,2cUI1plgMUsD8LVjPpdCtV,spotify:track:2cUI1plgMUsD8LVjPpdCtV,https://api.spotify.com/v1/tracks/2cUI1plgMUsD8LVjPpdCtV,https://api.spotify.com/v1/audio-analysis/2cUI1plgMUsD8LVjPpdCtV,230824,4
約束 (feat. MEIKO),0.758,0.692,10,-5.224,1,0.0305,0.436,0.000963,0.101,0.196,119.957,audio_features,4RnlhICUtKkmN05RHkNgnQ,spotify:track:4RnlhICUtKkmN05RHkNgnQ,https://api.spotify.com/v1/tracks/4RnlhICUtKkmN05RHkNgnQ,https://api.spotify.com/v1/audio-analysis/4RnlhICUtKkmN05RHkNgnQ,269500,4
Gaṇeśa,0.638,0.78,6,-5.539,1,0.046,0.00535,0.000973,0.111,0.602,140.005,audio_features,2qWnJxcHoua9dqnhDTU39R,spotify:track:2qWnJxcHoua9dqnhDTU39R,https://api.spotify.com/v1/tracks/2qWnJxcHoua9dqnhDTU39R,https://api.spotify.com/v1/audio-analysis/2qWnJxcHoua9dqnhDTU39R,271286,4
モノクロレイン,0.416,0.729,9,-3.48,0,0.034,0.000136,4.31e-06,0.149,0.449,96.1,audio_features,2UrpF6NqH9W2B2IyqslJAf,spotify:track:2UrpF6NqH9W2B2IyqslJAf,https://api.spotify.com/v1/tracks/2UrpF6NqH9W2B2IyqslJAf,https://api.spotify.com/v1/audio-analysis/2UrpF6NqH9W2B2IyqslJAf,265750,4
