name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
僕らはひとり,0.382,0.147,9,-14.034,0,0.0311,0.788,3.88e-05,0.11,0.0875,132.816,audio_features,3P33xc8jUyoK4g3xWzptA2,spotify:track:3P33xc8jUyoK4g3xWzptA2,https://api.spotify.com/v1/tracks/3P33xc8jUyoK4g3xWzptA2,https://api.spotify.com/v1/audio-analysis/3P33xc8jUyoK4g3xWzptA2,288760,4
君でなくちゃだめさ (1997),0.689,0.477,7,-8.03,0,0.0463,0.423,5.61e-05,0.0602,0.836,125.793,audio_features,766MjWkFnGN0IhjTZtWKre,spotify:track:766MjWkFnGN0IhjTZtWKre,https://api.spotify.com/v1/tracks/766MjWkFnGN0IhjTZtWKre,https://api.spotify.com/v1/audio-analysis/766MjWkFnGN0IhjTZtWKre,165467,4
屋上,0.413,0.0777,5,-16.312,0,0.0401,0.879,0,0.157,0.162,133.859,audio_features,7ypMLIGfLdOX4aEs2w9oJr,spotify:track:7ypMLIGfLdOX4aEs2w9oJr,https://api.spotify.com/v1/tracks/7ypMLIGfLdOX4aEs2w9oJr,https://api.spotify.com/v1/audio-analysis/7ypMLIGfLdOX4aEs2w9oJr,188693,3
パパ,0.403,0.294,10,-9.099,1,0.0412,0.937,0,0.125,0.195,179.633,audio_features,3LLb1a5iy52ineCD5jPpYY,spotify:track:3LLb1a5iy52ineCD5jPpYY,https://api.spotify.com/v1/tracks/3LLb1a5iy52ineCD5jPpYY,https://api.spotify.com/v1/audio-analysis/3LLb1a5iy52ineCD5jPpYY,255160,3
My R&R,0.56,0.201,2,-14.668,1,0.0496,0.955,0.000411,0.0751,0.0756,131.711,audio_features,5OOas2Y39COaktuoYMDJXn,spotify:track:5OOas2Y39COaktuoYMDJXn,https://api.spotify.com/v1/tracks/5OOas2Y39COaktuoYMDJXn,https://api.spotify.com/v1/audio-analysis/5OOas2Y39COaktuoYMDJXn,420067,3
父さんへの手紙,0.451,0.163,2,-15.839,1,0.0503,0.963,4.33e-06,0.0887,0.186,171.375,audio_features,55GXuFFjbbvz1BrGOfP3eU,spotify:track:55GXuFFjbbvz1BrGOfP3eU,https://api.spotify.com/v1/tracks/55GXuFFjbbvz1BrGOfP3eU,https://api.spotify.com/v1/audio-analysis/55GXuFFjbbvz1BrGOfP3eU,365360,3
花火,0.381,0.14,9,-13.637,0,0.0404,0.886,2.1e-06,0.338,0.127,162.836,audio_features,6XVgY5YSdgOLF2JT8RK587,spotify:track:6XVgY5YSdgOLF2JT8RK587,https://api.spotify.com/v1/tracks/6XVgY5YSdgOLF2JT8RK587,https://api.spotify.com/v1/audio-analysis/6XVgY5YSdgOLF2JT8RK587,351000,5
躁と鬱の間で,0.593,0.259,1,-15.632,1,0.249,0.959,0.00127,0.124,0.353,98.353,audio_features,7pugkmNq6yytO5izwgf9IU,spotify:track:7pugkmNq6yytO5izwgf9IU,https://api.spotify.com/v1/tracks/7pugkmNq6yytO5izwgf9IU,https://api.spotify.com/v1/audio-analysis/7pugkmNq6yytO5izwgf9IU,251933,4
埋葬,0.474,0.0915,5,-15.992,0,0.0336,0.975,0.00738,0.107,0.0829,105.651,audio_features,5QnnmI2VaaWEWTFiTIJP8I,spotify:track:5QnnmI2VaaWEWTFiTIJP8I,https://api.spotify.com/v1/tracks/5QnnmI2VaaWEWTFiTIJP8I,https://api.spotify.com/v1/audio-analysis/5QnnmI2VaaWEWTFiTIJP8I,276333,4
ラブ・ゼネレーション,0.243,0.675,11,-8.745,0,0.0381,5.44e-06,0.682,0.062,0.431,112.88,audio_features,0QQlgfrRS4B7q67PC9AZ20,spotify:track:0QQlgfrRS4B7q67PC9AZ20,https://api.spotify.com/v1/tracks/0QQlgfrRS4B7q67PC9AZ20,https://api.spotify.com/v1/audio-analysis/0QQlgfrRS4B7q67PC9AZ20,300267,4
