name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
君色思い,0.615,0.768,7,-6.636,0,0.0295,0.415,7.88e-05,0.101,0.88,127.021,audio_features,66tKzXd2nKWqIQ1gqsePH9,spotify:track:66tKzXd2nKWqIQ1gqsePH9,https://api.spotify.com/v1/tracks/66tKzXd2nKWqIQ1gqsePH9,https://api.spotify.com/v1/audio-analysis/66tKzXd2nKWqIQ1gqsePH9,364901,4
青いイナズマ,0.631,0.921,11,-4.64,0,0.0507,0.211,0,0.224,0.778,123.993,audio_features,0dWEfuhygtoH9rU6MneJiA,spotify:track:0dWEfuhygtoH9rU6MneJiA,https://api.spotify.com/v1/tracks/0dWEfuhygtoH9rU6MneJiA,https://api.spotify.com/v1/audio-analysis/0dWEfuhygtoH9rU6MneJiA,319787,4
追想,0.668,0.526,8,-6.323,1,0.0259,0.11,0,0.0779,0.549,110.999,audio_features,2Z2BVTAxjXLfE8cfmLFr9k,spotify:track:2Z2BVTAxjXLfE8cfmLFr9k,https://api.spotify.com/v1/tracks/2Z2BVTAxjXLfE8cfmLFr9k,https://api.spotify.com/v1/audio-analysis/2Z2BVTAxjXLfE8cfmLFr9k,253840,3
SHERRY (Live. Ver),0.472,0.588,7,-8.831,1,0.0564,0.236,0.00184,0.963,0.582,201.848,audio_features,2L6Y0AL76cXP6HaG0ipNQd,spotify:track:2L6Y0AL76cXP6HaG0ipNQd,https://api.spotify.com/v1/tracks/2L6Y0AL76cXP6HaG0ipNQd,https://api.spotify.com/v1/audio-analysis/2L6Y0AL76cXP6HaG0ipNQd,348200,4
深夜に…おもふことあり,0.662,0.287,7,-8.767,1,0.0299,0.883,0,0.109,0.392,125.98,audio_features,64PIIXenScSppYfx8Jkdyt,spotify:track:64PIIXenScSppYfx8Jkdyt,https://api.spotify.com/v1/tracks/64PIIXenScSppYfx8Jkdyt,https://api.spotify.com/v1/audio-analysis/64PIIXenScSppYfx8Jkdyt,128467,3
Eternally true Love,0.508,0.384,7,-9.332,1,0.0294,0.698,1.04e-05,0.0937,0.206,148.025,audio_features,52xsUMfqvfX1LKxBEUL8KQ,spotify:track:52xsUMfqvfX1LKxBEUL8KQ,https://api.spotify.com/v1/tracks/52xsUMfqvfX1LKxBEUL8KQ,https://api.spotify.com/v1/audio-analysis/52xsUMfqvfX1LKxBEUL8KQ,254893,4
紅いマボロシ,0.595,0.935,1,-4.877,1,0.0797,0.00204,0,0.492,0.608,130.952,audio_features,35tXtsZEdDEzgkbTMdEhr3,spotify:track:35tXtsZEdDEzgkbTMdEhr3,https://api.spotify.com/v1/tracks/35tXtsZEdDEzgkbTMdEhr3,https://api.spotify.com/v1/audio-analysis/35tXtsZEdDEzgkbTMdEhr3,259889,4
ダラダラしようよ,0.702,0.709,0,-7.976,1,0.0383,0.054,6.39e-06,0.367,0.58,109.974,audio_features,6A6OQzrRFIbcVlqJsVDefL,spotify:track:6A6OQzrRFIbcVlqJsVDefL,https://api.spotify.com/v1/tracks/6A6OQzrRFIbcVlqJsVDefL,https://api.spotify.com/v1/audio-analysis/6A6OQzrRFIbcVlqJsVDefL,316801,4
まだまだ,0.551,0.806,10,-5.194,0,0.0621,0.0308,0,0.201,0.347,134.802,audio_features,5cHpyz8egqz67KOjuwL1Uf,spotify:track:5cHpyz8egqz67KOjuwL1Uf,https://api.spotify.com/v1/tracks/5cHpyz8egqz67KOjuwL1Uf,https://api.spotify.com/v1/audio-analysis/5cHpyz8egqz67KOjuwL1Uf,298404,4
今夜は DISCO 2000,0.575,0.939,9,-5.117,0,0.0526,0.00126,0,0.316,0.65,127.993,audio_features,4rzoFoOj5p5t2EldEFNwWE,spotify:track:4rzoFoOj5p5t2EldEFNwWE,https://api.spotify.com/v1/tracks/4rzoFoOj5p5t2EldEFNwWE,https://api.spotify.com/v1/audio-analysis/4rzoFoOj5p5t2EldEFNwWE,345253,4
Physical #2,0.647,0.874,0,-7.866,1,0.0695,0.0232,0,0.294,0.654,126.155,audio_features,11ueGmqImh6Bw3jaYbdFls,spotify:track:11ueGmqImh6Bw3jaYbdFls,https://api.spotify.com/v1/tracks/11ueGmqImh6Bw3jaYbdFls,https://api.spotify.com/v1/audio-analysis/11ueGmqImh6Bw3jaYbdFls,276036,4
Physical,0.662,0.917,0,-5.333,1,0.0876,0.254,0,0.298,0.659,126.239,audio_features,6ASX54QxwmZ9DZXY6D1h8b,spotify:track:6ASX54QxwmZ9DZXY6D1h8b,https://api.spotify.com/v1/tracks/6ASX54QxwmZ9DZXY6D1h8b,https://api.spotify.com/v1/audio-analysis/6ASX54QxwmZ9DZXY6D1h8b,277602,4
STAY,0.604,0.831,8,-6.763,1,0.0338,0.172,2.68e-05,0.0731,0.84,90.987,audio_features,0K4m0zGwz7n7hRdNkzDtyF,spotify:track:0K4m0zGwz7n7hRdNkzDtyF,https://api.spotify.com/v1/tracks/0K4m0zGwz7n7hRdNkzDtyF,https://api.spotify.com/v1/audio-analysis/0K4m0zGwz7n7hRdNkzDtyF,388200,4
感じて・・・,0.67,0.778,9,-8.301,0,0.0302,0.0354,4.13e-06,0.0252,0.662,123.035,audio_features,1E3xPxJfv1cJIDtJQdX7nk,spotify:track:1E3xPxJfv1cJIDtJQdX7nk,https://api.spotify.com/v1/tracks/1E3xPxJfv1cJIDtJQdX7nk,https://api.spotify.com/v1/audio-analysis/1E3xPxJfv1cJIDtJQdX7nk,301810,4
Umbrella,0.263,0.512,0,-17.659,1,0.0637,0.845,0.0938,0.819,0.432,53.927,audio_features,7mOF3gwicyszMQN61Ff3GS,spotify:track:7mOF3gwicyszMQN61Ff3GS,https://api.spotify.com/v1/tracks/7mOF3gwicyszMQN61Ff3GS,https://api.spotify.com/v1/audio-analysis/7mOF3gwicyszMQN61Ff3GS,137133,3
Crime of god ~神様はいないのかい?~,0.649,0.804,1,-5.513,1,0.0476,0.00039,0.377,0.0741,0.765,136.01,audio_features,0dFEHzEDsG3BwFD6s8NRna,spotify:track:0dFEHzEDsG3BwFD6s8NRna,https://api.spotify.com/v1/tracks/0dFEHzEDsG3BwFD6s8NRna,https://api.spotify.com/v1/audio-analysis/0dFEHzEDsG3BwFD6s8NRna,315480,4
情熱のBlue,0.537,0.92,2,-7.038,1,0.0368,0.00494,3.83e-05,0.324,0.909,155.05,audio_features,5fp8R1rpNffMZ9JLDkdYFd,spotify:track:5fp8R1rpNffMZ9JLDkdYFd,https://api.spotify.com/v1/tracks/5fp8R1rpNffMZ9JLDkdYFd,https://api.spotify.com/v1/audio-analysis/5fp8R1rpNffMZ9JLDkdYFd,285600,4
白い部屋,0.266,0.284,1,-17.776,0,0.0886,0.835,0.00321,0.207,0.0628,83.727,audio_features,6Gh4wtiIpMPOVfW48pocip,spotify:track:6Gh4wtiIpMPOVfW48pocip,https://api.spotify.com/v1/tracks/6Gh4wtiIpMPOVfW48pocip,https://api.spotify.com/v1/audio-analysis/6Gh4wtiIpMPOVfW48pocip,137600,4
