name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1/6の夢旅人2002(オリジナル),0.601,0.949,10,-2.642,1,0.0416,0.00944,0,0.162,0.798,131.956,audio_features,7LdC1zctYLEQiG2j7JK07c,spotify:track:7LdC1zctYLEQiG2j7JK07c,https://api.spotify.com/v1/tracks/7LdC1zctYLEQiG2j7JK07c,https://api.spotify.com/v1/audio-analysis/7LdC1zctYLEQiG2j7JK07c,236733,4
1/6の夢旅人(テレビバージョン),0.57,0.813,5,-8.088,1,0.0266,0.17,8e-06,0.336,0.794,133.679,audio_features,7imFOsHuV1ne75oqycCcJP,spotify:track:7imFOsHuV1ne75oqycCcJP,https://api.spotify.com/v1/tracks/7imFOsHuV1ne75oqycCcJP,https://api.spotify.com/v1/audio-analysis/7imFOsHuV1ne75oqycCcJP,226133,4
1/6の夢旅人,0.637,0.879,4,-5.275,1,0.0605,0.00486,4.01e-05,0.306,0.782,116.009,audio_features,5X0mZYUmnSlWrTVPQVF1mc,spotify:track:5X0mZYUmnSlWrTVPQVF1mc,https://api.spotify.com/v1/tracks/5X0mZYUmnSlWrTVPQVF1mc,https://api.spotify.com/v1/audio-analysis/5X0mZYUmnSlWrTVPQVF1mc,297920,4
手紙~親愛なる子供たちへ~,0.564,0.216,7,-11.57,1,0.0385,0.91,8.18e-05,0.114,0.267,139.793,audio_features,1Fko9lyYcQo3CvODAI3gI2,spotify:track:1Fko9lyYcQo3CvODAI3gI2,https://api.spotify.com/v1/tracks/1Fko9lyYcQo3CvODAI3gI2,https://api.spotify.com/v1/audio-analysis/1Fko9lyYcQo3CvODAI3gI2,504627,4
1/6の夢旅人2002(オリジナル),0.601,0.949,10,-2.642,1,0.0416,0.00944,0,0.162,0.798,131.956,audio_features,0nLwkJ2di5Rls8bL7Ha3Nu,spotify:track:0nLwkJ2di5Rls8bL7Ha3Nu,https://api.spotify.com/v1/tracks/0nLwkJ2di5Rls8bL7Ha3Nu,https://api.spotify.com/v1/audio-analysis/0nLwkJ2di5Rls8bL7Ha3Nu,236733,4
春,0.547,0.51,9,-11.012,1,0.0578,0.482,0,0.901,0.401,111.825,audio_features,6YcIhNtoGCAzjWGt9k8zDQ,spotify:track:6YcIhNtoGCAzjWGt9k8zDQ,https://api.spotify.com/v1/tracks/6YcIhNtoGCAzjWGt9k8zDQ,https://api.spotify.com/v1/audio-analysis/6YcIhNtoGCAzjWGt9k8zDQ,302400,4
きみへのうた,0.499,0.157,0,-13.485,1,0.0501,0.885,0,0.372,0.224,105.769,audio_features,0sLhbrm6QWFt88v35JFvPH,spotify:track:0sLhbrm6QWFt88v35JFvPH,https://api.spotify.com/v1/tracks/0sLhbrm6QWFt88v35JFvPH,https://api.spotify.com/v1/audio-analysis/0sLhbrm6QWFt88v35JFvPH,519147,4
Anniversary song,0.564,0.79,6,-8.362,1,0.057,0.617,0,0.459,0.733,144.749,audio_features,0Kins5sHpPIMOPrZIVivEa,spotify:track:0Kins5sHpPIMOPrZIVivEa,https://api.spotify.com/v1/tracks/0Kins5sHpPIMOPrZIVivEa,https://api.spotify.com/v1/audio-analysis/0Kins5sHpPIMOPrZIVivEa,220187,4
1/6の夢旅人2002,0.435,0.77,2,-8.85,1,0.117,0.534,0,0.365,0.483,134.554,audio_features,0D084D5ysm1g2ZeY16rwEF,spotify:track:0D084D5ysm1g2ZeY16rwEF,https://api.spotify.com/v1/tracks/0D084D5ysm1g2ZeY16rwEF,https://api.spotify.com/v1/audio-analysis/0D084D5ysm1g2ZeY16rwEF,400400,4
words of life,0.344,0.378,0,-11.198,1,0.0827,0.676,0,0.279,0.138,70.765,audio_features,275fPXCiOT3FfkZKhS80Bn,spotify:track:275fPXCiOT3FfkZKhS80Bn,https://api.spotify.com/v1/tracks/275fPXCiOT3FfkZKhS80Bn,https://api.spotify.com/v1/audio-analysis/275fPXCiOT3FfkZKhS80Bn,378627,5
風の呼び声,0.316,0.21,5,-15.626,1,0.0442,0.591,1.36e-06,0.0737,0.0963,81.208,audio_features,0jlRX7pohZeUG23uRSh0XZ,spotify:track:0jlRX7pohZeUG23uRSh0XZ,https://api.spotify.com/v1/tracks/0jlRX7pohZeUG23uRSh0XZ,https://api.spotify.com/v1/audio-analysis/0jlRX7pohZeUG23uRSh0XZ,392293,4
朝花,0.387,0.26,8,-13.946,1,0.0431,0.659,0,0.219,0.228,80.882,audio_features,39H1g95zzyzQBCOB3LGVAx,spotify:track:39H1g95zzyzQBCOB3LGVAx,https://api.spotify.com/v1/tracks/39H1g95zzyzQBCOB3LGVAx,https://api.spotify.com/v1/audio-analysis/39H1g95zzyzQBCOB3LGVAx,368667,4
ほのうた,0.491,0.216,0,-15.321,1,0.053,0.778,2.1e-06,0.727,0.396,139.186,audio_features,29RFdeJVJ7bRfSB0RphAuo,spotify:track:29RFdeJVJ7bRfSB0RphAuo,https://api.spotify.com/v1/tracks/29RFdeJVJ7bRfSB0RphAuo,https://api.spotify.com/v1/audio-analysis/29RFdeJVJ7bRfSB0RphAuo,286613,3
Road of the Sun ~出会ってくれたすべての君へ~,0.365,0.188,6,-14.771,1,0.136,0.913,1.47e-06,0.143,0.216,207.946,audio_features,7s4IdL10xtFQ8NSKPDavMI,spotify:track:7s4IdL10xtFQ8NSKPDavMI,https://api.spotify.com/v1/tracks/7s4IdL10xtFQ8NSKPDavMI,https://api.spotify.com/v1/audio-analysis/7s4IdL10xtFQ8NSKPDavMI,395200,3
札幌,0.38,0.196,0,-15.233,1,0.0913,0.888,0,0.0896,0.226,89.68,audio_features,6b7y40b7mBSm8eRV2eJ86O,spotify:track:6b7y40b7mBSm8eRV2eJ86O,https://api.spotify.com/v1/tracks/6b7y40b7mBSm8eRV2eJ86O,https://api.spotify.com/v1/audio-analysis/6b7y40b7mBSm8eRV2eJ86O,431947,3
1/6の夢旅人(カラオケ),0.615,0.864,1,-7.354,0,0.0428,0.000748,0.83,0.378,0.953,115.999,audio_features,0WxJdQ5lh6UhFE5QI5qQJj,spotify:track:0WxJdQ5lh6UhFE5QI5qQJj,https://api.spotify.com/v1/tracks/0WxJdQ5lh6UhFE5QI5qQJj,https://api.spotify.com/v1/audio-analysis/0WxJdQ5lh6UhFE5QI5qQJj,298213,4
Please be my love,0.496,0.787,0,-8.271,1,0.0442,0.157,0.000283,0.0565,0.603,119.803,audio_features,2HJ7Ak7OTNhu2T4OXAOjq9,spotify:track:2HJ7Ak7OTNhu2T4OXAOjq9,https://api.spotify.com/v1/tracks/2HJ7Ak7OTNhu2T4OXAOjq9,https://api.spotify.com/v1/audio-analysis/2HJ7Ak7OTNhu2T4OXAOjq9,334440,4
