name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Parade,0.472,0.83,0,-8.423,1,0.0343,0.0597,0.0048,0.303,0.299,99.995,audio_features,0E7bUpCtTD1FoJxWjv6UxF,spotify:track:0E7bUpCtTD1FoJxWjv6UxF,https://api.spotify.com/v1/tracks/0E7bUpCtTD1FoJxWjv6UxF,https://api.spotify.com/v1/audio-analysis/0E7bUpCtTD1FoJxWjv6UxF,344067,4
The Girl in Byakkoya - White Tiger Field,0.534,0.8,0,-7.845,1,0.0393,0.451,0,0.254,0.504,119.985,audio_features,2SrKyPnX09ahSyA99TZDb4,spotify:track:2SrKyPnX09ahSyA99TZDb4,https://api.spotify.com/v1/tracks/2SrKyPnX09ahSyA99TZDb4,https://api.spotify.com/v1/audio-analysis/2SrKyPnX09ahSyA99TZDb4,287693,4
Mediational Field,0.496,0.882,0,-8.027,1,0.0377,0.117,0.815,0.268,0.711,119.992,audio_features,1PmttJ395ee9xah3I8JnzW,spotify:track:1PmttJ395ee9xah3I8JnzW,https://api.spotify.com/v1/tracks/1PmttJ395ee9xah3I8JnzW,https://api.spotify.com/v1/audio-analysis/1PmttJ395ee9xah3I8JnzW,297080,4
Gats,0.436,0.193,4,-16.075,1,0.0313,0.747,0.871,0.0951,0.0549,139.854,audio_features,2LxyYFrPtuCQvXGET5DRqM,spotify:track:2LxyYFrPtuCQvXGET5DRqM,https://api.spotify.com/v1/tracks/2LxyYFrPtuCQvXGET5DRqM,https://api.spotify.com/v1/audio-analysis/2LxyYFrPtuCQvXGET5DRqM,214973,4
BEHELIT,0.566,0.342,0,-19.496,1,0.0399,0.879,0.946,0.114,0.366,120.029,audio_features,3JNUJfclT6zN4jXVwqrCXQ,spotify:track:3JNUJfclT6zN4jXVwqrCXQ,https://api.spotify.com/v1/tracks/3JNUJfclT6zN4jXVwqrCXQ,https://api.spotify.com/v1/audio-analysis/3JNUJfclT6zN4jXVwqrCXQ,115693,4
A Drop Filled with Memories,0.404,0.422,0,-13.767,1,0.0306,0.777,0.159,0.104,0.228,90.034,audio_features,7zrgsL6aL8xTpQO6R3JKyK,spotify:track:7zrgsL6aL8xTpQO6R3JKyK,https://api.spotify.com/v1/tracks/7zrgsL6aL8xTpQO6R3JKyK,https://api.spotify.com/v1/audio-analysis/7zrgsL6aL8xTpQO6R3JKyK,277467,4
Murder,0.373,0.868,4,-12.166,0,0.079,0.00142,0.905,0.315,0.0754,150.033,audio_features,6JQKEaSJACF7YPnAEhvADk,spotify:track:6JQKEaSJACF7YPnAEhvADk,https://api.spotify.com/v1/tracks/6JQKEaSJACF7YPnAEhvADk,https://api.spotify.com/v1/audio-analysis/6JQKEaSJACF7YPnAEhvADk,569093,4
Ghosts,0.532,0.888,7,-10.567,1,0.0671,0.00452,0.964,0.133,0.473,120.006,audio_features,7Lqlxhkf9URNZbRKoN99BG,spotify:track:7Lqlxhkf9URNZbRKoN99BG,https://api.spotify.com/v1/tracks/7Lqlxhkf9URNZbRKoN99BG,https://api.spotify.com/v1/audio-analysis/7Lqlxhkf9URNZbRKoN99BG,101800,4
EARTH,0.168,0.534,0,-11.879,1,0.0398,0.503,0.864,0.465,0.0691,159.969,audio_features,6ZjHYFSqEicdvNFfaBvh1d,spotify:track:6ZjHYFSqEicdvNFfaBvh1d,https://api.spotify.com/v1/tracks/6ZjHYFSqEicdvNFfaBvh1d,https://api.spotify.com/v1/audio-analysis/6ZjHYFSqEicdvNFfaBvh1d,263533,5
Parade - Instrumental,0.471,0.827,0,-9.131,1,0.0345,0.0164,0.944,0.186,0.286,100.004,audio_features,0KZwh15eFoiuNcua53ilcW,spotify:track:0KZwh15eFoiuNcua53ilcW,https://api.spotify.com/v1/tracks/0KZwh15eFoiuNcua53ilcW,https://api.spotify.com/v1/audio-analysis/0KZwh15eFoiuNcua53ilcW,349613,4
