name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
まわれ まわれ,0.597,0.56,4,-8.239,0,0.0262,0.117,0.000485,0.112,0.531,96.182,audio_features,1lZbxQcKkq7LPyWdzZUhkS,spotify:track:1lZbxQcKkq7LPyWdzZUhkS,https://api.spotify.com/v1/tracks/1lZbxQcKkq7LPyWdzZUhkS,https://api.spotify.com/v1/audio-analysis/1lZbxQcKkq7LPyWdzZUhkS,297733,4
Sweet Rhapsody,0.631,0.578,7,-8.119,0,0.0283,0.393,0.000181,0.255,0.679,113.121,audio_features,2ws62XcfeV7PCT2exLmBEN,spotify:track:2ws62XcfeV7PCT2exLmBEN,https://api.spotify.com/v1/tracks/2ws62XcfeV7PCT2exLmBEN,https://api.spotify.com/v1/audio-analysis/2ws62XcfeV7PCT2exLmBEN,254000,4
メビウス,0.447,0.851,11,-9.205,0,0.0435,0.122,0.209,0.116,0.78,104.794,audio_features,76oBp5JbkzyQPebTblh4aT,spotify:track:76oBp5JbkzyQPebTblh4aT,https://api.spotify.com/v1/tracks/76oBp5JbkzyQPebTblh4aT,https://api.spotify.com/v1/audio-analysis/76oBp5JbkzyQPebTblh4aT,434067,4
雲がふたをしてしまう前に,0.6,0.538,5,-13.584,1,0.0349,0.896,0.0444,0.309,0.199,140.158,audio_features,3KWjfqPF6JOklE2fFUFRVM,spotify:track:3KWjfqPF6JOklE2fFUFRVM,https://api.spotify.com/v1/tracks/3KWjfqPF6JOklE2fFUFRVM,https://api.spotify.com/v1/audio-analysis/3KWjfqPF6JOklE2fFUFRVM,279240,4
ささやかれた夢の話,0.703,0.477,7,-8.356,0,0.0362,0.318,0.142,0.0689,0.847,154.415,audio_features,4J7EjKfPjpnaM1AForZRue,spotify:track:4J7EjKfPjpnaM1AForZRue,https://api.spotify.com/v1/tracks/4J7EjKfPjpnaM1AForZRue,https://api.spotify.com/v1/audio-analysis/4J7EjKfPjpnaM1AForZRue,259760,4
エイリアンズ,0.449,0.125,4,-10.842,0,0.0434,0.939,9.13e-05,0.103,0.272,207.991,audio_features,7gaQNMllyxOW2NViSFNryh,spotify:track:7gaQNMllyxOW2NViSFNryh,https://api.spotify.com/v1/tracks/7gaQNMllyxOW2NViSFNryh,https://api.spotify.com/v1/audio-analysis/7gaQNMllyxOW2NViSFNryh,301040,3
光のダンス,0.474,0.485,7,-8.27,1,0.0247,0.645,0,0.101,0.378,79.583,audio_features,456oPx7QU9bYh9P8RRzHmV,spotify:track:456oPx7QU9bYh9P8RRzHmV,https://api.spotify.com/v1/tracks/456oPx7QU9bYh9P8RRzHmV,https://api.spotify.com/v1/audio-analysis/456oPx7QU9bYh9P8RRzHmV,286307,4
Gato,0.503,0.13,9,-18.584,0,0.0403,0.917,0.000355,0.335,0.147,91.568,audio_features,7K0eYi0Xakut4ienf3uylr,spotify:track:7K0eYi0Xakut4ienf3uylr,https://api.spotify.com/v1/tracks/7K0eYi0Xakut4ienf3uylr,https://api.spotify.com/v1/audio-analysis/7K0eYi0Xakut4ienf3uylr,267733,4
眠り,0.529,0.552,8,-10.662,1,0.0274,0.447,0.006,0.0842,0.365,102.149,audio_features,40kTM4riroxnvj7tAqrrk8,spotify:track:40kTM4riroxnvj7tAqrrk8,https://api.spotify.com/v1/tracks/40kTM4riroxnvj7tAqrrk8,https://api.spotify.com/v1/audio-analysis/40kTM4riroxnvj7tAqrrk8,270467,4
私,0.698,0.539,7,-10.755,0,0.0255,0.212,4.96e-05,0.0957,0.513,103.18,audio_features,1L9buwisHFGkJOLrcYsDCn,spotify:track:1L9buwisHFGkJOLrcYsDCn,https://api.spotify.com/v1/tracks/1L9buwisHFGkJOLrcYsDCn,https://api.spotify.com/v1/audio-analysis/1L9buwisHFGkJOLrcYsDCn,274560,4
夏の日,0.389,0.122,6,-15.01,0,0.0333,0.992,0.0829,0.0999,0.156,88.918,audio_features,5ZztgAdIrGnFbEInCwc1uL,spotify:track:5ZztgAdIrGnFbEInCwc1uL,https://api.spotify.com/v1/tracks/5ZztgAdIrGnFbEInCwc1uL,https://api.spotify.com/v1/audio-analysis/5ZztgAdIrGnFbEInCwc1uL,187200,4
うつらつら,0.496,0.275,3,-13.862,0,0.0345,0.869,8.12e-05,0.335,0.199,144.034,audio_features,1FuZBRx8gZJ0DkA5ltwCXa,spotify:track:1FuZBRx8gZJ0DkA5ltwCXa,https://api.spotify.com/v1/tracks/1FuZBRx8gZJ0DkA5ltwCXa,https://api.spotify.com/v1/audio-analysis/1FuZBRx8gZJ0DkA5ltwCXa,260067,4
おしゃべりな雨音,0.732,0.67,2,-10.2,1,0.0319,0.34,0.0886,0.0844,0.622,142.873,audio_features,5gglAw6kQdBV2bBb5jM8Gc,spotify:track:5gglAw6kQdBV2bBb5jM8Gc,https://api.spotify.com/v1/tracks/5gglAw6kQdBV2bBb5jM8Gc,https://api.spotify.com/v1/audio-analysis/5gglAw6kQdBV2bBb5jM8Gc,265307,4
夏の日,0.396,0.124,4,-15.807,1,0.052,0.958,1.4e-05,0.697,0.147,176.498,audio_features,28gQVIXmylvTc9ylmGG962,spotify:track:28gQVIXmylvTc9ylmGG962,https://api.spotify.com/v1/tracks/28gQVIXmylvTc9ylmGG962,https://api.spotify.com/v1/audio-analysis/28gQVIXmylvTc9ylmGG962,192200,4
君の住む街にとんで行きたい,0.433,0.11,2,-14.602,1,0.0372,0.961,1.39e-05,0.661,0.145,126.783,audio_features,4UH3PzhK6cflFPCHYiDEO6,spotify:track:4UH3PzhK6cflFPCHYiDEO6,https://api.spotify.com/v1/tracks/4UH3PzhK6cflFPCHYiDEO6,https://api.spotify.com/v1/audio-analysis/4UH3PzhK6cflFPCHYiDEO6,314840,3
三月の丘の上で,0.657,0.484,9,-14.49,1,0.041,0.864,0.00066,0.194,0.472,145.996,audio_features,1aQXbFra0ILYm2C7CtSfBI,spotify:track:1aQXbFra0ILYm2C7CtSfBI,https://api.spotify.com/v1/tracks/1aQXbFra0ILYm2C7CtSfBI,https://api.spotify.com/v1/audio-analysis/1aQXbFra0ILYm2C7CtSfBI,279293,4
