name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
スポーツマン (2019 Remastering),0.81,0.841,2,-4.306,1,0.0519,0.0611,0,0.0596,0.82,108.865,audio_features,7wK3vFraZXIjVxOqObajAL,spotify:track:7wK3vFraZXIjVxOqObajAL,https://api.spotify.com/v1/tracks/7wK3vFraZXIjVxOqObajAL,https://api.spotify.com/v1/audio-analysis/7wK3vFraZXIjVxOqObajAL,245960,4
最後の楽園,0.566,0.487,5,-11.987,1,0.033,0.634,0.959,0.195,0.285,80.505,audio_features,3Q59MwvTzZveZTNunIQY1x,spotify:track:3Q59MwvTzZveZTNunIQY1x,https://api.spotify.com/v1/tracks/3Q59MwvTzZveZTNunIQY1x,https://api.spotify.com/v1/audio-analysis/3Q59MwvTzZveZTNunIQY1x,243000,4
Rock-A-Bye My Baby,0.607,0.2,11,-17.832,1,0.0443,0.879,0.11,0.102,0.272,107.891,audio_features,2hFX1UXWmd3GWJdSgGMVVw,spotify:track:2hFX1UXWmd3GWJdSgGMVVw,https://api.spotify.com/v1/tracks/2hFX1UXWmd3GWJdSgGMVVw,https://api.spotify.com/v1/audio-analysis/2hFX1UXWmd3GWJdSgGMVVw,196147,4
Choo Choo Gatagoto,0.609,0.686,2,-9.508,1,0.0613,0.323,0.0561,0.173,0.87,85.615,audio_features,5OF0GeBQDxe5gPUZ80aa6p,spotify:track:5OF0GeBQDxe5gPUZ80aa6p,https://api.spotify.com/v1/tracks/5OF0GeBQDxe5gPUZ80aa6p,https://api.spotify.com/v1/audio-analysis/5OF0GeBQDxe5gPUZ80aa6p,206413,4
Boku Wa Chotto,0.584,0.353,7,-12.005,0,0.0368,0.343,0.000851,0.151,0.446,113.135,audio_features,4xTdhNAffaOgIZDfHU6Jaj,spotify:track:4xTdhNAffaOgIZDfHU6Jaj,https://api.spotify.com/v1/tracks/4xTdhNAffaOgIZDfHU6Jaj,https://api.spotify.com/v1/audio-analysis/4xTdhNAffaOgIZDfHU6Jaj,233627,4
東京ラッシュ (2019 Remastering),0.759,0.916,5,-3.666,1,0.0325,0.0907,6.23e-05,0.291,0.961,107.765,audio_features,6H5kAXWqGjd9fbkuuuRvX9,spotify:track:6H5kAXWqGjd9fbkuuuRvX9,https://api.spotify.com/v1/tracks/6H5kAXWqGjd9fbkuuuRvX9,https://api.spotify.com/v1/audio-analysis/6H5kAXWqGjd9fbkuuuRvX9,212227,4
SPORTS MEN (2018 Yoshinori Sunahara Remastering),0.804,0.752,2,-7.191,1,0.0588,0.0426,0,0.0567,0.726,108.838,audio_features,6EN8xSFfwNPy3W3BD4hCLH,spotify:track:6EN8xSFfwNPy3W3BD4hCLH,https://api.spotify.com/v1/tracks/6EN8xSFfwNPy3W3BD4hCLH,https://api.spotify.com/v1/audio-analysis/6EN8xSFfwNPy3W3BD4hCLH,245253,4
Bara To Yaju,0.506,0.793,9,-8.866,0,0.181,0.438,0.12,0.322,0.679,173.747,audio_features,6H2hwzTTcYOFDIEntrDuu1,spotify:track:6H2hwzTTcYOFDIEntrDuu1,https://api.spotify.com/v1/tracks/6H2hwzTTcYOFDIEntrDuu1,https://api.spotify.com/v1/audio-analysis/6H2hwzTTcYOFDIEntrDuu1,264320,4
四面道歌 (2019 Remastering),0.718,0.839,0,-4.401,1,0.0333,0.308,0.134,0.33,0.832,145.102,audio_features,2HDGtTkECiCygeSNYIH9RQ,spotify:track:2HDGtTkECiCygeSNYIH9RQ,https://api.spotify.com/v1/tracks/2HDGtTkECiCygeSNYIH9RQ,https://api.spotify.com/v1/audio-analysis/2HDGtTkECiCygeSNYIH9RQ,286120,4
スラック・キー・ルンバ,0.544,0.579,0,-9.093,1,0.0433,0.46,0.815,0.231,0.822,144.207,audio_features,7cNpEKH9zONF0hmtxMYn59,spotify:track:7cNpEKH9zONF0hmtxMYn59,https://api.spotify.com/v1/tracks/7cNpEKH9zONF0hmtxMYn59,https://api.spotify.com/v1/audio-analysis/7cNpEKH9zONF0hmtxMYn59,181600,4
