name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
濡れた髪のLonely,0.6,0.56,9,-10.326,1,0.0296,0.69,0,0.079,0.708,113.219,audio_features,6Tn15G3QaOiFDNS1Fk3QWD,spotify:track:6Tn15G3QaOiFDNS1Fk3QWD,https://api.spotify.com/v1/tracks/6Tn15G3QaOiFDNS1Fk3QWD,https://api.spotify.com/v1/audio-analysis/6Tn15G3QaOiFDNS1Fk3QWD,297040,4
j・e・a・l・o・u・s・y - LIVE,0.656,0.192,0,-12.271,0,0.0414,0.878,0,0.76,0.223,122.305,audio_features,4sdL3JxBSHifmhopOwOcGC,spotify:track:4sdL3JxBSHifmhopOwOcGC,https://api.spotify.com/v1/tracks/4sdL3JxBSHifmhopOwOcGC,https://api.spotify.com/v1/audio-analysis/4sdL3JxBSHifmhopOwOcGC,292107,4
思い出さない夜はないだろう - Re-mix,0.637,0.765,5,-7.586,1,0.0372,0.483,0,0.0877,0.726,127.152,audio_features,3UqhejCmYDqnwYm5MkOJe9,spotify:track:3UqhejCmYDqnwYm5MkOJe9,https://api.spotify.com/v1/tracks/3UqhejCmYDqnwYm5MkOJe9,https://api.spotify.com/v1/audio-analysis/3UqhejCmYDqnwYm5MkOJe9,297067,4
マリッジ,0.585,0.418,10,-13.561,1,0.029,0.62,0,0.226,0.354,134.077,audio_features,0PZqwRzC9uCuPJ1hp3KXql,spotify:track:0PZqwRzC9uCuPJ1hp3KXql,https://api.spotify.com/v1/tracks/0PZqwRzC9uCuPJ1hp3KXql,https://api.spotify.com/v1/audio-analysis/0PZqwRzC9uCuPJ1hp3KXql,269400,4
月の舟,0.569,0.392,0,-14.75,1,0.0274,0.513,0.000331,0.0841,0.538,145.728,audio_features,3XmNfZkWIYAacSu2gWNr3j,spotify:track:3XmNfZkWIYAacSu2gWNr3j,https://api.spotify.com/v1/tracks/3XmNfZkWIYAacSu2gWNr3j,https://api.spotify.com/v1/audio-analysis/3XmNfZkWIYAacSu2gWNr3j,303893,4
My Last Farewell,0.692,0.449,5,-7.289,1,0.026,0.234,6.3e-06,0.0913,0.384,119.983,audio_features,0zcAF4kiotHs2ZJo2WzJIN,spotify:track:0zcAF4kiotHs2ZJo2WzJIN,https://api.spotify.com/v1/tracks/0zcAF4kiotHs2ZJo2WzJIN,https://api.spotify.com/v1/audio-analysis/0zcAF4kiotHs2ZJo2WzJIN,272053,4
雨のフォーチュン,0.661,0.691,9,-9.697,0,0.0306,0.53,0,0.348,0.806,127.898,audio_features,3tNaTt8tEAYFPRpTtpzV74,spotify:track:3tNaTt8tEAYFPRpTtpzV74,https://api.spotify.com/v1/tracks/3tNaTt8tEAYFPRpTtpzV74,https://api.spotify.com/v1/audio-analysis/3tNaTt8tEAYFPRpTtpzV74,366000,4
ずっと風のまま,0.776,0.619,4,-5.5,1,0.0238,0.121,3.01e-05,0.394,0.543,106.0,audio_features,0gAZC1AkOYzeLCrt85FwPM,spotify:track:0gAZC1AkOYzeLCrt85FwPM,https://api.spotify.com/v1/tracks/0gAZC1AkOYzeLCrt85FwPM,https://api.spotify.com/v1/audio-analysis/0gAZC1AkOYzeLCrt85FwPM,284907,4
長距離電話,0.427,0.471,5,-10.088,1,0.0282,0.658,0,0.102,0.149,84.911,audio_features,6pPDIfPTq2UzSE8mp2ugpM,spotify:track:6pPDIfPTq2UzSE8mp2ugpM,https://api.spotify.com/v1/tracks/6pPDIfPTq2UzSE8mp2ugpM,https://api.spotify.com/v1/audio-analysis/6pPDIfPTq2UzSE8mp2ugpM,237493,4
1986 nineteen eighty-six,0.684,0.797,4,-5.485,0,0.0304,0.133,4.95e-06,0.181,0.518,114.995,audio_features,3zAbx6O4VBXyDafgui2UFc,spotify:track:3zAbx6O4VBXyDafgui2UFc,https://api.spotify.com/v1/tracks/3zAbx6O4VBXyDafgui2UFc,https://api.spotify.com/v1/audio-analysis/3zAbx6O4VBXyDafgui2UFc,256120,4
泡沫,0.713,0.424,5,-7.258,1,0.024,0.609,1.91e-06,0.096,0.474,87.005,audio_features,5XfTdNu5tqM8HASBhNzSBG,spotify:track:5XfTdNu5tqM8HASBhNzSBG,https://api.spotify.com/v1/tracks/5XfTdNu5tqM8HASBhNzSBG,https://api.spotify.com/v1/audio-analysis/5XfTdNu5tqM8HASBhNzSBG,273627,4
