name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Highway to the moon,0.61,0.818,2,-3.916,0,0.0591,0.278,0,0.137,0.852,98.988,audio_features,2ymLacyp3d9auBnkuV2zx2,spotify:track:2ymLacyp3d9auBnkuV2zx2,https://api.spotify.com/v1/tracks/2ymLacyp3d9auBnkuV2zx2,https://api.spotify.com/v1/audio-analysis/2ymLacyp3d9auBnkuV2zx2,240373,4
CASTLE OF SAND,0.687,0.537,6,-5.28,0,0.0394,0.233,0,0.0859,0.536,81.073,audio_features,2AGX89Qc0XTG1Xa7IcYUpU,spotify:track:2AGX89Qc0XTG1Xa7IcYUpU,https://api.spotify.com/v1/tracks/2AGX89Qc0XTG1Xa7IcYUpU,https://api.spotify.com/v1/audio-analysis/2AGX89Qc0XTG1Xa7IcYUpU,255467,3
FOREVER YOUNG AT HEART,0.37,0.498,7,-4.795,1,0.0282,0.463,1.12e-05,0.143,0.36,135.997,audio_features,5R9X9GA8xWlTHN8HrXvwnJ,spotify:track:5R9X9GA8xWlTHN8HrXvwnJ,https://api.spotify.com/v1/tracks/5R9X9GA8xWlTHN8HrXvwnJ,https://api.spotify.com/v1/audio-analysis/5R9X9GA8xWlTHN8HrXvwnJ,299213,4
Don't Give Up,0.601,0.63,10,-4.71,1,0.0305,0.0403,0,0.0832,0.537,70.024,audio_features,1PWVALKDxRRDJz1jHSgcPA,spotify:track:1PWVALKDxRRDJz1jHSgcPA,https://api.spotify.com/v1/tracks/1PWVALKDxRRDJz1jHSgcPA,https://api.spotify.com/v1/audio-analysis/1PWVALKDxRRDJz1jHSgcPA,288167,4
RILY,0.706,0.783,1,-4.192,1,0.122,0.0936,0,0.137,0.647,93.941,audio_features,4zyYu9PekzxuT0dyorRnC7,spotify:track:4zyYu9PekzxuT0dyorRnC7,https://api.spotify.com/v1/tracks/4zyYu9PekzxuT0dyorRnC7,https://api.spotify.com/v1/audio-analysis/4zyYu9PekzxuT0dyorRnC7,179732,4
Church by the sea,0.528,0.467,1,-8.873,1,0.0323,0.57,0,0.106,0.404,119.923,audio_features,7myb0xgxwqd36A0JVSqk5r,spotify:track:7myb0xgxwqd36A0JVSqk5r,https://api.spotify.com/v1/tracks/7myb0xgxwqd36A0JVSqk5r,https://api.spotify.com/v1/audio-analysis/7myb0xgxwqd36A0JVSqk5r,285733,4
華金,0.882,0.581,10,-5.899,0,0.115,0.0285,0,0.0475,0.723,112.984,audio_features,2TxkEwwV0h5yXYnkB7SbWm,spotify:track:2TxkEwwV0h5yXYnkB7SbWm,https://api.spotify.com/v1/tracks/2TxkEwwV0h5yXYnkB7SbWm,https://api.spotify.com/v1/audio-analysis/2TxkEwwV0h5yXYnkB7SbWm,153267,4
Catch my Light,0.665,0.877,1,-3.369,1,0.038,0.0435,7.26e-06,0.0602,0.643,110.984,audio_features,0aA5bXlKf0JaAdsJkZzpaW,spotify:track:0aA5bXlKf0JaAdsJkZzpaW,https://api.spotify.com/v1/tracks/0aA5bXlKf0JaAdsJkZzpaW,https://api.spotify.com/v1/audio-analysis/0aA5bXlKf0JaAdsJkZzpaW,220627,4
FUTURE LOVERS,0.488,0.906,8,-3.275,1,0.11,0.0494,0.000105,0.0801,0.501,169.908,audio_features,0xfBzk7A6F33jKtdSl1Ibp,spotify:track:0xfBzk7A6F33jKtdSl1Ibp,https://api.spotify.com/v1/tracks/0xfBzk7A6F33jKtdSl1Ibp,https://api.spotify.com/v1/audio-analysis/0xfBzk7A6F33jKtdSl1Ibp,203173,4
RILY,0.725,0.79,10,-4.132,0,0.106,0.0878,0,0.184,0.602,93.995,audio_features,1yZ9bTf5LqQU72RlCKVtQV,spotify:track:1yZ9bTf5LqQU72RlCKVtQV,https://api.spotify.com/v1/tracks/1yZ9bTf5LqQU72RlCKVtQV,https://api.spotify.com/v1/audio-analysis/1yZ9bTf5LqQU72RlCKVtQV,179733,4
ROMEO + JULIET,0.552,0.792,11,-5.542,1,0.0369,0.0043,0,0.317,0.771,159.912,audio_features,03rKQF7Xj49kuKNa6UnjIL,spotify:track:03rKQF7Xj49kuKNa6UnjIL,https://api.spotify.com/v1/tracks/03rKQF7Xj49kuKNa6UnjIL,https://api.spotify.com/v1/audio-analysis/03rKQF7Xj49kuKNa6UnjIL,229167,4
Angel,0.579,0.927,1,-2.202,0,0.103,0.0898,0,0.138,0.679,117.032,audio_features,0OeCxtqhrNAQ1DhtnpzBz8,spotify:track:0OeCxtqhrNAQ1DhtnpzBz8,https://api.spotify.com/v1/tracks/0OeCxtqhrNAQ1DhtnpzBz8,https://api.spotify.com/v1/audio-analysis/0OeCxtqhrNAQ1DhtnpzBz8,240427,4
Star Seeker,0.338,0.608,3,-5.898,1,0.0392,0.0471,0,0.182,0.349,173.678,audio_features,6BVdJ08CUd3bO3ENIwLuVu,spotify:track:6BVdJ08CUd3bO3ENIwLuVu,https://api.spotify.com/v1/tracks/6BVdJ08CUd3bO3ENIwLuVu,https://api.spotify.com/v1/audio-analysis/6BVdJ08CUd3bO3ENIwLuVu,321167,4
Song For Mama,0.691,0.642,9,-4.956,1,0.0304,0.318,0,0.036,0.238,123.912,audio_features,5CblScRrsqZbCBTWTzOVPw,spotify:track:5CblScRrsqZbCBTWTzOVPw,https://api.spotify.com/v1/tracks/5CblScRrsqZbCBTWTzOVPw,https://api.spotify.com/v1/audio-analysis/5CblScRrsqZbCBTWTzOVPw,269200,4
辛,0.674,0.513,1,-6.53,1,0.0887,0.437,0,0.0799,0.63,67.524,audio_features,417PHTsFrE0B5zwSCrlOol,spotify:track:417PHTsFrE0B5zwSCrlOol,https://api.spotify.com/v1/tracks/417PHTsFrE0B5zwSCrlOol,https://api.spotify.com/v1/audio-analysis/417PHTsFrE0B5zwSCrlOol,301633,4
星屑のメモリーズ,0.812,0.702,2,-5.194,1,0.0347,0.0948,0,0.0317,0.723,115.959,audio_features,3KG1xN9nIBJN3O0AYYbJDi,spotify:track:3KG1xN9nIBJN3O0AYYbJDi,https://api.spotify.com/v1/tracks/3KG1xN9nIBJN3O0AYYbJDi,https://api.spotify.com/v1/audio-analysis/3KG1xN9nIBJN3O0AYYbJDi,213700,4
Alter Ego,0.387,0.752,8,-6.672,1,0.203,0.789,1.27e-05,0.185,0.259,104.974,audio_features,1EpDHPygzDCBB6Le8jEaAw,spotify:track:1EpDHPygzDCBB6Le8jEaAw,https://api.spotify.com/v1/tracks/1EpDHPygzDCBB6Le8jEaAw,https://api.spotify.com/v1/audio-analysis/1EpDHPygzDCBB6Le8jEaAw,220607,4
Talkin' bout love,0.508,0.893,1,-3.167,1,0.0512,0.00576,0,0.0994,0.608,159.822,audio_features,2bvHXt9vQcvyAHQx9OTrc7,spotify:track:2bvHXt9vQcvyAHQx9OTrc7,https://api.spotify.com/v1/tracks/2bvHXt9vQcvyAHQx9OTrc7,https://api.spotify.com/v1/audio-analysis/2bvHXt9vQcvyAHQx9OTrc7,215893,4
華金,0.884,0.581,10,-5.899,0,0.114,0.0285,0,0.0411,0.723,112.979,audio_features,2bsKasDNRHaNoV8QkM4f46,spotify:track:2bsKasDNRHaNoV8QkM4f46,https://api.spotify.com/v1/tracks/2bsKasDNRHaNoV8QkM4f46,https://api.spotify.com/v1/audio-analysis/2bsKasDNRHaNoV8QkM4f46,151933,4
夜明け前,0.361,0.491,0,-7.333,1,0.0375,0.628,0,0.251,0.405,183.84,audio_features,2rtJAWONpnd9PUz6m5Fj42,spotify:track:2rtJAWONpnd9PUz6m5Fj42,https://api.spotify.com/v1/tracks/2rtJAWONpnd9PUz6m5Fj42,https://api.spotify.com/v1/audio-analysis/2rtJAWONpnd9PUz6m5Fj42,266733,4
LOVE THIEF,0.657,0.852,0,-3.093,0,0.0632,0.0821,0,0.157,0.869,115.013,audio_features,1zuVRtepBvw8p6apx6ZumR,spotify:track:1zuVRtepBvw8p6apx6ZumR,https://api.spotify.com/v1/tracks/1zuVRtepBvw8p6apx6ZumR,https://api.spotify.com/v1/audio-analysis/1zuVRtepBvw8p6apx6ZumR,232573,4
辛,0.704,0.51,1,-6.534,1,0.0739,0.496,0,0.0801,0.625,135.121,audio_features,5vaqaaDRt39ZEUfCDPaMOJ,spotify:track:5vaqaaDRt39ZEUfCDPaMOJ,https://api.spotify.com/v1/tracks/5vaqaaDRt39ZEUfCDPaMOJ,https://api.spotify.com/v1/audio-analysis/5vaqaaDRt39ZEUfCDPaMOJ,300300,4
TUXEDO,0.732,0.662,1,-4.747,0,0.267,0.0934,0,0.369,0.525,100.208,audio_features,4ZxHo12cbd8QYaHjkYu4N0,spotify:track:4ZxHo12cbd8QYaHjkYu4N0,https://api.spotify.com/v1/tracks/4ZxHo12cbd8QYaHjkYu4N0,https://api.spotify.com/v1/audio-analysis/4ZxHo12cbd8QYaHjkYu4N0,175400,4
THROWBACK - pt.2,0.636,0.931,9,-3.31,0,0.0588,0.042,0,0.323,0.469,134.895,audio_features,2DvRorluLbsvReadSjpEbg,spotify:track:2DvRorluLbsvReadSjpEbg,https://api.spotify.com/v1/tracks/2DvRorluLbsvReadSjpEbg,https://api.spotify.com/v1/audio-analysis/2DvRorluLbsvReadSjpEbg,222640,4
これが運命なら,0.561,0.574,2,-6.539,1,0.0356,0.316,0,0.0859,0.383,143.955,audio_features,4Gdj0cLjLvztta4uSRu4qr,spotify:track:4Gdj0cLjLvztta4uSRu4qr,https://api.spotify.com/v1/tracks/4Gdj0cLjLvztta4uSRu4qr,https://api.spotify.com/v1/audio-analysis/4Gdj0cLjLvztta4uSRu4qr,346433,4
