name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Spell of Love,0.652,0.904,5,-6.304,0,0.0442,0.0332,0.000267,0.314,0.685,126.956,audio_features,6g7G47NvL7fM1DugJgFDrX,spotify:track:6g7G47NvL7fM1DugJgFDrX,https://api.spotify.com/v1/tracks/6g7G47NvL7fM1DugJgFDrX,https://api.spotify.com/v1/audio-analysis/6g7G47NvL7fM1DugJgFDrX,309629,4
愛は彼方,0.523,0.903,2,-7.754,1,0.0438,0.135,0.0491,0.151,0.445,99.059,audio_features,2NgeAxuN5tvidNFh5nSOiz,spotify:track:2NgeAxuN5tvidNFh5nSOiz,https://api.spotify.com/v1/tracks/2NgeAxuN5tvidNFh5nSOiz,https://api.spotify.com/v1/audio-analysis/2NgeAxuN5tvidNFh5nSOiz,259493,4
Capricious Boy,0.722,0.691,0,-8.965,0,0.0515,0.399,0.0015,0.28,0.833,115.897,audio_features,79UeJyvBITgpHhACIPGbYY,spotify:track:79UeJyvBITgpHhACIPGbYY,https://api.spotify.com/v1/tracks/79UeJyvBITgpHhACIPGbYY,https://api.spotify.com/v1/audio-analysis/79UeJyvBITgpHhACIPGbYY,314373,4
FANTASY,0.704,0.941,3,-6.278,1,0.0474,0.105,2.3e-05,0.0931,0.759,126.005,audio_features,4mK909bw0blH7zLS4mNHM1,spotify:track:4mK909bw0blH7zLS4mNHM1,https://api.spotify.com/v1/tracks/4mK909bw0blH7zLS4mNHM1,https://api.spotify.com/v1/audio-analysis/4mK909bw0blH7zLS4mNHM1,255454,4
真夜中のドア~Stay with me~,0.691,0.749,5,-7.244,1,0.0303,0.151,4.29e-05,0.313,0.863,108.909,audio_features,5npdktPyPWBVrosCigoimv,spotify:track:5npdktPyPWBVrosCigoimv,https://api.spotify.com/v1/tracks/5npdktPyPWBVrosCigoimv,https://api.spotify.com/v1/audio-analysis/5npdktPyPWBVrosCigoimv,339520,4
Heart Forcast~予感~,0.636,0.86,5,-6.928,0,0.0415,0.0417,0.000516,0.157,0.781,116.993,audio_features,0UsanD4SVI6XHLpjMX75bM,spotify:track:0UsanD4SVI6XHLpjMX75bM,https://api.spotify.com/v1/tracks/0UsanD4SVI6XHLpjMX75bM,https://api.spotify.com/v1/audio-analysis/0UsanD4SVI6XHLpjMX75bM,246041,4
Unnatural Love~いけない恋~,0.646,0.868,1,-6.673,0,0.0285,0.0987,0.0254,0.0836,0.883,104.009,audio_features,2vXImhGFCGj7R8Cg9H0qhb,spotify:track:2vXImhGFCGj7R8Cg9H0qhb,https://api.spotify.com/v1/tracks/2vXImhGFCGj7R8Cg9H0qhb,https://api.spotify.com/v1/audio-analysis/2vXImhGFCGj7R8Cg9H0qhb,359640,4
AIRPORT,0.53,0.5,8,-8.946,1,0.0259,0.436,0.000149,0.082,0.135,135.957,audio_features,3ZLSv1VnbViAjMZq1WOwkv,spotify:track:3ZLSv1VnbViAjMZq1WOwkv,https://api.spotify.com/v1/tracks/3ZLSv1VnbViAjMZq1WOwkv,https://api.spotify.com/v1/audio-analysis/3ZLSv1VnbViAjMZq1WOwkv,447880,4
Drive In Blue,0.771,0.69,1,-7.821,1,0.0423,0.155,0.000141,0.0991,0.874,112.94,audio_features,5ykMUNtbKHD3SR0pbxU61m,spotify:track:5ykMUNtbKHD3SR0pbxU61m,https://api.spotify.com/v1/tracks/5ykMUNtbKHD3SR0pbxU61m,https://api.spotify.com/v1/audio-analysis/5ykMUNtbKHD3SR0pbxU61m,253574,4
By Your Side (カラオケ),0.336,0.233,0,-15.621,1,0.031,0.902,0.828,0.103,0.114,79.44,audio_features,0BoZVPellSaM045GdsJzJN,spotify:track:0BoZVPellSaM045GdsJzJN,https://api.spotify.com/v1/tracks/0BoZVPellSaM045GdsJzJN,https://api.spotify.com/v1/audio-analysis/0BoZVPellSaM045GdsJzJN,366240,4
It's My Time To Shine~yuko.I meets T-Groove and Yuma Hara Remix(Dance mix),0.773,0.712,1,-8.679,0,0.0402,0.0261,0.0228,0.0489,0.92,119.991,audio_features,2pct92xqm3Swy1ZRijJwmQ,spotify:track:2pct92xqm3Swy1ZRijJwmQ,https://api.spotify.com/v1/tracks/2pct92xqm3Swy1ZRijJwmQ,https://api.spotify.com/v1/audio-analysis/2pct92xqm3Swy1ZRijJwmQ,412588,4
Gift From Heaven,0.577,0.178,10,-14.112,1,0.0361,0.908,8.18e-05,0.066,0.256,79.871,audio_features,49FxoPI4vKGEjQMJ1Ggn0j,spotify:track:49FxoPI4vKGEjQMJ1Ggn0j,https://api.spotify.com/v1/tracks/49FxoPI4vKGEjQMJ1Ggn0j,https://api.spotify.com/v1/audio-analysis/49FxoPI4vKGEjQMJ1Ggn0j,311521,4
A WAY TO MYSELF,0.584,0.31,7,-9.957,0,0.0254,0.837,0.000145,0.103,0.153,79.946,audio_features,1hOT0GD1TvdXipZvSc6i5f,spotify:track:1hOT0GD1TvdXipZvSc6i5f,https://api.spotify.com/v1/tracks/1hOT0GD1TvdXipZvSc6i5f,https://api.spotify.com/v1/audio-analysis/1hOT0GD1TvdXipZvSc6i5f,343453,4
ボクが傍にいるから…,0.422,0.526,1,-7.86,1,0.0286,0.763,0.0119,0.148,0.218,163.902,audio_features,0AZAAytAiMZmpPtJB86EXM,spotify:track:0AZAAytAiMZmpPtJB86EXM,https://api.spotify.com/v1/tracks/0AZAAytAiMZmpPtJB86EXM,https://api.spotify.com/v1/audio-analysis/0AZAAytAiMZmpPtJB86EXM,353147,4
Trust Your Heart,0.641,0.805,8,-7.359,1,0.0359,0.338,0.0177,0.511,0.794,121.916,audio_features,3mbILGhgCbekdCSE3lpAI3,spotify:track:3mbILGhgCbekdCSE3lpAI3,https://api.spotify.com/v1/tracks/3mbILGhgCbekdCSE3lpAI3,https://api.spotify.com/v1/audio-analysis/3mbILGhgCbekdCSE3lpAI3,302747,4
真夜中のドア~Stay with me~ T-Groove Exteded Remix~,0.723,0.733,5,-5.922,1,0.0302,0.152,0.00572,0.0944,0.804,108.964,audio_features,4sQagwMpo3O7zUt69aTRas,spotify:track:4sQagwMpo3O7zUt69aTRas,https://api.spotify.com/v1/tracks/4sQagwMpo3O7zUt69aTRas,https://api.spotify.com/v1/audio-analysis/4sQagwMpo3O7zUt69aTRas,376708,4
Jr.,0.711,0.771,0,-7.392,1,0.0345,0.418,0.0219,0.064,0.526,127.007,audio_features,21AbLPpHPbeVwGEShR8qTy,spotify:track:21AbLPpHPbeVwGEShR8qTy,https://api.spotify.com/v1/tracks/21AbLPpHPbeVwGEShR8qTy,https://api.spotify.com/v1/audio-analysis/21AbLPpHPbeVwGEShR8qTy,352693,4
Puzzle,0.685,0.512,0,-8.996,1,0.0301,0.629,0.0147,0.0823,0.441,146.023,audio_features,0Z0MpERstIeDRPmSLtr7Uo,spotify:track:0Z0MpERstIeDRPmSLtr7Uo,https://api.spotify.com/v1/tracks/0Z0MpERstIeDRPmSLtr7Uo,https://api.spotify.com/v1/audio-analysis/0Z0MpERstIeDRPmSLtr7Uo,362147,4
By Your Side,0.377,0.325,0,-9.385,1,0.0317,0.892,0.000291,0.103,0.156,80.253,audio_features,4GALaCwquqyfDjSpYf5kZs,spotify:track:4GALaCwquqyfDjSpYf5kZs,https://api.spotify.com/v1/tracks/4GALaCwquqyfDjSpYf5kZs,https://api.spotify.com/v1/audio-analysis/4GALaCwquqyfDjSpYf5kZs,368053,4
ボクが傍にいるから…(カラオケ),0.484,0.557,1,-9.133,1,0.0253,0.402,0.901,0.118,0.18,81.977,audio_features,3bKQlN2u27dR5qUuz5zWkn,spotify:track:3bKQlN2u27dR5qUuz5zWkn,https://api.spotify.com/v1/tracks/3bKQlN2u27dR5qUuz5zWkn,https://api.spotify.com/v1/audio-analysis/3bKQlN2u27dR5qUuz5zWkn,355200,4
For Oneself,0.696,0.601,2,-9.659,1,0.026,0.398,0.0025,0.193,0.742,133.014,audio_features,1aCOglD0txVwzgOFW1PGfK,spotify:track:1aCOglD0txVwzgOFW1PGfK,https://api.spotify.com/v1/tracks/1aCOglD0txVwzgOFW1PGfK,https://api.spotify.com/v1/audio-analysis/1aCOglD0txVwzgOFW1PGfK,284480,4
LOVIN'YOU,0.826,0.643,6,-9.961,1,0.0329,0.33,8.96e-05,0.0509,0.887,132.85,audio_features,24r4ld01s619WFXCS8e4Yi,spotify:track:24r4ld01s619WFXCS8e4Yi,https://api.spotify.com/v1/tracks/24r4ld01s619WFXCS8e4Yi,https://api.spotify.com/v1/audio-analysis/24r4ld01s619WFXCS8e4Yi,231440,4
ボクが傍にいるから… (オルゴールVer.),0.725,0.205,0,-17.193,1,0.0972,0.925,0.923,0.0625,0.463,129.893,audio_features,008Ox8lnGBsXmIJczicFS9,spotify:track:008Ox8lnGBsXmIJczicFS9,https://api.spotify.com/v1/tracks/008Ox8lnGBsXmIJczicFS9,https://api.spotify.com/v1/audio-analysis/008Ox8lnGBsXmIJczicFS9,193640,4
Seawind~潮風の記憶~,0.713,0.497,10,-9.273,0,0.0257,0.583,3.42e-05,0.35,0.477,94.95,audio_features,2hpAXp8rEyxnvYmcLGkOSh,spotify:track:2hpAXp8rEyxnvYmcLGkOSh,https://api.spotify.com/v1/tracks/2hpAXp8rEyxnvYmcLGkOSh,https://api.spotify.com/v1/audio-analysis/2hpAXp8rEyxnvYmcLGkOSh,251908,4
