name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
坂の町と雨,0.283,0.254,5,-10.335,1,0.031,0.803,4.25e-05,0.074,0.298,170.304,audio_features,4u1nHz1nvZ9IhSzutIW9QO,spotify:track:4u1nHz1nvZ9IhSzutIW9QO,https://api.spotify.com/v1/tracks/4u1nHz1nvZ9IhSzutIW9QO,https://api.spotify.com/v1/audio-analysis/4u1nHz1nvZ9IhSzutIW9QO,291890,4
水郷古鎮 ~古き水のまち~,0.421,0.516,7,-4.888,1,0.0296,0.885,0.0646,0.239,0.254,139.768,audio_features,7FZstJ2C6w5esZipW1Pryw,spotify:track:7FZstJ2C6w5esZipW1Pryw,https://api.spotify.com/v1/tracks/7FZstJ2C6w5esZipW1Pryw,https://api.spotify.com/v1/audio-analysis/7FZstJ2C6w5esZipW1Pryw,209143,4
春風春夜 ~あの日の思い出~,0.287,0.248,7,-8.382,1,0.0327,0.868,3.79e-06,0.0901,0.329,139.888,audio_features,2wOq039KFVFYaQUnTyfJmg,spotify:track:2wOq039KFVFYaQUnTyfJmg,https://api.spotify.com/v1/tracks/2wOq039KFVFYaQUnTyfJmg,https://api.spotify.com/v1/audio-analysis/2wOq039KFVFYaQUnTyfJmg,308589,4
月舟 ~雲の波を越えて~,0.225,0.45,8,-2.615,1,0.0351,0.424,0.00114,0.274,0.099,119.623,audio_features,5t0MyCWPxa7EtVALSwaq47,spotify:track:5t0MyCWPxa7EtVALSwaq47,https://api.spotify.com/v1/tracks/5t0MyCWPxa7EtVALSwaq47,https://api.spotify.com/v1/audio-analysis/5t0MyCWPxa7EtVALSwaq47,268557,4
白梅と雪,0.319,0.27,2,-5.596,0,0.0372,0.394,0,0.12,0.353,62.508,audio_features,0Vb5JhmFMDDOTdNehmajwm,spotify:track:0Vb5JhmFMDDOTdNehmajwm,https://api.spotify.com/v1/tracks/0Vb5JhmFMDDOTdNehmajwm,https://api.spotify.com/v1/audio-analysis/0Vb5JhmFMDDOTdNehmajwm,254419,5
沙田の思い出,0.69,0.666,9,-8.83,0,0.0309,0.366,0,0.0827,0.373,132.977,audio_features,7eY93TJuTi3DMKiUQKSMcB,spotify:track:7eY93TJuTi3DMKiUQKSMcB,https://api.spotify.com/v1/tracks/7eY93TJuTi3DMKiUQKSMcB,https://api.spotify.com/v1/audio-analysis/7eY93TJuTi3DMKiUQKSMcB,301596,4
常世の如く ~常陸讃歌~,0.166,0.345,5,-7.483,1,0.0303,0.799,0.000155,0.0708,0.179,139.129,audio_features,2a04iVx2UI61SawLtunYqk,spotify:track:2a04iVx2UI61SawLtunYqk,https://api.spotify.com/v1/tracks/2a04iVx2UI61SawLtunYqk,https://api.spotify.com/v1/audio-analysis/2a04iVx2UI61SawLtunYqk,176143,4
月下に楽師の友を送る,0.802,0.368,2,-5.948,1,0.0325,0.387,0,0.168,0.423,98.006,audio_features,4hYyrpcPQ78AsAI9EfUT61,spotify:track:4hYyrpcPQ78AsAI9EfUT61,https://api.spotify.com/v1/tracks/4hYyrpcPQ78AsAI9EfUT61,https://api.spotify.com/v1/audio-analysis/4hYyrpcPQ78AsAI9EfUT61,276689,4
遠い花火,0.481,0.42,2,-5.966,1,0.0311,0.681,0.00327,0.149,0.352,179.966,audio_features,5cSwzTveUrWjwPX6EcHpNj,spotify:track:5cSwzTveUrWjwPX6EcHpNj,https://api.spotify.com/v1/tracks/5cSwzTveUrWjwPX6EcHpNj,https://api.spotify.com/v1/audio-analysis/5cSwzTveUrWjwPX6EcHpNj,301397,4
南,0.519,0.267,2,-6.027,0,0.0271,0.985,0.335,0.139,0.234,99.939,audio_features,4F2iNrXra5EPOWAIVs3tZK,spotify:track:4F2iNrXra5EPOWAIVs3tZK,https://api.spotify.com/v1/tracks/4F2iNrXra5EPOWAIVs3tZK,https://api.spotify.com/v1/audio-analysis/4F2iNrXra5EPOWAIVs3tZK,265372,4
ヒルガオ,0.647,0.316,2,-5.468,1,0.0328,0.936,0,0.253,0.382,90.048,audio_features,5HaT10DUsbA64YwExSSXt5,spotify:track:5HaT10DUsbA64YwExSSXt5,https://api.spotify.com/v1/tracks/5HaT10DUsbA64YwExSSXt5,https://api.spotify.com/v1/audio-analysis/5HaT10DUsbA64YwExSSXt5,253825,4
キンモクセイの風,0.743,0.605,2,-2.512,1,0.0358,0.37,1.29e-05,0.123,0.55,105.02,audio_features,1TRuL40keTamkyZELom1Ek,spotify:track:1TRuL40keTamkyZELom1Ek,https://api.spotify.com/v1/tracks/1TRuL40keTamkyZELom1Ek,https://api.spotify.com/v1/audio-analysis/1TRuL40keTamkyZELom1Ek,304191,4
西域行,0.453,0.624,11,-2.598,0,0.0386,0.309,0,0.0941,0.249,102.065,audio_features,5KdsTyFMjLLcgmsFMqz48a,spotify:track:5KdsTyFMjLLcgmsFMqz48a,https://api.spotify.com/v1/tracks/5KdsTyFMjLLcgmsFMqz48a,https://api.spotify.com/v1/audio-analysis/5KdsTyFMjLLcgmsFMqz48a,288107,3
冬月,0.603,0.548,2,-6.863,0,0.0272,0.597,0.0385,0.131,0.241,105.046,audio_features,0nmb0yK4OZD7ZtRBJefZGI,spotify:track:0nmb0yK4OZD7ZtRBJefZGI,https://api.spotify.com/v1/tracks/0nmb0yK4OZD7ZtRBJefZGI,https://api.spotify.com/v1/audio-analysis/0nmb0yK4OZD7ZtRBJefZGI,345937,4
比賽 ~琴弾きの執念~,0.633,0.659,9,-4.785,1,0.0311,0.547,4.34e-06,0.134,0.658,130.081,audio_features,0BJ7ZdFHmNnPOIjiRxH2CV,spotify:track:0BJ7ZdFHmNnPOIjiRxH2CV,https://api.spotify.com/v1/tracks/0BJ7ZdFHmNnPOIjiRxH2CV,https://api.spotify.com/v1/audio-analysis/0BJ7ZdFHmNnPOIjiRxH2CV,352981,4
秋彩,0.654,0.795,2,-4.664,1,0.0353,0.824,0.015,0.341,0.221,120.006,audio_features,6s3GV2MTClWm6VA7vF2htd,spotify:track:6s3GV2MTClWm6VA7vF2htd,https://api.spotify.com/v1/tracks/6s3GV2MTClWm6VA7vF2htd,https://api.spotify.com/v1/audio-analysis/6s3GV2MTClWm6VA7vF2htd,372005,4
