name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
ルーセ,0.765,0.753,0,-4.685,1,0.064,0.0268,0.00104,0.0378,0.97,145.052,audio_features,1y1xE3qPDGbZtLxVIa9483,spotify:track:1y1xE3qPDGbZtLxVIa9483,https://api.spotify.com/v1/tracks/1y1xE3qPDGbZtLxVIa9483,https://api.spotify.com/v1/audio-analysis/1y1xE3qPDGbZtLxVIa9483,196552,4
ケプラー,0.742,0.947,7,-4.497,1,0.0634,0.0242,1.73e-05,0.26,0.896,135.093,audio_features,7j1OzmSWeJ2BRwsS75qstd,spotify:track:7j1OzmSWeJ2BRwsS75qstd,https://api.spotify.com/v1/tracks/7j1OzmSWeJ2BRwsS75qstd,https://api.spotify.com/v1/audio-analysis/7j1OzmSWeJ2BRwsS75qstd,137697,4
カナリ,0.752,0.629,11,-5.371,0,0.101,0.0136,9e-06,0.116,0.817,149.946,audio_features,5rt5TmpwGwfBCvAXgLWnrn,spotify:track:5rt5TmpwGwfBCvAXgLWnrn,https://api.spotify.com/v1/tracks/5rt5TmpwGwfBCvAXgLWnrn,https://api.spotify.com/v1/audio-analysis/5rt5TmpwGwfBCvAXgLWnrn,227600,4
DiVAR,0.762,0.761,10,-5.983,0,0.0523,0.0445,2.33e-05,0.17,0.973,139.998,audio_features,74jWL4upD4ieYeKFMwdquR,spotify:track:74jWL4upD4ieYeKFMwdquR,https://api.spotify.com/v1/tracks/74jWL4upD4ieYeKFMwdquR,https://api.spotify.com/v1/audio-analysis/74jWL4upD4ieYeKFMwdquR,207467,4
メドレーライフ,0.719,0.911,8,-4.87,1,0.0559,0.00765,0.0256,0.283,0.929,97.485,audio_features,35oO8QNRo6aHHypVrM6iHz,spotify:track:35oO8QNRo6aHHypVrM6iHz,https://api.spotify.com/v1/tracks/35oO8QNRo6aHHypVrM6iHz,https://api.spotify.com/v1/audio-analysis/35oO8QNRo6aHHypVrM6iHz,204308,4
ナイトフォール - Album ver.,0.63,0.859,2,-6.285,0,0.063,0.00978,0.000525,0.359,0.846,145.006,audio_features,0CO1hHRqHkpw00qLieOUCR,spotify:track:0CO1hHRqHkpw00qLieOUCR,https://api.spotify.com/v1/tracks/0CO1hHRqHkpw00qLieOUCR,https://api.spotify.com/v1/audio-analysis/0CO1hHRqHkpw00qLieOUCR,236000,4
ハレアガリ,0.805,0.633,8,-6.987,1,0.0508,0.0806,0.107,0.324,0.961,114.991,audio_features,6zdVONArYFZp0ynrpaeCnX,spotify:track:6zdVONArYFZp0ynrpaeCnX,https://api.spotify.com/v1/tracks/6zdVONArYFZp0ynrpaeCnX,https://api.spotify.com/v1/audio-analysis/6zdVONArYFZp0ynrpaeCnX,224867,3
ルーセ - Album ver.,0.756,0.716,0,-5.736,1,0.0537,0.0421,0.00613,0.0538,0.969,145.025,audio_features,6ByPakQtdOE8fx42YVfrtJ,spotify:track:6ByPakQtdOE8fx42YVfrtJ,https://api.spotify.com/v1/tracks/6ByPakQtdOE8fx42YVfrtJ,https://api.spotify.com/v1/audio-analysis/6ByPakQtdOE8fx42YVfrtJ,197867,4
ウェルカムパーティ,0.741,0.892,9,-5.106,0,0.0732,0.0188,4.05e-05,0.189,0.891,140.007,audio_features,3Rnw3xNQQVVzKInKnpEIwR,spotify:track:3Rnw3xNQQVVzKInKnpEIwR,https://api.spotify.com/v1/tracks/3Rnw3xNQQVVzKInKnpEIwR,https://api.spotify.com/v1/audio-analysis/3Rnw3xNQQVVzKInKnpEIwR,192775,4
現拡,0.805,0.55,6,-8.021,0,0.0574,0.0427,0.373,0.0734,0.687,134.934,audio_features,3z6DEJOr8E6ezDC8Y5NDsU,spotify:track:3z6DEJOr8E6ezDC8Y5NDsU,https://api.spotify.com/v1/tracks/3z6DEJOr8E6ezDC8Y5NDsU,https://api.spotify.com/v1/audio-analysis/3z6DEJOr8E6ezDC8Y5NDsU,122867,4
幻実,0.929,0.557,8,-8.608,1,0.0999,0.142,0.000441,0.941,0.93,109.99,audio_features,6ppyO5uea1ofzKtLRujRUm,spotify:track:6ppyO5uea1ofzKtLRujRUm,https://api.spotify.com/v1/tracks/6ppyO5uea1ofzKtLRujRUm,https://api.spotify.com/v1/audio-analysis/6ppyO5uea1ofzKtLRujRUm,231000,4
フィリアルデューティ,0.645,0.819,8,-3.698,1,0.0555,0.14,2.9e-06,0.0738,0.919,170.001,audio_features,4yltgW4u0GaxQE00Ihd6AK,spotify:track:4yltgW4u0GaxQE00Ihd6AK,https://api.spotify.com/v1/tracks/4yltgW4u0GaxQE00Ihd6AK,https://api.spotify.com/v1/audio-analysis/4yltgW4u0GaxQE00Ihd6AK,150814,4
回避性パーソナリティ,0.672,0.77,6,-4.54,1,0.0479,0.0739,0,0.21,0.968,170.027,audio_features,0SuetaUYdhuRljbjm6Jdnu,spotify:track:0SuetaUYdhuRljbjm6Jdnu,https://api.spotify.com/v1/tracks/0SuetaUYdhuRljbjm6Jdnu,https://api.spotify.com/v1/audio-analysis/0SuetaUYdhuRljbjm6Jdnu,127676,4
新生物,0.459,0.769,0,-7.007,0,0.0715,0.006,0.00783,0.139,0.947,128.469,audio_features,1lzzAqn0DnASMnGo5reAcK,spotify:track:1lzzAqn0DnASMnGo5reAcK,https://api.spotify.com/v1/tracks/1lzzAqn0DnASMnGo5reAcK,https://api.spotify.com/v1/audio-analysis/1lzzAqn0DnASMnGo5reAcK,202467,4
テイム,0.583,0.857,6,-5.262,1,0.104,0.0368,0.0563,0.0815,0.962,164.963,audio_features,501ZG8XPWtTMGmvtZKuHdh,spotify:track:501ZG8XPWtTMGmvtZKuHdh,https://api.spotify.com/v1/tracks/501ZG8XPWtTMGmvtZKuHdh,https://api.spotify.com/v1/audio-analysis/501ZG8XPWtTMGmvtZKuHdh,210933,4
勘定表現,0.739,0.783,3,-6.557,0,0.0806,0.0131,0.00181,0.0443,0.832,134.989,audio_features,0gUZLaUkbRxHLq6TQ1PqxH,spotify:track:0gUZLaUkbRxHLq6TQ1PqxH,https://api.spotify.com/v1/tracks/0gUZLaUkbRxHLq6TQ1PqxH,https://api.spotify.com/v1/audio-analysis/0gUZLaUkbRxHLq6TQ1PqxH,164000,4
サンドプレイチート,0.744,0.753,10,-6.082,0,0.0492,0.00562,1.47e-05,0.0424,0.95,144.955,audio_features,3rgeXwdyOmipZ7s1Y1KknO,spotify:track:3rgeXwdyOmipZ7s1Y1KknO,https://api.spotify.com/v1/tracks/3rgeXwdyOmipZ7s1Y1KknO,https://api.spotify.com/v1/audio-analysis/3rgeXwdyOmipZ7s1Y1KknO,212897,3
ラグランジュ - IA ver.,0.304,0.888,9,-6.138,1,0.0616,0.00498,0.000373,0.313,0.872,194.995,audio_features,3p2lFTbgcF7QP9Rsm5Un3P,spotify:track:3p2lFTbgcF7QP9Rsm5Un3P,https://api.spotify.com/v1/tracks/3p2lFTbgcF7QP9Rsm5Un3P,https://api.spotify.com/v1/audio-analysis/3p2lFTbgcF7QP9Rsm5Un3P,278533,4
ドゥードル,0.309,0.756,10,-6.502,0,0.0355,0.00246,0.000265,0.16,0.73,154.999,audio_features,5rEJcXvVJGka6hjoifdydW,spotify:track:5rEJcXvVJGka6hjoifdydW,https://api.spotify.com/v1/tracks/5rEJcXvVJGka6hjoifdydW,https://api.spotify.com/v1/audio-analysis/5rEJcXvVJGka6hjoifdydW,232667,4
ラスターガスト,0.652,0.941,9,-4.666,0,0.0548,0.00251,0.00914,0.0661,0.96,149.943,audio_features,38pH0lmBBBnJlk8PZduTnt,spotify:track:38pH0lmBBBnJlk8PZduTnt,https://api.spotify.com/v1/tracks/38pH0lmBBBnJlk8PZduTnt,https://api.spotify.com/v1/audio-analysis/38pH0lmBBBnJlk8PZduTnt,208600,4
フィリアルデューティ - Album ver.,0.575,0.816,8,-5.843,1,0.0471,0.052,0.000351,0.0998,0.709,169.965,audio_features,0iodRUkZGOU4av2jvLy3Id,spotify:track:0iodRUkZGOU4av2jvLy3Id,https://api.spotify.com/v1/tracks/0iodRUkZGOU4av2jvLy3Id,https://api.spotify.com/v1/audio-analysis/0iodRUkZGOU4av2jvLy3Id,150133,5
ランドフィル,0.948,0.691,1,-4.454,0,0.0482,0.13,8.03e-06,0.0394,0.977,124.976,audio_features,1208SS1S3XsoysCigQSPZU,spotify:track:1208SS1S3XsoysCigQSPZU,https://api.spotify.com/v1/tracks/1208SS1S3XsoysCigQSPZU,https://api.spotify.com/v1/audio-analysis/1208SS1S3XsoysCigQSPZU,200160,4
プラネットリポート - Album ver.,0.452,0.817,2,-6.012,1,0.0402,0.269,0.000526,0.172,0.97,199.944,audio_features,4E8RjbGCY5BHiljqW9rvbn,spotify:track:4E8RjbGCY5BHiljqW9rvbn,https://api.spotify.com/v1/tracks/4E8RjbGCY5BHiljqW9rvbn,https://api.spotify.com/v1/audio-analysis/4E8RjbGCY5BHiljqW9rvbn,263067,4
ニヒラベット,0.931,0.489,1,-7.105,1,0.0838,0.0575,4.38e-06,0.0762,0.93,124.948,audio_features,11iIDEuelr5c1UzEVKd5CQ,spotify:track:11iIDEuelr5c1UzEVKd5CQ,https://api.spotify.com/v1/tracks/11iIDEuelr5c1UzEVKd5CQ,https://api.spotify.com/v1/audio-analysis/11iIDEuelr5c1UzEVKd5CQ,180360,4
過学習 - IA ver.,0.74,0.903,9,-5.234,1,0.0508,0.0512,6.41e-06,0.198,0.909,100.01,audio_features,6xq3yK2lPcAq0zci1FvnZX,spotify:track:6xq3yK2lPcAq0zci1FvnZX,https://api.spotify.com/v1/tracks/6xq3yK2lPcAq0zci1FvnZX,https://api.spotify.com/v1/audio-analysis/6xq3yK2lPcAq0zci1FvnZX,215667,4
イデアル,0.717,0.734,1,-6.093,1,0.0429,0.024,0.00082,0.0723,0.962,135.008,audio_features,5iR4UIykNYNqN302BWFNVX,spotify:track:5iR4UIykNYNqN302BWFNVX,https://api.spotify.com/v1/tracks/5iR4UIykNYNqN302BWFNVX,https://api.spotify.com/v1/audio-analysis/5iR4UIykNYNqN302BWFNVX,233267,4
