name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
恋が素敵な理由,0.673,0.735,0,-8.161,1,0.0342,0.576,6.73e-06,0.34,0.608,127.029,audio_features,3Askk9CDhTTORlegIHYTNZ,spotify:track:3Askk9CDhTTORlegIHYTNZ,https://api.spotify.com/v1/tracks/3Askk9CDhTTORlegIHYTNZ,https://api.spotify.com/v1/audio-analysis/3Askk9CDhTTORlegIHYTNZ,306573,4
魚座たちの渚,0.649,0.591,5,-13.47,1,0.0334,0.472,0.000254,0.0874,0.909,88.016,audio_features,5aPG0JTUqfGT4OmWJPQOlm,spotify:track:5aPG0JTUqfGT4OmWJPQOlm,https://api.spotify.com/v1/tracks/5aPG0JTUqfGT4OmWJPQOlm,https://api.spotify.com/v1/audio-analysis/5aPG0JTUqfGT4OmWJPQOlm,271827,4
YELL!~16番目の夏~,0.659,0.435,5,-13.534,1,0.0273,0.597,0,0.194,0.324,107.89,audio_features,0Emv7YAx0G9BUcwUH7acQp,spotify:track:0Emv7YAx0G9BUcwUH7acQp,https://api.spotify.com/v1/tracks/0Emv7YAx0G9BUcwUH7acQp,https://api.spotify.com/v1/audio-analysis/0Emv7YAx0G9BUcwUH7acQp,268600,4
忘れてあげない-Next-,0.634,0.832,11,-7.319,1,0.0287,0.137,0.000168,0.0802,0.596,139.026,audio_features,10xprB2sLiOPrDQA5bDOht,spotify:track:10xprB2sLiOPrDQA5bDOht,https://api.spotify.com/v1/tracks/10xprB2sLiOPrDQA5bDOht,https://api.spotify.com/v1/audio-analysis/10xprB2sLiOPrDQA5bDOht,252093,4
メリー・ローランの島,0.666,0.602,4,-13.402,1,0.0316,0.194,0.000872,0.0774,0.629,139.889,audio_features,2oQITNnLvFTkcxNbZtvoSW,spotify:track:2oQITNnLvFTkcxNbZtvoSW,https://api.spotify.com/v1/tracks/2oQITNnLvFTkcxNbZtvoSW,https://api.spotify.com/v1/audio-analysis/2oQITNnLvFTkcxNbZtvoSW,283093,4
神様のミステイク,0.724,0.717,11,-10.064,0,0.0293,0.199,3.59e-05,0.142,0.664,112.905,audio_features,3RiNy9yzopUIIe3uVpeTWR,spotify:track:3RiNy9yzopUIIe3uVpeTWR,https://api.spotify.com/v1/tracks/3RiNy9yzopUIIe3uVpeTWR,https://api.spotify.com/v1/audio-analysis/3RiNy9yzopUIIe3uVpeTWR,277493,4
星空からのエレベーター,0.753,0.838,2,-8.971,1,0.0284,0.425,0.000382,0.0919,0.942,116.036,audio_features,4PLBxDTADNZbIy7EvK9IzG,spotify:track:4PLBxDTADNZbIy7EvK9IzG,https://api.spotify.com/v1/tracks/4PLBxDTADNZbIy7EvK9IzG,https://api.spotify.com/v1/audio-analysis/4PLBxDTADNZbIy7EvK9IzG,293000,4
純心 - S-Land Version,0.378,0.351,11,-9.189,0,0.026,0.82,0.00868,0.341,0.172,71.986,audio_features,6PLT8ye0STLAsOU6Hk0E4i,spotify:track:6PLT8ye0STLAsOU6Hk0E4i,https://api.spotify.com/v1/tracks/6PLT8ye0STLAsOU6Hk0E4i,https://api.spotify.com/v1/audio-analysis/6PLT8ye0STLAsOU6Hk0E4i,310693,4
悪いひと~もうひとつのBitter~,0.53,0.927,6,-4.575,0,0.0295,0.17,0.0138,0.294,0.79,133.916,audio_features,09N8HRb0Or20Iry5N16652,spotify:track:09N8HRb0Or20Iry5N16652,https://api.spotify.com/v1/tracks/09N8HRb0Or20Iry5N16652,https://api.spotify.com/v1/audio-analysis/09N8HRb0Or20Iry5N16652,325267,4
Earring(イヤリングのはずしかた),0.411,0.268,0,-8.77,1,0.0338,0.695,0,0.111,0.14,89.824,audio_features,2q6vO9HynKeD2kooYpFuGQ,spotify:track:2q6vO9HynKeD2kooYpFuGQ,https://api.spotify.com/v1/tracks/2q6vO9HynKeD2kooYpFuGQ,https://api.spotify.com/v1/audio-analysis/2q6vO9HynKeD2kooYpFuGQ,333200,4
SOREZORENO HOHOEMI(それぞれの微笑),0.642,0.916,6,-5.036,1,0.0402,0.00586,7.03e-05,0.233,0.776,122.855,audio_features,1oDE2IVJvragnXAdXxrOLL,spotify:track:1oDE2IVJvragnXAdXxrOLL,https://api.spotify.com/v1/tracks/1oDE2IVJvragnXAdXxrOLL,https://api.spotify.com/v1/audio-analysis/1oDE2IVJvragnXAdXxrOLL,223853,4
SUKOSHI SABISHII DAKE(すこし淋しいだけ),0.704,0.648,2,-8.807,1,0.0276,0.0261,0,0.084,0.353,122.818,audio_features,6uhA0TEM2xuopBya9hZrhs,spotify:track:6uhA0TEM2xuopBya9hZrhs,https://api.spotify.com/v1/tracks/6uhA0TEM2xuopBya9hZrhs,https://api.spotify.com/v1/audio-analysis/6uhA0TEM2xuopBya9hZrhs,289427,4
John & Mary(ジョンとメリーのために),0.616,0.494,7,-8.166,1,0.0278,0.266,7.2e-06,0.0989,0.153,123.856,audio_features,5jZXwV0LF7ohP8BnQolIep,spotify:track:5jZXwV0LF7ohP8BnQolIep,https://api.spotify.com/v1/tracks/5jZXwV0LF7ohP8BnQolIep,https://api.spotify.com/v1/audio-analysis/5jZXwV0LF7ohP8BnQolIep,300533,4
Mary Lauren(メリー・ローランの島),0.618,0.829,9,-6.404,1,0.0343,0.00389,1.59e-05,0.12,0.243,139.941,audio_features,4EISrwz61Ig2wysUDPSpaC,spotify:track:4EISrwz61Ig2wysUDPSpaC,https://api.spotify.com/v1/tracks/4EISrwz61Ig2wysUDPSpaC,https://api.spotify.com/v1/audio-analysis/4EISrwz61Ig2wysUDPSpaC,266827,4
イヤリングのはずしかた -Japanese Ver.-,0.599,0.253,0,-9.931,1,0.0269,0.689,0,0.112,0.145,89.761,audio_features,2wE5WRfospWrfLbGizslsA,spotify:track:2wE5WRfospWrfLbGizslsA,https://api.spotify.com/v1/tracks/2wE5WRfospWrfLbGizslsA,https://api.spotify.com/v1/audio-analysis/2wE5WRfospWrfLbGizslsA,328613,4
WASURETEAGENAI(忘れてあげない),0.734,0.894,1,-8.081,1,0.0502,0.3,8.87e-05,0.109,0.653,125.897,audio_features,0pBAPHy6Bryl2EXdEB3aTx,spotify:track:0pBAPHy6Bryl2EXdEB3aTx,https://api.spotify.com/v1/tracks/0pBAPHy6Bryl2EXdEB3aTx,https://api.spotify.com/v1/audio-analysis/0pBAPHy6Bryl2EXdEB3aTx,281453,4
IMANOMAMAGA II(今のままがいい),0.716,0.705,6,-6.919,1,0.028,0.136,9.28e-06,0.215,0.435,111.78,audio_features,3idnL5U58bq3t5yiqevnP1,spotify:track:3idnL5U58bq3t5yiqevnP1,https://api.spotify.com/v1/tracks/3idnL5U58bq3t5yiqevnP1,https://api.spotify.com/v1/audio-analysis/3idnL5U58bq3t5yiqevnP1,268453,4
MANAZASHI(瞳 -まなざし-),0.708,0.844,5,-7.808,0,0.0291,0.0209,2.99e-05,0.222,0.874,122.85,audio_features,5rRDUgsigupzSh6KRpaSLk,spotify:track:5rRDUgsigupzSh6KRpaSLk,https://api.spotify.com/v1/tracks/5rRDUgsigupzSh6KRpaSLk,https://api.spotify.com/v1/audio-analysis/5rRDUgsigupzSh6KRpaSLk,221293,4
Romance(ロマンスに帰りたい),0.731,0.73,0,-7.785,0,0.0318,0.327,0,0.0959,0.685,140.015,audio_features,7dMOTjxQUqJ7LyWOEdqzR0,spotify:track:7dMOTjxQUqJ7LyWOEdqzR0,https://api.spotify.com/v1/tracks/7dMOTjxQUqJ7LyWOEdqzR0,https://api.spotify.com/v1/audio-analysis/7dMOTjxQUqJ7LyWOEdqzR0,293840,4
好きでいてそばにいて - Baggot INN Version,0.586,0.449,6,-9.14,1,0.0384,0.606,0.000213,0.12,0.218,114.957,audio_features,2X4YRywPvuaad937jAWTOR,spotify:track:2X4YRywPvuaad937jAWTOR,https://api.spotify.com/v1/tracks/2X4YRywPvuaad937jAWTOR,https://api.spotify.com/v1/audio-analysis/2X4YRywPvuaad937jAWTOR,355867,3
