name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Yurufuwa Jyukai Girl,0.576,0.917,7,-5.135,1,0.0471,0.000617,0.205,0.107,0.607,108.007,audio_features,7DhoTA1a2RSKUtuqXhw8YW,spotify:track:7DhoTA1a2RSKUtuqXhw8YW,https://api.spotify.com/v1/tracks/7DhoTA1a2RSKUtuqXhw8YW,https://api.spotify.com/v1/audio-analysis/7DhoTA1a2RSKUtuqXhw8YW,215120,4
Gerageratowarauna,0.392,0.836,7,-3.305,1,0.0619,0.00704,0.00803,0.175,0.796,180.07,audio_features,6Fn5DU1k6oNMm0xwmBoXmh,spotify:track:6Fn5DU1k6oNMm0xwmBoXmh,https://api.spotify.com/v1/tracks/6Fn5DU1k6oNMm0xwmBoXmh,https://api.spotify.com/v1/audio-analysis/6Fn5DU1k6oNMm0xwmBoXmh,177000,4
Terumii,0.446,0.954,2,-3.299,1,0.103,0.000749,0.352,0.21,0.865,187.926,audio_features,1Hh2Z2kkVzIPFXaE2g4iOj,spotify:track:1Hh2Z2kkVzIPFXaE2g4iOj,https://api.spotify.com/v1/tracks/1Hh2Z2kkVzIPFXaE2g4iOj,https://api.spotify.com/v1/audio-analysis/1Hh2Z2kkVzIPFXaE2g4iOj,244487,4
Kowarenu Heart ga Hoshiinoda,0.407,0.937,7,-3.825,1,0.0759,0.248,0,0.174,0.666,175.048,audio_features,5Gj8syqSeIg5MXrj58d9vN,spotify:track:5Gj8syqSeIg5MXrj58d9vN,https://api.spotify.com/v1/tracks/5Gj8syqSeIg5MXrj58d9vN,https://api.spotify.com/v1/audio-analysis/5Gj8syqSeIg5MXrj58d9vN,265859,4
Psycho na Watashi,0.469,0.872,11,-3.219,0,0.139,0.071,0.0246,0.0516,0.775,180.087,audio_features,0xFHrwadh0GPBEt7tatbu0,spotify:track:0xFHrwadh0GPBEt7tatbu0,https://api.spotify.com/v1/tracks/0xFHrwadh0GPBEt7tatbu0,https://api.spotify.com/v1/audio-analysis/0xFHrwadh0GPBEt7tatbu0,218123,4
Bye Bye Superstar,0.63,0.925,7,-3.906,1,0.0386,0.0621,0.0119,0.0852,0.562,94.982,audio_features,6lBR03lYzMhGkM55YaBzDk,spotify:track:6lBR03lYzMhGkM55YaBzDk,https://api.spotify.com/v1/tracks/6lBR03lYzMhGkM55YaBzDk,https://api.spotify.com/v1/audio-analysis/6lBR03lYzMhGkM55YaBzDk,267093,4
Kiraina Hito,0.485,0.887,9,-3.711,1,0.0663,0.000296,0.00197,0.161,0.648,93.978,audio_features,2H3HHlfbe9z1Ov9f2BOkUy,spotify:track:2H3HHlfbe9z1Ov9f2BOkUy,https://api.spotify.com/v1/tracks/2H3HHlfbe9z1Ov9f2BOkUy,https://api.spotify.com/v1/audio-analysis/2H3HHlfbe9z1Ov9f2BOkUy,201947,4
Bye Bye Super Star,0.633,0.922,7,-3.836,1,0.0362,0.0566,0.0156,0.0896,0.567,95.0,audio_features,7rMCQIu5MPPifafdSl0LXn,spotify:track:7rMCQIu5MPPifafdSl0LXn,https://api.spotify.com/v1/tracks/7rMCQIu5MPPifafdSl0LXn,https://api.spotify.com/v1/audio-analysis/7rMCQIu5MPPifafdSl0LXn,265988,4
Kimi Ha Inasena Girl,0.575,0.918,0,-3.477,1,0.0393,0.0718,0.00333,0.146,0.671,110.068,audio_features,4R0Y7w18qQLJGgGI2NkG4r,spotify:track:4R0Y7w18qQLJGgGI2NkG4r,https://api.spotify.com/v1/tracks/4R0Y7w18qQLJGgGI2NkG4r,https://api.spotify.com/v1/audio-analysis/4R0Y7w18qQLJGgGI2NkG4r,260387,4
igaitomajimenaonnanoko,0.478,0.963,10,-2.974,1,0.0763,0.0413,0.00209,0.0485,0.354,186.966,audio_features,6C73dPoN6qi8IHfDBy5vO5,spotify:track:6C73dPoN6qi8IHfDBy5vO5,https://api.spotify.com/v1/tracks/6C73dPoN6qi8IHfDBy5vO5,https://api.spotify.com/v1/audio-analysis/6C73dPoN6qi8IHfDBy5vO5,267000,4
Summer Queen,0.509,0.931,9,-2.563,1,0.0745,0.000451,0.735,0.585,0.778,90.026,audio_features,2bVSOt268RNugnwTmPlRsf,spotify:track:2bVSOt268RNugnwTmPlRsf,https://api.spotify.com/v1/tracks/2bVSOt268RNugnwTmPlRsf,https://api.spotify.com/v1/audio-analysis/2bVSOt268RNugnwTmPlRsf,181000,4
One Two Hello,0.588,0.867,10,-3.712,1,0.039,0.0025,0.00119,0.0594,0.7,109.966,audio_features,5XQnOM2pAlJDq2vzOCWFkQ,spotify:track:5XQnOM2pAlJDq2vzOCWFkQ,https://api.spotify.com/v1/tracks/5XQnOM2pAlJDq2vzOCWFkQ,https://api.spotify.com/v1/audio-analysis/5XQnOM2pAlJDq2vzOCWFkQ,257047,4
Taitoniikuzeonnanoko,0.444,0.829,7,-1.585,1,0.0419,0.0125,0.000168,0.725,0.798,93.925,audio_features,3TOfxbbWgwafVBBxPuV3la,spotify:track:3TOfxbbWgwafVBBxPuV3la,https://api.spotify.com/v1/tracks/3TOfxbbWgwafVBBxPuV3la,https://api.spotify.com/v1/audio-analysis/3TOfxbbWgwafVBBxPuV3la,172814,4
3AM no Headphone,0.522,0.956,9,-2.98,1,0.0457,0.00383,0.000232,0.175,0.615,94.038,audio_features,4jA0gHIQIn4StbR5Lt6GG4,spotify:track:4jA0gHIQIn4StbR5Lt6GG4,https://api.spotify.com/v1/tracks/4jA0gHIQIn4StbR5Lt6GG4,https://api.spotify.com/v1/audio-analysis/4jA0gHIQIn4StbR5Lt6GG4,223598,4
Shounenha Kyousitsuga Kirai Dattanoda,0.532,0.786,7,-5.974,1,0.0444,0.000702,4.96e-05,0.0484,0.643,95.464,audio_features,4kzG4FLp3t7lWILVE1Ktbg,spotify:track:4kzG4FLp3t7lWILVE1Ktbg,https://api.spotify.com/v1/tracks/4kzG4FLp3t7lWILVE1Ktbg,https://api.spotify.com/v1/audio-analysis/4kzG4FLp3t7lWILVE1Ktbg,210307,4
Sakanagurashi,0.699,0.629,5,-5.56,1,0.0332,0.221,1.67e-06,0.0919,0.567,125.011,audio_features,43xskRFAO9oBKNUaNn2kTP,spotify:track:43xskRFAO9oBKNUaNn2kTP,https://api.spotify.com/v1/tracks/43xskRFAO9oBKNUaNn2kTP,https://api.spotify.com/v1/audio-analysis/43xskRFAO9oBKNUaNn2kTP,260488,4
Ongakugakirainaonnanoko,0.504,0.727,0,-4.078,1,0.0629,0.13,0.237,0.288,0.631,162.802,audio_features,3PrXJeqV7xCC9lvudS93vf,spotify:track:3PrXJeqV7xCC9lvudS93vf,https://api.spotify.com/v1/tracks/3PrXJeqV7xCC9lvudS93vf,https://api.spotify.com/v1/audio-analysis/3PrXJeqV7xCC9lvudS93vf,196566,4
