name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
位置を変えて,0.402,0.369,9,-7.282,1,0.0289,0.78,0.000874,0.131,0.117,108.499,audio_features,5m0nPr7qxbkEHsVNz2XT2O,spotify:track:5m0nPr7qxbkEHsVNz2XT2O,https://api.spotify.com/v1/tracks/5m0nPr7qxbkEHsVNz2XT2O,https://api.spotify.com/v1/audio-analysis/5m0nPr7qxbkEHsVNz2XT2O,378654,3
かたつむり,0.546,0.303,2,-9.318,0,0.0305,0.841,0.000123,0.108,0.529,151.167,audio_features,0IYQ3ghCDevmsoXN5teRBp,spotify:track:0IYQ3ghCDevmsoXN5teRBp,https://api.spotify.com/v1/tracks/0IYQ3ghCDevmsoXN5teRBp,https://api.spotify.com/v1/audio-analysis/0IYQ3ghCDevmsoXN5teRBp,193494,4
水を一杯,0.57,0.324,9,-12.953,1,0.0584,0.427,3.03e-05,0.307,0.567,143.138,audio_features,3tbWcmB8aGG3ez2X99cMR2,spotify:track:3tbWcmB8aGG3ez2X99cMR2,https://api.spotify.com/v1/tracks/3tbWcmB8aGG3ez2X99cMR2,https://api.spotify.com/v1/audio-analysis/3tbWcmB8aGG3ez2X99cMR2,184574,4
あしたはきっと,0.59,0.719,4,-5.599,1,0.0266,0.587,0.000251,0.349,0.884,104.798,audio_features,1zv8x8R6s0rWSCRM8HkR53,spotify:track:1zv8x8R6s0rWSCRM8HkR53,https://api.spotify.com/v1/tracks/1zv8x8R6s0rWSCRM8HkR53,https://api.spotify.com/v1/audio-analysis/1zv8x8R6s0rWSCRM8HkR53,163974,4
解き放たれる,0.543,0.15,7,-16.702,1,0.0689,0.908,1.28e-06,0.953,0.314,112.497,audio_features,70h7KbyasveC6L1JEgCa6t,spotify:track:70h7KbyasveC6L1JEgCa6t,https://api.spotify.com/v1/tracks/70h7KbyasveC6L1JEgCa6t,https://api.spotify.com/v1/audio-analysis/70h7KbyasveC6L1JEgCa6t,391202,4
水を一杯,0.633,0.67,0,-6.98,1,0.0768,0.729,0.149,0.198,0.841,96.804,audio_features,5ZugggpoCFQDGnppM8lGlR,spotify:track:5ZugggpoCFQDGnppM8lGlR,https://api.spotify.com/v1/tracks/5ZugggpoCFQDGnppM8lGlR,https://api.spotify.com/v1/audio-analysis/5ZugggpoCFQDGnppM8lGlR,153748,4
まちぼうけ,0.509,0.244,5,-13.191,1,0.0352,0.918,0.227,0.109,0.514,88.465,audio_features,4YLvI6ldphlIahzzmDcjuI,spotify:track:4YLvI6ldphlIahzzmDcjuI,https://api.spotify.com/v1/tracks/4YLvI6ldphlIahzzmDcjuI,https://api.spotify.com/v1/audio-analysis/4YLvI6ldphlIahzzmDcjuI,89441,3
その際に立ち,0.541,0.294,4,-12.547,0,0.043,0.424,0.00632,0.683,0.304,106.723,audio_features,54Nc0HB0GEKEBRfF0Vwyw9,spotify:track:54Nc0HB0GEKEBRfF0Vwyw9,https://api.spotify.com/v1/tracks/54Nc0HB0GEKEBRfF0Vwyw9,https://api.spotify.com/v1/audio-analysis/54Nc0HB0GEKEBRfF0Vwyw9,505868,4
東町から,0.382,0.282,4,-8.343,1,0.0352,0.897,0.000451,0.0949,0.284,46.95,audio_features,2Kbz6ZEbrrwyXLDRYlpFX9,spotify:track:2Kbz6ZEbrrwyXLDRYlpFX9,https://api.spotify.com/v1/tracks/2Kbz6ZEbrrwyXLDRYlpFX9,https://api.spotify.com/v1/audio-analysis/2Kbz6ZEbrrwyXLDRYlpFX9,299961,3
BLUES,0.644,0.156,7,-15.878,1,0.0356,0.801,0.00759,0.285,0.31,111.42,audio_features,4LuY6GqMSuARScW3Xi99Go,spotify:track:4LuY6GqMSuARScW3Xi99Go,https://api.spotify.com/v1/tracks/4LuY6GqMSuARScW3Xi99Go,https://api.spotify.com/v1/audio-analysis/4LuY6GqMSuARScW3Xi99Go,428401,4
