name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Twilight,0.796,0.419,0,-7.68,1,0.0518,0.711,0.000733,0.112,0.494,103.495,audio_features,2AoM295tdV8R81cwY30Xgn,spotify:track:2AoM295tdV8R81cwY30Xgn,https://api.spotify.com/v1/tracks/2AoM295tdV8R81cwY30Xgn,https://api.spotify.com/v1/audio-analysis/2AoM295tdV8R81cwY30Xgn,166240,4
HAGANE,0.751,0.383,8,-6.638,1,0.0276,0.852,6.61e-06,0.123,0.759,110.889,audio_features,6VkQ1r5DwKx2JEv8Kq5LhX,spotify:track:6VkQ1r5DwKx2JEv8Kq5LhX,https://api.spotify.com/v1/tracks/6VkQ1r5DwKx2JEv8Kq5LhX,https://api.spotify.com/v1/audio-analysis/6VkQ1r5DwKx2JEv8Kq5LhX,210880,4
遊覧船,0.647,0.46,9,-9.216,1,0.0285,0.823,0.00205,0.0903,0.586,121.07,audio_features,2Uf76zPC65kpeIfkZkhqZ4,spotify:track:2Uf76zPC65kpeIfkZkhqZ4,https://api.spotify.com/v1/tracks/2Uf76zPC65kpeIfkZkhqZ4,https://api.spotify.com/v1/audio-analysis/2Uf76zPC65kpeIfkZkhqZ4,194760,4
籠の鳥,0.707,0.251,10,-9.164,1,0.0289,0.939,0.00127,0.627,0.281,77.019,audio_features,5qVaEO6aXXy45nm4le0lpk,spotify:track:5qVaEO6aXXy45nm4le0lpk,https://api.spotify.com/v1/tracks/5qVaEO6aXXy45nm4le0lpk,https://api.spotify.com/v1/audio-analysis/5qVaEO6aXXy45nm4le0lpk,204893,4
大樹のうた,0.523,0.445,1,-8.324,1,0.0257,0.609,0.000252,0.077,0.354,101.002,audio_features,6dC3A1G0SKqGeUzqbg0ueE,spotify:track:6dC3A1G0SKqGeUzqbg0ueE,https://api.spotify.com/v1/tracks/6dC3A1G0SKqGeUzqbg0ueE,https://api.spotify.com/v1/audio-analysis/6dC3A1G0SKqGeUzqbg0ueE,214000,4
トントントン,0.75,0.509,11,-7.227,1,0.0447,0.314,0,0.0835,0.962,120.774,audio_features,2GpsfR8TaAaXAn6Azjt3SZ,spotify:track:2GpsfR8TaAaXAn6Azjt3SZ,https://api.spotify.com/v1/tracks/2GpsfR8TaAaXAn6Azjt3SZ,https://api.spotify.com/v1/audio-analysis/2GpsfR8TaAaXAn6Azjt3SZ,110440,4
I am not perfect,0.728,0.299,1,-8.118,1,0.0347,0.895,0.000208,0.131,0.545,122.965,audio_features,1kZXf1txxk7VYWAXA3Z8w2,spotify:track:1kZXf1txxk7VYWAXA3Z8w2,https://api.spotify.com/v1/tracks/1kZXf1txxk7VYWAXA3Z8w2,https://api.spotify.com/v1/audio-analysis/1kZXf1txxk7VYWAXA3Z8w2,223507,4
サクラサク,0.616,0.411,2,-7.222,1,0.0298,0.572,3.45e-05,0.112,0.529,120.903,audio_features,5kH3X5eOhojrn2PDaptbVI,spotify:track:5kH3X5eOhojrn2PDaptbVI,https://api.spotify.com/v1/tracks/5kH3X5eOhojrn2PDaptbVI,https://api.spotify.com/v1/audio-analysis/5kH3X5eOhojrn2PDaptbVI,180520,4
Happy Friday Night,0.695,0.437,2,-6.375,1,0.0294,0.199,0.00111,0.0877,0.815,128.804,audio_features,4o6TKDGT5EA3ntPuOPDviU,spotify:track:4o6TKDGT5EA3ntPuOPDviU,https://api.spotify.com/v1/tracks/4o6TKDGT5EA3ntPuOPDviU,https://api.spotify.com/v1/audio-analysis/4o6TKDGT5EA3ntPuOPDviU,206973,4
雨女,0.488,0.513,3,-9.561,1,0.027,0.172,0.00931,0.131,0.501,166.136,audio_features,5os6NBydTXLOE2YmxFlAIp,spotify:track:5os6NBydTXLOE2YmxFlAIp,https://api.spotify.com/v1/tracks/5os6NBydTXLOE2YmxFlAIp,https://api.spotify.com/v1/audio-analysis/5os6NBydTXLOE2YmxFlAIp,298467,3
Finally (with Yaffle),0.766,0.503,11,-8.478,0,0.0384,0.281,0.0527,0.0897,0.483,103.969,audio_features,4SyQNnZmQF4TsCvipbPq7o,spotify:track:4SyQNnZmQF4TsCvipbPq7o,https://api.spotify.com/v1/tracks/4SyQNnZmQF4TsCvipbPq7o,https://api.spotify.com/v1/audio-analysis/4SyQNnZmQF4TsCvipbPq7o,198715,4
knock knock,0.58,0.607,6,-7.314,1,0.0433,0.119,9.19e-05,0.154,0.503,82.986,audio_features,0HECYHuYTyRyql57MnoJIK,spotify:track:0HECYHuYTyRyql57MnoJIK,https://api.spotify.com/v1/tracks/0HECYHuYTyRyql57MnoJIK,https://api.spotify.com/v1/audio-analysis/0HECYHuYTyRyql57MnoJIK,274545,4
最大級のラブソング,0.572,0.732,4,-6.055,1,0.0272,0.349,0,0.0718,0.504,99.114,audio_features,5kFCd5iFFwtWuBggIsZbbs,spotify:track:5kFCd5iFFwtWuBggIsZbbs,https://api.spotify.com/v1/tracks/5kFCd5iFFwtWuBggIsZbbs,https://api.spotify.com/v1/audio-analysis/5kFCd5iFFwtWuBggIsZbbs,303936,4
