name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Only One For Me,0.684,0.617,10,-7.421,0,0.0452,0.0964,0,0.038,0.739,90.045,audio_features,07pD167wen8NMy0mfDVhT7,spotify:track:07pD167wen8NMy0mfDVhT7,https://api.spotify.com/v1/tracks/07pD167wen8NMy0mfDVhT7,https://api.spotify.com/v1/audio-analysis/07pD167wen8NMy0mfDVhT7,205467,4
Only One For Me,0.684,0.617,10,-7.421,0,0.0452,0.0964,0,0.038,0.739,90.045,audio_features,1tSSOxrh20dbGlzQyWYFB2,spotify:track:1tSSOxrh20dbGlzQyWYFB2,https://api.spotify.com/v1/tracks/1tSSOxrh20dbGlzQyWYFB2,https://api.spotify.com/v1/audio-analysis/1tSSOxrh20dbGlzQyWYFB2,205467,4
Ready?,0.754,0.772,0,-6.03,1,0.0508,0.0828,0.000542,0.119,0.737,116.007,audio_features,2Obb5Zn1TU9GbKUkJPeaBS,spotify:track:2Obb5Zn1TU9GbKUkJPeaBS,https://api.spotify.com/v1/tracks/2Obb5Zn1TU9GbKUkJPeaBS,https://api.spotify.com/v1/audio-analysis/2Obb5Zn1TU9GbKUkJPeaBS,223667,4
Ready?,0.754,0.772,0,-6.03,1,0.0508,0.0828,0.000542,0.119,0.737,116.007,audio_features,7ej1ojkV6RAdEshi58ByFm,spotify:track:7ej1ojkV6RAdEshi58ByFm,https://api.spotify.com/v1/tracks/7ej1ojkV6RAdEshi58ByFm,https://api.spotify.com/v1/audio-analysis/7ej1ojkV6RAdEshi58ByFm,223667,4
korekara,0.676,0.628,1,-7.717,1,0.063,0.523,2.04e-05,0.122,0.667,92.033,audio_features,32gp4w40ZHZf0GZE1VHsCo,spotify:track:32gp4w40ZHZf0GZE1VHsCo,https://api.spotify.com/v1/tracks/32gp4w40ZHZf0GZE1VHsCo,https://api.spotify.com/v1/audio-analysis/32gp4w40ZHZf0GZE1VHsCo,190560,4
korekara,0.673,0.62,1,-7.926,1,0.0701,0.54,1.39e-05,0.127,0.643,92.0,audio_features,1mffAGr1TKVNyu120JDtYH,spotify:track:1mffAGr1TKVNyu120JDtYH,https://api.spotify.com/v1/tracks/1mffAGr1TKVNyu120JDtYH,https://api.spotify.com/v1/audio-analysis/1mffAGr1TKVNyu120JDtYH,190213,4
言えない,0.636,0.4,9,-8.713,1,0.0293,0.793,1.84e-06,0.114,0.148,114.963,audio_features,65KuTXeD5xmrtr5kMvwsr3,spotify:track:65KuTXeD5xmrtr5kMvwsr3,https://api.spotify.com/v1/tracks/65KuTXeD5xmrtr5kMvwsr3,https://api.spotify.com/v1/audio-analysis/65KuTXeD5xmrtr5kMvwsr3,260160,3
Distance,0.641,0.506,6,-6.43,0,0.0342,0.208,3.71e-06,0.0848,0.593,76.993,audio_features,5ICOZO1l0xRmsNasP65Ya3,spotify:track:5ICOZO1l0xRmsNasP65Ya3,https://api.spotify.com/v1/tracks/5ICOZO1l0xRmsNasP65Ya3,https://api.spotify.com/v1/audio-analysis/5ICOZO1l0xRmsNasP65Ya3,194000,4
Distance,0.638,0.518,6,-6.227,0,0.0343,0.226,6.33e-06,0.0844,0.583,76.993,audio_features,1JNPmQHKlCkKYyN1J7uI96,spotify:track:1JNPmQHKlCkKYyN1J7uI96,https://api.spotify.com/v1/tracks/1JNPmQHKlCkKYyN1J7uI96,https://api.spotify.com/v1/audio-analysis/1JNPmQHKlCkKYyN1J7uI96,191627,4
Monday,0.761,0.534,2,-7.723,1,0.0597,0.185,0,0.231,0.228,122.043,audio_features,1jfq75YpSOxNGdFdw38qU2,spotify:track:1jfq75YpSOxNGdFdw38qU2,https://api.spotify.com/v1/tracks/1jfq75YpSOxNGdFdw38qU2,https://api.spotify.com/v1/audio-analysis/1jfq75YpSOxNGdFdw38qU2,210040,4
