name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
NOBODY LIKE YOU,0.566,0.891,0,-3.63,1,0.124,0.121,0,0.239,0.607,128.136,audio_features,5FOSwCZ66T9mSUMASC5PLh,spotify:track:5FOSwCZ66T9mSUMASC5PLh,https://api.spotify.com/v1/tracks/5FOSwCZ66T9mSUMASC5PLh,https://api.spotify.com/v1/audio-analysis/5FOSwCZ66T9mSUMASC5PLh,180040,4
Just Another Girl,0.357,0.853,1,-2.56,0,0.0813,0.0476,0,0.099,0.63,160.011,audio_features,6HM9FMfzTegFJDT2PZMPcj,spotify:track:6HM9FMfzTegFJDT2PZMPcj,https://api.spotify.com/v1/tracks/6HM9FMfzTegFJDT2PZMPcj,https://api.spotify.com/v1/audio-analysis/6HM9FMfzTegFJDT2PZMPcj,191387,4
In this world,0.44,0.642,8,-4.504,1,0.0378,0.347,0,0.149,0.233,131.902,audio_features,2vXa3jnw1puqq9mRw4Nuit,spotify:track:2vXa3jnw1puqq9mRw4Nuit,https://api.spotify.com/v1/tracks/2vXa3jnw1puqq9mRw4Nuit,https://api.spotify.com/v1/audio-analysis/2vXa3jnw1puqq9mRw4Nuit,237173,4
Broken Mirror,0.491,0.608,11,-6.175,1,0.0304,0.00228,0,0.157,0.15,75.994,audio_features,7nkSm4WlxJf9HkGubT9NCm,spotify:track:7nkSm4WlxJf9HkGubT9NCm,https://api.spotify.com/v1/tracks/7nkSm4WlxJf9HkGubT9NCm,https://api.spotify.com/v1/audio-analysis/7nkSm4WlxJf9HkGubT9NCm,262987,4
六等星,0.469,0.698,1,-4.365,1,0.0398,0.396,0,0.148,0.673,77.075,audio_features,3DcBY9PDTlUlUYdDdoJPog,spotify:track:3DcBY9PDTlUlUYdDdoJPog,https://api.spotify.com/v1/tracks/3DcBY9PDTlUlUYdDdoJPog,https://api.spotify.com/v1/audio-analysis/3DcBY9PDTlUlUYdDdoJPog,209893,3
Tick-Tack (feat. ZU HO (SF9)),0.783,0.655,4,-3.318,1,0.0879,0.31,0,0.362,0.933,127.981,audio_features,1PYPekmBOrW9I71bj4skDW,spotify:track:1PYPekmBOrW9I71bj4skDW,https://api.spotify.com/v1/tracks/1PYPekmBOrW9I71bj4skDW,https://api.spotify.com/v1/audio-analysis/1PYPekmBOrW9I71bj4skDW,185053,4
BPM,0.702,0.642,0,-3.628,0,0.0663,0.259,0,0.158,0.84,135.989,audio_features,1E7cAuJtEk019MiaNQWI9n,spotify:track:1E7cAuJtEk019MiaNQWI9n,https://api.spotify.com/v1/tracks/1E7cAuJtEk019MiaNQWI9n,https://api.spotify.com/v1/audio-analysis/1E7cAuJtEk019MiaNQWI9n,193093,4
지켜줄게,0.419,0.63,8,-5.357,1,0.0363,0.731,0,0.124,0.228,131.304,audio_features,2CipxZcy5B2dXByczvlR8p,spotify:track:2CipxZcy5B2dXByczvlR8p,https://api.spotify.com/v1/tracks/2CipxZcy5B2dXByczvlR8p,https://api.spotify.com/v1/audio-analysis/2CipxZcy5B2dXByczvlR8p,221147,4
Walking On Water,0.536,0.862,8,-3.99,1,0.0705,0.1,0,0.0631,0.37,124.995,audio_features,62M7R3leeiQqQWNBiGOJXW,spotify:track:62M7R3leeiQqQWNBiGOJXW,https://api.spotify.com/v1/tracks/62M7R3leeiQqQWNBiGOJXW,https://api.spotify.com/v1/audio-analysis/62M7R3leeiQqQWNBiGOJXW,224520,4
I Want To Ask You,0.409,0.434,5,-5.834,1,0.0339,0.715,0,0.112,0.273,119.902,audio_features,3VrCoA3wlOiP5EqY4EUsrB,spotify:track:3VrCoA3wlOiP5EqY4EUsrB,https://api.spotify.com/v1/tracks/3VrCoA3wlOiP5EqY4EUsrB,https://api.spotify.com/v1/audio-analysis/3VrCoA3wlOiP5EqY4EUsrB,274440,4
